CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50162883,PAPA CHICKEN,Queens,14709,45TH AVE,11355,9172516122,Chicken,2025-03-17,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,69,,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.755528886209,-73.814988899493,407,20,118900,4121969,4054060047,QN52,
50088405,ORGANIC LOVE,Brooklyn,313A,UTICA AVENUE,11213,7187747720,Vegetarian,2022-02-28,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,31,C,2022-02-28,2025-09-18,Cycle Inspection / Re-inspection,40.667297806118,-73.931255064779,309,41,034900,3037790,3014030004,BK61,
50109390,OCEAN BAY SEAFOOD RESTUARANT,Queens,8302,QUEENS BLVD,11373,6462511048,Chinese,2024-11-23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,16,B,2024-11-23,2025-09-18,Cycle Inspection / Re-inspection,40.737288672192,-73.880169390169,404,30,047500,4057288,4024760012,QN29,
50094588,THE BLUE DOG COOKHOUSE AND BAR,Manhattan,308,WEST   50 STREET,10019,9177340067,American,2023-02-16,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,22,,,2025-09-18,Cycle Inspection / Initial Inspection,40.762451304264,-73.9865280264,104,03,012700,1076203,1010400029,MN15,
50010873,MASALA BOX,Queens,4202,BELL BLVD,11361,7182812699,Indian,2023-01-04,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,26,,,2025-09-18,Cycle Inspection / Initial Inspection,40.762466768059,-73.770431043491,411,19,146700,4138216,4062840026,QN46,
41512259,DUNKIN,Queens,4159,KISSENA BOULEVARD,11355,7183212096,Donuts,2024-12-10,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,2024-12-10,2025-09-18,Cycle Inspection / Initial Inspection,40.75752777585,-73.827782943869,407,20,085300,4114293,4050450001,QN22,
50130811,SAMMUK THAI SEAFOOD RESTAURANT,Queens,6525,ROOSEVELT AVE,11377,3472423577,Thai,2024-01-04,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2024-01-04,2025-09-18,Cycle Inspection / Initial Inspection,40.746141453007,-73.898162162387,402,26,026300,4619922,4012237503,QN63,
41486945,REGINA'S CAFE & PIZZERIA,Queens,17649,UNION TURNPIKE,11366,7185915727,Pizza,2022-06-22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,64,,,2025-09-18,Cycle Inspection / Initial Inspection,40.725828744983,-73.791569997631,408,24,133900,4154572,4071870054,QN41,
50109132,LE PAVILLON,Manhattan,1,VANDERBILT AVE,10017,6465197096,French,2024-05-22,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,29,,,2025-09-18,Cycle Inspection / Initial Inspection,40.752876341375,-73.978394534207,105,04,009400,1090825,1012770027,MN17,
50106213,ROYAL SEAFOOD CAFE,Manhattan,103,MOTT STREET,10013,2129667199,Chinese,2022-09-30,Establishment re-closed by DOHMH.,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,27,,,2025-09-18,Cycle Inspection / Reopening Inspection,40.717311692095,-73.99746039087,102,01,004100,1082936,1002057501,MN24,
50084485,PERRY'S COFFEE SHOP,Bronx,496,EAST  161 STREET,10451,7186655464,American,2024-10-18,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,7,A,2024-10-18,2025-09-18,Cycle Inspection / Initial Inspection,40.823235508315,-73.910642832531,203,17,014100,2001196,2023650017,BX35,
50158021,MARTHA'S PASTRY & CAFE,Brooklyn,1183,BEDFORD AVENUE,11216,7182070471,Coffee/Tea,2024-12-05,Violations were cited in the following area(s).,28-06,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,Not Critical,64,C,2024-12-05,2025-09-18,Pre-permit (Operational) / Re-inspection,40.682951602257,-73.953820325904,303,36,024500,3051832,3018270001,BK75,
50014473,CENTRAL CARIBBEAN BAKERY,Bronx,1322,EAST GUN HILL ROAD,10469,3472753533,Bakery Products/Desserts,2022-07-13,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,0,,,2025-09-18,Cycle Inspection / Initial Inspection,40.871276498522,-73.847829644471,211,12,035000,2056136,2045900040,BX31,
50100095,PIG PIG CAFE,Brooklyn,7115,3 AVENUE,11209,3472605602,Coffee/Tea,2023-11-14,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19,B,2023-11-14,2025-09-18,Cycle Inspection / Re-inspection,40.633842695505,-74.026805352593,310,47,006800,3253425,3058917501,BK31,
50000419,EVA'S X CINCO DE MAYO,Manhattan,43,WEST   55 STREET,10019,2123333020,Mexican,2022-11-07,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,2022-11-07,2025-09-18,Cycle Inspection / Re-inspection,40.762279485776,-73.976362739705,105,04,010400,1034820,1012710015,MN17,
41364122,CHECKERS,Staten Island,2270,FOREST AVENUE,10303,7188164382,Hamburgers,2024-09-26,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,12,A,2024-09-26,2025-09-18,Cycle Inspection / Re-inspection,40.627046160643,-74.165009081887,501,49,030302,5149440,5016850046,SI12,
41117350,POPEYES,Queens,21710,HILLSIDE AVENUE,11427,7184656812,Chicken,2022-08-19,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,20,,,2025-09-18,Cycle Inspection / Initial Inspection,40.728245624374,-73.747248877692,413,23,055200,4228829,4106770011,QN34,
50077492,CAFE ZONA SUR,Brooklyn,4314,4 AVENUE,11232,7187881606,Latin American,2023-05-25,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,17,,,2025-09-18,Cycle Inspection / Initial Inspection,40.650248318951,-74.008652626,307,38,008200,3010927,3007280041,BK32,
50104660,OAKBERRY,Manhattan,1158,BROADWAY,10001,3472737271,"Juice, Smoothies, Fruit Salads",2022-10-18,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,20,,,2025-09-18,Cycle Inspection / Initial Inspection,40.744481575862,-73.988512947151,105,02,005800,1080699,1008290030,MN13,
50134606,ALBA'S PIZZERIA & RESTAURANT,Queens,13765,QUEENS BLVD,11435,7182911620,Italian,2025-02-12,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2025-02-12,2025-09-18,Cycle Inspection / Initial Inspection,40.708917720262,-73.818761788718,408,24,022002,4312614,4096517501,QN35,
50168412,FLAMIN' CHICKEN & GYRO,Queens,701,SENECA AVENUE,11385,7182246050,American,2025-09-09,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,50,N,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.702743654839,-73.9075698334,405,34,054900,4082642,4034580011,QN20,
50070551,KING'S STREET COFFEE,Manhattan,121,WEST   30 STREET,10001,2123350333,Coffee/Tea,2022-04-13,Violations were cited in the following area(s).,10J,Hand wash sign not posted,Not Critical,12,A,2022-04-13,2025-09-18,Cycle Inspection / Initial Inspection,40.747627249936,-73.990443242937,105,03,010100,1015161,1008060026,MN17,
41019523,GRILL POINT,Queens,69-54,MAIN STREET,11367,7182617077,Jewish/Kosher,2025-05-29,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,7,A,2025-05-29,2025-09-18,Cycle Inspection / Initial Inspection,40.729928015721,-73.823434634635,408,24,077902,4143180,4066160037,QN37,
50100509,GREAT DRAGON,Queens,14136,ROCKAWAY BLVD,11436,7183223702,Chinese,2022-04-14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,,,2025-09-18,Cycle Inspection / Initial Inspection,40.674110768044,-73.798776543493,412,28,079000,4261779,4120560034,QN76,
50159039,BUTTONWOOD,Manhattan,120,WATER STREET,10005,9149122138,Other,2024-12-12,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,40,,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.705292146508,-74.007242346763,101,01,000700,1000000,1000390041,MN25,
50147419,BOGATIS,Queens,10852,ROOSEVELT AVE,11368,9298990974,Frozen Desserts,2024-12-09,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,60,Z,2024-12-09,2025-09-18,Pre-permit (Operational) / Re-inspection,40.750847552535,-73.858269384845,404,21,040100,4619690,4019967502,QN26,
50169440,SHIHAODIAN BAKERY,Brooklyn,6512,BAY PARKWAY,11204,9296803888,Bakery Products/Desserts,2025-07-31,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,26,B,2025-07-31,2025-09-18,Pre-permit (Operational) / Re-inspection,40.613502792662,-73.981803868417,311,47,025600,3134084,3055570044,BK28,
50018356,BRICKTOWN BAGELS & CAFE,Queens,5106,VERNON BLVD,11101,7183612428,Bagels/Pretzels,2022-05-13,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,41,,,2025-09-18,Cycle Inspection / Initial Inspection,40.741824407336,-73.954436151804,402,26,000700,4000202,4000340048,QN31,
50099626,I MILKY,Manhattan,992,6 AVENUE,10018,9177751592,Coffee/Tea,2022-07-18,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,27,,,2025-09-18,Cycle Inspection / Initial Inspection,40.751453057972,-73.986562742494,105,04,008400,1015919,1008380001,MN17,
41314872,GIOVANNI'S,Bronx,76,EAST  167 STREET,10452,7185382054,Pizza,2024-07-09,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,38,,,2025-09-18,Cycle Inspection / Initial Inspection,40.835250599957,-73.919932220641,204,16,019700,2002958,2024790019,BX63,
50124397,JERSEY MIKE'S 34074,Manhattan,4055,BROADWAY,10032,3322190504,American,2023-09-20,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,2023-09-20,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.842977873167,-73.939208475909,112,10,025300,1063475,1021420030,MN36,
50091999,THE TANG,Manhattan,920,AMSTERDAM AVENUE,10025,6465967970,Chinese,2022-08-02,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,0,,,2025-09-18,Cycle Inspection / Initial Inspection,40.799858088363,-73.966142142988,107,07,019100,1056614,1018770031,MN12,
50127617,PEARL STREET,Brooklyn,147,FRONT STREET,11201,7187577034,Seafood,2024-10-27,Violations were cited in the following area(s).,03B,"Shellfish not from approved source, not or improperly tagged/labeled; tags not retained for 90 days.",Critical,22,,,2025-09-18,Cycle Inspection / Initial Inspection,40.702448090622,-73.987312009551,302,33,002100,3000090,3000400001,BK38,
50176532,GLEO PIZZERIA LLC,Manhattan,221,EAST   23 STREET,10010,6469381581,,1900-01-01,,,,Not Applicable,,,,2025-09-18,,40.738554871291,-73.982487687766,106,02,006400,1019774,1009040013,MN21,
50128784,SUBWAY,Queens,6979,GRAND AVE,11378,9179292932,Sandwiches,2023-07-20,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,36,,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.727280329707,-73.893125543811,405,30,049302,4058586,4025030001,QN30,
41644901,OCEAN SIDE RESTAURANT,Queens,12719,MERRICK BLVD,11434,7184135425,Caribbean,2025-08-08,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,24,B,2025-08-08,2025-09-18,Cycle Inspection / Re-inspection,40.68148819318,-73.76528826803,412,27,036600,4269971,4124880001,QN08,
41253389,HUNGARIAN KOSHER,Brooklyn,5009,16 AVENUE,11204,7188510400,Jewish/Kosher,2022-09-21,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,0,A,2022-09-21,2025-09-18,Cycle Inspection / Re-inspection,40.630350892827,-73.986205335609,312,44,047400,3129382,3054590006,BK88,
