Company Name,Subindustry,Sub Subindustry,Address,Phone,Website,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA,Location 1
Green Emporium,Café / Deli,,791 Eighth Ave,2124591924,,1,10019,40.761133,-73.986958,4,3,127,1025141,1010390029,Clinton                                                                    ,"{'latitude': '40.761133', 'needs_recoding': False, 'longitude': '-73.986958', 'human_address': '{""address"":""791 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
Rosie O'Grady's Saloon,Full Serve,American,800 Seventh Ave,212-582-2975,,1,10019,40.762441,-73.982294,5,4,131,1024827,1010240029,Midtown-Midtown South                                                      ,"{'latitude': '40.762441', 'needs_recoding': False, 'longitude': '-73.982294', 'human_address': '{""address"":""800 Seventh Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
"810 Deli, Inc",Café / Deli,,810 Seventh Ave,2125414136,www.810deli.com,1,10019,40.762639,-73.982146,5,4,131,1024828,1010240038,Midtown-Midtown South                                                      ,"{'latitude': '40.762639', 'needs_recoding': False, 'longitude': '-73.982146', 'human_address': '{""address"":""810 Seventh Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
Deli / Café,Café / Deli,,810 Seventh Ave,(212) 541-4136,http://www.810deli.com/,1,10019,40.762639,-73.982146,5,4,131,1024828,1010240038,Midtown-Midtown South                                                      ,"{'latitude': '40.762639', 'needs_recoding': False, 'longitude': '-73.982146', 'human_address': '{""address"":""810 Seventh Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
Ichi Masa Japanese Sushi,Full Serve,Japanese,825 Eighth Ave,(212) 315-4800,http://ichimasany.com/,1,10019,40.762074,-73.986275,4,3,127,1076203,1010400029,Clinton                                                                    ,"{'latitude': '40.762074', 'needs_recoding': False, 'longitude': '-73.986275', 'human_address': '{""address"":""825 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
Starbucks,Coffee,,825 Eighth Ave,2124622020,www.starbucks.com,1,10019,40.762074,-73.986275,4,3,127,1076203,1010400029,Clinton                                                                    ,"{'latitude': '40.762074', 'needs_recoding': False, 'longitude': '-73.986275', 'human_address': '{""address"":""825 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
Starbucks,Coffee,,156 W 52nd St,(212) 581-6410,,1,10019,40.762027,-73.981622,5,4,131,1023157,1010040020,Midtown-Midtown South                                                      ,"{'latitude': '40.762027', 'needs_recoding': False, 'longitude': '-73.981622', 'human_address': '{""address"":""156 W 52nd St"",""city"":"""",""state"":"""",""zip"":""""}'}"
The Library @ Paramount Hotel,Full Serve,American,235 W 46th St,212 827-4183,www.paramountNewYork.solmelia.com,1,10036,40.759132,-73.986348,5,3,125,1024737,1010180006,Midtown-Midtown South                                                      ,"{'latitude': '40.759132', 'needs_recoding': False, 'longitude': '-73.986348', 'human_address': '{""address"":""235 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
46 Bar (Paramount Hotel),Bar / Lounge,,235 W 46th St,(212) 764-5500,http://www.nycparamount.com/,1,10036,40.759132,-73.986348,5,3,125,1024737,1010180006,Midtown-Midtown South                                                      ,"{'latitude': '40.759132', 'needs_recoding': False, 'longitude': '-73.986348', 'human_address': '{""address"":""235 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Victor's Cafe,Café / Deli,,236 W 52nd St,(212) 586-7714 ,www.victorscafe.com,1,10019,40.762968,-73.983853,5,3,131,1080858,1010230051,Midtown-Midtown South                                                      ,"{'latitude': '40.762968', 'needs_recoding': False, 'longitude': '-73.983853', 'human_address': '{""address"":""236 W 52nd St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Auntie Anne's,Quick Serve,Fast Food,664 Eighth Ave,2127641542,www.auntieannes.com,1,10036,40.757436,-73.989633,5,3,119,1087142,1010140001,Midtown-Midtown South                                                      ,"{'latitude': '40.757436', 'needs_recoding': False, 'longitude': '-73.989633', 'human_address': '{""address"":""664 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
B.B. King Blues Club & Grill,Full Serve,American,237 W 42nd St,2129974144,www.bbkingblues.com,1,10036,40.756785,-73.988702,5,3,119,1087142,1010140001,Midtown-Midtown South                                                      ,"{'latitude': '40.756785', 'needs_recoding': False, 'longitude': '-73.988702', 'human_address': '{""address"":""237 W 42nd St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Cold Stone Creamery/ Tim Horton's,Quick Serve,Dessert,243 W 42nd St,2123981882,www.coldstonecreamery.com,1,10036,40.756821,-73.988789,5,3,119,1087142,1010140001,Midtown-Midtown South                                                      ,"{'latitude': '40.756821', 'needs_recoding': False, 'longitude': '-73.988789', 'human_address': '{""address"":""243 W 42nd St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Dallas BBQ,Full Serve,Barbecue,27 West 72nd Street,2128732004,,1,10023,40.776988,-73.977766,7,6,157,1087511,1011257502,Lincoln Square                                                             ,"{'latitude': '40.776988', 'needs_recoding': False, 'longitude': '-73.977766', 'human_address': '{""address"":""27 West 72nd Street"",""city"":"""",""state"":"""",""zip"":""""}'}"
Starbucks,Coffee,,251 W 42nd St,2123981982,www.starbucks.com,1,10036,40.756867,-73.988901,5,3,119,1087142,1010140001,Midtown-Midtown South                                                      ,"{'latitude': '40.756867', 'needs_recoding': False, 'longitude': '-73.988901', 'human_address': '{""address"":""251 W 42nd St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Pongsri Thai Restaurant,Full Serve,Thai,244 W 48th St,2125823392,,1,10036,40.76052,-73.985817,5,3,125,1024765,1010190059,Midtown-Midtown South                                                      ,"{'latitude': '40.76052', 'needs_recoding': False, 'longitude': '-73.985817', 'human_address': '{""address"":""244 W 48th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Smokehouse,Full Serve,Italian,249 W 48th St,,www.baldoriamo.com,1,10036,40.76057,-73.98589,5,3,125,,,Midtown-Midtown South                                                      ,"{'latitude': '40.76057', 'needs_recoding': False, 'longitude': '-73.98589', 'human_address': '{""address"":""249 W 48th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Lucky Star Cafe,Full Serve,American,250 W 43rd St,(201) 838-9269,,1,10036,40.757309,-73.987901,5,3,119,1085096,1010140055,Midtown-Midtown South                                                      ,"{'latitude': '40.757309', 'needs_recoding': False, 'longitude': '-73.987901', 'human_address': '{""address"":""250 W 43rd St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Shula's Steakhouse,Full Serve,Steakhouse,250 W 43rd St,2122012776,http://www.donshula.com,1,10036,40.757309,-73.987901,5,3,119,1085096,1010140055,Midtown-Midtown South                                                      ,"{'latitude': '40.757309', 'needs_recoding': False, 'longitude': '-73.987901', 'human_address': '{""address"":""250 W 43rd St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Scarlatto,Full Serve,Italian,250 W 47th St,212 730-4535,scarlattonyc.com,1,10036,40.759892,-73.986276,5,3,125,1024744,1010180054,Midtown-Midtown South                                                      ,"{'latitude': '40.759892', 'needs_recoding': False, 'longitude': '-73.986276', 'human_address': '{""address"":""250 W 47th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Toloache,Full Serve,Mexican,251 W 50th St,(212) 581-1818 ,www.toloachenyc.com,1,10019,40.761851,-73.985041,5,3,131,1024814,1010220101,Midtown-Midtown South                                                      ,"{'latitude': '40.761851', 'needs_recoding': False, 'longitude': '-73.985041', 'human_address': '{""address"":""251 W 50th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Bluechili,Full Serve,Pan Asian,251 W 51st St,(212) 246-3330,www.bluechilinyc.com,1,10019,40.762477,-73.984586,5,3,131,1024815,1010230005,Midtown-Midtown South                                                      ,"{'latitude': '40.762477', 'needs_recoding': False, 'longitude': '-73.984586', 'human_address': '{""address"":""251 W 51st St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Pergola des Artistes,Full Serve,French,252 W 46th St,2123027500,pergoladesartistes.com,1,10036,40.759261,-73.986695,5,3,119,1024729,1010170057,Midtown-Midtown South                                                      ,"{'latitude': '40.759261', 'needs_recoding': False, 'longitude': '-73.986695', 'human_address': '{""address"":""252 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Trattoria Trecolori,Full Serve,Italian,254 W 47th St,(212) 997-4540,,1,10036,40.759919,-73.986348,5,3,125,1024746,1010180056,Midtown-Midtown South                                                      ,"{'latitude': '40.759919', 'needs_recoding': False, 'longitude': '-73.986348', 'human_address': '{""address"":""254 W 47th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Russian Samovar Restaurant,Full Serve,Russian,256 W 52nd St,(212) 757-0168,,1,10019,40.763111,-73.984192,5,3,131,1024821,1010230059,Midtown-Midtown South                                                      ,"{'latitude': '40.763111', 'needs_recoding': False, 'longitude': '-73.984192', 'human_address': '{""address"":""256 W 52nd St"",""city"":"""",""state"":"""",""zip"":""""}'}"
John's Pizzeria,Full Serve,Pizza,260 W 44th St,(212) 391-7560,www.johnpizzerianyc.com,1,10036,40.758124,-73.987897,5,3,119,1024710,1010150059,Midtown-Midtown South                                                      ,"{'latitude': '40.758124', 'needs_recoding': False, 'longitude': '-73.987897', 'human_address': '{""address"":""260 W 44th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Just Pies Inc,Quick Serve,Dessert,260 W 44th St,2127217001,,1,10036,40.758124,-73.987897,5,3,119,1024710,1010150059,Midtown-Midtown South                                                      ,"{'latitude': '40.758124', 'needs_recoding': False, 'longitude': '-73.987897', 'human_address': '{""address"":""260 W 44th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Sunrise Deli,Café / Deli,,1441 Broadway,2122216490,,1,10018,40.754707,-73.986753,5,3,113,1022569,1009930055,Midtown-Midtown South                                                      ,"{'latitude': '40.754707', 'needs_recoding': False, 'longitude': '-73.986753', 'human_address': '{""address"":""1441 Broadway"",""city"":"""",""state"":"""",""zip"":""""}'}"
Restaurant Charlotte @ Millennium Broadway Hotel,Full Serve,American,145 W 44th St,212 789-7508,millenniumbroadway.com,1,10036,40.756667,-73.984396,5,4,119,1085016,1009970010,Midtown-Midtown South                                                      ,"{'latitude': '40.756667', 'needs_recoding': False, 'longitude': '-73.984396', 'human_address': '{""address"":""145 W 44th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
O'Lunney's Times Square Pub,Full Serve,American,145 W 45th St,212 840-6688,www.olunneys.com,1,10036,40.757336,-73.984017,5,4,119,1022634,1009980012,Midtown-Midtown South                                                      ,"{'latitude': '40.757336', 'needs_recoding': False, 'longitude': '-73.984017', 'human_address': '{""address"":""145 W 45th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Vacant (Juan Valdez Coffee),Coffee,,1451 Broadway,212 871-7515,,1,10036,40.755152,-73.986613,5,3,113,1086069,1009940001,Midtown-Midtown South                                                      ,"{'latitude': '40.755152', 'needs_recoding': False, 'longitude': '-73.986613', 'human_address': '{""address"":""1451 Broadway"",""city"":"""",""state"":"""",""zip"":""""}'}"
Abondanza,Café / Deli,,146 W 46th St,(212) 938-1333,,1,10036,40.757948,-73.983598,5,4,119,1022650,1009980054,Midtown-Midtown South                                                      ,"{'latitude': '40.757948', 'needs_recoding': False, 'longitude': '-73.983598', 'human_address': '{""address"":""146 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Dervish Turkish Restaurant,Full Serve,Turkish,146 W 47th St,212 997-0070,www.dervishrestaurant.com,1,10036,40.758579,-73.98315,5,4,125,1022670,1009990053,Midtown-Midtown South                                                      ,"{'latitude': '40.758579', 'needs_recoding': False, 'longitude': '-73.98315', 'human_address': '{""address"":""146 W 47th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
"Godiva Chocolatier, Inc.",Quick Serve,Dessert,1460 Broadway,(212) 840-6758,www.godiva.com,1,10036,40.754998,-73.986284,5,4,113,1022573,1009947504,Midtown-Midtown South                                                      ,"{'latitude': '40.754998', 'needs_recoding': False, 'longitude': '-73.986284', 'human_address': '{""address"":""1460 Broadway"",""city"":"""",""state"":"""",""zip"":""""}'}"
Ranch 1,Quick Serve,Fast Food,141 W 41st St,,http://www.ranch1.com/,1,10036,40.754756,-73.985956,5,4,113,1022574,1009940016,Midtown-Midtown South                                                      ,"{'latitude': '40.754756', 'needs_recoding': False, 'longitude': '-73.985956', 'human_address': '{""address"":""141 W 41st St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Scotts Food Court,Quick Serve,American,141 W 41st St,2127681111,,1,10036,40.754756,-73.985956,5,4,113,1022574,1009940016,Midtown-Midtown South                                                      ,"{'latitude': '40.754756', 'needs_recoding': False, 'longitude': '-73.985956', 'human_address': '{""address"":""141 W 41st St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Tony's Di Napoli,Full Serve,Italian,147 W 43rd Str,(212) 221-0100,www.tonysnyc.com,1,10036,40.756022,-73.984808,5,4,119,1022611,1009960009,Midtown-Midtown South                                                      ,"{'latitude': '40.756022', 'needs_recoding': False, 'longitude': '-73.984808', 'human_address': '{""address"":""147 W 43rd Str"",""city"":"""",""state"":"""",""zip"":""""}'}"
Bombay Masala Indian Restaurant,Full Serve,Indian,148 W 49th St,(212) 302-8150,www.bombaymasalany.com,1,10019,40.759847,-73.982294,5,4,125,1022698,1010010157,Midtown-Midtown South                                                      ,"{'latitude': '40.759847', 'needs_recoding': False, 'longitude': '-73.982294', 'human_address': '{""address"":""148 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Vacant (former Café Groppi),Café / Deli,,148 W 49th St,(212) 221-0082,,1,10019,40.759847,-73.982294,5,4,125,1022698,1010010157,Midtown-Midtown South                                                      ,"{'latitude': '40.759847', 'needs_recoding': False, 'longitude': '-73.982294', 'human_address': '{""address"":""148 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Ruth's Chris Steak House,Full Serve,Steakhouse,148 W 51st St,212 245-9600,,1,10020,40.761357,-73.981969,5,4,131,1022710,1010037501,Midtown-Midtown South                                                      ,"{'latitude': '40.761357', 'needs_recoding': False, 'longitude': '-73.981969', 'human_address': '{""address"":""148 W 51st St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Rosie O'Grady's Steakhouse,Full Serve,Steakhouse,149 W 46th St,212 869-0600,www.rosieogradystimessquare.com,1,10036,40.757981,-73.983627,5,4,125,1022664,1009990011,Midtown-Midtown South                                                      ,"{'latitude': '40.757981', 'needs_recoding': False, 'longitude': '-73.983627', 'human_address': '{""address"":""149 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Le Marais,Full Serve,French,150 W 46th St,(212) 869-0900,www.lemarais.net,1,10036,40.757984,-73.983677,5,4,119,1022651,1009980055,Midtown-Midtown South                                                      ,"{'latitude': '40.757984', 'needs_recoding': False, 'longitude': '-73.983677', 'human_address': '{""address"":""150 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Langan's Bar & Restaurant,Full Serve,American,150 W 47th St,(212) 869-5482,www.langans.com,1,10036,40.758612,-73.983233,5,4,125,1022671,1009990054,Midtown-Midtown South                                                      ,"{'latitude': '40.758612', 'needs_recoding': False, 'longitude': '-73.983233', 'human_address': '{""address"":""150 W 47th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Y & H Grocery,Café / Deli,,150 W 47th St,(212) 840-1659,,1,10036,40.758612,-73.983233,5,4,125,1022671,1009990054,Midtown-Midtown South                                                      ,"{'latitude': '40.758612', 'needs_recoding': False, 'longitude': '-73.983233', 'human_address': '{""address"":""150 W 47th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Bella Napoli,Full Serve,Italian,150 W 49th St,(212) 719-2819,,1,10019,40.759867,-73.982334,5,4,125,1022695,1010010058,Midtown-Midtown South                                                      ,"{'latitude': '40.759867', 'needs_recoding': False, 'longitude': '-73.982334', 'human_address': '{""address"":""150 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Osteria Al Doge,Full Serve,Italian,142 W 44th St,(212) 944-3643,www.osteria_doge.com,1,10036,40.756634,-73.984367,5,4,119,1022620,1009960051,Midtown-Midtown South                                                      ,"{'latitude': '40.756634', 'needs_recoding': False, 'longitude': '-73.984367', 'human_address': '{""address"":""142 W 44th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
St. Andrews Restaurant and Bar,Bar / Lounge,,142 W 46th St,(212) 840-8413,www.standrewsnyc.com,1,10036,40.757915,-73.983519,5,4,119,1022659,1009980152,Midtown-Midtown South                                                      ,"{'latitude': '40.757915', 'needs_recoding': False, 'longitude': '-73.983519', 'human_address': '{""address"":""142 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Pasta Lovers Trattoria,Full Serve,Italian,142 W 49th St,212 819-1155,www.pastaloversnyc.com,1,10019,40.759798,-73.982172,5,4,125,1022694,1010010055,Midtown-Midtown South                                                      ,"{'latitude': '40.759798', 'needs_recoding': False, 'longitude': '-73.982172', 'human_address': '{""address"":""142 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
John's Shanghai,Full Serve,Chinese,144 W 46th St,(212) 869-9183,,1,10036,40.757932,-73.983558,5,4,119,1022649,1009980053,Midtown-Midtown South                                                      ,"{'latitude': '40.757932', 'needs_recoding': False, 'longitude': '-73.983558', 'human_address': '{""address"":""144 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Starbucks,Coffee,,1460 Broadway,2122217515,www.starbucks.com,1,10036,40.754998,-73.986284,5,4,113,1022573,1009947504,Midtown-Midtown South                                                      ,"{'latitude': '40.754998', 'needs_recoding': False, 'longitude': '-73.986284', 'human_address': '{""address"":""1460 Broadway"",""city"":"""",""state"":"""",""zip"":""""}'}"
Virgils Real Barbecue,Full Serve,Barbecue,152 W 44th St,(212) 921-9494,www.virgilsbbq.com,1,10036,40.756716,-73.984558,5,4,119,1022621,1009960054,Midtown-Midtown South                                                      ,"{'latitude': '40.756716', 'needs_recoding': False, 'longitude': '-73.984558', 'human_address': '{""address"":""152 W 44th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Iroha,Full Serve,Japanese,152 W 49th St,212 398-9049,,1,10019,40.759883,-73.982374,5,4,125,1022696,1010010059,Midtown-Midtown South                                                      ,"{'latitude': '40.759883', 'needs_recoding': False, 'longitude': '-73.982374', 'human_address': '{""address"":""152 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Sapporo,Full Serve,Japanese,152 W 49th St,212 869-8972,,1,10019,40.759883,-73.982374,5,4,125,1022696,1010010059,Midtown-Midtown South                                                      ,"{'latitude': '40.759883', 'needs_recoding': False, 'longitude': '-73.982374', 'human_address': '{""address"":""152 W 49th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Europa Cafe,Café / Deli,,152 W 51st St,(212) 581-0152,www.euorpacafe.com,1,10019,40.761439,-73.982168,5,4,131,1022710,1010037501,Midtown-Midtown South                                                      ,"{'latitude': '40.761439', 'needs_recoding': False, 'longitude': '-73.982168', 'human_address': '{""address"":""152 W 51st St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Bar Americain,Full Serve,American,152 W 52nd St,(212) 265-9700,www.baramerican.com,1,10019,40.762005,-73.981568,5,4,131,1023157,1010040020,Midtown-Midtown South                                                      ,"{'latitude': '40.762005', 'needs_recoding': False, 'longitude': '-73.981568', 'human_address': '{""address"":""152 W 52nd St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Ruby's Diner,Full Serve,Diner,234 W 42nd St,,www.rubys.com,1,10036,40.756747,-73.988659,5,3,113,1024665,1010130012,Midtown-Midtown South                                                      ,"{'latitude': '40.756747', 'needs_recoding': False, 'longitude': '-73.988659', 'human_address': '{""address"":""234 W 42nd St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Virtigo Cafe Llc,Café / Deli,,234 W 42nd St,2122219454,,1,10036,40.756747,-73.988659,5,3,113,1024665,1010130012,Midtown-Midtown South                                                      ,"{'latitude': '40.756747', 'needs_recoding': False, 'longitude': '-73.988659', 'human_address': '{""address"":""234 W 42nd St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Aoki,Full Serve,Japanese,234 W 48th St,(212) 956-2355 ,aokinyc.com,1,10036,40.760454,-73.985655,5,3,125,1024764,1010190055,Midtown-Midtown South                                                      ,"{'latitude': '40.760454', 'needs_recoding': False, 'longitude': '-73.985655', 'human_address': '{""address"":""234 W 48th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Saigon 48,Full Serve,Vietnamese,234 W 48th St,(212) 247-8669,,1,10036,40.760454,-73.985655,5,3,125,1024764,1010190055,Midtown-Midtown South                                                      ,"{'latitude': '40.760454', 'needs_recoding': False, 'longitude': '-73.985655', 'human_address': '{""address"":""234 W 48th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Inakaya,Full Serve,Japanese,620 Eighth Ave,(212) 354-2130,,1,10018,40.756039,-73.990651,5,3,113,1087186,1010127501,Midtown-Midtown South                                                      ,"{'latitude': '40.756039', 'needs_recoding': False, 'longitude': '-73.990651', 'human_address': '{""address"":""620 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
Schnipper's Quality Kitchen,Full Serve,American,620 Eighth Ave,(212) 921-2400,http://www.schnippers.com/,1,10018,40.756039,-73.990651,5,3,113,1087186,1010127501,Midtown-Midtown South                                                      ,"{'latitude': '40.756039', 'needs_recoding': False, 'longitude': '-73.990651', 'human_address': '{""address"":""620 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
McDonald's,Quick Serve,Fast Food,1651 Broadway,2125865530,,1,10019,40.762164,-73.983575,5,3,131,1024817,1010230018,Midtown-Midtown South                                                      ,"{'latitude': '40.762164', 'needs_recoding': False, 'longitude': '-73.983575', 'human_address': '{""address"":""1651 Broadway"",""city"":"""",""state"":"""",""zip"":""""}'}"
Starbucks,Coffee,,1530 Broadway,(212) 391-2079,www.starbucks.com,1,10036,40.757674,-73.985121,5,4,119,1022624,1009970001,Midtown-Midtown South                                                      ,"{'latitude': '40.757674', 'needs_recoding': False, 'longitude': '-73.985121', 'human_address': '{""address"":""1530 Broadway"",""city"":"""",""state"":"""",""zip"":""""}'}"
Sardi's Restaurant,Full Serve,American,234-236 W 44th St,(212) 221-8440,www.sardis.com,1,10036,40.757921,-73.987421,5,3,119,1024707,1010150049,Midtown-Midtown South                                                      ,"{'latitude': '40.757921', 'needs_recoding': False, 'longitude': '-73.987421', 'human_address': '{""address"":""234-236 W 44th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Dean & Deluca,Café / Deli,,560 Broadway,(212) 869-6890,www.deandeluca.com,1,10012,40.723909,-73.998048,2,1,43,1007567,1004970018,SoHo-TriBeCa-Civic Center-Little Italy                                     ,"{'latitude': '40.723909', 'needs_recoding': False, 'longitude': '-73.998048', 'human_address': '{""address"":""560 Broadway"",""city"":"""",""state"":"""",""zip"":""""}'}"
