FlightID,Airline,FlightNumber,Origin,Destination,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DelayMinutes,DelayReason,Cancelled,Diverted,AircraftType,TailNumber,Distance
320229,Southwest,0299,ATL,SFO,2024-09-01 09:56:00,2024-09-01 09:59:00,2024-09-01 11:56:00,2024-09-01 12:12:00,16,Weather,true,false,Airbus A320,N80165,1368
244090,Southwest,9499,JFK,JFK,2024-09-01 12:50:00,2024-09-01 13:01:00,2024-09-01 14:50:00,2024-09-01 14:52:00,2,Air Traffic Control,false,false,Boeing 737,N86201,2237
150652,Delta,5348,LAX,BOS,2024-09-01 20:54:00,2024-09-01 20:56:00,2024-09-01 21:54:00,2024-09-01 21:56:00,2,Maintenance,false,true,Boeing 737,N57648,1366
100746,United,2056,JFK,MIA,2024-09-01 16:22:00,2024-09-01 16:31:00,2024-09-01 19:22:00,2024-09-01 19:37:00,15,Maintenance,false,false,Boeing 777,N72143,890
196634,American Airlines,0092,JFK,SFO,2024-09-01 17:03:00,2024-09-01 17:08:00,2024-09-01 19:03:00,2024-09-01 18:58:00,-5,,true,false,Boeing 777,N21648,2881
1389042,Delta,2963,DFW,MIA,2024-09-01 09:03:00,2024-09-01 09:15:00,2024-09-01 13:03:00,2024-09-01 13:05:00,2,Air Traffic Control,true,true,Boeing 777,N88286,340
1189192,United,9577,DFW,SEA,2024-09-01 13:15:00,2024-09-01 13:23:00,2024-09-01 14:15:00,2024-09-01 14:44:00,29,Weather,false,true,Airbus A320,N72463,2812
724810,Delta,1532,JFK,BOS,2024-09-01 05:10:00,2024-09-01 05:37:00,2024-09-01 10:10:00,2024-09-01 10:09:00,-1,,false,false,Boeing 777,N51528,2858
230574,Southwest,0917,LAX,SEA,2024-09-01 22:22:00,2024-09-01 22:51:00,2024-09-02 04:22:00,2024-09-02 04:44:00,22,Weather,true,true,Boeing 777,N64154,2445
1284922,Southwest,9690,JFK,BOS,2024-09-01 23:09:00,2024-09-01 23:39:00,2024-09-02 01:09:00,2024-09-02 01:23:00,14,Air Traffic Control,true,false,Boeing 777,N25198,762
689396,United,0790,JFK,MIA,2024-09-01 23:41:00,2024-09-01 23:58:00,2024-09-02 05:41:00,2024-09-02 05:42:00,1,Maintenance,true,false,Boeing 777,N39438,1639
1743195,Delta,5307,ATL,SEA,2024-09-01 06:03:00,2024-09-01 06:12:00,2024-09-01 08:03:00,2024-09-01 08:20:00,17,Air Traffic Control,true,true,Boeing 777,N89777,2785
198369,United,3801,LAX,SFO,2024-09-01 11:06:00,2024-09-01 11:19:00,2024-09-01 13:06:00,2024-09-01 13:10:00,4,Weather,true,true,Boeing 777,N38177,2245
659251,American Airlines,2136,DFW,MIA,2024-09-01 10:31:00,2024-09-01 10:54:00,2024-09-01 13:31:00,2024-09-01 13:44:00,13,Weather,false,true,Airbus A320,N39700,456
1323759,Delta,1581,ATL,SEA,2024-09-01 23:31:00,2024-09-01 23:34:00,2024-09-02 01:31:00,2024-09-02 01:28:00,-3,,true,true,Airbus A320,N91647,1418
1442579,Southwest,2774,ORD,SEA,2024-09-01 08:45:00,2024-09-01 09:02:00,2024-09-01 10:45:00,2024-09-01 10:46:00,1,Air Traffic Control,true,false,Boeing 737,N55290,1231
550016,Southwest,0131,ORD,SFO,2024-09-01 05:46:00,2024-09-01 06:01:00,2024-09-01 10:46:00,2024-09-01 10:53:00,7,Air Traffic Control,false,false,Airbus A320,N69133,2435
1506346,United,5486,LAX,SEA,2024-09-01 14:38:00,2024-09-01 15:07:00,2024-09-01 19:38:00,2024-09-01 19:44:00,6,Weather,false,true,Boeing 777,N20055,2486
236550,American Airlines,6998,LAX,SEA,2024-09-01 02:31:00,2024-09-01 02:55:00,2024-09-01 08:31:00,2024-09-01 08:28:00,-3,,false,false,Airbus A320,N21820,700
1293425,United,1350,DFW,JFK,2024-09-01 13:47:00,2024-09-01 14:11:00,2024-09-01 14:47:00,2024-09-01 15:16:00,29,Air Traffic Control,false,false,Boeing 777,N47307,695
1083174,Delta,5785,ORD,MIA,2024-09-01 20:14:00,2024-09-01 20:33:00,2024-09-01 22:14:00,2024-09-01 22:44:00,30,Air Traffic Control,false,true,Boeing 737,N89420,1191
560904,United,0113,LAX,BOS,2024-09-01 11:12:00,2024-09-01 11:24:00,2024-09-01 17:12:00,2024-09-01 17:29:00,17,Air Traffic Control,false,false,Boeing 737,N47158,1746
1340107,American Airlines,1597,DFW,MIA,2024-09-01 23:07:00,2024-09-01 23:14:00,2024-09-02 02:07:00,2024-09-02 01:59:00,-8,,false,true,Boeing 737,N14280,768
779559,Southwest,2987,DFW,SFO,2024-09-01 11:23:00,2024-09-01 11:40:00,2024-09-01 15:23:00,2024-09-01 15:16:00,-7,,false,false,Boeing 737,N93762,2187
1699329,Delta,2284,ORD,SFO,2024-09-01 19:20:00,2024-09-01 19:41:00,2024-09-02 00:20:00,2024-09-02 00:44:00,24,Weather,false,true,Airbus A320,N89977,399
684433,Southwest,3815,LAX,JFK,2024-09-01 04:22:00,2024-09-01 04:52:00,2024-09-01 06:22:00,2024-09-01 06:14:00,-8,,false,false,Boeing 777,N84072,648
245751,American Airlines,1963,DFW,BOS,2024-09-01 19:49:00,2024-09-01 19:51:00,2024-09-02 01:49:00,2024-09-02 02:00:00,11,Air Traffic Control,true,true,Boeing 777,N35088,2001
1061633,American Airlines,3547,ORD,JFK,2024-09-01 15:54:00,2024-09-01 15:58:00,2024-09-01 19:54:00,2024-09-01 19:46:00,-8,,false,true,Boeing 737,N85090,1088
221169,American Airlines,2894,ATL,SEA,2024-09-01 10:45:00,2024-09-01 11:07:00,2024-09-01 14:45:00,2024-09-01 15:01:00,16,Air Traffic Control,false,true,Boeing 737,N66281,1369
1095789,American Airlines,2767,ATL,SEA,2024-09-01 13:51:00,2024-09-01 14:02:00,2024-09-01 15:51:00,2024-09-01 16:15:00,24,Maintenance,true,true,Boeing 737,N40151,1895
1431615,Southwest,7237,DFW,BOS,2024-09-01 02:24:00,2024-09-01 02:38:00,2024-09-01 04:24:00,2024-09-01 04:50:00,26,Maintenance,true,false,Boeing 777,N61205,437
1442500,United,0120,JFK,JFK,2024-09-01 07:15:00,2024-09-01 07:39:00,2024-09-01 11:15:00,2024-09-01 11:09:00,-6,,false,false,Airbus A320,N11986,143
1406512,American Airlines,8033,DFW,JFK,2024-09-01 06:23:00,2024-09-01 06:24:00,2024-09-01 09:23:00,2024-09-01 09:33:00,10,Weather,false,true,Airbus A320,N31331,2838
1418965,American Airlines,2843,ORD,SFO,2024-09-01 07:08:00,2024-09-01 07:08:00,2024-09-01 08:08:00,2024-09-01 08:33:00,25,Maintenance,true,true,Boeing 777,N66502,747
502811,United,1270,ATL,JFK,2024-09-01 08:59:00,2024-09-01 09:16:00,2024-09-01 13:59:00,2024-09-01 13:59:00,0,,true,true,Boeing 737,N50965,2202
1363536,American Airlines,8645,LAX,SEA,2024-09-01 14:28:00,2024-09-01 14:50:00,2024-09-01 20:28:00,2024-09-01 20:35:00,7,Maintenance,true,false,Boeing 737,N99723,1779
343244,Delta,2441,DFW,SFO,2024-09-01 17:18:00,2024-09-01 17:47:00,2024-09-01 23:18:00,2024-09-01 23:22:00,4,Maintenance,false,false,Airbus A320,N95822,2171
1454267,United,1879,ORD,BOS,2024-09-01 00:50:00,2024-09-01 01:00:00,2024-09-01 03:50:00,2024-09-01 03:48:00,-2,,true,false,Boeing 777,N87119,2753
084353,Delta,8030,JFK,SFO,2024-09-01 07:02:00,2024-09-01 07:21:00,2024-09-01 13:02:00,2024-09-01 13:32:00,30,Weather,true,false,Airbus A320,N55042,1298
042560,American Airlines,9866,ORD,SEA,2024-09-01 06:09:00,2024-09-01 06:18:00,2024-09-01 12:09:00,2024-09-01 12:02:00,-7,,false,true,Boeing 777,N54521,2220
1476332,Delta,6185,LAX,SFO,2024-09-01 04:06:00,2024-09-01 04:28:00,2024-09-01 06:06:00,2024-09-01 06:25:00,19,Maintenance,false,true,Airbus A320,N11261,1112
385136,American Airlines,7398,ORD,SEA,2024-09-01 03:24:00,2024-09-01 03:46:00,2024-09-01 06:24:00,2024-09-01 06:49:00,25,Weather,false,true,Boeing 777,N33310,542
130733,Southwest,6469,DFW,SFO,2024-09-01 11:49:00,2024-09-01 12:08:00,2024-09-01 15:49:00,2024-09-01 15:50:00,1,Weather,false,true,Boeing 737,N84841,1289
135255,Delta,6506,ORD,SFO,2024-09-01 13:03:00,2024-09-01 13:31:00,2024-09-01 14:03:00,2024-09-01 13:59:00,-4,,true,false,Boeing 777,N18680,1199
784013,Southwest,7784,JFK,JFK,2024-09-01 08:22:00,2024-09-01 08:33:00,2024-09-01 13:22:00,2024-09-01 13:41:00,19,Weather,true,true,Airbus A320,N59505,781
117052,Delta,3834,ORD,MIA,2024-09-01 15:11:00,2024-09-01 15:23:00,2024-09-01 19:11:00,2024-09-01 19:11:00,0,,true,false,Boeing 777,N79674,1867
780781,American Airlines,7920,ATL,SFO,2024-09-01 03:16:00,2024-09-01 03:39:00,2024-09-01 07:16:00,2024-09-01 07:08:00,-8,,false,false,Airbus A320,N42734,823
932087,United,0061,LAX,MIA,2024-09-01 19:20:00,2024-09-01 19:30:00,2024-09-01 23:20:00,2024-09-01 23:24:00,4,Weather,false,false,Boeing 777,N88087,1782
1065007,Southwest,3166,JFK,SFO,2024-09-01 07:06:00,2024-09-01 07:12:00,2024-09-01 13:06:00,2024-09-01 13:00:00,-6,,true,false,Airbus A320,N63675,1039
1018888,American Airlines,3069,DFW,JFK,2024-09-01 03:48:00,2024-09-01 03:58:00,2024-09-01 04:48:00,2024-09-01 05:18:00,30,Maintenance,false,false,Airbus A320,N26842,1422
690518,Delta,7459,ATL,JFK,2024-09-01 20:22:00,2024-09-01 20:29:00,2024-09-02 00:22:00,2024-09-02 00:35:00,13,Maintenance,true,true,Airbus A320,N48939,2917
1186355,American Airlines,3645,DFW,MIA,2024-09-01 07:21:00,2024-09-01 07:47:00,2024-09-01 08:21:00,2024-09-01 08:43:00,22,Air Traffic Control,true,true,Boeing 777,N63764,2254
732902,American Airlines,3406,ATL,MIA,2024-09-01 23:06:00,2024-09-01 23:14:00,2024-09-02 04:06:00,2024-09-02 04:31:00,25,Maintenance,false,true,Boeing 737,N18775,1232
744651,American Airlines,8053,LAX,JFK,2024-09-01 13:31:00,2024-09-01 13:50:00,2024-09-01 19:31:00,2024-09-01 19:22:00,-9,,true,true,Boeing 737,N77195,1814
447991,American Airlines,6416,LAX,BOS,2024-09-01 10:08:00,2024-09-01 10:32:00,2024-09-01 14:08:00,2024-09-01 14:27:00,19,Maintenance,true,false,Boeing 777,N90357,1575
972273,American Airlines,4742,ORD,SFO,2024-09-01 16:54:00,2024-09-01 16:58:00,2024-09-01 20:54:00,2024-09-01 20:53:00,-1,,false,false,Airbus A320,N44925,1737
1300924,United,0809,DFW,SEA,2024-09-01 11:35:00,2024-09-01 11:53:00,2024-09-01 15:35:00,2024-09-01 15:47:00,12,Maintenance,false,false,Airbus A320,N53058,1753
519849,Southwest,7641,ATL,JFK,2024-09-01 05:34:00,2024-09-01 05:43:00,2024-09-01 08:34:00,2024-09-01 08:34:00,0,,true,true,Airbus A320,N34723,728
1069579,Delta,3112,ATL,SFO,2024-09-01 23:33:00,2024-09-01 23:58:00,2024-09-02 00:33:00,2024-09-02 00:31:00,-2,,true,true,Airbus A320,N97934,1274
1413107,Southwest,4376,LAX,MIA,2024-09-01 10:52:00,2024-09-01 11:10:00,2024-09-01 12:52:00,2024-09-01 12:49:00,-3,,false,true,Airbus A320,N70286,782
1250148,Southwest,9363,LAX,JFK,2024-09-01 05:10:00,2024-09-01 05:11:00,2024-09-01 07:10:00,2024-09-01 07:32:00,22,Weather,true,false,Boeing 777,N56696,2174
514112,United,6506,LAX,MIA,2024-09-01 19:11:00,2024-09-01 19:18:00,2024-09-01 23:11:00,2024-09-01 23:26:00,15,Maintenance,true,true,Boeing 737,N40346,1576
1671746,United,0499,JFK,SEA,2024-09-01 18:33:00,2024-09-01 18:41:00,2024-09-01 20:33:00,2024-09-01 20:24:00,-9,,false,true,Airbus A320,N63354,2748
527174,United,7889,ORD,BOS,2024-09-01 15:37:00,2024-09-01 16:06:00,2024-09-01 20:37:00,2024-09-01 20:41:00,4,Air Traffic Control,true,false,Boeing 737,N87661,675
788316,United,1391,LAX,BOS,2024-09-01 15:43:00,2024-09-01 16:12:00,2024-09-01 18:43:00,2024-09-01 18:50:00,7,Weather,true,false,Boeing 737,N55391,2086
285518,Delta,3295,LAX,MIA,2024-09-01 04:17:00,2024-09-01 04:44:00,2024-09-01 06:17:00,2024-09-01 06:40:00,23,Air Traffic Control,true,false,Boeing 737,N22385,2246
617529,United,2109,DFW,SEA,2024-09-01 09:44:00,2024-09-01 10:06:00,2024-09-01 13:44:00,2024-09-01 14:09:00,25,Maintenance,true,false,Airbus A320,N46498,776
039090,Delta,9632,DFW,JFK,2024-09-01 18:09:00,2024-09-01 18:09:00,2024-09-01 19:09:00,2024-09-01 19:16:00,7,Air Traffic Control,false,true,Boeing 737,N94806,1794
619598,United,3423,JFK,SEA,2024-09-01 08:51:00,2024-09-01 08:52:00,2024-09-01 12:51:00,2024-09-01 12:52:00,1,Air Traffic Control,true,true,Boeing 777,N31344,2953
023650,United,8196,LAX,SEA,2024-09-01 14:33:00,2024-09-01 14:52:00,2024-09-01 17:33:00,2024-09-01 17:23:00,-10,,true,false,Boeing 737,N63304,2416
1211639,Delta,5517,ATL,SFO,2024-09-01 23:12:00,2024-09-01 23:34:00,2024-09-02 05:12:00,2024-09-02 05:35:00,23,Weather,true,false,Airbus A320,N45776,1318
359389,Delta,2752,ATL,BOS,2024-09-01 16:46:00,2024-09-01 17:14:00,2024-09-01 20:46:00,2024-09-01 21:00:00,14,Air Traffic Control,true,false,Boeing 737,N72376,2081
629966,United,4926,DFW,MIA,2024-09-01 11:08:00,2024-09-01 11:28:00,2024-09-01 17:08:00,2024-09-01 17:21:00,13,Maintenance,false,true,Airbus A320,N50690,2101
663617,United,7869,DFW,SEA,2024-09-01 04:04:00,2024-09-01 04:20:00,2024-09-01 05:04:00,2024-09-01 05:13:00,9,Weather,true,false,Boeing 737,N98242,1704
729296,American Airlines,4438,JFK,SEA,2024-09-01 09:44:00,2024-09-01 09:55:00,2024-09-01 14:44:00,2024-09-01 14:54:00,10,Weather,true,true,Airbus A320,N75281,2909
774121,American Airlines,9668,JFK,JFK,2024-09-01 19:44:00,2024-09-01 19:55:00,2024-09-01 22:44:00,2024-09-01 23:07:00,23,Maintenance,false,false,Boeing 737,N47353,2510
1515604,Southwest,9765,LAX,MIA,2024-09-01 12:12:00,2024-09-01 12:18:00,2024-09-01 15:12:00,2024-09-01 15:39:00,27,Air Traffic Control,true,true,Boeing 737,N86913,1500
808409,American Airlines,5921,ATL,MIA,2024-09-01 20:24:00,2024-09-01 20:41:00,2024-09-01 23:24:00,2024-09-01 23:31:00,7,Air Traffic Control,false,false,Airbus A320,N13129,2275
678189,Southwest,3370,ATL,SEA,2024-09-01 15:13:00,2024-09-01 15:30:00,2024-09-01 19:13:00,2024-09-01 19:19:00,6,Weather,true,true,Boeing 777,N66188,852
1463683,Southwest,1646,LAX,JFK,2024-09-01 20:33:00,2024-09-01 20:44:00,2024-09-02 00:33:00,2024-09-02 00:27:00,-6,,true,true,Airbus A320,N27301,2517
1127070,Southwest,8221,ORD,MIA,2024-09-01 04:50:00,2024-09-01 05:04:00,2024-09-01 10:50:00,2024-09-01 10:49:00,-1,,false,true,Airbus A320,N79337,1629
679227,United,1927,JFK,SEA,2024-09-01 22:14:00,2024-09-01 22:21:00,2024-09-01 23:14:00,2024-09-01 23:16:00,2,Maintenance,false,true,Boeing 777,N49211,2060
620859,American Airlines,8019,DFW,JFK,2024-09-01 03:43:00,2024-09-01 03:51:00,2024-09-01 05:43:00,2024-09-01 05:59:00,16,Weather,false,false,Boeing 777,N85052,2846
340864,United,1319,JFK,SEA,2024-09-01 12:37:00,2024-09-01 12:59:00,2024-09-01 17:37:00,2024-09-01 18:04:00,27,Maintenance,true,true,Boeing 777,N19499,877
320638,American Airlines,1312,ATL,BOS,2024-09-01 12:13:00,2024-09-01 12:33:00,2024-09-01 18:13:00,2024-09-01 18:03:00,-10,,false,false,Boeing 737,N24807,312
1724242,American Airlines,6441,DFW,JFK,2024-09-01 21:38:00,2024-09-01 21:42:00,2024-09-02 03:38:00,2024-09-02 03:37:00,-1,,true,true,Boeing 777,N53102,1310
1657390,American Airlines,6684,ATL,BOS,2024-09-01 01:33:00,2024-09-01 01:35:00,2024-09-01 04:33:00,2024-09-01 04:59:00,26,Maintenance,true,false,Boeing 777,N29056,1155
1515332,American Airlines,9534,DFW,SFO,2024-09-01 17:50:00,2024-09-01 18:20:00,2024-09-01 20:50:00,2024-09-01 20:58:00,8,Weather,true,true,Boeing 777,N48722,406
129898,Southwest,8714,ORD,SEA,2024-09-01 06:50:00,2024-09-01 07:02:00,2024-09-01 11:50:00,2024-09-01 11:57:00,7,Weather,true,true,Airbus A320,N85790,1280
1399302,American Airlines,7983,ATL,BOS,2024-09-01 09:44:00,2024-09-01 10:14:00,2024-09-01 10:44:00,2024-09-01 11:13:00,29,Maintenance,true,false,Boeing 737,N10774,2303
065969,American Airlines,4652,DFW,SFO,2024-09-01 07:53:00,2024-09-01 08:16:00,2024-09-01 10:53:00,2024-09-01 11:01:00,8,Maintenance,false,true,Airbus A320,N20104,2603
1737904,American Airlines,1138,ORD,SFO,2024-09-01 08:32:00,2024-09-01 08:47:00,2024-09-01 13:32:00,2024-09-01 13:56:00,24,Weather,true,false,Boeing 737,N99942,849
1135311,American Airlines,3724,DFW,MIA,2024-09-01 14:33:00,2024-09-01 14:46:00,2024-09-01 17:33:00,2024-09-01 17:23:00,-10,,true,false,Boeing 777,N72406,297
877241,American Airlines,2491,DFW,BOS,2024-09-01 11:06:00,2024-09-01 11:21:00,2024-09-01 17:06:00,2024-09-01 17:04:00,-2,,false,false,Boeing 737,N96257,1684
606441,Delta,5982,ORD,SEA,2024-09-01 08:26:00,2024-09-01 08:26:00,2024-09-01 12:26:00,2024-09-01 12:49:00,23,Weather,true,true,Boeing 737,N60317,1691
307064,American Airlines,3345,DFW,SEA,2024-09-01 02:52:00,2024-09-01 02:56:00,2024-09-01 04:52:00,2024-09-01 04:49:00,-3,,true,false,Boeing 777,N18953,2241
062116,Delta,0126,JFK,JFK,2024-09-01 23:41:00,2024-09-02 00:04:00,2024-09-02 04:41:00,2024-09-02 04:53:00,12,Air Traffic Control,true,true,Boeing 777,N62461,2239
886086,Delta,1224,JFK,BOS,2024-09-01 23:10:00,2024-09-01 23:31:00,2024-09-02 01:10:00,2024-09-02 01:37:00,27,Weather,false,false,Boeing 777,N14223,2767
1103979,American Airlines,1505,ATL,SFO,2024-09-01 01:25:00,2024-09-01 01:42:00,2024-09-01 07:25:00,2024-09-01 07:41:00,16,Air Traffic Control,true,false,Boeing 777,N71204,1968
1270581,American Airlines,6108,LAX,SEA,2024-09-01 14:54:00,2024-09-01 15:14:00,2024-09-01 20:54:00,2024-09-01 21:22:00,28,Maintenance,false,false,Airbus A320,N81791,2319
1208679,United,1464,JFK,SEA,2024-09-01 09:08:00,2024-09-01 09:10:00,2024-09-01 10:08:00,2024-09-01 10:14:00,6,Air Traffic Control,true,true,Boeing 777,N49870,2908
573119,American Airlines,0417,JFK,SFO,2024-09-01 17:47:00,2024-09-01 18:09:00,2024-09-01 22:47:00,2024-09-01 23:11:00,24,Maintenance,false,true,Airbus A320,N80232,2175
935886,Delta,8718,LAX,SFO,2024-09-01 08:11:00,2024-09-01 08:40:00,2024-09-01 11:11:00,2024-09-01 11:13:00,2,Maintenance,false,true,Airbus A320,N39856,518
417461,American Airlines,9636,JFK,SEA,2024-09-01 19:12:00,2024-09-01 19:39:00,2024-09-01 20:12:00,2024-09-01 20:37:00,25,Maintenance,false,false,Airbus A320,N30484,1915
538601,United,4272,JFK,SEA,2024-09-01 22:19:00,2024-09-01 22:32:00,2024-09-02 04:19:00,2024-09-02 04:39:00,20,Maintenance,false,false,Boeing 777,N22221,1770
872041,American Airlines,9249,ORD,JFK,2024-09-01 08:24:00,2024-09-01 08:51:00,2024-09-01 11:24:00,2024-09-01 11:53:00,29,Maintenance,false,true,Boeing 737,N47735,734
1181167,American Airlines,1298,DFW,BOS,2024-09-01 05:04:00,2024-09-01 05:11:00,2024-09-01 11:04:00,2024-09-01 11:16:00,12,Air Traffic Control,true,false,Boeing 737,N75008,2243
295744,American Airlines,7834,ATL,SFO,2024-09-01 04:21:00,2024-09-01 04:23:00,2024-09-01 10:21:00,2024-09-01 10:25:00,4,Air Traffic Control,true,true,Airbus A320,N23002,1487
1158526,Southwest,3334,ATL,MIA,2024-09-01 19:05:00,2024-09-01 19:21:00,2024-09-01 21:05:00,2024-09-01 21:16:00,11,Maintenance,false,true,Boeing 737,N74731,944
439379,Southwest,2389,ORD,SFO,2024-09-01 15:11:00,2024-09-01 15:22:00,2024-09-01 16:11:00,2024-09-01 16:24:00,13,Maintenance,true,true,Boeing 737,N85314,629
1170551,Southwest,2722,ORD,SFO,2024-09-01 09:23:00,2024-09-01 09:37:00,2024-09-01 10:23:00,2024-09-01 10:36:00,13,Air Traffic Control,false,true,Boeing 777,N25899,2046
1221718,Southwest,5042,DFW,JFK,2024-09-01 08:47:00,2024-09-01 08:56:00,2024-09-01 13:47:00,2024-09-01 13:48:00,1,Maintenance,false,true,Boeing 777,N99247,522
176189,American Airlines,3775,DFW,SEA,2024-09-01 16:18:00,2024-09-01 16:37:00,2024-09-01 21:18:00,2024-09-01 21:26:00,8,Air Traffic Control,true,false,Boeing 737,N13758,361
347975,Delta,5373,ORD,JFK,2024-09-01 06:29:00,2024-09-01 06:53:00,2024-09-01 08:29:00,2024-09-01 08:46:00,17,Air Traffic Control,true,true,Airbus A320,N83600,1808
217410,American Airlines,5495,ATL,SEA,2024-09-01 20:37:00,2024-09-01 20:46:00,2024-09-02 02:37:00,2024-09-02 02:59:00,22,Weather,true,true,Airbus A320,N51906,891
1365598,Delta,3955,JFK,SFO,2024-09-01 10:51:00,2024-09-01 11:09:00,2024-09-01 11:51:00,2024-09-01 12:08:00,17,Air Traffic Control,false,false,Boeing 777,N14143,781
1314155,American Airlines,0840,JFK,SFO,2024-09-01 12:40:00,2024-09-01 13:05:00,2024-09-01 15:40:00,2024-09-01 16:06:00,26,Air Traffic Control,true,true,Airbus A320,N42509,2650
893648,American Airlines,8831,ATL,MIA,2024-09-01 10:59:00,2024-09-01 11:19:00,2024-09-01 14:59:00,2024-09-01 14:49:00,-10,,false,true,Boeing 737,N46515,2730
052592,Delta,2362,DFW,SFO,2024-09-01 00:23:00,2024-09-01 00:37:00,2024-09-01 06:23:00,2024-09-01 06:16:00,-7,,false,false,Boeing 737,N40825,649
1338461,Delta,0006,LAX,SFO,2024-09-01 17:19:00,2024-09-01 17:31:00,2024-09-01 19:19:00,2024-09-01 19:42:00,23,Air Traffic Control,false,true,Boeing 737,N26199,2636
688560,American Airlines,3732,DFW,BOS,2024-09-01 14:40:00,2024-09-01 14:48:00,2024-09-01 20:40:00,2024-09-01 20:32:00,-8,,true,false,Airbus A320,N22717,100
301528,American Airlines,9651,ATL,MIA,2024-09-01 23:25:00,2024-09-01 23:27:00,2024-09-02 03:25:00,2024-09-02 03:53:00,28,Maintenance,false,true,Airbus A320,N71022,2031
525348,Southwest,1557,ORD,JFK,2024-09-01 21:40:00,2024-09-01 22:09:00,2024-09-02 01:40:00,2024-09-02 01:58:00,18,Weather,false,true,Boeing 777,N50760,1989
1482620,Delta,1661,ORD,SFO,2024-09-01 11:13:00,2024-09-01 11:32:00,2024-09-01 12:13:00,2024-09-01 12:18:00,5,Maintenance,true,true,Boeing 737,N53784,1224
427840,American Airlines,1380,ATL,BOS,2024-09-01 12:26:00,2024-09-01 12:54:00,2024-09-01 16:26:00,2024-09-01 16:44:00,18,Maintenance,true,true,Airbus A320,N69217,1579
306469,United,2111,LAX,MIA,2024-09-01 04:40:00,2024-09-01 05:04:00,2024-09-01 06:40:00,2024-09-01 06:44:00,4,Maintenance,true,false,Airbus A320,N47726,2279
320987,United,9746,DFW,BOS,2024-09-01 23:30:00,2024-09-01 23:52:00,2024-09-02 02:30:00,2024-09-02 02:47:00,17,Maintenance,true,false,Boeing 737,N78033,1553
1318134,American Airlines,7359,ATL,SFO,2024-09-01 11:42:00,2024-09-01 12:10:00,2024-09-01 17:42:00,2024-09-01 17:50:00,8,Weather,true,true,Airbus A320,N21251,2241
707665,Delta,3752,ATL,BOS,2024-09-01 23:42:00,2024-09-01 23:58:00,2024-09-02 03:42:00,2024-09-02 03:41:00,-1,,true,true,Airbus A320,N24119,1762
1390155,Southwest,8544,DFW,SEA,2024-09-01 16:13:00,2024-09-01 16:38:00,2024-09-01 21:13:00,2024-09-01 21:27:00,14,Weather,false,true,Airbus A320,N29555,2311
