source_column,match_column
0090.PED_SIGNAL_PRES,
0049_comma.BusinessTradeName,0028.Trade Name
0090.EVNT_TYPE,
0049_comma.BusinessName,0028.Trade Name
0090.EVNT_MAP,
0049_comma.LicenceRevisionNumber,
0090.EVNT_LON,
0049_comma.LicenceNumber,0028.Licence Number
0090.EVNT_LAT,
0049_comma.LicenceRSN,0028.Licence Number
0090.DATE,
0049_comma.FOLDERYEAR,
0090.INSPECTOR,
0090.QUAD,
0090.CRST,
0090.ONST,
0090.INTERSECTIONID,
0046.geometry,
0097.Location,
0046.ObjectId,
0097.Site ID,
0046.Long,
0097.Longitude,
0046.Lat,
0097.Latitude,
0046.Neighbourhood,
0097.Park Name,
0046.Hood_ID,
0097.Council District,
0046.Status,
0097.Site,
0046.Cost_of_Bike,
0097.Side,
0046.Bike_Colour,
0097.Street,
0046.Bike_Speed,
0097.Address,
0046.Bike_Type,
0097.Leaf Surface Area (in sq. ft.),
0046.Bike_Model,
0097.Property Benefits ($),
0046.Bike_Make,
0097.Pollutants Saved (in lbs.),
0046.Premise_Type,
0097.Air Quality Benefits ($),
0046.Location_Type,
0097.Therms Saved,
0046.City,
0097.kWh Saved,
0046.Division,
0097.Energy Benefits ($),
0046.Occurrence_Time,
0097.CO2 Sequestered (in lbs.),
0046.Occurrence_Day,
0097.CO2 Avoided (in lbs.),
0046.Occurrence_Month,
0097.Greenhouse CO2 Benefits ($),
0046.Occurrence_Year,
0097.Stormwater Gallons Saved,
0046.Occurrence_Date,
0097.Stormwater Benefits ($),
0046.Primary_Offence,
0097.Total Yearly Eco Benefits ($),
0046.event_unique_id,
0097.DBH,
0046.Index_,
0097.Common Name,0081.Common Name
0046._id,
0097.Botanical Name,0081.Scientific Name
0097.Editing,
0042.geometry,0049_comma.Geom
0042.Cancellation_Date,
0042.Issue_Date,
0042.Permit_Contact_Phone_No_,
0042.Permit_Address_Ward,
0042.Permit_Address_Postal_Code,0049_comma.PostalCode
0042.Permit_Address_Unit,0049_comma.Unit
0042.Permit_Address_Street_Name,0049_comma.Street
0042.Permit_Address_Street_No,0049_comma.House
0042.Permit_Holder,0049_comma.BusinessName
0042.Permit_Class,
0042.Permit_Sticker_No,
0042.Permit_No,0049_comma.LicenceNumber
0042._id,0049_comma.LicenceRSN
0018.Summary,
0018.Officer Disciplined?,
0018.Disposition,
0018.On-duty,
0018.Fatal,
0018.Type of Weapon,
0018.Subject Weapon,
0018.Subject Age,
0018.Subject DOB,
0018.Subject Race,
0018.Subject Gender,
0018.Number of Rounds,
0018.Officer Injured,
0018.Years of SPD Service,
0018.Officer Race,
0018.Officer Gender,
0018.Rank,
0018.State,
0018.City,
0018.Latitude,0017.Latitude
0018.Longitude,0017.Longitude
0018.Blurred Address,0017.100 Block Address
0018.Date / Time,
0018.Incident Number,
"0018.FRB #",
0001.Location,0043.geometry
0088.QC_TYPE,
0001.Pay by Cash,
0088.TIME_NULL,
0001.Pay by Credit card,
0088.SAMPLE_REF_NO,
0001.Address,0043.address
0088.LON_DD_WGS84,
0001.Coordinates,0043.geometry
0088.LAT_DD_WGS84,
0001.Longitude,
0088.DATA_REF_NO,
0001.Latitude,
0088.Location,
0001.TVM Identifier,
0088.PROJECT,
0088.QC_FLAG,
0088.METHOD,
0088.SAMPLE_SITE_NO,
0088.SAMPLE_ID,
0088.FILTER,
0088.UNIT,
0088.RESULT,
0088.PARAMETER,
0088.PARAM_TYPE,
0088.MEDIUM,
0088.SITE_TYPE,
0088.SITE_NAME,
0088.SAMPLE_DATE,
0088.WATERSHED,
0041.Location,
0041.Longitude,
0041.Latitude,
0041.Sunday Close,
0041.Sunday Open,
0041.Saturday Close,
0041.Saturday Open,
0041.Friday Close,
0041.Friday Open,
0041.Thursday Close,
0041.Thursday Open,
0041.Wednesday Close,
0041.Wednesday Open,
0041.Tuesday Close,
0041.Tuesday Open,
0041.Monday Close,
0041.Monday Open,
0041.Free WiFi,
0041.Phone Number,
0041.Postal Code,0048.POSTAL_CODE
0041.Address,0048.ADDRESS_FULL
0041.Branch,
0041.Branch ID,
0091.Company Phone,0092.Company Phone
0091.Company Website,0092.Company Website
0091.Real Time Fare,0092.Real Time Fare
0091.Availability Duration,0092.Availability Duration
0091.Availability Start Time,0092.Availability Start Time
0091.Availability Start Date,0092.Availability Start Date
0091.GPS Longitude,0092.GPS Longitude
0091.GPS Latitude,0092.GPS Latitude
0091.SUMD Group,0092.SUMD Group
0091.SUMD Type,0092.SUMD Type
0091.SUMD ID,0092.SUMD ID
