_id,APPLICATION#,APPLICATION_TYPE,DATE_SUBMITTED,DESCRIPTION,HEARING_DATE,POSTAL,REFERENCE_FILE#,STATUS,STREET_DIRECTION,STREET_NAME,STREET_NUM,STREET_TYPE,X,Y
858937,18 147361 NNY 23 SA,SA,2018-04-23," The proposal is for a 32-storey residential building containing 358 units with a building height of 104 metres.  A  total of 172 parking spaces will be provided in 3 levels of underground parking accessed by a widened public north--south laneway  from Holmes Ave.  A total of 358 bicycle parking spaces will be provided on the mezzanine level (208 spaces) and the underground garage (150 spaces).     A total  gross floor area of 24,846m2 is proposed, resulting in a FSI of 4.99 x lot area.  The applicant submitted a Rental Housing Demolition application to demolish two rental dwelling units on June 19, 2018.  ",,M2N,,Closed, ,HOLMES,15,AVE,311707.497,4848408.923
858938,18 170143 STE 18 CO,CO,2018-06-01,To obtain consent for the purpose of a lot addition.,2018-09-26,M6H,B0054/18TEY,Closed, ,WARD,69,ST,309103.49,4835810.433999999
858939,18 180137 STE 14 MV,MV,2018-06-18,To permit the conversion of the parking area (84.76 m2) located at the rear of the Starbucks Coffee restaurant into a patio. The area of the outdoor patio will be 69.6 m2.,2018-10-24,M6K,A0601/18TEY,Closed,W,KING,1200,ST,310624.07,4833018.278
858940,18 181730 S53 40 TLAB,TLAB,2018-06-20,Proposal to sever the land at 7 Aragon Avenue into 2 lots for detached houses. The proposed lots are shown as PART 1 and PART 2 on the attached draft Reference Plan. Each proposed lot would have a frontage of 11.57 m on Aragon Avenue and a lot area of approximately 750 m2.,,M1T,18-181730,Decision Issued, ,ARAGON,7,AVE,320735.856,4847980.251
858941,18 181731 S45 40 TLAB,TLAB,2018-06-20,"The owner is requesting consent to sever the land at 7 Aragon Avenue into two lots, and has applied for variances for the proposed south lot, shown as Part 1 on the attached draft Reference Plan. The owner is proposing to demolish the existing dwelling and build a new single family dwelling.",,M1T,18-181731,Decision Issued, ,ARAGON,7,AVE,320735.856,4847980.251
858942,13 275495 STE 32 OZ,OZ,2013-12-09,"Toronto Community Housing Corporation (TCHC) has filed one application to amend the Official Plan and one application for Rental Housing Demolishing and Conversion, in order to facilitate the severance and sale of a total of 14 dwelling units in the two residential rental properties noted above. (See related Demo Rental Housing Control Application 13-275502 RH)",,M4E,,Closed, ,WINEVA,2,AVE,321371.256,4836196.711
858943,14 107125 000 00 MV,MV,2014-01-21,"To construct a new detached dwelling, with an integral at grade, garage. The existing dwelling would be demolished. Please be advised this application was previously before the Committee of Adjustment on March 19, 2014. It was the decision of the Committee to DEFER the application SINE DIE in order for the applicant to submit revised drawings.",2014-04-16,M6B,A041/14NY,Closed, ,GLEN PARK,402,AVE,308613.154,4840708.364
858944,13 244688 000 00 MV,MV,2013-10-02,To construct a two storey addition and a one storey addition at the rear of the existing semi-detached dwelling. A new deck will be constructed at the rear of the additions.,2013-11-06,M6G,A0754/13TEY,Closed, ,RUSHTON,148,RD,310727.274,4837348.693
858945,13 247159 WET 05 OZ,OZ,2013-10-07,Proposed amendments to the Etobicoke Zoning Code and Zoning By-law 569-2013 to permit three  27-storey residential buildings with ground floor retail uses as the first phase of the redevelopment of the larger site (FIMA lands).,,M9C,,OMB Appeal, ,NORTH QUEEN,290,ST,300148.307,4830496.722
858946,14 128688 000 00 MV,MV,2014-03-14,"The applicant is requesting to extend previously approved variances for outdoor storage areas and parking for an additional 5 years. In May 2009, the Committee of Adjustment approved variances for a period of 5 years to permit  two temporary fenced outside storage areas on the property. One storage area measuring 1,930 m² (20,750 sq. ft.) in area is located at the southwest corner of the property, and the other storage area measuring 2,750 m² (29,600 sq. ft.) in area is located on the east side of the existing building. A variance was also granted to permit 128 parking spaces on the adjacent property to the east for the applicant's operations (File A038/09SC).",2014-04-15,M1B,A049/14SC,Closed, ,MILNER,601,AVE,326900.518,4850173.183
858947,14 116571 STE 20 OZ,OZ,2014-02-12,"Proposed seven mixed use buildings with approximately 287,640 square metres of gross floor area including 104928 square metres of office space, 44741 square metres of retail space and 137971square metres of residential space.  All seven building will house at least two uses, with some buildings along Front Street West (Building 4, 5 and 6 housing all three uses.",,M5V,,Closed, ,SPADINA,6,AVE,313278.54,4833443.465
858948,14 138994 NNY 09 SA,SA,2014-04-07,Application to make revisions to existing Site Plan Control Agreement (11-317778-NNY-09-SA). ,,M3K,,Closed, ,WILSON,877,AVE,307518.583,4843181.146000001
858949,14 108496 000 00 MV,MV,2014-01-23,To construct a new mezzanine addition within Units 15 and 16.,2014-03-20,   ,A37/14EYK,Closed,W,STEELES,7003,AVE,294032.221,4845414.408
858950,13 273809 ESC 40 SA,SA,2013-12-04,"This application is to permit the development of 282 townhouse units. Site-Specific By-law No. 1022-2014 applies to the lands.
",,M1W,,Closed, ,EATON PARK,9,LANE,320076.408,4850202.206
858951,13 273809 ESC 40 SA,SA,2013-12-04,"This application is to permit the development of 282 townhouse units. Site-Specific By-law No. 1022-2014 applies to the lands.
",,M1W,,Closed, ,EATON PARK,7,LANE,,
858952,13 273809 ESC 40 SA,SA,2013-12-04,"This application is to permit the development of 282 townhouse units. Site-Specific By-law No. 1022-2014 applies to the lands.
",,M1W,,Closed, ,EATON PARK,8,LANE,,
858953,13 273809 ESC 40 SA,SA,2013-12-04,"This application is to permit the development of 282 townhouse units. Site-Specific By-law No. 1022-2014 applies to the lands.
",,M1W,,Closed, ,EATON PARK,4,LANE,,
858954,13 273809 ESC 40 SA,SA,2013-12-04,"This application is to permit the development of 282 townhouse units. Site-Specific By-law No. 1022-2014 applies to the lands.
",,M1W,,Closed, ,EATON PARK,4,LANE,,
858955,13 267925 000 00 MV,MV,2013-11-20,,2014-01-08,M4C,A0879/13TEY,Closed, ,COLERIDGE,178,AVE,319719.228,4838910.669
858956,14 133619 000 00 MV,MV,2014-03-26,To construct a new four-storey building that will be used as a healthcare facility by retaining the designated heritage building at 571 Jarvis Street (Casey House). ,2014-05-27,M4Y,A0307/14TEY,Closed, ,JARVIS,571,ST,314550.024,4836324.631
858957,13 273991 NNY 23 OZ,OZ,2013-12-04,"An application to amend the Official Plan and Zoning By-law has been submitted to permit a residential development consisting of an 8-unit townhouse, which would be accessed from Willowdale Avenue. The development would have a proposed floor space index (FSI) of 1.18 and would front onto Empress Avenue.",,M2N,,Closed, ,EMPRESS,191,AVE,312569.395,4847697.377
858958,14 134152 000 00 MV,MV,2014-03-27,"To undertake interior alterations to convert the existing row house to a converted house with three dwelling units; and, to construct a new two-storey accessory building at the rear to be used as a garage and storage.",2014-06-11,M6J,A0312/14TEY,Closed, ,ROBINSON,4,ST,312427.807,4834110.217
858959,14 259155 000 00 MV,MV,2014-12-02,"To construct a new detached two-storey dwelling with an integral garage.  The existing dwelling would be demolished.  Applications B074/14NY, B075/14NY, A944/14NY, A945/14NY,  and A946/14NY will be considered jointly.",2015-03-05,M6B,A946/14NY,Closed, ,CLAVER,35,AVE,308634.162,4841188.001
858960,14 267095 000 00 MV,MV,2014-12-23,To construct a new two-storey front addition with covered front porch to the existing two-storey detached house.,2015-02-11,M4L,A1180/14TEY,Closed, ,EASTWOOD,130,RD,319743.081,4836942.204
858961,15 145265 STE 32 SA,SA,2015-04-22,"Site Plan Approval application to construct an 8 storey, mide-rise building with commercial at grade with 96 residential units. ",,M4L,,Closed,E,QUEEN,1339,ST,318782.602,4835785.353
858962,15 144533 000 00 MV,MV,2015-04-21,"To construct a one-storey rear addition, a second storey addition, a basement secondary suite, a side basement walk-out, and to extend the existing rear deck.",2015-05-21,M9M,A243/15EYK,Closed, ,SUNSET,5,TRL,301835.67699999997,4842196.413
858963,15 145335 000 00 MV,MV,2015-04-22,To construct a second storey addition over the existing attached garage.,2015-06-09,M1R,A128/15SC,Closed, ,SAMYA,31,CRT,321140.815,4844329.379
858964,14 265840 000 00 CO,CO,2014-12-18,To obtain consent to sever the property into two lots.,2015-04-15,M5R,B0090/14TEY,Closed, ,ST GEORGE,204,ST,312695.047,4836503.465
858965,14 265843 000 00 MV,MV,2014-12-18,To maintain the existing three-storey office building and the two-storey rear office building on the newly conveyed reduced lot as described in Consent Application B0090/14TEY.,2015-04-15,M5R,A1169/14TEY,Closed, ,ST GEORGE,204,ST,312695.047,4836503.465
858966,14 268254 000 00 MV,MV,2014-12-29,To construct a second storey addition over a portion of the existing dwelling.,2015-02-12,M9A,A784/14EYK,Closed, ,COLCHESTER,7,CRT,303621.865,4837397.476
858967,14 268423 STE 22 OZ,OZ,2014-12-30,"The proposal for a 42-storey mixed-use building with 420 residential units and commericial space on the 1st and 2nd floors and 4 levels of underground parking with 136 parking spaces was refused by City Council and appealed to the OMB.  The applicant has revised their poposal at the OMB which includes an additional property at 1431 Yonge Street, increases the height to 46 storeys with the addition of 4 floors of office use. OMB Case No. PL151188.",,M4T,,OMB Appeal, ,YONGE,1417,ST,313369.975,4838396.481000001
858968,15 107071 000 00 MV,MV,2015-01-21,To construct a new three-storey detached dwelling with a roof terrace and a rear deck.,2015-03-04,M4K,A0059/15TEY,Closed, ,ALBEMARLE,31,AVE,316970.51399999997,4836770.055
858969,13 173771 WET 17 SA,SA,2013-05-24,Proposed  1 storey multi unit industrial/commercial building.  Final Site Plan Approval has been issued.,,M6E,,Closed,W,ST CLAIR,1615,AVE,308369.989,4837001.833000001
858970,14 264295 000 25 MV,MV,2014-12-15,"To construct a new two-storey dwelling with an integral garage. The existing dwelling would be demolished. Please be advised the subject property went before the Commitee of Adjustment on October 1, 2014, REFUSED, which sought variances related to lot coverage and access to a parking space on a flanking street.",2015-02-05,M3C,A993/14NY,Refused, ,SALONICA,27,RD,316417.76300000004,4842894.593
858971,13 148565 000 00 MV,MV,2013-04-11,To construct a rear three-storey addition and a one-storey side addition to the existing three-storey detached dwelling.,2013-06-05,M4W,A0279/13TEY,Closed, ,WHITNEY,30,AVE,315263.531,4838031.867
858972,15 104225 000 00 MV,MV,2015-01-14,"To construct a new front addition to the existing elementary school, along with a new portico, stairs and walkway leading to the proposed new driveway dropoff area. ",2015-06-11,M3C,A0026/15NY,Closed,E,LAWRENCE,411,AVE,314603.877,4843152.741
858973,15 117292 000 00 MV,MV,2015-02-13,The applicant is proposing to convert the existing storage room and laundry room into a new dwelling unit within the existing 9 storey apartment building. A new laundry room will be provided on the ground floor.,2015-07-16,M1K,A042/15SC,Closed, ,BIRCHMOUNT,739,RD,322927.156,4842581.071
858974,15 122112 000 00 CO,CO,2015-02-27,To obtain consent to sever the property into two residential lots.,2015-05-13,M5B,B0017/15TEY,Closed, ,MUTUAL,186,ST,314670.61699999997,4835415.82
858975,14 250486 000 00 MV,MV,2014-11-12,To construct a one-storey addition along the front (north) wall of the existing dwelling.,2014-12-11,M9A,A694/14EYK,Closed, ,ROYALAVON,181,CRES,301880.843,4834269.395
858976,15 125200 STE 21 OZ,OZ,2015-03-09,"St Clair Ave W and Bathurst Street Area Planning Framework Study - On January 30, 2019 City Council requested the Chief Planner and Executive Director, City Planning, to modify the Official Plan Policy review for the Raglan Avenue/Vaughan Road area (initiated in a staff report dated May 27, 2015 and adopted by City Council on July 27, 2015), by expanding the study boundary and focusing on built form, land use, and community services.
",,M6C,,Under Review , ,VAUGHAN,139,RD,311121.37100000004,4838124.018
858977,16 225815 STE 22 OZ,OZ,2016-09-20,"Application for Zoning By-law and Official Plan amendment to permit the development of a four storey apartment (stacked back-to-back townhouse block) and a row of two-storey townhouses in the rear yard. A total of 30 dwelling units are proposed, including two semi-detached dwelling units to be retained, with one level of underground parking.",,M4P,,Council Approved, ,ROEHAMPTON,417,AVE,314012.18100000004,4840951.529
858978,16 225815 STE 22 OZ,OZ,2016-09-20,"Application for Zoning By-law and Official Plan amendment to permit the development of a four storey apartment (stacked back-to-back townhouse block) and a row of two-storey townhouses in the rear yard. A total of 30 dwelling units are proposed, including two semi-detached dwelling units to be retained, with one level of underground parking.",,M4P,,Council Approved, ,ROEHAMPTON,435,AVE,314055.61699999997,4840963.101
858979,16 249018 STE 22 MV,MV,2016-11-09,To construct a new three-storey detached dwelling with an integral garage and two cabanas in the rear yard.,2017-02-28,M4V,A1094/16TEY,Closed, ,DUNVEGAN,49,RD,312444.572,4838429.866
858980,16 245077 NNY 25 MV,MV,2016-10-31,To construct a new two-storey dwelling. The existing dwelling would be demolished.,2016-12-08,M4N,A0931/16NY,Closed, ,STRATHGOWAN,38,CRES,313833.565,4842221.785
858981,17 109037 WET 05 MV,MV,2017-01-25,"To construct a two-storey rear addition, a rear deck, a rear basement walkout and to construct a detached garage and a cabana in the rear yard.",2017-05-04,M8Y,A0078/17EYK,Closed, ,ELSFIELD,41,RD,304132.256,4833738.569
858982,17 109056 STE 14 MV,MV,2017-01-25,To construct a front addition by enclosing the front porch.,2017-05-30,M6R,A0087/17TEY,Closed, ,INDIAN,15,GRV,308282.858,4834309.7530000005
858983,16 209023 WET 06 MV,MV,2016-08-18,To construct a new detached dwelling with an integral garage.,2016-09-29,M8W,A0674/16EYK,Closed, ,TREEVIEW,43,DR,302068.837,4829545.93
858984,17 119746 STE 18 MV,MV,2017-02-22,To construct a rear detached garage with sanitary facilities and storage loft. ,2017-06-28,M6J,A0201/17TEY,Closed, ,GLADSTONE,302,AVE,310362.04,4834416.452
858985,17 119750 WET 07 MV,MV,2017-02-22,To construct a new detached dwelling with an attached garage.,2017-03-23,M9L,A0161/17EYK,Closed, ,WHITFIELD,45,AVE,298781.386,4846276.27
858986,16 262666 NNY 10 OZ,OZ,2016-12-09,"This application proposes 160 3 to 5-storey stacked, back-to-back and standard townhouses witth 180 underground parking spaces and 1 surface parking space.  The proposed gross floor area of 16,486 square metres results in an FSI of 1.76 times the area of the lot.  

The applications were approved in principle at the NOAC.  The purposes of this circulation is to finalize the NOAC.
",,M3H,,Closed,W,SHEPPARD,867,AVE,308476.55600000004,4845553.775
858987,16 208200 NNY 23 OZ,OZ,2016-08-17,"11 storey mixed use building containing 98 residential units, 442 sqm of retail and service uses on the ground floor, two levels of underground parking having frontage along Sheppard Avenue, 7 - three storey townhouses fronting onto Bogert Avenue",,M2N,,OMB Approved,W,SHEPPARD,249,AVE,311001.253,4846304.469
858988,16 242162 WET 04 OZ,OZ,2016-10-25,"This application proposes amendments to the former City of Etobicoke Zoning Code and the City-wide harmonized Zoning By-law 569-2013, in order to expand the list of permitted uses at 418 The Westway. The subject property is currently regulated by two site-specific Zoning By-laws that restrict permitted uses to a gasoline service station or a financial institution with a freestanding automatic banking machine. No new development or site alterations are proposed as part of this application.

2nd Submission - August 25, 2017
Draft Reference Plan, Draft Zoning By-law, Parking Supply Assessment, Certification of Existing Services, Letter addressing Groundwater & Project Data Sheet.

City Legal to complete process of 0.4 metres of land conveyance (see Draft Reference Plan) along The Westway, which is required as part of this application.",,M9R,,Closed, ,THE WESTWAY,418, ,299405.42,4837990.473999999
858989,16 268933 STE 30 CO,CO,2016-12-20,To obtain a consent to sever the property into two residential lots and to create an access right-of-way.,2017-02-28,M4L,B0088/16TEY,Closed, ,GLENSIDE,45,AVE,318786.5,4836797.9180000005
858990,16 268936 STE 30 MV,MV,2016-12-20,To alter the existing two-storey semi-detached dwelling containing two dwelling units by constructing a third dwelling unit within the existing building on the retained lot described in Consent Application B0088/16TEY.,2017-02-28,M4L,A1250/16TEY,Closed, ,GLENSIDE,45,AVE,318786.5,4836797.9180000005
858991,16 268937 STE 30 MV,MV,2016-12-20,To alter the existing two-storey semi-detached dwelling containing two dwelling units by constructing a third dwelling unit within the existing building on the conveyed lot described in Consent Application B0088/16TEY.,2017-02-28,M4L,A1251/16TEY,Closed, ,GLENSIDE,45,AVE,318786.5,4836797.9180000005
858992,17 128390 WET 06 CO,CO,2017-03-13,To obtain consent to sever the property into two undersized residential lots.,2017-06-01,M8Z,B0020/17EYK,Closed, ,HAY,177,AVE,304159.835,4830587.989
858993,17 263572 WET 05 MV,MV,2017-11-16,"To construct a new front porch, a covered and open deck at the rear, and a second storey rear platform.",2018-05-10,M8Y,A0966/17EYK,Hearing Scheduled, ,BALLACAINE,27,DR,304916.202,4833301.056
858994,17 225009 NNY 15 MV,MV,2017-08-29,To construct a new two-storey dwelling. The existing dwelling would be demolished.,2017-11-09,M6B,A0861/17NY,Hearing Scheduled, ,HILLMOUNT,80,AVE,310196.048,4840967.415
858995,17 229281 NNY 23 MV,MV,2017-09-07,To construct a second floor addition above the existing one-storey dwelling and a two-storey front addition. The existing porch would be demolished.,2017-11-09,M2R,A0820/17NY,Closed, ,CHURCHILL,288,AVE,310099.539,4847466.087
858996,15 125200 STE 21 OZ,OZ,2015-03-09,"St Clair Ave W and Bathurst Street Area Planning Framework Study - On January 30, 2019 City Council requested the Chief Planner and Executive Director, City Planning, to modify the Official Plan Policy review for the Raglan Avenue/Vaughan Road area (initiated in a staff report dated May 27, 2015 and adopted by City Council on July 27, 2015), by expanding the study boundary and focusing on built form, land use, and community services.
",,M6C,,Under Review , ,RAGLAN,39,AVE,311238.08,4838095.101
858997,15 125200 STE 21 OZ,OZ,2015-03-09,"St Clair Ave W and Bathurst Street Area Planning Framework Study - On January 30, 2019 City Council requested the Chief Planner and Executive Director, City Planning, to modify the Official Plan Policy review for the Raglan Avenue/Vaughan Road area (initiated in a staff report dated May 27, 2015 and adopted by City Council on July 27, 2015), by expanding the study boundary and focusing on built form, land use, and community services.
",,M6C,,Under Review , ,RAGLAN,79,AVE,311206.085,4838173.183
858998,15 148062 000 06 CO,CO,2015-04-28,To obtain consent to sever the property into two undersized residential lots.,,M8W,B30/15EYK,Application Withdrawn, ,FORTY SECOND,33,ST,301392.141,4827311.072
858999,15 148064 000 06 MV,MV,2015-04-28,To construct a new detached dwelling with an integral garage.,,M8W,A259/15EYK,Application Withdrawn, ,FORTY SECOND,33,ST,301392.141,4827311.072
859000,15 148065 000 06 MV,MV,2015-04-28,To construct a new detached dwelling with an integral garage.,,M8W,A260/15EYK,Application Withdrawn, ,FORTY SECOND,33,ST,301392.141,4827311.072
859001,15 148075 NNY 15 SB,SB,2015-04-28,Proposed Phase 1-A Subdivision of the Lawrence Heights Redevelopment includes the provision of new public streets and a publically accessible private space.  Cross Reference OPA/Rezoning file 10 140382 NNY 15 OZ and Rental Housing Demolition File 10 140409 NNY 00 RH and SB 10 170538,,M6A,,Closed, ,ZACHARY,31-45,CRT,308969.642,4842286.538
859002,16 243082 WET 04 MV,MV,2016-10-26,To construct a new detached dwelling with an integral garage. ,2016-12-08,M9A,A0847/16EYK,Closed, ,HARTFIELD,20,CRT,302957.189,4836269.818
859003,16 258183 NNY 25 MV,MV,2016-11-30,To construct a new one-storey addition (sunroom) to the rear of the existing dwelling.,2017-02-09,M3B,A1063/16NY,Closed, ,FORDHAM,1,PL,316820.312,4844527.531
859004,16 228626 STE 19 MV,MV,2016-09-26,To construct a restaurant in the east building.,2017-01-18,   ,A0944/16TEY,Closed,W,QUEEN,948,ST,,
859005,17 108773 STE 21 MV,MV,2017-01-25,"To alter the existing two-storey detached dwelling by constructing a front second-storey addition, a rear one-storey addition with a rear ground floor deck. ",2017-05-30,M6C,A0085/17TEY,Closed, ,SHALLMAR,54,BLVD,310450.977,4840222.963
859006,16 271975 STE 29 MV,MV,2016-12-30,To construct a new two-storey detached dwelling with rear shed.,2017-04-26,M4J,A1300/16TEY,Closed, ,TORRENS,221,AVE,317275.833,4838912.035
859007,16 213961 ESC 37 MV,MV,2016-08-26,To construct a one-storey rear addition on the ground floor of the multi-unit building to accommodate a larger residential unit.,,M1R,A0262/16SC,Closed,E,LAWRENCE,1765,AVE,320374.272,4844503.53
859008,17 103265 STE 21 MV,MV,2017-01-11,To construct a new three-storey detached dwelling with an integral garage. ,2017-04-26,M5P,A0021/17TEY,Closed, ,RELMAR,7,GDNS,311624.189,4838546.66
859009,16 207936 STE 27 SA,SA,2016-08-16,"Site Plan Approval Amendment: Proposal to extend the mechanical screen to the south roof parapet to mantain visual and acoustic protection to neighbouring properties, the screen will be raised 305mm to match the height of the privacy screen around the accessible rooftop terrace. ",,M4W,,NOAC Issued, ,PRICE,25,ST,313706.965,4837560.757
859010,16 245284 STE 19 MV,MV,2016-11-01,To alter the existing two-storey detached dwelling by constructing a rear two-storey addition with rooftop deck. ,2017-02-15,M6G,A1060/16TEY,Closed, ,GARNET,9,AVE,311118.865,4836341.606000001
859011,15 201996 NNY 33 SA,SA,2015-08-05,"Application proposes a condominium apartment building on the southern portion of the site and rental townhouse and apartment buildng units on the northern half of the site. The condominium compomemt comprises a 3 to 17-storey apartment building wing along the south edge of the site connected to a 4 to 11-storey apartment building wing along the Leslie Street containing a total of 499 dwelling units and 629 parking spaces. The existing rental townhouse units on the site managed by Toronto Community Housing would be replaced and are proposed on the northern portion of the site and would comprise 115 rental replacement units in two 2, 3-storey townhouse blocks containing a total of 48 units and a 4-storey apartment building along Leslie Sttreet containing 67 dweliing units. The redevelopment of the site also includes a new public road and a privately owned publicly-accessible open space.  The lands are also subject to applications to amend the Official Plan and Zoning By-law (File No. 11 330323 NNY 33 OZ), Rental Housing Demolition (11 331382 NNY 33 RH) and Draft Plan of Subdivision (14 134708 NNY 33 SB). ",,M2J,,Closed, ,ADRA VILLAWAY,20, ,315567.859,4848259.4
859012,15 201996 NNY 33 SA,SA,2015-08-05,"Application proposes a condominium apartment building on the southern portion of the site and rental townhouse and apartment buildng units on the northern half of the site. The condominium compomemt comprises a 3 to 17-storey apartment building wing along the south edge of the site connected to a 4 to 11-storey apartment building wing along the Leslie Street containing a total of 499 dwelling units and 629 parking spaces. The existing rental townhouse units on the site managed by Toronto Community Housing would be replaced and are proposed on the northern portion of the site and would comprise 115 rental replacement units in two 2, 3-storey townhouse blocks containing a total of 48 units and a 4-storey apartment building along Leslie Sttreet containing 67 dweliing units. The redevelopment of the site also includes a new public road and a privately owned publicly-accessible open space.  The lands are also subject to applications to amend the Official Plan and Zoning By-law (File No. 11 330323 NNY 33 OZ), Rental Housing Demolition (11 331382 NNY 33 RH) and Draft Plan of Subdivision (14 134708 NNY 33 SB). ",,M2J,,Closed, ,ADRA VILLAWAY,47, ,315518.37100000004,4848248.617
859013,15 201996 NNY 33 SA,SA,2015-08-05,"Application proposes a condominium apartment building on the southern portion of the site and rental townhouse and apartment buildng units on the northern half of the site. The condominium compomemt comprises a 3 to 17-storey apartment building wing along the south edge of the site connected to a 4 to 11-storey apartment building wing along the Leslie Street containing a total of 499 dwelling units and 629 parking spaces. The existing rental townhouse units on the site managed by Toronto Community Housing would be replaced and are proposed on the northern portion of the site and would comprise 115 rental replacement units in two 2, 3-storey townhouse blocks containing a total of 48 units and a 4-storey apartment building along Leslie Sttreet containing 67 dweliing units. The redevelopment of the site also includes a new public road and a privately owned publicly-accessible open space.  The lands are also subject to applications to amend the Official Plan and Zoning By-law (File No. 11 330323 NNY 33 OZ), Rental Housing Demolition (11 331382 NNY 33 RH) and Draft Plan of Subdivision (14 134708 NNY 33 SB). ",,M2J,,Closed, ,ADRA VILLAWAY,56, ,315497.615,4848283.048
859014,18 104614 STE 19 MV,MV,2018-01-12,"To establish a second dwelling unit inside an existing two-storey mixed-use building by constructing a front second storey balcony, a third storey addition with a front balcony, and a rear three storey addition with second and third storey balconies.  The basement and ground floor will continue to be used by the commercial use, dwelling Unit 1 will be located on the second floor, and dwelling Unit 2 will be located on the third floor. ",2019-03-06,M6H,A0047/18TEY,Closed, ,DOVERCOURT,983,RD,310317.637,4836112.117
859015,17 253018 NNY 24 OZ,OZ,2017-10-25,"Zoning By law amendment application for the proposal of 16, 3 storey single family detached dwellings with an attached garage for each unit. ",,   ,,OMB Appeal, ,CENTRE,39,AVE,,
859016,17 253059 NNY 16 MV,MV,2017-10-25,To construct a new two-storey dwelling.  The existing dwelling would be demolished.,2017-12-07,M5M,A0939/17NY,Closed, ,BURNCREST,12,DR,310873.81899999996,4844079.672
859017,17 265291 NNY 16 MV,MV,2017-11-21,To construct a new two storey dwelling with integral garage. The existing dwelling will be demolished. ,2018-01-25,M5M,A1017/17NY,Closed, ,SANDRINGHAM,59,DR,311539.775,4844938.007
859018,18 105289 NNY 23 MV,MV,2018-01-15,To construct a new two storey dwelling with integral garage. ,2018-03-22,M2N,A0053/18NY,OMB Appeal, ,NORTON,52,AVE,311975.835,4847876.525
