MAPID,NAME,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME,Geom,Geo Local Area
DFPB0084,"Fountain location:
Kitsilano Beach Park - North of parking lot",besides parking lot,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.15172825900372, 49.276845069596696]}",Kitsilano
DFPB0082,"Fountain location:
Kitsilano Beach Park - washroom wall",opposite washrooms,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.15380496982891, 49.27448261571296]}",Kitsilano
DFPB0086,"Fountain location:
Langara Golf Course - cambie pathway",cambie pathway,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.11632117402527, 49.22318016335154]}",Oakridge
DFPB0085,"Fountain location:
Langara Golf Course - servive yard",servive yard,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.11170640059784, 49.21827204955769]}",Marpole
DFPB0091,"Fountain location:
Maclean Park",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.08942685427833, 49.27894833743796]}",Strathcona
DFPB0092,"Fountain location:
Major Matthews Park",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.10699401283071, 49.26168106933267]}",Mount Pleasant
DFPB0094,"Fountain location:
Maple Grove Park - East of pool",E-side of pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.15968744948694, 49.22328494934488]}",Kerrisdale
DFPB0097,"Fountain location:
McCleery Golf Course - 5th tee",5th tee,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.17088052677056, 49.22048268726047]}",Kerrisdale
DFPB0101,"Fountain location:
Melbourne Park",front of tennis courts,Parks,spring to fall,,Melbourne Park - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.02909158487584, 49.2365292742264]}",Renfrew-Collingwood
DFPB0102,"Fountain location:
Memorial South Park - West of Softball Diamond",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.08475728792786, 49.231628076232425]}",Sunset
DFPB0104,"Fountain location:
Memorial West Park",S of tennis courts,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.18728157172303, 49.24346335953531]}",Dunbar-Southlands
DFPB0109,"Fountain location:
Mount Pleasant Park",S-side of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.10643102129615, 49.25697067120588]}",Mount Pleasant
DFPB0114,"Fountain location:
New Brighton Park - South west of playground",SW of playground,Parks,spring to fall,,New Brighton - drinking fountain 1 - 2007.JPG,"{""type"": ""Point"", ""coordinates"": [-123.03867549952085, 49.28953737894174]}",Hastings-Sunrise
DFPB0112,"Fountain location:
New Brighton Park - West of tennis courts",W-side of tennis courts,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.03551547838973, 49.289696384000045]}",Hastings-Sunrise
DFPB0190,"Fountain location:
Park Site On South East False Creek",NE side of the park,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.10941362001645, 49.27234240595487]}",Mount Pleasant
DFPB0123,"Fountain location:
Queen Elizabeth Park - Pitch and Putt Course",Pitch and Putt Course,Parks,year-round,,,"{""type"": ""Point"", ""coordinates"": [-123.11152710106677, 49.23927230037656]}",Riley Park
DFPB0126,"Fountain location:
Quilchena Park",W-side of fieldhouse,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.1488133244043, 49.24472539986782]}",Arbutus-Ridge
DFPB0127,"Fountain location:
Renfrew Community Park",adjacent to wading pool,Parks,spring to fall,,Renfrew Park - drinking fountain - 2007.JPG,"{""type"": ""Point"", ""coordinates"": [-123.04207062382282, 49.25221559661864]}",Renfrew-Collingwood
DFPB0128,"Fountain location:
Riverfront Park - East of washrooms",E-side of washrooms,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.05180181298957, 49.20585962877704]}",Killarney
DFPB0133,"Fountain location:
Ross Park",in front of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.08241897664004, 49.21691584630587]}",Sunset
DFPB0135,"Fountain location:
Rupert Park",E-side of playground,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.03306351417534, 49.27122599793046]}",Hastings-Sunrise
DFPB0189,"Fountain location:
Seawall - Creekside",Seawall - in front of Creekside Community Recreation Centre,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.10573882205857, 49.27218289136859]}",Mount Pleasant
DFPB0191,"Fountain location:
Shannon Mews Park",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.14147665855549, 49.21970273952661]}",Kerrisdale
DFPB0138,"Fountain location:
Slocan Greenway",12th and slocan,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.0497356630516, 49.25835999543246]}",Renfrew-Collingwood
DFPB0139,"Fountain location:
Slocan Park",near playground,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.04835768589251, 49.24439943119382]}",Renfrew-Collingwood
DFPB0140,"Fountain location:
Spanish Banks Beach Park",on north wall of washrooms,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.2223817077116, 49.27759005971061]}",West Point Grey
DFPB0162,"Fountain location:
Stanley Park - Admin building",Park Board Office,Parks,year-round,,,"{""type"": ""Point"", ""coordinates"": [-123.148332, 49.310653]}",
DFPB0142,"Fountain location:
Stanley Park - Lumbermen's Arch",Lumbermen's Arch,Parks,year-round,,,"{""type"": ""Point"", ""coordinates"": [-123.1306800546251, 49.30310662903523]}",
DFPB0186,"Fountain location:
Stanley Park - North east of Rose and Perennial Ga",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.13414455639086, 49.29913054667917]}",
DFPB0149,"Fountain location:
Stanley Park - Putting Green",Pitch and Putt Course,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.14647218147267, 49.293113413609824]}",
DFPB0151,"Fountain location:
Stanley Park - Second Beach",Second Beach,Parks,year-round,,,"{""type"": ""Point"", ""coordinates"": [-123.15001256396323, 49.294985445746754]}",
DFPB0152,"Fountain location:
Stanley Park - Second Beach Pool",Second Beach pool deck,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.15104120435711, 49.295573663121964]}",
DFPB0144,"Fountain location:
Stanley Park - South west of playground",Rose Garden playground,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.148332, 49.310653]}",
DFPB0150,"Fountain location:
Stanley Park - West of Shore to Shore sculpture",Totem poles,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.1206750891925, 49.29905793154208]}",
DFPB0165,"Fountain location:
Sunrise Park",N-side of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.03565354298085, 49.26699890812438]}",Hastings-Sunrise
DFPB0066,"Fountain location:
Sunset Beach",on building wall,Parks,spring to fall,,English Bay Park - drinking fountain - 2005.jpg,"{""type"": ""Point"", ""coordinates"": [-123.1380051652894, 49.27900212016302]}",West End
DFPB0175,"Fountain location:
Vandusen Botanical Garden",near reflecting pond,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.1294242143457, 49.23950659846841]}",Shaughnessy
DFPB0181,"Fountain location:
West End minipark - JERVIS ST @ BURNABY ST",north end,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.13603714371125, 49.28209318599128]}",West End
DFPB0182,"Fountain location:
West Point Grey Park - lawn bowling court",In lawn bowling court,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.20514683290192, 49.266959448015996]}",West Point Grey
DFPB0184,"Fountain location:
Winona Park",near playground,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.1130441730933, 49.21594381468852]}",Marpole
DFENG0500,"Bottle Filling Station location: 
Charleson Park Pumping Station",North side of sewage pumping station 900 Charleson,Engineering,Year Round,N,CharlesonParkPumpingStation.jpg,"{""type"": ""Point"", ""coordinates"": [-123.125914, 49.2663411]}",Fairview
DFENG0501,"Bottle Filling Station location: 
Grandview Hwy Pumping Station",,Engineering,Year Round,N,GrandviewHwyPumpingStation.jpg,"{""type"": ""Point"", ""coordinates"": [-123.041381, 49.257924]}",Renfrew-Collingwood
DFENG0011,"Fountain location:
1650 W 7th","Midblock, outside of 1650 W 7th",Engineering,May-October,Y,1650 w 7th 2.JPG,"{""type"": ""Point"", ""coordinates"": [-123.142081, 49.265329]}",Fairview
DFENG0013,"Fountain location:
37th & Ontario",Northwest corner of 37th & Ontario,Engineering,May-October,N,Ontario&37th.jpg,"{""type"": ""Point"", ""coordinates"": [-123.105647, 49.237446]}",Riley Park
DFENG0003,"Fountain location:
4th & Arbutus",Northeast corner of 4th & Arbutus,Engineering,May-October,N,P3140883.JPG,"{""type"": ""Point"", ""coordinates"": [-123.152706, 49.26822777]}",Kitsilano
DFENG0016,"Fountain location:
Broadway & Victoria",Southeast corner of Broadway & Victoria,Engineering,May-October,N,Broadway Victoria 2.JPG,"{""type"": ""Point"", ""coordinates"": [-123.065619, 49.262066]}",Kensington-Cedar Cottage
DFENG0005,"Fountain location:
Cardero & Burnaby",In the mini park at Cardero & Burnaby,Engineering,May-October,N,P2080275.JPG,"{""type"": ""Point"", ""coordinates"": [-123.13955439, 49.28451988]}",West End
DFENG0021,"Fountain location:
Commercial & 3rd",Northeast corner of Commercial & 3rd,Engineering,May-October,Y,Commercial&3rd.jpg,"{""type"": ""Point"", ""coordinates"": [-123.06939067, 49.2678194]}",Grandview-Woodland
DFENG0026,"Fountain location:
Comox & Chilco",In mini park at Comox & Chilco,Engineering,May-October,N,Comox&Chilco.jpg,"{""type"": ""Point"", ""coordinates"": [-123.14264686, 49.29067407]}",West End
DFENG0027,"Fountain location:
Comox & Denman",Northwest corner of Comox & Denman,Engineering,Year Round,N,Comox&Denman.jpg,"{""type"": ""Point"", ""coordinates"": [-123.13969, 49.2887857]}",West End
DFENG0033,"Fountain location:
Denman & Nelson",Southwest corner of Denman & Nelson,Engineering,May-October,N,P3011141.JPG,"{""type"": ""Point"", ""coordinates"": [-123.13854854, 49.28922483]}",West End
DFENG0017,"Fountain location:
Elgin & 37th",Northwest corner of Elgin & 37th,Engineering,May-October,N,Elgin&37th.jpg,"{""type"": ""Point"", ""coordinates"": [-123.084037, 49.2365274]}",Kensington-Cedar Cottage
DFENG0028,"Fountain location:
Gilford & Comox",Northwest corner of Gilford & Comox,Engineering,May-October,N,Comox&Gilford.jpg,"{""type"": ""Point"", ""coordinates"": [-123.14128655, 49.28977703]}",West End
DFENG0019,"Fountain location:
Granville & Robson",Northwest corner of Granville & Robson,Engineering,Year Round,N,Granville Robson 2.JPG,"{""type"": ""Point"", ""coordinates"": [-123.119937, 49.281542]}",Downtown
DFENG0023,"Fountain location:
Main & 11th",Southeast corner of Main & 11th,Engineering,Year Round,N,Main&11th.jpg,"{""type"": ""Point"", ""coordinates"": [-123.100784, 49.2610594]}",Mount Pleasant
DFENG0008,"Fountain location:
Nicola & Beach",Northeast corner of Nicola & Beach,Engineering,May-October,N,Nicola Beach 1.JPG,"{""type"": ""Point"", ""coordinates"": [-123.140508, 49.282385]}",West End
DFENG0048,Fountain location: 375 W 59th Avenue,Northeast corner of Alberta St and W 59th Ave,Engineering,Year Round,N,,"{""type"": ""Point"", ""coordinates"": [-123.11323, 49.217003]}",Marpole
DFENG0047,Fountain location: 4963 Cambie St,Northwest corner of Cambie and W 35th,Engineering,Year Round,N,Cambie&W35th.jpg,"{""type"": ""Point"", ""coordinates"": [-123.117008, 49.238962]}",South Cambie
DFENG0031,Fountain location: Cambie & 10th,Northeast corner of Cambie & 10th,Engineering,Year Round,N,,"{""type"": ""Point"", ""coordinates"": [-123.114544, 49.262294]}",Mount Pleasant
DFENG0044,Fountain location: Cambie & 29th Avenue,Southwest corner of Cambie & 29th Avenue,Engineering,Year Round,N,,"{""type"": ""Point"", ""coordinates"": [-123.116339, 49.245083]}",South Cambie
DFENG0037,Fountain location: Oak & 46th,Northeast corner of Oak & 46th,Engineering,Year Round,N,Oak&46th.jpg,"{""type"": ""Point"", ""coordinates"": [-123.127987, 49.229344]}",Oakridge
DFENG0041,Fountain location: River District Crossing & E Kent Ave North,Northeast corner of River District Crossing & E Kent Ave North,Engineering,May-October,N,,"{""type"": ""Point"", ""coordinates"": [-123.031131, 49.205331]}",Killarney
DFENG0038,Fountain location:Nelson & Howe,Southeast corner of Nelson & Howe,Engineering,Year Round,N,,"{""type"": ""Point"", ""coordinates"": [-123.123513, 49.279672]}",Downtown
DFENG0036,Fountain location:Pt.Grey & MacDonald,Northwest corner of Pt. Grey & MacDonald,Engineering,Year Round,N,Pt. Grey&MacDonald.jpg,"{""type"": ""Point"", ""coordinates"": [-123.167863, 49.271674]}",Kitsilano
DFENG0035,Fountian Location: Fraser & Broadway,Northwest corner of Fraser & Broadway,Engineering,Year Round,N,,"{""type"": ""Point"", ""coordinates"": [-123.089225, 49.262628]}",Mount Pleasant
DFPB0002,"Fountain location:
Adanac Park",SW side of Field house,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.0241254441794, 49.27596410057139]}",Hastings-Sunrise
DFPB0005,"Fountain location:
Andy Livingstone Park - North of basketball court",by amphitheatre steps near bas,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.10617896100499, 49.278917130264055]}",Downtown
DFPB0009,"Fountain location:
Art Phillips Park (Discovery Square)",NW plaza,Parks,spring to fall,,Discovery Square - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.12092403672209, 49.28602527394457]}",Downtown
DFPB0010,"Fountain location:
Balaclava Park",W of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.17532748987207, 49.24571941099743]}",Dunbar-Southlands
DFPB0013,"Fountain location:
Burrard View Park",N-side of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.05046757249366, 49.290521395563395]}",Hastings-Sunrise
DFPB0192,"Fountain location:
Cedar Cottage Park",Near Sport courts,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.07677246160404, 49.260897510427014]}",Kensington-Cedar Cottage
DFPB0016,"Fountain location:
Chaldecott Park",W-side of spray park,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.19167358377561, 49.24969048752799]}",Dunbar-Southlands
DFPB0019,"Fountain location:
China Creek South Park",S-side of skate park,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.0790458346744, 49.26174978155622]}",Mount Pleasant
DFPB0020,"Fountain location:
Clark Park",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.07309180917856, 49.256851681418766]}",Kensington-Cedar Cottage
DFPB0022,"Fountain location:
Clinton Park - North side of ball diamond",N-side of B-ball diamond,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.05167063296136, 49.27138699405095]}",Hastings-Sunrise
DFPB0024,"Fountain location:
Collingwood Park",in front of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.03636462915456, 49.2370512820887]}",Renfrew-Collingwood
DFPB0027,"Fountain location:
Connaught Park - East side of fieldhouse",near fieldhouse,Parks,year-round,,Connaught Park - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.15932134359271, 49.26297477699926]}",Kitsilano
DFPB0028,"Fountain location:
Coopers' Park",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.11304201854614, 49.27391462297168]}",Downtown
DFPB0029,"Fountain location:
Coopers' Park - underneath bridge, near basket","underneath bridge, near basket",Parks,spring to fall,,Coopers Park - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.11463403132457, 49.2729040014691]}",Downtown
DFPB0031,"Fountain location:
Creekside Park",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.10299407627441, 49.27436956341148]}",Downtown
DFPB0037,"Fountain location:
Ebisu Park",near playground,Parks,spring to fall,,Ebisu Park - drinking fountain - 2008.JPG,"{""type"": ""Point"", ""coordinates"": [-123.13283432618276, 49.20551059072722]}",Marpole
DFPB0041,"Fountain location:
English Bay Beach Park - Davie st entrance",Davie st entrance,Parks,spring to fall,,English Bay Park - drinking fountain - 2005.jpg,"{""type"": ""Point"", ""coordinates"": [-123.14255817215084, 49.28752529728865]}",West End
DFPB0044,"Fountain location:
Falaise Park",in front of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.02996353965862, 49.25494765836279]}",Renfrew-Collingwood
DFPB0049,"Fountain location:
Fraserview Golf Course - 6th tee",6th tee,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.04567976712876, 49.20831528164534]}",Killarney
DFPB0048,"Fountain location:
Fraserview Golf Course - clubhouse building",clubhouse building,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.05151778887551, 49.214039497855346]}",Killarney
DFPB0051,"Fountain location:
Garden Park",N-side of field house,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.05841268395888, 49.268494930486206]}",Grandview-Woodland
DFPB0052,"Fountain location:
Gaston Park",near basketball court,Parks,spring to fall,,Gaston Park - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.03139559954171, 49.236603275262475]}",Renfrew-Collingwood
DFPB0054,"Fountain location:
George Wainborn Park",NE corner near seawall,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.12977813047853, 49.271907974746064]}",Downtown
DFPB0061,"Fountain location:
Harbour Green Park - foot of Jervis Mews",foot of Jervis Mews,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.12316503926135, 49.29064536983438]}",Downtown
DFPB0064,"Fountain location:
Hastings Community Park - SE of tennis courts",besides path leading to spray,Parks,spring to fall,,Hastings Community Park - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.04060853748953, 49.280475188141146]}",Hastings-Sunrise
DFPB0065,"Fountain location:
Hastings Park - Italian gardens",near skate park,Parks,spring to fall,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG,"{""type"": ""Point"", ""coordinates"": [-123.04294354474824, 49.28325024558667]}",Hastings-Sunrise
DFPB0069,"Fountain location:
Hastings Park -Plateau Sport Parks / Empire Fields",East of playgrounds,Parks,,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG,"{""type"": ""Point"", ""coordinates"": [-123.03448505726166, 49.28299828401808]}",Hastings-Sunrise
DFPB0070,"Fountain location:
Hastings Park -Plateau Sport Parks / Empire Fields",empire field - soccer fields,Parks,,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG,"{""type"": ""Point"", ""coordinates"": [-123.034264, 49.282563]}",Hastings-Sunrise
DFPB0074,"Fountain location:
John Hendry (Trout Lake) Park",nearby beach,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.06197074568475, 49.25403462695769]}",Kensington-Cedar Cottage
DFPB0077,"Fountain location:
Kensington Park",between baseball diamond and parking lots,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.07427486768654, 49.238243292967304]}",Kensington-Cedar Cottage
DFPB0081,"Fountain location:
Kingcrest Park",E-side of washroom,Parks,spring to fall,,Kingcrest Park - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.0745638442458, 49.247430484145035]}",Kensington-Cedar Cottage
DFPB0087,"Fountain location:
Langara Golf Course - East of tennis courts",56th and Ontario,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.10632012065498, 49.21951059074085]}",Oakridge
DFPB0096,"Fountain location:
McBride Park",S of playground,Parks,spring to fall,,McBride Park - drinking fountain - 2007.JPG,"{""type"": ""Point"", ""coordinates"": [-123.18011946249462, 49.26802887520497]}",Kitsilano
DFPB0098,"Fountain location:
McCleery Golf Course - clubhouse building",clubhouse building,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.16784850616567, 49.221060000503236]}",Kerrisdale
DFPB0099,"Fountain location:
McCleery Golf Course - driving range",driving range,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.16961351863812, 49.22069559153487]}",Kerrisdale
DFPB0103,"Fountain location:
Memorial South Park - West of wading pool",W-side of wading pool,Parks,year-round,,,"{""type"": ""Point"", ""coordinates"": [-123.08690730640086, 49.231445967892725]}",Sunset
DFPB0105,"Fountain location:
Moberly Park - West of tennis courts",in front of tennis courts,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.08458399526312, 49.21493280370756]}",Sunset
DFPB0108,"Fountain location:
Mosaic Creek Park",near children's play area,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.0742017723588, 49.27329802539632]}",Grandview-Woodland
DFPB0113,"Fountain location:
New Brighton Park - South of pool",S-side of pool,Parks,spring to fall,,New Brighton - drinking fountain 2 - 2007.JPG,"{""type"": ""Point"", ""coordinates"": [-123.03665048696202, 49.28937437677413]}",Hastings-Sunrise
DFPB0119,"Fountain location:
Oppenheimer Park",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.09404187251305, 49.28300722094974]}",Strathcona
DFPB0125,"Fountain location:
Queen Elizabeth Park - At Conservatory",At Conservatory,Parks,spring to fall,,Queen Elizabeth Park (Ontario Greenway) - drinking fountain 2 - 2006.JPG,"{""type"": ""Point"", ""coordinates"": [-123.11352810609957, 49.2423803644047]}",Riley Park
DFPB0130,"Fountain location:
Robson Park",N-side of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.09189692645658, 49.25789769612121]}",Mount Pleasant
DFPB0136,"Fountain location:
Rupert Park - East of fieldhouse",E-side of Field house,Parks,spring to fall,,Rupert Park - drinking fountain 1 - 2007.JPG,"{""type"": ""Point"", ""coordinates"": [-123.03061150164847, 49.27025397819598]}",Hastings-Sunrise
DFPB0155,"Fountain location:
Stanley Park - Brockton Oval Fieldhouse",brockton oval,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.12613848786123, 49.29975598431441]}",
DFPB0158,"Fountain location:
Stanley Park - Brockton Point Viewpoint",Brockton point - lighthouse,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.148332, 49.310653]}",
DFPB0145,"Fountain location:
Stanley Park - Ceperley Washrooms",Ceperley washrooms,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.14870677517186, 49.293751732669826]}",
DFPB0160,"Fountain location:
Stanley Park - Lawn Bowling Club",Lawn Bowling,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.148332, 49.310653]}",
DFPB0154,"Fountain location:
Stanley Park - Legends Of The Moon Washroom",Legends Of The Moon - Washroom,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.12128509247478, 49.299634364378655]}",
DFPB0147,"Fountain location:
Stanley Park - Prospect Point Washrooms",prospect point washrooms,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.14271559277007, 49.312494515728226]}",
DFPB0157,"Fountain location:
Stanley Park - Stanley Park Pavilion",pavillion outside washrooms,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.13379001924541, 49.29960619520646]}",
DFPB0146,"Fountain location:
Stanley Park - West of Restaurant",W - side of Fish House,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.1469851874114, 49.292345397302135]}",
DFPB0148,"Fountain location:
Stanley Park - West side of Stanley Park Train",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.13451408205303, 49.301668197766205]}",
DFPB0163,"Fountain location:
Strathcona Park - North west of basketball court",besides basketball court,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.08556206292319, 49.27601569903952]}",Strathcona
DFPB0167,"Fountain location:
Sunset Park",front of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.09646723658864, 49.22295426740642]}",Sunset
