KEY;ZONE;INSTALLATION;LOCATION_1;LOCATION_2;ORIENTATION;BIA;Geo Local Area;Geom
CVS032;Metro Core;2009;W Broadway;Willow;180;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.121947, 49.263474]}"
CVS039;Metro Core;2010;W Broadway;Cambie;180;Cambie Village;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.114593, 49.263043]}"
CVS040;Metro Core;2010;W Broadway;Ontario;180;None;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.105025, 49.262895]}"
CVS041;Metro Core;2010;Cambie;W 16th;90;Cambie Village;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.114898, 49.257072]}"
CVS042;OT;2009;Cambie;W King Edward;90;Cambie Village;South Cambie;"{""type"": ""Point"", ""coordinates"": [-123.115634, 49.249197]}"
CVS043;OT;2009;W 29th;Cambie;90;None;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.11522, 49.245094]}"
CVS044;OT;2009;Cambie;W 37th;90;None;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.115777, 49.237421]}"
CVS045;OT;2009;Cambie;W 41st;90;None;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.115894, 49.233719]}"
CVS050;DT;2009;Georgia;Denman;45;West End;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.133775, 49.292849]}"
CVS051;DT;2009;Georgia;Denman;45;West End;West End;"{""type"": ""Point"", ""coordinates"": [-123.133786, 49.292409]}"
CVS053;DT;2009;Broughton;Coal Harbour Quay;32;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.126033, 49.29051]}"
CVS056;DT;2009;Granville;W Hastings;135;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.11447, 49.284996]}"
CVS068;OT;2010;Commercial;E 1st;90;Commercial Drive;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.069754, 49.269763]}"
CVS069;OT;2010;Commercial;N Grandview Hwy;90;Commercial Drive;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.069491, 49.263528]}"
CVS071;OT;2010;Commercial;E 10th;90;Commercial Drive;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.069966, 49.261427]}"
CVS072;OT;2010;Commercial;E 13th;90;Commercial Drive;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.069698, 49.258543]}"
CVS077;DT;2009;Main;Keefer;90;Chinatown;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.099891, 49.279304]}"
CVS099;DT;2009;Davie;Granville;135;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.126449, 49.27711]}"
CVS106;Metro Core;2010;Main;E 16th;90;Mount Pleasant;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.101064, 49.256742]}"
CVS108;OT;2009;Main;E King Edward;90;None;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.101183, 49.248905]}"
CVS110;OT;2009;W 33rd;Ontario;180;None;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.105527, 49.240494]}"
CVS111;OT;2010;Fraser;E 49th;90;South Hill (Fraser Street);Sunset;"{""type"": ""Point"", ""coordinates"": [-123.090974, 49.225557]}"
CVS112;OT;2009;Main;E 49th;90;None;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.101798, 49.225775]}"
CVS113;OT;2009;Ontario;W 49th;180;None;Oakridge;"{""type"": ""Point"", ""coordinates"": [-123.106196, 49.225666]}"
CVS114;OT;2010;Vanness;Joyce;125;None;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.031603, 49.238316]}"
CVS115;DT;2009;Burrard;Pacific;135;None;West End;"{""type"": ""Point"", ""coordinates"": [-123.132725, 49.277002]}"
CVS116;DT;2009;Georgia;Beatty;45;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.112023, 49.278685]}"
CVS121;DT;2009;Seymour;Dunsmuir;45;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.116058, 49.283319]}"
CVS129;OT;2010;Fraser;E 41st;90;South Hill (Fraser Street);Sunset;"{""type"": ""Point"", ""coordinates"": [-123.090435, 49.232712]}"
CVS133;Metro Core;2010;Main;E 7th/Kingsway;90;Mount Pleasant;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.100709, 49.264018]}"
CVS137;Metro Core;2010;Cambie;W 18th;90;Cambie Village;South Cambie;"{""type"": ""Point"", ""coordinates"": [-123.115344, 49.254898]}"
CVS138;Metro Core;2009;Island Park Walk;Anderson;6;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.137209, 49.270046]}"
CVS139;OT;2010;W 10th;Sasamat;180;Point Grey Village;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.209262, 49.263919]}"
CVS140;OT;2010;Dunbar;W 29th;90;Dunbar Village;Dunbar-Southlands;"{""type"": ""Point"", ""coordinates"": [-123.185375, 49.246072]}"
CVS141;OT;2010;W 41st;Yew;180;Kerrisdale;Arbutus-Ridge;"{""type"": ""Point"", ""coordinates"": [-123.157913, 49.234692]}"
CVS142;OT;2009;E Hastings;Kootenay;180;None;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.025882, 49.28125]}"
CVS144;DT;2009;Expo Blvd;Dunsmuir/Abbott;175;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.108334, 49.278817]}"
CVS148;DT;2012;Granville;Georgia;45;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.1182, 49.282361]}"
CVS159;DT;2015;Burrard;Smithe;135;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.124405, 49.282066]}"
CVS162;DT;2015;Smithe;Granville;135;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.121208, 49.280372]}"
CVS164;DT;2015;Hamilton;Robson;135;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.115842, 49.279007]}"
CVS168;DT;2015;Hastings;Richards;45;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.112162, 49.284278]}"
CVS169;DT;2015;Davie;Granville;45;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.12599, 49.277188]}"
CVS173;DT;2015;Carrall;Seawall;90;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.106601, 49.275872]}"
CVS180;Metro Core;2015;Fraser;Kingsway;90;None;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.089919, 49.256912]}"
CVS184;Metro Core;2015;Kingsway;Knight;35;None;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.075782, 49.249821]}"
CVS186;OT;2015;Kingsway;Wales (Norquay Park);35;None;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.051621, 49.238726]}"
CVS187;OT;2015;Kingsway;Joyce;125;Collingwood;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.036182, 49.234126]}"
CVS189;OT;2015;Victoria;E 38th;90;Victoria Drive;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.065609, 49.235934]}"
CVS191;Metro Core;2015;Main;Alexander;180;Hastings Crossing;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.099798, 49.284037]}"
CVS194;Metro Core;2015;W 4th;Arbutus;180;Kitsilano 4th Avenue;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.152952, 49.268244]}"
CVS196;Metro Core;2015;Dunlevy;Cordova;180;Strathcona;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.095211, 49.282314]}"
CVS197;OT;2015;Fraser;King Edward;90;None;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.09, 49.248513]}"
CVP002;DT;2009;Burrard;Robson;167;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.122543, 49.283341]}"
CVP007;DT;2009;Burrard;Dunsmuir;154;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.119089, 49.285614]}"
CVP009;DT;2009;Nelson;Cambie;196;Yaletown;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.117862, 49.276038]}"
CVP013;DT;2009;Davie;Mainland;200;Yaletown;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.122029, 49.274537]}"
CVP018;DT;2009;Robson;Granville;51;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.119953, 49.281564]}"
CVP021;DT;2009;Canada Place;Burrard;64;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.115543, 49.288231]}"
CVP022;DT;2009;Howe;Robson;73;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.12072, 49.282172]}"
CVP023;DT;2009;Mainland;Helmcken;222;Yaletown;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.120568, 49.275486]}"
CVP025;DT;2009;Nelson;Mainland;178;Yaletown;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.118814, 49.276679]}"
CVP026;DT;2009;Water;100 block;18;Gastown;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.107658, 49.284175]}"
CVS001;OT;2010;W 10th;Sasamat;180;Point Grey Village;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.208833, 49.263754]}"
CVS004;OT;2010;W 10th;Alma;180;None;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.185715, 49.263589]}"
CVS005;OT;2010;W Broadway;Alma;180;None;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.185656, 49.264259]}"
CVS018;Metro Core;2010;Cypress;Cornwall;180;None;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.147662, 49.272341]}"
CVS019;Metro Core;2010;Cypress;W 1st;180;None;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.147988, 49.270778]}"
CVS025;Metro Core;2009;Granville;W 5th;90;South Granville;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.138294, 49.266654]}"
CVS033;Metro Core;2009;W Broadway;Willow;180;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.121576, 49.263236]}"
CVS034;Metro Core;2009;Moberly;Millbank;89;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.118014, 49.269387]}"
CVS037;Metro Core;2009;Cambie;W 2nd;90;None;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.114551, 49.266419]}"
CVS046;OT;2009;Cambie;W 41st;90;None;Oakridge;"{""type"": ""Point"", ""coordinates"": [-123.116505, 49.233249]}"
CVS047;OT;2010;Cambie;W 49th;180;None;Oakridge;"{""type"": ""Point"", ""coordinates"": [-123.116179, 49.22623]}"
CVS052;DT;2009;Denman;Seawall;45;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.132383, 49.293501]}"
CVS057;DT;2009;Burrard;Dunsmuir;135;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.119962, 49.285376]}"
CVS060;DT;2009;Water;Richards;15;Gastown;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.110486, 49.284589]}"
CVS062;DT;2009;Carrall;Alexander;11;Gastown;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.104229, 49.283536]}"
CVS066;OT;2010;Commercial;William;90;Commercial Drive;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.069642, 49.274063]}"
CVS067;OT;2010;Commercial;Graveley;90;Commercial Drive;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.069801, 49.270463]}"
CVS070;OT;2010;Commercial;E Broadway;90;Commercial Drive;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.069577, 49.262482]}"
CVS073;DT;2009;W Hastings;Cambie;46;Hastings Crossing;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.109789, 49.282561]}"
CVS075;DT;2009;Carrall;E Pender;90;Chinatown;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.104257, 49.280364]}"
CVS079;DT;2009;Abbott;Keefer;180;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.107465, 49.279805]}"
CVS080;Metro Core;2009;Terminal;Main;180;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.100608, 49.273035]}"
CVS082;DT;2009;Terminal;Quebec;180;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.101972, 49.27324]}"
CVS084;Metro Core;2009;Millbank;Seaside (Leg-in-Boot Square);180;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.119403, 49.267653]}"
CVS085;Metro Core;2009;Laurel St;Seaside (False Creek);13;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.124933, 49.267545]}"
CVS086;Metro Core;2009;Laurel;W 7th;90;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.124214, 49.265207]}"
CVS090;Metro Core;2009;Chestnut;Seaside;18;None;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.146119, 49.277664]}"
CVS092;Metro Core;2010;Yew;Seaside (Kits Beach);66;None;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.155074, 49.273365]}"
CVS093;DT;2009;Bute;Davie;45;West End;West End;"{""type"": ""Point"", ""coordinates"": [-123.133426, 49.281677]}"
CVS096;DT;2009;Hornby;Seaside (False Creek);135;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.134075, 49.274507]}"
CVS100;DT;2009;Robson;Homer;45;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.116692, 49.27944]}"
CVS101;DT;2009;Beatty;Dunsmuir;135;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.110297, 49.279846]}"
CVS102;DT;2009;Hamilton;Dunsmuir;45;Hastings Crossing;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.112228, 49.281044]}"
CVS104;Metro Core;2010;Main;E Broadway;90;Mount Pleasant;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.101119, 49.263095]}"
CVS105;Metro Core;2010;Main;Broadway;90;Mount Pleasant;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.100798, 49.262754]}"
CVS107;Metro Core;2010;Main;E 18th;90;None;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.101171, 49.254727]}"
CVS117;DT;2009;Marinaside;Davie;140;Yaletown;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.119636, 49.272867]}"
CVS119;DT;2009;Granville;Georgia;135;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.117248, 49.28303]}"
