_id,address,dir,end_date,flash_speed,geometry,min_speed,schedule,sign_id,sign_name,speed_limit,start_date,strobe_speed,ward_no
5365,335 The Westway,EB,,31,"{u'type': u'Point', u'coordinates': (-79.558162, 43.685288)}",20,Weekdays from 7 AM - 9 PM,83,The Westway EB ,30,2018-01-19T14:00:00,36,2.0
5366,209 Mill Road,NB,,51,"{u'type': u'Point', u'coordinates': (-79.576125, 43.633365)}",30,Weekdays from 7 AM - 9 PM,106,Mill Rd NB ,50,2019-04-15T10:00:00,56,2.0
5367,308 The Westway,WB,,31,"{u'type': u'Point', u'coordinates': (-79.555977, 43.685495)}",20,Weekdays from 7 AM - 9 PM,131,The Wesway WB ,30,2018-01-24T19:00:00,36,2.0
5368,55 Lafferty Street,SB,,31,"{u'type': u'Point', u'coordinates': (-79.582609, 43.658028)}",20,Weekdays from 7 AM - 9 PM,156,Renforth Dr SB (3 of 3) ,30,2018-10-19T13:00:00,36,2.0
5369,420 Mill Road,SB,,51,"{u'type': u'Point', u'coordinates': (-79.588101, 43.644406)}",30,Weekdays from 7 AM - 9 PM,192,Mill Rd SB ,50,2018-01-24T18:00:00,56,2.0
5370,3 Bowness Court,NB,,41,"{u'type': u'Point', u'coordinates': (-79.5524062354, 43.673818231)}",5,Weekdays from 7 AM - 9 PM,249,Strathburn Blvd NB ,40,2019-07-23T17:00:00,46,2.0
5371,111 Chapman Road,EB,,31,"{u'type': u'Point', u'coordinates': (-79.521569, 43.689142)}",20,Weekdays from 7 AM - 9 PM,269,Chapman Rd EB ,30,2019-02-26T14:00:00,36,2.0
5372,4 Burkston Place,SB,,41,"{u'type': u'Point', u'coordinates': (-79.5522345741, 43.6722351737)}",5,Weekdays from 7 AM - 9 PM,271,Strathburn Rd SB ,40,2019-07-23T18:00:00,46,2.0
5373,72 Rathburn Road,WB,2020-04-28T03:00:00,41,"{u'type': u'Point', u'coordinates': (-79.5373816939, 43.6612089011)}",30,Weekdays from 7 AM - 9 PM,284,Rathburn Rd WB ,40,2016-11-30T16:00:00,46,2.0
5374,Burnhamthorpe Road,WB,,51,"{u'type': u'Point', u'coordinates': (-79.5649030391, 43.6449844396)}",30,Weekdays from 7 AM - 9 PM,297,Armour Blvd WB ,50,2019-07-23T18:00:00,56,2.0
5375,95 Richland Crescent,NB,,31,"{u'type': u'Point', u'coordinates': (-79.581933, 43.657153)}",20,Weekdays from 7 AM - 9 PM,347,Renforth Dr NB (2 of 3) ,30,2018-10-19T13:00:00,36,2.0
5376,129 Carlaw Avenue,NB,2020-11-13T08:00:00,51,"{u'type': u'Point', u'coordinates': (-79.339288, 43.659326)}",30,Weekdays from 7 AM - 9 PM,2132,Carlaw Ave NB ,50,2020-03-31T17:00:00,56,14.0
5377,730 Renforth Drive,NB,,31,"{u'type': u'Point', u'coordinates': (-79.584478, 43.662695)}",20,Weekdays from 7 AM - 9 PM,472,Renforth Dr NB (3 of 3) ,30,2018-10-19T12:00:00,36,2.0
5378, Renforth Drive,SB,,31,"{u'type': u'Point', u'coordinates': (-79.585958, 43.665158)}",20,Weekdays from 7 AM - 9 PM,475,Renforth Dr SB (1 of 3) ,30,2018-10-18T12:00:00,36,2.0
5379,334 The East Mall,SB,,31,"{u'type': u'Point', u'coordinates': (-79.557186, 43.638992)}",20,Weekdays from 7 AM - 9 PM,576,The East Mall SB (1&amp;#x2F;2) ,30,2018-11-02T16:00:00,36,2.0
5380,20 Saskatoon Drive,EB,,31,"{u'type': u'Point', u'coordinates': (-79.53657, 43.695111)}",20,Weekdays from 7 AM - 9 PM,582,Saskatoon Dr EB ,30,2019-03-06T18:00:00,36,2.0
5381,60 Fenley Drive,WB,,31,"{u'type': u'Point', u'coordinates': (-79.55023, 43.690895)}",20,Weekdays from 7 AM - 9 PM,610,Poynter Dr WB ,30,2019-03-11T11:00:00,36,2.0
5382,227 Mill Road,SB,2020-02-21T04:00:00,41,"{u'type': u'Point', u'coordinates': (-79.577376, 43.634306)}",30,Weekdays from 7 AM - 9 PM,627,Mill Rd SB ,40,2019-01-01T05:00:00,46,2.0
5383,99 Stapleton Drive,EB,,31,"{u'type': u'Point', u'coordinates': (-79.547692, 43.690013)}",20,Weekdays from 7 AM - 9 PM,657,Poynter Dr EB ,30,2019-03-11T11:00:00,36,2.0
5384,21 Arcade Drive,NB,,31,"{u'type': u'Point', u'coordinates': (-79.517555, 43.687513)}",20,Weekdays from 7 AM - 9 PM,658,Arcade Dr NB ,30,2019-02-26T14:00:00,36,2.0
5385,89 Sun Row Drive,SB,,31,"{u'type': u'Point', u'coordinates': (-79.538962, 43.687118)}",20,Weekdays from 7 AM - 9 PM,668,Sunrow Dr SB ,30,2017-05-26T16:00:00,36,2.0
5386,110 Eringate Drive,WB,2020-05-31T03:00:00,41,"{u'type': u'Point', u'coordinates': (-79.58144643, 43.6605423608)}",30,Weekdays from 7 AM - 9 PM,717,Eringate Dr WB ,40,2018-10-19T12:00:00,46,2.0
5387,411 Mill Road,NB,2020-05-07T01:00:00,31,"{u'type': u'Point', u'coordinates': (-79.586652, 43.643284)}",20,Weekdays from 7 AM - 9 PM,719,Mill Rd NB ,30,2018-01-24T18:00:00,36,2.0
5388,30 Westroyal Road,NB,,41,"{u'type': u'Point', u'coordinates': (-79.536486, 43.693097)}",5,Weekdays from 7 AM - 9 PM,895,Westroyal Rd NB ,40,2019-12-27T16:00:00,46,2.0
5389,31 Westroyal Road,SB,,41,"{u'type': u'Point', u'coordinates': (-79.536527, 43.692693)}",5,Weekdays from 7 AM - 9 PM,897,Westroyal Rd SB ,40,2019-12-27T16:00:00,46,2.0
5390,55 Saskatoon Drive,EB,,41,"{u'type': u'Point', u'coordinates': (-79.539949, 43.694218)}",30,Weekdays from 7 AM - 9 PM,995,Saskatoon Dr EB ,40,2019-04-02T14:00:00,46,2.0
5391,21 Montgomery Road,NB,,31,"{u'type': u'Point', u'coordinates': (-79.516682, 43.647954)}",20,Weekdays from 7 AM - 9 PM,193,Montgomery Rd NB ,30,2019-03-20T12:00:00,36,3.0
5392,89 Sun Row Drive,SB,,31,"{u'type': u'Point', u'coordinates': (-79.538962, 43.687118)}",20,Weekdays from 7 AM - 9 PM,2023,Sun Row Dr SB ,30,2020-03-10T04:00:00,36,2.0
5393,23 Fieldstone Road,SB,,51,"{u'type': u'Point', u'coordinates': (-79.57751, 43.634383)}",30,Weekdays from 7 AM - 9 PM,2050,Mill Rd SB ,50,2020-02-21T15:00:00,56,2.0
5394,72 Rathburn Road,WB,,41,"{u'type': u'Point', u'coordinates': (-79.537389, 43.66116)}",5,Weekdays from 7 AM - 9 PM,2169,Rathburn Rd WB ,40,2020-04-28T17:00:00,46,2.0
5395,112 Eringate Drive,WB,,41,"{u'type': u'Point', u'coordinates': (-79.581934, 43.660407)}",5,Weekdays from 7 AM - 9 PM,2218,Eringate Dr WB ,40,2020-06-01T15:00:00,46,2.0
5396,4319 Bloor Street,EB,,41,"{u'type': u'Point', u'coordinates': (-79.574247, 43.632239)}",5,Weekdays from 7 AM - 9 PM,2252,Bloor St W EB c,40,2020-07-20T16:00:00,46,2.0
5397,17 Forestview Road,NB,,41,"{u'type': u'Point', u'coordinates': (-79.572369, 43.631985)}",5,Weekdays from 7 AM - 9 PM,2259,Fairview Rd NB c,40,2020-07-20T17:00:00,46,2.0
5398,4319 Bloor Street,EB,,41,"{u'type': u'Point', u'coordinates': (-79.574247, 43.632239)}",5,Weekdays from 7 AM - 9 PM,2264,Bloor St W EB ,40,2020-07-26T04:00:00,46,2.0
5399,20 Saskatoon Drive,WB,,31,"{u'type': u'Point', u'coordinates': (-79.53657, 43.695111)}",20,Weekdays from 7 AM - 9 PM,2265,Saskatoon Dr WB ,30,2020-07-26T04:00:00,36,2.0
5400,17 Forestview Road,NB,,41,"{u'type': u'Point', u'coordinates': (-79.572369, 43.631985)}",5,Weekdays from 7 AM - 9 PM,2268,Fairview Rd NB ,40,2020-07-26T04:00:00,46,2.0
5401,278 Royal York Road,SB,,51,"{u'type': u'Point', u'coordinates': (-79.497885, 43.614718)}",30,Weekdays from 7 AM - 9 PM,93,Royal York Rd SB ,50,2019-04-03T12:00:00,56,3.0
5402,112 Norseman Street,EB,,31,"{u'type': u'Point', u'coordinates': (-79.51753, 43.634576)}",20,Weekdays from 7 AM - 9 PM,101,Norseman St EB ,30,2018-01-16T17:00:00,36,3.0
5403,30 Mimico Avenue,WB,,31,"{u'type': u'Point', u'coordinates': (-79.490724, 43.6136)}",20,Weekdays from 7 AM - 9 PM,112,Mimico Ave WB ,30,2019-03-07T16:00:00,36,3.0
5404,284 The East Mall,SB,,31,"{u'type': u'Point', u'coordinates': (-79.556752, 43.635698)}",20,Weekdays from 7 AM - 9 PM,121,The East Mall SB (2&amp;#x2F;2) ,30,2018-11-02T16:00:00,36,3.0
5405,55 Jutland Road,EB,,31,"{u'type': u'Point', u'coordinates': (-79.519735, 43.62825)}",20,Weekdays from 7 AM - 9 PM,124,Jutland Rd EB  ,30,2019-03-07T12:00:00,36,3.0
5406,28 Coules Court,WB,,51,"{u'type': u'Point', u'coordinates': (-79.549365, 43.608118)}",30,Weekdays from 7 AM - 9 PM,159,Coules Crt WB ,50,2019-04-03T13:00:00,56,3.0
5407,273 Royal York Road,NB,,51,"{u'type': u'Point', u'coordinates': (-79.49723, 43.61378)}",30,Weekdays from 7 AM - 9 PM,257,Royal York Rd NB ,50,2019-04-03T12:00:00,56,3.0
5408,87 Norseman Street,WB,,31,"{u'type': u'Point', u'coordinates': (-79.514798, 43.635297)}",20,Weekdays from 7 AM - 9 PM,292,Norseman St WB ,30,2018-01-16T18:00:00,36,3.0
5409,281 The East Mall,NB,,31,"{u'type': u'Point', u'coordinates': (-79.556771, 43.634644)}",20,Weekdays from 7 AM - 9 PM,469,The East Mall NB ,30,2018-11-02T16:00:00,36,3.0
5410, Royal York Road,NB,,31,"{u'type': u'Point', u'coordinates': (-79.505204, 43.632737)}",20,Weekdays from 7 AM - 9 PM,481,Royal York Rd NB ,30,2019-03-07T16:00:00,36,3.0
5411, Elizabeth Street,WB,,31,"{u'type': u'Point', u'coordinates': (-79.496548, 43.61454)}",20,Weekdays from 7 AM - 9 PM,484,Stanley Ave WB ,30,2019-03-07T16:00:00,36,3.0
5412,32 Montgomery Road,SB,,31,"{u'type': u'Point', u'coordinates': (-79.519897, 43.649478)}",20,Weekdays from 7 AM - 9 PM,563,Montgomery Rd SB ,30,2019-03-12T10:00:00,36,3.0
5413,104 Jutland Road,WB,,31,"{u'type': u'Point', u'coordinates': (-79.518436, 43.628689)}",20,Weekdays from 7 AM - 9 PM,573,Jutland Rd WB ,30,2019-03-20T10:00:00,36,3.0
5414,736 Royal York Road,SB,,31,"{u'type': u'Point', u'coordinates': (-79.506294, 43.63487)}",20,Weekdays from 7 AM - 9 PM,694,Royal York Rd SB ,30,2019-03-07T16:00:00,36,3.0
5415,55 Jutland Road,EB,,31,"{u'type': u'Point', u'coordinates': (-79.519735, 43.62825)}",20,Weekdays from 7 AM - 9 PM,752,Jutland Rd EB ,30,2019-11-22T05:00:00,36,3.0
5416,320 Kipling Avenue,SB,,61,"{u'type': u'Point', u'coordinates': (-79.517488, 43.599208)}",30,Weekdays from 7 AM - 9 PM,2064,Kipling Ave SB ,60,2020-03-10T17:00:00,66,3.0
5417,3180 Lake Shore Boulevard West,WB,,51,"{u'type': u'Point', u'coordinates': (-79.518265, 43.598048)}",30,Weekdays from 7 AM - 9 PM,2065,Lake Shore Blvd WB ,50,2020-03-10T17:00:00,56,3.0
5418,3182 Lake Shore Boulevard West,EB,,51,"{u'type': u'Point', u'coordinates': (-79.518351, 43.597847)}",30,Weekdays from 7 AM - 9 PM,2066,Lake Shore Blvd W EB ,50,2020-03-11T14:00:00,56,3.0
5419, Colonel Samuel Smith Park Drive,NB,,41,"{u'type': u'Point', u'coordinates': (-79.515931, 43.59609)}",5,Weekdays from 7 AM - 9 PM,2072,Colonel Samuel Smith Pk Dr NB ,40,2020-03-11T15:00:00,46,3.0
5420, Elizabeth Street,EB,,31,"{u'type': u'Point', u'coordinates': (-79.496548, 43.61454)}",20,Weekdays from 7 AM - 9 PM,2111,Stanley Ave EB ,30,2020-03-24T04:00:00,36,3.0
5421,106 Fern Avenue,WB,,31,"{u'type': u'Point', u'coordinates': (-79.44487, 43.645328)}",20,Weekdays from 7 AM - 9 PM,72,Fern Ave WB ,30,2019-03-20T10:00:00,36,4.0
5422,92 Jane Street,SB,2019-08-02T07:00:00,31,"{u'type': u'Point', u'coordinates': (-79.485482, 43.65153)}",20,Weekdays from 7 AM - 9 PM,144,Jane St SB ,30,2018-01-22T16:00:00,36,4.0
5423,178 Sunnyside Avenue,SB,,31,"{u'type': u'Point', u'coordinates': (-79.450555, 43.64381)}",20,Weekdays from 7 AM - 9 PM,146,Sunnyside Ave SB ,30,2019-04-11T14:00:00,36,4.0
5424,158 Sunnyside Avenue,NB,,31,"{u'type': u'Point', u'coordinates': (-79.450178, 43.643047)}",20,Weekdays from 7 AM - 9 PM,151,Sunnyside Ave NB ,30,2019-04-11T13:00:00,36,4.0
5425,125 Varsity Road,WB,,31,"{u'type': u'Point', u'coordinates': (-79.498917, 43.66192)}",20,Weekdays from 7 AM - 9 PM,168,Varsity Rd WB ,30,2017-12-13T16:00:00,36,4.0
5426,207 Windermere Avenue,NB,,31,"{u'type': u'Point', u'coordinates': (-79.476273, 43.642751)}",20,Weekdays from 7 AM - 9 PM,228,Windermere Ave NB ,30,2018-01-24T17:00:00,36,4.0
5427,214 Windermere Avenue,SB,,31,"{u'type': u'Point', u'coordinates': (-79.478022, 43.643963)}",20,Weekdays from 7 AM - 9 PM,237,Windermere Ave SB ,30,2018-01-24T17:00:00,36,4.0
5428,333 Runnymede Road,NB,,31,"{u'type': u'Point', u'coordinates': (-79.477359, 43.654033)}",20,Weekdays from 7 AM - 9 PM,272,Runnymede Rd NB ,30,2018-12-05T16:00:00,36,4.0
5429,236 Annette Street,EB,,31,"{u'type': u'Point', u'coordinates': (-79.47079, 43.662649)}",20,Weekdays from 7 AM - 9 PM,309,Annette St EB ,30,2019-03-07T15:00:00,36,4.0
5430,30 Marmaduke Street,WB,2018-07-03T12:00:00,31,"{u'type': u'Point', u'coordinates': (-79.4512990085, 43.6504567511)}",20,Weekdays from 7 AM - 9 PM,362,Marmaduke St WB ,30,2018-02-02T20:00:00,36,4.0
5431,18 Rexford Road,EB,,31,"{u'type': u'Point', u'coordinates': (-79.486237, 43.663628)}",20,Weekdays from 7 AM - 9 PM,375,Rexford Dr EB ,30,2019-03-11T11:00:00,36,4.0
5432,34 Brookside Avenue,SB,,31,"{u'type': u'Point', u'coordinates': (-79.491918, 43.6608)}",20,Weekdays from 7 AM - 9 PM,431,Brookside Ave SB ,30,2018-11-02T16:00:00,36,4.0
5433,329 Brock Avenue,NB,,31,"{u'type': u'Point', u'coordinates': (-79.436086, 43.651284)}",20,Weekdays from 7 AM - 9 PM,419,Brock Ave NB ,30,2018-02-05T19:00:00,36,9.0
5434,225 Garden Avenue,EB,,31,"{u'type': u'Point', u'coordinates': (-79.448613, 43.642732)}",20,Weekdays from 7 AM - 9 PM,520,Galley Ave EB ,30,2019-04-11T14:00:00,36,4.0
5435,1480 Bloor Street West,WB,2020-05-06T03:00:00,41,"{u'type': u'Point', u'coordinates': (-79.4505424948, 43.6569126948)}",30,Weekdays from 12 AM,552,Bloor St W WB ,40,2017-02-24T15:00:00,46,4.0
5436,14 Gateway Boulevard,WB,,41,"{u'type': u'Point', u'coordinates': (-79.332874, 43.710487)}",5,Weekdays from 7 AM - 9 PM,879,Gateway Blvd WB ,40,2019-12-11T18:00:00,46,16.0
5437,2269 Dundas Street West ,NB,2020-05-06T03:00:00,41,"{u'type': u'Point', u'coordinates': (-79.4521196337, 43.6548634474)}",30,Weekdays from 12 AM,643,Dundas St W NB ,40,2016-12-15T16:00:00,46,4.0
5438,29 Jane Street,NB,2020-06-26T18:00:00,41,"{u'type': u'Point', u'coordinates': (-79.484749, 43.650243)}",30,Weekdays from 7 AM - 9 PM,670,Jane St NB ,40,2018-01-16T15:00:00,46,4.0
5439,148 Varsity Road,EB,2020-03-27T17:00:00,31,"{u'type': u'Point', u'coordinates': (-79.500928, 43.662937)}",20,Weekdays from 7 AM - 9 PM,725,Varsity Rd EB ,30,2018-01-22T16:00:00,36,4.0
5440,109 Jameson Avenue,NB,2020-03-09T17:00:00,41,"{u'type': u'Point', u'coordinates': (-79.435318, 43.635557)}",5,Weekdays from 7 AM - 9 PM,888,Jameson Ave NB ,40,2019-12-19T18:00:00,46,4.0
5441,8 Saint Mark's Road,WB,,31,"{u'type': u'Point', u'coordinates': (-79.489842, 43.660301)}",20,Weekdays from 7 AM - 9 PM,1000,St Marks Rd WB ,30,2018-11-02T16:00:00,36,4.0
5442,440 Runnymede Road,SB,,41,"{u'type': u'Point', u'coordinates': (-79.478956, 43.65732)}",5,Weekdays from 7 AM - 9 PM,1976,Runnymede Rd SB ,40,2020-03-05T17:00:00,46,4.0
5443,156 Varsity Road,EB,,31,"{u'type': u'Point', u'coordinates': (-79.50101, 43.662984)}",20,Weekdays from 7 AM - 9 PM,2120,Varsity Rd EB ,30,2020-03-27T18:00:00,36,4.0
