Account Number,Assessment Year,Suite,House Number,Street Name,Legal Description,Latitude,Longitude,Point Location,Neighbourhood,Actual Year Built,Garage,Zoning,Lot Size,Assessed Value,Assessment Class 1,Assessment Class % 1,Assessment Class 2,Assessment Class % 2,Assessment Class 3,Assessment Class % 3
6207153,2015,,11821,105 STREET NW,Plan: RN52  Block: 4  Lot: 4 / Plan: RN52  Block: 4  Lot: 5,53.57102,-113.50054,POINT (-113.50054 53.57102),WESTWOOD,1964,N,RA7,1391.8530,1496500.00,OTHER RESIDENTIAL,100,,,,
6285860,2016,,10307,137 AVENUE NW,Plan: 6490KS  Block: 7  Lot: 13,53.59908,-113.49769,POINT (-113.49769 53.59908),ROSSLYN,1960,Y,RF1,550.5710,302000.00,RESIDENTIAL,100,,,,
6231393,2013,,17210,96 STREET NW,Plan: 8022148  Block: 1  Lot: 88,53.63505,-113.49076,POINT (-113.49076 53.63505),LAGO LINDO,1981,Y,RPL,604.0270,285000.00,RESIDENTIAL,100,,,,
6309082,2018,,13326,108 STREET NW,Plan: 1460MC  Block: 29A  Lot: 10,53.59425,-113.50712,POINT (-113.50712 53.59425),ROSSLYN,1960,Y,RF5,291.5390,216500.00,RESIDENTIAL,100,,,,
6287304,2018,,10324,135 AVENUE NW,Plan: 6490KS  Block: 9  Lot: 10,53.59699,-113.49867,POINT (-113.49867 53.59699),ROSSLYN,1959,Y,RF1,497.9690,290500.00,RESIDENTIAL,100,,,,
6244750,2014,,17007,95 STREET NW,Plan: 8022148  Block: 8  Lot: 147,53.63202,-113.48869,POINT (-113.48869 53.63202),LAGO LINDO,1981,Y,RF4,380.2560,291500.00,RESIDENTIAL,100,,,,
6185557,2013,,11909,102 STREET NW,Plan: RN52  Block: 1  Lot: 13 / Plan: RN52  Block: 1  Lot: 12,53.57234,-113.49502,POINT (-113.49502 53.57234),WESTWOOD,1971,N,RA7,1391.1220,1268000.00,OTHER RESIDENTIAL,100,,,,
6194609,2014,,10207,120 AVENUE NW,Plan: RN52  Block: 2  Lot: 20,53.57336,-113.49686,POINT (-113.49686 53.57336),WESTWOOD,1963,Y,RA7,695.7330,384000.00,RESIDENTIAL,100,,,,
6330534,2014,,13111,109 STREET NW,Plan: 5065KS  Block: 17  Lot: 9,53.59082,-113.50792,POINT (-113.50792 53.59082),LAUDERDALE,1962,Y,RF1,714.8190,315000.00,RESIDENTIAL,100,,,,
6244933,2014,,17025,95 STREET NW,Plan: 8022148  Block: 8  Lot: 151A,53.63292,-113.48854,POINT (-113.48854 53.63292),LAGO LINDO,1981,Y,RF4,412.6180,293500.00,RESIDENTIAL,100,,,,
6245773,2015,,17144,94 STREET NW,Plan: 8022148  Block: 8  Lot: 173,53.63386,-113.48568,POINT (-113.48568 53.63386),LAGO LINDO,1985,Y,RF1,910.4480,427500.00,RESIDENTIAL,100,,,,
6178503,2012,,12134,101 STREET NW,Plan: RN73  Block: 18  Lot: 8,53.57628,-113.49424,POINT (-113.49424 53.57628),WESTWOOD,1964,Y,RF3,695.8790,336500.00,RESIDENTIAL,100,,,,
6295851,2012,,13449,104 STREET NW,Plan: 128MC  Block: 16  Lot: 20A,53.59597,-113.49831,POINT (-113.49831 53.59597),ROSSLYN,1962,Y,RF1,749.6440,289000.00,RESIDENTIAL,100,,,,
6230890,2014,,9507,171 AVENUE NW,Plan: 8022148  Block: 1  Lot: 68,53.63297,-113.4896,POINT (-113.4896 53.63297),LAGO LINDO,1981,N,RF4,386.8840,248500.00,RESIDENTIAL,100,,,,
6283907,2018,,11008,136 AVENUE NW,Plan: 6280KS  Block: 4  Lot: 44,53.59867,-113.51102,POINT (-113.51102 53.59867),ROSSLYN,1961,Y,RF1,568.4090,302500.00,RESIDENTIAL,100,,,,
6334767,2017,,10435,129 AVENUE NW,Plan: 615KS  Block: 3  Lot: 19,53.58714,-113.50157,POINT (-113.50157 53.58714),LAUDERDALE,1955,Y,RF1,523.5600,235500.00,RESIDENTIAL,100,,,,
6327316,2013,,10723,128 AVENUE NW,Plan: 915KS  Block: 12  Lot: 35,53.58526,-113.50584,POINT (-113.50584 53.58526),LAUDERDALE,1956,Y,RF1,551.5300,256500.00,RESIDENTIAL,100,,,,
6295893,2013,,13446,104 STREET NW,Plan: 128MC  Block: 16  Lot: 23,53.59576,-113.4989,POINT (-113.4989 53.59576),ROSSLYN,1962,Y,RF1,1073.1720,323500.00,RESIDENTIAL,100,,,,
6292569,2013,,10112,133 AVENUE NW,Plan: 5457KS  Block: 14  Lot: 2,53.59362,-113.49447,POINT (-113.49447 53.59362),ROSSLYN,1961,Y,RF4,507.1530,294000.00,RESIDENTIAL,100,,,,
6216709,2012,,12018,105 STREET NW,Plan: RN52  Block: 5  Lot: 46,53.57427,-113.5016,POINT (-113.5016 53.57427),WESTWOOD,1949,Y,RF3,696.0710,252000.00,RESIDENTIAL,100,,,,
6304687,2012,,10932,134 AVENUE NW,Plan: 3712MC  Block: 26  Lot: 37A,53.5952,-113.51044,POINT (-113.51044 53.5952),ROSSLYN,1962,Y,RF4,351.0870,233500.00,RESIDENTIAL,100,,,,
6330633,2013,,13131,109 STREET NW,Plan: 5065KS  Block: 17  Lot: 14,53.59149,-113.50792,POINT (-113.50792 53.59149),LAUDERDALE,1961,Y,RF1,710.2860,294500.00,RESIDENTIAL,100,,,,
6280663,2014,,11308,134 AVENUE NW,Plan: 6280KS  Block: 1  Lot: 34,53.59519,-113.51549,POINT (-113.51549 53.59519),ROSSLYN,1959,Y,RF1,558.0730,298500.00,RESIDENTIAL,100,,,,
6305106,2018,,13511,111 STREET NW,Plan: 6280KS  Block: 26  Lot: 58,53.5974,-113.51173,POINT (-113.51173 53.5974),ROSSLYN,1961,Y,RF1,557.1660,302500.00,RESIDENTIAL,100,,,,
6239206,2017,,9508,171 AVENUE NW,Plan: 8022148  Block: 3  Lot: 43,53.63342,-113.48946,POINT (-113.48946 53.63342),LAGO LINDO,1983,N,RF1,553.9750,286500.00,RESIDENTIAL,100,,,,
6298541,2013,,13410,105 STREET NW,Plan: 6490KS  Block: 21  Lot: 5U,53.59541,-113.50116,POINT (-113.50116 53.59541),ROSSLYN,,N,RF1,102.3100,0.00,RESIDENTIAL,100,,,,
6241368,2012,,9224,171 AVENUE NW,Plan: 8022146  Block: 7  Lot: 14,53.63341,-113.48269,POINT (-113.48269 53.63341),LAGO LINDO,1983,Y,RF1,467.2560,311000.00,RESIDENTIAL,100,,,,
6329916,2018,,12928,108 STREET NW,Plan: 915KS  Block: 15  Lot: 36,53.58874,-113.50711,POINT (-113.50711 53.58874),LAUDERDALE,1955,N,RF1,714.7080,224500.00,RESIDENTIAL,100,,,,
6190318,2015,,11920,101 STREET NW,Plan: RN52  Block: 1  Lot: 58 / Plan: RN52  Block: 1  Lot: 57 / Plan: RN52  Block: 1  Lot: 56,53.57255,-113.49424,POINT (-113.49424 53.57255),WESTWOOD,1979,N,RA7,2085.6830,2261000.00,OTHER RESIDENTIAL,100,,,,
6287528,2012,,13527,104A STREET NW,Plan: 6490KS  Block: 9  Lot: 21,53.59762,-113.50033,POINT (-113.50033 53.59762),ROSSLYN,1959,Y,RF1,801.9790,262500.00,RESIDENTIAL,100,,,,
6331243,2013,,10744,131A AVENUE NW,Plan: 792MC  Block: 17  Lot: 45,53.59139,-113.50671,POINT (-113.50671 53.59139),LAUDERDALE,1960,Y,RF1,678.7030,245500.00,RESIDENTIAL,100,,,,
6188320,2019,,12112,101 STREET NW,Plan: 8021788  Block: 1  Lot: 39B,53.57541,-113.49424,POINT (-113.49424 53.57541),WESTWOOD,1979,Y,RF3,347.8750,278000.00,RESIDENTIAL,100,,,,
6344469,2018,,12808,102 STREET NW,Plan: 2625MC  Block: 7B  Lot: 9,53.58603,-113.49599,POINT (-113.49599 53.58603),LAUDERDALE,1961,Y,RF4,672.5620,382500.00,RESIDENTIAL,100,,,,
6241384,2017,,9228,171 AVENUE NW,Plan: 8022146  Block: 7  Lot: 15,53.63346,-113.48288,POINT (-113.48288 53.63346),LAGO LINDO,1981,Y,RF1,467.2500,327500.00,RESIDENTIAL,100,,,,
6212153,2019,,11846,104 STREET NW,Plan: RN52  Block: 4  Lot: 61 / Plan: RN52  Block: 4  Lot: 62 / Plan: RN52  Block: 4  Lot: 63,53.57164,-113.49976,POINT (-113.49976 53.57164),WESTWOOD,1969,N,RA7,2087.0560,2399500.00,OTHER RESIDENTIAL,100,,,,
6290423,2018,,13419,101 STREET NW,Plan: 2920MC  Block: 11  Lot: 9A,53.59528,-113.49324,POINT (-113.49324 53.59528),ROSSLYN,1963,Y,RF4,391.9420,241000.00,RESIDENTIAL,100,,,,
6328215,2012,,12812,107 STREET NW,Plan: 3306KS  Block: 13  Lot: 36,53.58618,-113.50473,POINT (-113.50473 53.58618),LAUDERDALE,1958,Y,RF1,628.2410,274000.00,RESIDENTIAL,100,,,,
6294342,2015,,10203,135 AVENUE NW,Plan: 6490KS  Block: 15  Lot: 8U,53.59649,-113.49553,POINT (-113.49553 53.59649),ROSSLYN,,N,RF1,174.3120,500.00,RESIDENTIAL,100,,,,
6175202,2019,,12318,101 STREET NW,Plan: 4600R  Block: 16  Lot: 18,53.5788,-113.49424,POINT (-113.49424 53.5788),WESTWOOD,1948,N,RF3,459.9780,196500.00,RESIDENTIAL,100,,,,
6284129,2015,,10523,137 AVENUE NW,Plan: 6490KS  Block: 5  Lot: 6,53.59907,-113.50416,POINT (-113.50416 53.59907),ROSSLYN,1962,Y,RF1,526.3520,294000.00,RESIDENTIAL,100,,,,
6332696,2012,,10531,128 AVENUE NW,Plan: 615KS  Block: 1  Lot: 14,53.58525,-113.50233,POINT (-113.50233 53.58525),LAUDERDALE,1956,Y,RF1,515.0540,253000.00,RESIDENTIAL,100,,,,
6342638,2015,,12803,104 STREET NW,Plan: 615KS  Block: 6A  Lot: 5,53.58565,-113.49852,POINT (-113.49852 53.58565),LAUDERDALE,1955,Y,RF1,617.1380,309500.00,RESIDENTIAL,100,,,,
6332993,2019,,12807,107 STREET NW,Plan: 615KS  Block: 2  Lot: 2,53.58579,-113.50371,POINT (-113.50371 53.58579),LAUDERDALE,1992,Y,RF1,670.2520,339000.00,RESIDENTIAL,100,,,,
6329411,2018,,12914,107 STREET NW,Plan: 915KS  Block: 14  Lot: 36,53.58815,-113.50502,POINT (-113.50502 53.58815),LAUDERDALE,1957,Y,RF1,829.2990,357000.00,RESIDENTIAL,100,,,,
6290381,2012,,13425,101 STREET NW,Plan: 2974MC  Block: 11  Lot: 8,53.59553,-113.49324,POINT (-113.49324 53.59553),ROSSLYN,1961,Y,RF4,391.9320,231000.00,RESIDENTIAL,100,,,,
6341770,2015,,12963,LAUDERDALE ROAD NW,Plan: 6166KS  Block: 6  Lot: 17,53.58956,-113.4989,POINT (-113.4989 53.58956),LAUDERDALE,1962,Y,RF1,627.2010,324000.00,RESIDENTIAL,100,,,,
6242390,2016,,17106,93 STREET NW,Plan: 8022146  Block: 8  Lot: 43PUL,53.63571,-113.48424,POINT (-113.48424 53.63571),LAGO LINDO,,N,RF1,5456.6220,27000.00,COMMERCIAL,100,,,,
6337497,2019,,13008,105 STREET NW,Plan: 6166KS  Block: 5  Lot: 30,53.5899,-113.50101,POINT (-113.50101 53.5899),LAUDERDALE,1959,Y,RF1,595.5660,294000.00,RESIDENTIAL,100,,,,
6285100,2016,,10439,137 AVENUE NW,Plan: 6490KS  Block: 6  Lot: 4,53.59907,-113.50173,POINT (-113.50173 53.59907),ROSSLYN,1961,Y,RF1,547.4490,291500.00,RESIDENTIAL,100,,,,
6338578,2015,,10535,LAUDER AVENUE NW,Plan: 6166KS  Block: 5A  Lot: 32,53.59175,-113.50102,POINT (-113.50102 53.59175),LAUDERDALE,1959,Y,RF1,459.2030,296500.00,RESIDENTIAL,100,,,,
6304646,2016,,10922,134 AVENUE NW,Plan: 6280KS  Block: 26  Lot: 35U,53.5952,-113.50989,POINT (-113.50989 53.5952),ROSSLYN,,N,RF4,222.9220,0.00,RESIDENTIAL,100,,,,
6242119,2015,,17236,93 STREET NW,Plan: 8022146  Block: 8  Lot: 29PUL,53.63537,-113.48355,POINT (-113.48355 53.63537),LAGO LINDO,,N,RF1,260.7020,1000.00,RESIDENTIAL,100,,,,
6240717,2018,,16916,92 STREET NW,Plan: 8022146  Block: 6  Lot: 11,53.63142,-113.48319,POINT (-113.48319 53.63142),LAGO LINDO,1981,Y,RF1,500.7450,364500.00,RESIDENTIAL,100,,,,
6197602,2017,,10204,120 AVENUE NW,Plan: RN52  Block: 2  Lot: 50,53.57372,-113.49608,POINT (-113.49608 53.57372),WESTWOOD,1977,Y,RF3,695.7540,560500.00,RESIDENTIAL,100,,,,
6337497,2017,,13008,105 STREET NW,Plan: 6166KS  Block: 5  Lot: 30,53.5899,-113.50101,POINT (-113.50101 53.5899),LAUDERDALE,1959,Y,RF1,595.5660,316000.00,RESIDENTIAL,100,,,,
6244719,2015,,17003,95 STREET NW,Plan: 8022148  Block: 8  Lot: 146,53.63182,-113.48867,POINT (-113.48867 53.63182),LAGO LINDO,1982,Y,RF4,358.9190,294000.00,RESIDENTIAL,100,,,,
6300404,2016,,13515,107 STREET NW,Plan: 6490KS  Block: 22,53.59605,-113.50327,POINT (-113.50327 53.59605),ROSSLYN,1960,N,US,36467.0540,7491000.00,COMMERCIAL,100,,,,
6186001,2012,,11925,102 STREET NW,Plan: RN52  Block: 1  Lot: 16,53.57282,-113.49502,POINT (-113.49502 53.57282),WESTWOOD,1970,N,RA7,695.9910,672000.00,OTHER RESIDENTIAL,100,,,,
6327365,2014,,10711,128 AVENUE NW,Plan: 915KS  Block: 12  Lot: 39,53.58526,-113.50503,POINT (-113.50503 53.58526),LAUDERDALE,1958,Y,RF1,569.8390,266500.00,RESIDENTIAL,100,,,,
6297683,2017,,13328,104 STREET NW,Plan: 6490KS  Block: 19  Lot: 26,53.59388,-113.49949,POINT (-113.49949 53.59388),ROSSLYN,1962,Y,RF1,604.2870,312500.00,RESIDENTIAL,100,,,,
6305221,2017,,13535,111 STREET NW,Plan: 6280KS  Block: 26  Lot: 64,53.59824,-113.51173,POINT (-113.51173 53.59824),ROSSLYN,1964,Y,RF1,666.7280,352500.00,RESIDENTIAL,100,,,,
6195200,2019,,12025,103 STREET NW,Plan: RN52  Block: 2  Lot: 26,53.5744,-113.49686,POINT (-113.49686 53.5744),WESTWOOD,1949,Y,RF3,695.8990,295000.00,RESIDENTIAL,100,,,,
6338073,2015,,10614,LAUDERDALE ROAD NW,Plan: 6166KS  Block: 5A  Lot: 17U / Plan: 6166KS  Block: 5A  Lot: 29U / Plan: 6166KS  Block: 5A  Lot: 6U / Plan: 6166KS  Block: 5A  Lot: 9U,53.59137,-113.50326,POINT (-113.50326 53.59137),LAUDERDALE,,N,RF1,247.4170,0.00,RESIDENTIAL,100,,,,
6310106,2014,,13237,109 STREET NW,Plan: 1830MC  Block: 29A  Lot: 60,53.59342,-113.50793,POINT (-113.50793 53.59342),ROSSLYN,1960,N,RF5,291.6020,193000.00,RESIDENTIAL,100,,,,
6334288,2013,,12803,105 STREET NW,Plan: 615KS  Block: 3  Lot: 3,53.58577,-113.5005,POINT (-113.5005 53.58577),LAUDERDALE,1955,Y,RF1,561.8290,261500.00,RESIDENTIAL,100,,,,
6204101,2014,,12018,103 STREET NW,Plan: RN52  Block: 3  Lot: 46,53.57427,-113.49792,POINT (-113.49792 53.57427),WESTWOOD,1947,Y,RF3,697.0230,245000.00,RESIDENTIAL,100,,,,
6282685,2014,,13531,112 STREET NW,Plan: 6280KS  Block: 3  Lot: 40,53.59815,-113.51322,POINT (-113.51322 53.59815),ROSSLYN,2010,Y,RF1,709.0690,454000.00,RESIDENTIAL,100,,,,
6244834,2014,,17015,95 STREET NW,Plan: 8022148  Block: 8  Lot: 149,53.63243,-113.48872,POINT (-113.48872 53.63243),LAGO LINDO,1981,Y,RF4,379.7110,285500.00,RESIDENTIAL,100,,,,
6305403,2013,,13411,112 STREET NW,Plan: 6280KS  Block: 27  Lot: 7,53.59561,-113.5132,POINT (-113.5132 53.59561),ROSSLYN,1959,Y,RF1,545.7130,231500.00,RESIDENTIAL,100,,,,
6292742,2018,,13222,102 STREET NW,Plan: 5457KS  Block: 14  Lot: 11,53.59294,-113.49594,POINT (-113.49594 53.59294),ROSSLYN,1963,Y,RF4,757.1790,457500.00,RESIDENTIAL,100,,,,
6240675,2016,,16924,92 STREET NW,Plan: 8022146  Block: 6  Lot: 9,53.63168,-113.48307,POINT (-113.48307 53.63168),LAGO LINDO,1981,Y,RF1,510.3420,394000.00,RESIDENTIAL,100,,,,
6187207,2014,,12035,102 STREET NW,Plan: RN52  Block: 1  Lot: 28,53.57468,-113.49503,POINT (-113.49503 53.57468),WESTWOOD,1980,Y,RF3,695.3320,512500.00,RESIDENTIAL,100,,,,
6327167,2015,,12820,108 STREET NW,Plan: 915KS  Block: 12  Lot: 26,53.58605,-113.50711,POINT (-113.50711 53.58605),LAUDERDALE,1956,Y,RF1,655.5280,260500.00,RESIDENTIAL,100,,,,
6284269,2013,,10711,137 AVENUE NW,Plan: 6490KS  Block: 5  Lot: 13,53.59906,-113.50571,POINT (-113.50571 53.59906),ROSSLYN,1960,Y,RF1,526.3630,313000.00,RESIDENTIAL,100,,,,
6297782,2015,,13308,104 STREET NW,Plan: 6490KS  Block: 19  Lot: 31,53.5932,-113.49949,POINT (-113.49949 53.5932),ROSSLYN,1961,Y,RF1,686.5890,334000.00,RESIDENTIAL,100,,,,
6329882,2019,,12936,108 STREET NW,Plan: 915KS  Block: 15  Lot: 34,53.58901,-113.50711,POINT (-113.50711 53.58901),LAUDERDALE,1956,Y,RF1,700.1160,242500.00,RESIDENTIAL,100,,,,
1272145,2018,,,,,,,,SPUR LINES,1991,N,AG,0.0000,14659.00,,,,,,
1226125,2016,,,,,,,,DOWNTOWN,1981,N,CMX*,0.0000,500.00,COMMERCIAL,100,,,,
1270602,2013,,,,,,,,SPUR LINES,1991,N,AG,562.8000,2878.00,COMMERCIAL,100,,,,
1270990,2018,,,,,,,,SPUR LINES,1991,N,AG,0.0000,2540.00,,,,,,
1273432,2012,,,,,,,,BATTERY OIL FIELDS,1991,N,AG,0.0000,1000.00,COMMERCIAL,100,,,,
1309863,2017,,,,,,,,DOWNTOWN,1983,N,DC2,0.0000,500.00,COMMERCIAL,100,,,,
1590348,2018,,17033,118 AVENUE NW,Plan: 7721396  Block: 1  Lot: 12G,53.57004,-113.61789,POINT (-113.61789 53.57004),ARMSTRONG INDUSTRIAL,1979,N,IB,84.0000,11500.00,,,,,,
3081742,2013,,,,,,,,SPUR LINES,1991,N,AG,0.0000,3839.00,COMMERCIAL,100,,,,
3746492,2018,,,,,,,,SPUR LINES,1991,N,AG,0.0000,1759.00,,,,,,
3793882,2018,,,,,,,,COMMUNICATIONS & TRANSMITTING,1991,N,PL,0.0000,19715170.00,,,,,,
3857265,2012,,,,,,,,SPUR LINES,1991,N,AG,0.0000,2569.00,COMMERCIAL,100,,,,
3872116,2018,,,,,,,,SPUR LINES,1991,N,AG,85.8010,977.00,,,,,,
4019329,2018,,,,,,,,OGILVIE RIDGE,1988,N,AG,0.0000,9000.00,,,,,,
4140562,2015,,,,,,,,DOWNTOWN,1972,N,CMX*,0.0000,500.00,COMMERCIAL,100,,,,
4265021,2015,,,,,,,,SPUR LINES,1991,N,AG,172.2630,1998.00,COMMERCIAL,100,,,,
4314142,2014,,1304,34 STREET SW,,53.42161,-113.39673,POINT (-113.39673 53.42161),RURAL SOUTH EAST,1985,N,AG,,12500.00,RESIDENTIAL,100,,,,
4314373,2018,,,,,,,,POWER STATIONS,1991,N,AG,,205820320.00,,,,,,
6221402,2012,,11941,121 STREET NW,,,,,EDMONTON MUNICIPAL AIRPORT,1977,N,MA,12370.0000,2918000.00,COMMERCIAL,100,,,,
6308605,2013,,11015,134 AVENUE NW,,53.59354,-113.51024,POINT (-113.51024 53.59354),ROSSLYN,1964,N,AP,8650.0000,1491000.00,COMMERCIAL,100,,,,
6859201,2018,,11901,157 AVENUE NW,Plan: 7521648  Block: 40  Lot: 5G,53.6188,-113.52829,POINT (-113.52829 53.6188),DUNLUCE,1976,N,RA7,44.4920,6500.00,,,,,,
9210402,2016,,7104,87 AVENUE NW,,53.52273,-113.43677,POINT (-113.43677 53.52273),KENILWORTH,1999,N,AP,5620.0000,1489000.00,COMMERCIAL,100,,,,
9525304,2019,,523,101 STREET NW,NW  28-51-24-4,,,,ANTHONY HENDAY SOUTHEAST,,N,AG,225537.7220,918000.00,RESIDENTIAL,100,,,,
9938394,2018,,,,,,,,SPUR LINES,1991,N,AG,0.0000,2736.00,,,,,,
9964034,2013,,1810,66 AVENUE NW,,,,,SPUR LINES,1991,N,AG,0.0000,1051.00,COMMERCIAL,100,,,,
9966130,2018,,,,,,,,SPUR LINES,1991,N,AG,,1172.00,,,,,,
9979153,2018,,,,,,,,PIPELINES OIL FIELD,1999,N,AG,,2463100.00,,,,,,
9979757,2014,,1703,17 STREET SW,,53.42062,-113.36758,POINT (-113.36758 53.42062),RURAL SOUTH EAST,1998,Y,AG,,71000.00,RESIDENTIAL,100,,,,
9988374,2018,,,,,,,,POWER STATIONS,2001,N,AG,,329008700.00,,,,,,
9989345,2012,,,,,,,,SPUR LINES,,N,AG,,0.00,COMMERCIAL,100,,,,
9994294,2012,,,,,,,,SPUR LINES,,N,AG,,2270.00,COMMERCIAL,100,,,,
9996920,2012,,11415,168 STREET NW,,,,,SPUR LINES,,N,AG,,1271.00,COMMERCIAL,100,,,,
9997844,2017,,185,EVERGREEN PARK NW,,53.63122,-113.35222,POINT (-113.35222 53.63122),EVERGREEN,2002,N,RMH,,86500.00,RESIDENTIAL,100,,,,
9999925,2018,,,,,,,,SPUR LINES,,N,AG,,4690.00,,,,,,
10005433,2013,,,,,,,,SPRUCE AVENUE,,N,CSC,139.2570,28000.00,COMMERCIAL,100,,,,
10005786,2012,,12555,62 STREET NW,,,,,SPUR LINES,,N,AG,,6950.00,COMMERCIAL,100,,,,
10021140,2018,,,,,,,,COMMUNICATIONS & TRANSMITTING,2004,N,AG,,4890280.00,,,,,,
10021505,2017,,311,EVERGREEN PARK NW,,53.63123,-113.35456,POINT (-113.35456 53.63123),EVERGREEN,2004,N,RMH,,101000.00,RESIDENTIAL,100,,,,
10021542,2016,,49,RIM ROAD NW,,53.4999,-113.36213,POINT (-113.36213 53.4999),MAPLE RIDGE,2004,N,RMH,,102000.00,RESIDENTIAL,100,,,,
