_id,Index_,event_unique_id,Primary_Offence,Occurrence_Date,Occurrence_Year,Occurrence_Month,Occurrence_Day,Occurrence_Time,Division,City,Location_Type,Premise_Type,Bike_Make,Bike_Model,Bike_Type,Bike_Speed,Bike_Colour,Cost_of_Bike,Status,Hood_ID,Neighbourhood,Lat,Long,ObjectId,geometry
14,214,GO-20142069863,B&E W'INTENT,2014-05-12T00:00:00,2014,5,12,23:00,14,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,MONGOOSE,UNKNOWN,MT,12,BLU,80.0,STOLEN,82,Niagara (82),,-79.4135666,14,"{u'type': u'Point', u'coordinates': (-79.4135666, 43.6405411)}"
15,215,GO-20142071427,THEFT UNDER,2014-05-12T00:00:00,2014,5,12,15:45,42,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,NEXT,POWER CLIMBER,MT,21,BLK,,STOLEN,131,Rouge (131),,-79.18843079999999,15,"{u'type': u'Point', u'coordinates': (-79.1884308, 43.8082275)}"
16,216,GO-20142071427,THEFT UNDER,2014-05-12T00:00:00,2014,5,12,15:45,42,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,NEXT,POWER CLIMBER,MT,21,RED,120.0,RECOVERED,131,Rouge (131),,-79.18843079999999,16,"{u'type': u'Point', u'coordinates': (-79.1884308, 43.8082275)}"
17,217,GO-20142072716,THEFT UNDER,2014-05-12T00:00:00,2014,5,12,18:00,51,Toronto,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,EBIKE,,EL,3,WHI,900.0,STOLEN,75,Church-Yonge Corridor (75),,-79.3823166,17,"{u'type': u'Point', u'coordinates': (-79.3823166, 43.6590424)}"
18,218,GO-20142072781,THEFT UNDER,2014-05-13T00:00:00,2014,5,13,08:30,51,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,FUJI,FEATHER,MT,1,BLK,800.0,STOLEN,77,Waterfront Communities-The Island (77),,-79.3594437,18,"{u'type': u'Point', u'coordinates': (-79.3594437, 43.6495018)}"
19,219,GO-20142076977,THEFT UNDER,2014-05-13T00:00:00,2014,5,13,15:00,11,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,TREK,,MT,21,BLUGRN,200.0,STOLEN,86,Roncesvalles (86),,-79.4430695,19,"{u'type': u'Point', u'coordinates': (-79.4430695, 43.6446609)}"
20,220,GO-20142077430,PROPERTY - FOUND,2014-05-14T00:00:00,2014,5,14,12:43,52,Toronto,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,KONA,,TO,18,,,STOLEN,77,Waterfront Communities-The Island (77),,-79.3816757,20,"{u'type': u'Point', u'coordinates': (-79.3816757, 43.6428566)}"
21,221,GO-20142078954,THEFT UNDER,2014-05-14T00:00:00,2014,5,14,15:00,55,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,FORTRESS,1700,SC,1,DBL,700.0,STOLEN,70,South Riverdale (70),,-79.3316269,21,"{u'type': u'Point', u'coordinates': (-79.3316269, 43.662941)}"
22,222,GO-20142079726,THEFT UNDER,2014-05-14T00:00:00,2014,5,14,11:00,52,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,FELT,,OT,18,,250.0,STOLEN,76,Bay Street Corridor (76),,-79.3812714,22,"{u'type': u'Point', u'coordinates': (-79.3812714, 43.6505089)}"
23,223,GO-20142080050,THEFT UNDER,2014-05-14T00:00:00,2014,5,14,07:30,55,Toronto,"Private Property (Pool, Shed, Detached Garage)",Other,OPUS,CLASSICO,OT,7,BLK,675.0,STOLEN,70,South Riverdale (70),,-79.3313522,23,"{u'type': u'Point', u'coordinates': (-79.3313522, 43.6600647)}"
24,224,GO-20142082360,THEFT UNDER,2014-05-12T00:00:00,2014,5,12,23:00,55,Toronto,"Private Property (Pool, Shed, Detached Garage)",Other,OTHER,,RG,21,GRY,1500.0,STOLEN,63,The Beaches (63),,-79.3092194,24,"{u'type': u'Point', u'coordinates': (-79.3092194, 43.6644707)}"
25,225,GO-20142082360,THEFT UNDER,2014-05-12T00:00:00,2014,5,12,23:00,55,Toronto,"Private Property (Pool, Shed, Detached Garage)",Other,SPECIALIZED,,MT,1,BLK,1500.0,STOLEN,63,The Beaches (63),,-79.3092194,25,"{u'type': u'Point', u'coordinates': (-79.3092194, 43.6644707)}"
26,226,GO-20142082360,THEFT UNDER,2014-05-12T00:00:00,2014,5,12,23:00,55,Toronto,"Private Property (Pool, Shed, Detached Garage)",Other,OTHER,LLBEAN,RG,20,BLU,450.0,STOLEN,63,The Beaches (63),,-79.3092194,26,"{u'type': u'Point', u'coordinates': (-79.3092194, 43.6644707)}"
27,227,GO-20142084500,THEFT UNDER,2014-05-13T00:00:00,2014,5,13,17:30,52,Toronto,Universities / Colleges,Other,CCM,ORION,OT,21,BLKBLU,305.0,STOLEN,79,University (79),,-79.4000397,27,"{u'type': u'Point', u'coordinates': (-79.4000397, 43.6674614)}"
28,942,GO-20142786000,THEFT UNDER,2014-07-29T00:00:00,2014,7,29,15:32,43,Toronto,Universities / Colleges,Other,CCM,,FO,1,WHI,400.0,STOLEN,134,Highland Creek (134),,-79.1841736,237,"{u'type': u'Point', u'coordinates': (-79.1841736, 43.7844505)}"
29,228,GO-20142084804,B&E,2014-05-15T00:00:00,2014,5,15,14:00,11,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,JAMIS,HYBRID,MT,30,GRY,1000.0,STOLEN,89,Runnymede-Bloor West Village (89),,-79.493515,28,"{u'type': u'Point', u'coordinates': (-79.493515, 43.6611328)}"
30,229,GO-20142085266,THEFT UNDER,2014-05-15T00:00:00,2014,5,15,14:00,55,Toronto,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,OTHER,BMX VERDE EON,BM,0,BLK,760.0,STOLEN,63,The Beaches (63),,-79.3092194,29,"{u'type': u'Point', u'coordinates': (-79.3092194, 43.6644707)}"
31,230,GO-20142085824,THEFT UNDER,2014-05-15T00:00:00,2014,5,15,07:20,55,Toronto,"Private Property (Pool, Shed, Detached Garage)",Other,THIN BLUE LINE,CYCLONE,MT,24,BRN,400.0,STOLEN,62,East End-Danforth (62),,-79.2914963,30,"{u'type': u'Point', u'coordinates': (-79.2914963, 43.6868172)}"
32,231,GO-20142085824,THEFT UNDER,2014-05-15T00:00:00,2014,5,15,07:20,55,Toronto,"Private Property (Pool, Shed, Detached Garage)",Other,TREK,7100WSD,OT,21,WHI,500.0,STOLEN,62,East End-Danforth (62),,-79.2914963,31,"{u'type': u'Point', u'coordinates': (-79.2914963, 43.6868172)}"
33,232,GO-20142085833,THEFT UNDER,2014-05-15T00:00:00,2014,5,15,15:45,54,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SUPERCYCLE,,MT,18,RED,200.0,STOLEN,67,Playter Estates-Danforth (67),,-79.3509521,32,"{u'type': u'Point', u'coordinates': (-79.3509521, 43.6777382)}"
34,233,GO-20142087190,THEFT UNDER,2014-05-15T00:00:00,2014,5,15,08:00,52,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,LI,VALETTA,EL,1,BLK,1600.0,STOLEN,76,Bay Street Corridor (76),,-79.3778458,33,"{u'type': u'Point', u'coordinates': (-79.3778458, 43.648468)}"
35,234,GO-20142089260,THEFT UNDER,2014-04-28T00:00:00,2014,4,28,08:00,31,Toronto,Schools During Un-Supervised Activity,Other,SUPERCYCLE,,MT,12,BLK,,STOLEN,24,Black Creek (24),,-79.5149612,34,"{u'type': u'Point', u'coordinates': (-79.5149612, 43.7671585)}"
36,235,GO-20142089548,THEFT UNDER,2014-05-10T00:00:00,2014,5,10,20:00,55,Toronto,"Private Property (Pool, Shed, Detached Garage)",Other,DEVINCI,DUBIN,MT,27,BLKGRY,859.98,STOLEN,62,East End-Danforth (62),,-79.2908936,35,"{u'type': u'Point', u'coordinates': (-79.2908936, 43.6869469)}"
37,236,GO-20142089548,THEFT UNDER,2014-05-10T00:00:00,2014,5,10,20:00,55,Toronto,"Private Property (Pool, Shed, Detached Garage)",Other,GIANT,ESCAPE CITY,MT,8,PLEGRY,579.99,STOLEN,62,East End-Danforth (62),,-79.2908936,36,"{u'type': u'Point', u'coordinates': (-79.2908936, 43.6869469)}"
38,237,GO-20142094230,THEFT UNDER,2014-05-16T00:00:00,2014,5,16,21:10,22,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OTHER,,MT,12,BLK,20.0,STOLEN,20,Alderwood (20),,-79.5363693,37,"{u'type': u'Point', u'coordinates': (-79.5363693, 43.6036797)}"
39,238,GO-20142097821,THEFT UNDER,2014-05-12T00:00:00,2014,5,12,12:00,53,Toronto,"Apartment (Rooming House, Condo)",Apartment,TREK,UNKNOWN,OT,21,BLKRED,700.0,STOLEN,100,Yonge-Eglinton (100),,-79.40103909999999,38,"{u'type': u'Point', u'coordinates': (-79.4010391, 43.7077065)}"
40,239,GO-20142099050,B&E,2014-05-16T00:00:00,2014,5,16,15:00,22,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GT,RUKUS,MT,9,GRY,1800.0,STOLEN,13,Etobicoke West Mall (13),,-79.5680084,39,"{u'type': u'Point', u'coordinates': (-79.5680084, 43.6418571)}"
41,240,GO-20142099050,B&E,2014-05-16T00:00:00,2014,5,16,15:00,22,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,JAMIS,DURANGO,MT,24,SIL,800.0,STOLEN,13,Etobicoke West Mall (13),,-79.5680084,40,"{u'type': u'Point', u'coordinates': (-79.5680084, 43.6418571)}"
42,241,GO-20142099437,THEFT UNDER,2014-05-17T00:00:00,2014,5,17,19:00,31,Toronto,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,OTHER,FUGITIVE,MT,21,GRY,189.0,STOLEN,26,Downsview-Roding-CFB (26),,-79.5088272,41,"{u'type': u'Point', u'coordinates': (-79.5088272, 43.7208595)}"
43,242,GO-20142102880,B&E W'INTENT,2014-05-18T00:00:00,2014,5,18,03:52,54,Toronto,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,OTHER,ECO STAR,OT,1,BLU,700.0,STOLEN,62,East End-Danforth (62),,-79.2962646,42,"{u'type': u'Point', u'coordinates': (-79.2962646, 43.6893959)}"
44,243,GO-20142103476,THEFT UNDER,2014-05-18T00:00:00,2014,5,18,11:15,52,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,GIANT,ESCAPE,OT,24,SIL,600.0,STOLEN,76,Bay Street Corridor (76),,-79.3833084,43,"{u'type': u'Point', u'coordinates': (-79.3833084, 43.6613159)}"
45,244,GO-20142104453,THEFT UNDER,2014-05-18T00:00:00,2014,5,18,13:30,52,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,GIANT,FCR3,OT,8,,,STOLEN,76,Bay Street Corridor (76),,-79.3839645,44,"{u'type': u'Point', u'coordinates': (-79.3839645, 43.6556587)}"
46,245,GO-20142109010,THEFT UNDER,2014-05-18T00:00:00,2014,5,18,21:00,51,Toronto,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,OPUS,LIBRETTO,RC,1,GRNBRN,675.0,RECOVERED,75,Church-Yonge Corridor (75),,-79.37807459999999,45,"{u'type': u'Point', u'coordinates': (-79.3780746, 43.662117)}"
47,246,GO-20142109153,THEFT UNDER,2014-04-18T00:00:00,2014,4,18,17:00,11,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,ELECTRA,RAT ROD,TO,0,BLK,262.49,STOLEN,93,Dovercourt-Wallace Emerson-Junction (93),,-79.44155119999999,46,"{u'type': u'Point', u'coordinates': (-79.4415512, 43.6629181)}"
48,247,GO-20142114389,B&E,2014-05-17T00:00:00,2014,5,17,12:00,11,Toronto,"Private Property (Pool, Shed, Detached Garage)",Other,NORCO,CITYGLAD,RG,7,DGR,632.0,STOLEN,84,Little Portugal (84),,-79.432457,47,"{u'type': u'Point', u'coordinates': (-79.432457, 43.6516685)}"
49,248,GO-20142115275,THEFT UNDER,2014-05-14T00:00:00,2014,5,14,08:30,53,Toronto,Schools During Un-Supervised Activity,Other,TREK,,MT,21,GRNGRY,450.0,STOLEN,104,Mount Pleasant West (104),,-79.3991928,48,"{u'type': u'Point', u'coordinates': (-79.3991928, 43.7095299)}"
50,249,GO-20142115665,THEFT UNDER,2014-05-20T00:00:00,2014,5,20,12:00,51,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OTHER,PRO SPORT,OT,3,BLK,650.0,STOLEN,75,Church-Yonge Corridor (75),,-79.37957759999999,49,"{u'type': u'Point', u'coordinates': (-79.3795776, 43.6618195)}"
51,250,GO-20142115760,THEFT UNDER,2014-05-20T00:00:00,2014,5,20,08:30,32,Toronto,Ttc Subway Station,Other,MAXAM,TRAXION,MT,21,PNKPLE,1200.0,STOLEN,105,Lawrence Park North (105),,-79.4023895,50,"{u'type': u'Point', u'coordinates': (-79.4023895, 43.7250481)}"
52,251,GO-20142117470,THEFT UNDER,2014-05-19T00:00:00,2014,5,19,21:00,14,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,LINUS,MIXTE3,OT,3,BLK,900.0,STOLEN,95,Annex (95),,-79.415596,51,"{u'type': u'Point', u'coordinates': (-79.415596, 43.6657906)}"
53,252,GO-20142117568,THEFT OVER,2014-05-19T00:00:00,2014,5,19,20:00,22,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,DEVINCI,,OT,18,WHI,3600.0,STOLEN,12,Markland Wood (12),,-79.57708740000001,52,"{u'type': u'Point', u'coordinates': (-79.5770874, 43.6350288)}"
54,253,GO-20142117568,THEFT OVER,2014-05-19T00:00:00,2014,5,19,20:00,22,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GIANT,STP1,OT,1,BRN,,STOLEN,12,Markland Wood (12),,-79.57708740000001,53,"{u'type': u'Point', u'coordinates': (-79.5770874, 43.6350288)}"
55,254,GO-20142117947,B&E,2014-05-19T00:00:00,2014,5,19,09:00,13,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GIANT,XTC,MT,27,BLUWHI,2300.0,STOLEN,31,Yorkdale-Glen Park (31),,-79.4462967,54,"{u'type': u'Point', u'coordinates': (-79.4462967, 43.7066422)}"
56,255,GO-20142119431,PROPERTY - FOUND,2014-06-01T00:00:00,2014,6,1,20:30,11,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,HARO,VGF V-3,TO,99,BLKGRY,,UNKNOWN,86,Roncesvalles (86),,-79.448288,55,"{u'type': u'Point', u'coordinates': (-79.448288, 43.6520615)}"
57,256,GO-20142122036,THEFT UNDER,2014-05-21T00:00:00,2014,5,21,09:30,51,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,TREK,4500,MT,21,BLU,200.0,STOLEN,72,Regent Park (72),,-79.3624649,56,"{u'type': u'Point', u'coordinates': (-79.3624649, 43.6560402)}"
58,257,GO-20142124470,B&E,2014-05-21T00:00:00,2014,5,21,18:44,43,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,FORTRESS,1700DT,SC,1,RED,3264.0,STOLEN,136,West Hill (136),,-79.1761551,57,"{u'type': u'Point', u'coordinates': (-79.1761551, 43.776104)}"
59,258,GO-20142125389,THEFT UNDER,2014-05-21T00:00:00,2014,5,21,10:30,52,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SPECIALIZED,VITA,OT,8,PLE,700.0,UNKNOWN,76,Bay Street Corridor (76),,-79.386055,58,"{u'type': u'Point', u'coordinates': (-79.386055, 43.660759)}"
60,259,GO-20142127554,THEFT UNDER,2014-05-21T00:00:00,2014,5,21,08:00,14,Toronto,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,KONA,14 DEW PLUS 56C,OT,24,BRN,1000.0,STOLEN,81,Trinity-Bellwoods (81),,-79.4079208,59,"{u'type': u'Point', u'coordinates': (-79.4079208, 43.6564255)}"
61,260,GO-20142128141,THEFT UNDER,2014-05-21T00:00:00,2014,5,21,18:00,14,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,REEBOK,MOVE PREMIERE,OT,7,WHI,250.0,STOLEN,82,Niagara (82),,-79.4119415,60,"{u'type': u'Point', u'coordinates': (-79.4119415, 43.6413956)}"
62,261,GO-20142128571,THEFT UNDER,2014-05-21T00:00:00,2014,5,21,17:00,22,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SPECIALIZED,SIRRUS SPORT,RG,24,WHI,703.0,STOLEN,14,Islington-City Centre West (14),,-79.5578918,61,"{u'type': u'Point', u'coordinates': (-79.5578918, 43.6414299)}"
63,262,GO-20142128571,THEFT UNDER,2014-05-21T00:00:00,2014,5,21,17:00,22,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SPECIALIZED,VITA,RG,24,DBL,589.0,STOLEN,14,Islington-City Centre West (14),,-79.5578918,62,"{u'type': u'Point', u'coordinates': (-79.5578918, 43.6414299)}"
64,263,GO-20142129186,THEFT UNDER,2014-05-20T00:00:00,2014,5,20,22:00,12,Toronto,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,XTI,XTI,RG,21,REDGRY,100.0,STOLEN,112,Beechborough-Greenbrook (112),,-79.4783478,63,"{u'type': u'Point', u'coordinates': (-79.4783478, 43.6929436)}"
65,264,GO-20142129798,THEFT UNDER,2014-05-22T00:00:00,2014,5,22,14:35,41,Toronto,"Private Property (Pool, Shed, Detached Garage)",Other,SCOTT,FULL SIZED,RG,24,BLK,1600.0,STOLEN,121,Oakridge (121),,-79.2730103,64,"{u'type': u'Point', u'coordinates': (-79.2730103, 43.6981087)}"
66,265,GO-20142129798,THEFT UNDER,2014-05-22T00:00:00,2014,5,22,14:35,41,Toronto,"Private Property (Pool, Shed, Detached Garage)",Other,SPECIALIZED,UNKNOWN,RG,5,PLE,200.0,STOLEN,121,Oakridge (121),,-79.2730103,65,"{u'type': u'Point', u'coordinates': (-79.2730103, 43.6981087)}"
67,266,GO-20142135785,THEFT UNDER,2014-05-18T00:00:00,2014,5,18,21:00,51,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OTHER,CARGO TRI-CYCLE,TR,1,BLK,700.0,STOLEN,77,Waterfront Communities-The Island (77),,-79.3625641,66,"{u'type': u'Point', u'coordinates': (-79.3625641, 43.6472511)}"
68,267,GO-20142137455,THEFT UNDER,2014-05-23T00:00:00,2014,5,23,15:30,51,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OTHER,,OT,0,,250.0,STOLEN,73,Moss Park (73),,-79.3662872,67,"{u'type': u'Point', u'coordinates': (-79.3662872, 43.6517105)}"
69,268,GO-20142138810,THEFT UNDER,2014-05-23T00:00:00,2014,5,23,16:30,53,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OTHER,,RC,25,BLKTRQ,1700.0,STOLEN,100,Yonge-Eglinton (100),,-79.3985672,68,"{u'type': u'Point', u'coordinates': (-79.3985672, 43.7066765)}"
70,269,GO-20142138896,THEFT UNDER,2014-05-23T00:00:00,2014,5,23,20:00,52,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,CCM,APEX 26,MT,24,WHI,600.0,STOLEN,76,Bay Street Corridor (76),,-79.3839645,69,"{u'type': u'Point', u'coordinates': (-79.3839645, 43.6556587)}"
71,270,GO-20142140082,THEFT UNDER,2014-05-24T00:00:00,2014,5,24,01:35,53,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,MIELE,,RG,18,WHI,400.0,STOLEN,103,Lawrence Park South (103),,-79.4172287,70,"{u'type': u'Point', u'coordinates': (-79.4172287, 43.7090454)}"
72,271,GO-20142141129,THEFT FROM MOTOR VEHICLE UNDER,2014-05-23T00:00:00,2014,5,23,22:30,53,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OTHER,U/K,MT,18,SIL,800.0,STOLEN,103,Lawrence Park South (103),,-79.3912354,71,"{u'type': u'Point', u'coordinates': (-79.3912354, 43.7201843)}"
73,272,GO-20142142275,THEFT UNDER,2014-05-21T00:00:00,2014,5,21,11:00,14,Toronto,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,OTHER,HUMSANHSM 223,EL,1,BLK,800.0,STOLEN,85,South Parkdale (85),,-79.4347153,72,"{u'type': u'Point', u'coordinates': (-79.4347153, 43.6409683)}"
74,273,GO-20142143830,THEFT UNDER,2014-05-24T00:00:00,2014,5,24,16:10,42,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,SUPERCYCLE,VICE,MT,12,SIL,150.0,STOLEN,129,Agincourt North (129),,-79.26422120000001,73,"{u'type': u'Point', u'coordinates': (-79.2642212, 43.8153038)}"
75,274,GO-20142143889,THEFT UNDER,2014-05-22T00:00:00,2014,5,22,16:00,22,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,NORCO,YORKVILLE,OT,21,BLK,,STOLEN,16,Stonegate-Queensway (16),,-79.51351170000001,74,"{u'type': u'Point', u'coordinates': (-79.5135117, 43.6330414)}"
76,275,GO-20142145155,THEFT UNDER,2014-05-23T00:00:00,2014,5,23,23:59,12,Toronto,"Private Property (Pool, Shed, Detached Garage)",Other,DIAMONDBACK,,MT,0,BLK,350.0,STOLEN,111,Rockcliffe-Smythe (111),,-79.4965515,75,"{u'type': u'Point', u'coordinates': (-79.4965515, 43.6720543)}"
77,276,GO-20142145196,THEFT UNDER,2014-05-24T00:00:00,2014,5,24,17:00,55,Toronto,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,HARO,300,BM,1,GRYWHI,500.0,STOLEN,68,North Riverdale (68),,-79.3555756,76,"{u'type': u'Point', u'coordinates': (-79.3555756, 43.6724434)}"
78,277,GO-20142148181,THEFT UNDER,2014-05-24T00:00:00,2014,5,24,21:00,54,Toronto,"Single Home, House (Attach Garage, Cottage, Mobile)",House,SCHWINN,MURANO,MT,24,BLKSIL,350.0,STOLEN,60,Woodbine-Lumsden (60),,-79.3036041,77,"{u'type': u'Point', u'coordinates': (-79.3036041, 43.6916466)}"
79,278,GO-20142148718,THEFT UNDER,2014-04-25T00:00:00,2014,4,25,00:00,14,Toronto,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,NORCO,BUSH PILOT,MT,21,GRYSIL,600.0,STOLEN,77,Waterfront Communities-The Island (77),,-79.3946304,78,"{u'type': u'Point', u'coordinates': (-79.3946304, 43.6401482)}"
80,279,GO-20142149692,THEFT UNDER,2014-05-25T00:00:00,2014,5,25,14:08,54,Toronto,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,SHCWINN,HYBRID,MT,24,BLK,450.0,STOLEN,66,Danforth (66),,-79.3325806,79,"{u'type': u'Point', u'coordinates': (-79.3325806, 43.681427)}"
