PermitNum,PermitClass,PermitClassMapped,PermitTypeMapped,PermitTypeDesc,Description,HousingUnits,HousingUnitsRemoved,HousingUnitsAdded,EstProjectCost,AppliedDate,IssuedDate,ExpiresDate,CompletedDate,StatusCurrent,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,ContractorCompanyName,Link,Latitude,Longitude,Location1
6761705-DM,N/A,N/A,Demolition,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6761705-DM,,,
6670359-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670359-CN,,,
6574432-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,9225 16TH AVE SW,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6574432-CN,47.52023316,-122.35539407,"9225 16TH AVE SW
SEATTLE, WA 98106
(47.52023316, -122.35539407)"
6698171-DM,N/A,N/A,Demolition,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6698171-DM,,,
6699650-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6699650-CN,,,
6104996-DM,N/A,N/A,Demolition,,,,,,,,,,,Closed,10500 WHITMAN AVE N,SEATTLE,WA,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6104996-DM,47.70579555,-122.34604692,"10500 WHITMAN AVE N
SEATTLE, WA
(47.70579555, -122.34604692)"
6665870-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6665870-CN,,,
6092326-CN,N/A,N/A,Building,,,,,,,,,,,Closed,1919 31ST AVE S,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6092326-CN,47.58566761,-122.29331976,"1919 31ST AVE S
SEATTLE, WA 98144
(47.58566761, -122.29331976)"
6686057-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6686057-CN,,,
6665868-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6665868-CN,,,
6138703-DM,N/A,N/A,Demolition,,,,,,,,,,,Closed,199 E BLAINE ST,SEATTLE,WA,98102,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6138703-DM,47.63465708,-122.32593204,"199 E BLAINE ST
SEATTLE, WA 98102
(47.63465708, -122.32593204)"
6635910-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,9238 35TH AVE SW,SEATTLE,WA,98126,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6635910-CN,47.51987357,-122.37646766,"9238 35TH AVE SW
SEATTLE, WA 98126
(47.51987357, -122.37646766)"
6762971-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6762971-CN,,,
6745554-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6745554-CN,,,
6709648-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6709648-CN,,,
6175293-DM,N/A,N/A,Demolition,,,,,,,,,,,Closed,918 N 103RD ST,SEATTLE,WA,98133,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6175293-DM,47.70380548,-122.3464948,"918 N 103RD ST
SEATTLE, WA 98133
(47.70380548, -122.3464948)"
6670357-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670357-CN,,,
6093121-CN,N/A,N/A,Building,,,,,,,,,,,Closed,3109 EAST LAURELHURST DR NE,SEATTLE,WA,98105,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6093121-CN,47.65032018,-122.27694152,"3109 EAST LAURELHURST DR NE
SEATTLE, WA 98105
(47.65032018, -122.27694152)"
6138702-DM,N/A,N/A,Demolition,,,,,,,,,,,Closed,199 E BLAINE ST,SEATTLE,WA,98102,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6138702-DM,47.63465708,-122.32593204,"199 E BLAINE ST
SEATTLE, WA 98102
(47.63465708, -122.32593204)"
6670344-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670344-CN,,,
6507281-CN,N/A,N/A,Building,,,,,,,,,,,Closed,9730 WOODLAWN AVE N,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6507281-CN,47.70060813,-122.33857802,"9730 WOODLAWN AVE N
SEATTLE, WA 98103
(47.70060813, -122.33857802)"
6691469-PH,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6691469-PH,,,
6356267-CN,N/A,N/A,Building,,,,,,,,,,,Closed,7810 5TH AVE NE,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6356267-CN,47.68584148,-122.32273754,"7810 5TH AVE NE
SEATTLE, WA 98115
(47.68584148, -122.32273754)"
6151393-CN,N/A,N/A,Building,,,,,,,,,,,Closed,1201 NW CARKEEK PARK RD,SEATTLE,WA,98177,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6151393-CN,47.7108853,-122.37069105,"1201 NW CARKEEK PARK RD
SEATTLE, WA 98177
(47.7108853, -122.37069105)"
6075155-CN,N/A,N/A,Building,,,,,,,,,,,Closed,10671 MARINE VIEW DR SW,SEATTLE,WA,98146,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6075155-CN,47.50628904,-122.38577464,"10671 MARINE VIEW DR SW
SEATTLE, WA 98146
(47.50628904, -122.38577464)"
6670356-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670356-CN,,,
6270072-CN,N/A,N/A,Building,,,,,,,,,,,Closed,2600 FAIRVIEW AVE E,SEATTLE,WA,98102,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6270072-CN,47.64378264,-122.32797253,"2600 FAIRVIEW AVE E
SEATTLE, WA 98102
(47.64378264, -122.32797253)"
6101831-CN,N/A,N/A,Building,,,,,,,,,,,Closed,4704 S MEAD ST,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6101831-CN,47.55060871,-122.27385784,"4704 S MEAD ST
SEATTLE, WA 98118
(47.55060871, -122.27385784)"
6670429-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670429-CN,,,
6699124-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6699124-CN,,,
6665869-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6665869-CN,,,
6691468-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6691468-CN,,,
6097738-CN,N/A,N/A,Building,,,,,,,,,,,Closed,5803 24TH AVE NW,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6097738-CN,47.67109472,-122.38799391,"5803 24TH AVE NW
SEATTLE, WA 98107
(47.67109472, -122.38799391)"
6274793-CN,N/A,N/A,Building,,,,,,,,,,,Closed,1014 NE 103RD ST,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6274793-CN,47.70328402,-122.31707829,"1014 NE 103RD ST
SEATTLE, WA 98125
(47.70328402, -122.31707829)"
6086569-CN,N/A,N/A,Building,,,,,,,,,,,Closed,3920 S KENYON ST,SEATTLE,WA,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6086569-CN,47.53153751,-122.28199254,"3920 S KENYON ST
SEATTLE, WA
(47.53153751, -122.28199254)"
6744251-GR,N/A,N/A,Grading,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6744251-GR,,,
6405122-CN,N/A,N/A,Building,,,,,,,,,,,Canceled,327 W OLYMPIC PL,SEATTLE,WA,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6405122-CN,47.62673542,-122.36191481,"327 W OLYMPIC PL
SEATTLE, WA
(47.62673542, -122.36191481)"
6685095-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6685095-CN,,,
6356266-CN,N/A,N/A,Building,,,,,,,,,,,Closed,7810 5TH AVE NE,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6356266-CN,47.68584148,-122.32273754,"7810 5TH AVE NE
SEATTLE, WA 98115
(47.68584148, -122.32273754)"
6122737-CN,N/A,N/A,Building,,,,0,0,,,,,,Closed,90 S DEARBORN ST,SEATTLE,WA,98134,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6122737-CN,47.59672977,-122.33491499,"90 S DEARBORN ST
SEATTLE, WA 98134
(47.59672977, -122.33491499)"
6336256-CN,N/A,N/A,Building,,,,,,,,,,,Closed,2501 N NORTHLAKE WAY,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6336256-CN,47.65176068,-122.32881297,"2501 N NORTHLAKE WAY
SEATTLE, WA 98103
(47.65176068, -122.32881297)"
6095136-CN,N/A,N/A,Building,,,,,,,,,,,Closed,1533 M L KING JR WAY,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6095136-CN,47.61513563,-122.29658476,"1533 M L KING JR WAY
SEATTLE, WA 98122
(47.61513563, -122.29658476)"
6783688-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6783688-CN,,,
6078334-CN,N/A,N/A,Building,,,,,,,,,,,Closed,3231 SW RAYMOND ST,SEATTLE,WA,98126,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6078334-CN,47.54789828,-122.37472474,"3231 SW RAYMOND ST
SEATTLE, WA 98126
(47.54789828, -122.37472474)"
6709768-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6709768-CN,,,
6709761-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6709761-CN,,,
6112664-CN,N/A,N/A,Building,,,,,,,,,,,Closed,5727 37TH AVE S,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6112664-CN,47.55040857,-122.28647098,"5727 37TH AVE S
SEATTLE, WA 98118
(47.55040857, -122.28647098)"
6688435-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6688435-CN,,,
6099381-CN,N/A,N/A,Building,,,,,,,,,,,Closed,1200 BOYLSTON AVE,SEATTLE,WA,98101,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6099381-CN,47.61249609,-122.32304057,"1200 BOYLSTON AVE
SEATTLE, WA 98101
(47.61249609, -122.32304057)"
6356261-CN,N/A,N/A,Building,,,,,,,,,,,Closed,7810 5TH AVE NE,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6356261-CN,47.68584148,-122.32273754,"7810 5TH AVE NE
SEATTLE, WA 98115
(47.68584148, -122.32273754)"
6363357-CN,N/A,N/A,Building,,,,,,,,,,,Closed,3817 17TH AVE SW,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6363357-CN,47.56956836,-122.35621362,"3817 17TH AVE SW
SEATTLE, WA 98106
(47.56956836, -122.35621362)"
6709779-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6709779-CN,,,
6693989-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6693989-CN,,,
6082137-CN,N/A,N/A,Building,,,,,,,,,,,Closed,401 NE NORTHGATE WAY,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6082137-CN,47.70759355,-122.32551792,"401 NE NORTHGATE WAY
SEATTLE, WA 98125
(47.70759355, -122.32551792)"
6681443-CC,N/A,N/A,Building,Curb Cut,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6681443-CC,,,
6147554-CN,N/A,N/A,Building,,,,,,,,,,,Closed,908 LAKESIDE AVE S,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6147554-CN,47.59427439,-122.28744174,"908 LAKESIDE AVE S
SEATTLE, WA 98144
(47.59427439, -122.28744174)"
6228131-CN,N/A,N/A,Building,,,,,,,,,,,Closed,7126 55TH AVE S,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6228131-CN,47.53815589,-122.26376486,"7126 55TH AVE S
SEATTLE, WA 98118
(47.53815589, -122.26376486)"
6676280-DM,N/A,N/A,Demolition,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6676280-DM,,,
6239560-CN,N/A,N/A,Building,,,,,,,,,,,Closed,1731 S HORTON ST,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6239560-CN,47.57390207,-122.30990489,"1731 S HORTON ST
SEATTLE, WA 98144
(47.57390207, -122.30990489)"
6255114-CN,N/A,N/A,Building,,,,,,,,,,,Closed,1331 N NORTHLAKE WAY,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6255114-CN,47.64714102,-122.34194093,"1331 N NORTHLAKE WAY
SEATTLE, WA 98103
(47.64714102, -122.34194093)"
6101294-CN,N/A,N/A,Building,,,,,,,,,,,Closed,208 32ND AVE,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6101294-CN,47.603541,-122.29138456,"208 32ND AVE
SEATTLE, WA 98122
(47.603541, -122.29138456)"
6675820-DM,N/A,N/A,Demolition,,,,,,,,,,,Additional Info Requested,10845 11TH AVE NE,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6675820-DM,47.70831266,-122.31615747,"10845 11TH AVE NE
SEATTLE, WA 98125
(47.70831266, -122.31615747)"
6098770-CN,N/A,N/A,Building,,,,,,,,,,,Closed,3657 GREENWOOD AVE N,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6098770-CN,47.65399097,-122.35576928,"3657 GREENWOOD AVE N
SEATTLE, WA 98103
(47.65399097, -122.35576928)"
6069593-DM,N/A,N/A,Demolition,,,,,,,,,,,Closed,809 S HENDERSON ST,SEATTLE,WA,98108,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6069593-DM,47.52290706,-122.32245971,"809 S HENDERSON ST
SEATTLE, WA 98108
(47.52290706, -122.32245971)"
6666889-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6666889-CN,,,
6698172-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6698172-CN,,,
6714497-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6714497-CN,,,
6476057-BK,N/A,N/A,Building,Tenant Improvement Pre-Approval,,,,,,,,,,Closed,900 4TH AVE,SEATTLE,WA,98104,BLANKET: 901 5TH AVE,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6476057-BK,47.60587718,-122.33204966,"900 4TH AVE
SEATTLE, WA 98104
(47.60587718, -122.33204966)"
6670427-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670427-CN,,,
6676590-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6676590-CN,,,
6339893-CN,N/A,N/A,Building,,,,,,,,,,,Closed,100 DEXTER AVE N,SEATTLE,WA,98109,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6339893-CN,47.61917629,-122.34193448,"100 DEXTER AVE N
SEATTLE, WA 98109
(47.61917629, -122.34193448)"
6693140-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6693140-CN,,,
6109802-CN,N/A,N/A,Building,,,,,,,,,,,Closed,2938 SW AVALON WAY,SEATTLE,WA,98126,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6109802-CN,47.57000617,-122.37114769,"2938 SW AVALON WAY
SEATTLE, WA 98126
(47.57000617, -122.37114769)"
6120100-CN,N/A,N/A,Building,,,,,,,,,,,Closed,2150 N 107TH ST,SEATTLE,WA,98133,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6120100-CN,47.70744504,-122.33172426,"2150 N 107TH ST
SEATTLE, WA 98133
(47.70744504, -122.33172426)"
6167808-CN,N/A,N/A,Building,,,,,,,,,,,Closed,7703 18TH AVE SW,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6167808-CN,47.53352577,-122.35820234,"7703 18TH AVE SW
SEATTLE, WA 98106
(47.53352577, -122.35820234)"
6356259-CN,N/A,N/A,Building,,,,,,,,,,,Closed,7810 5TH AVE NE,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6356259-CN,47.68584148,-122.32273754,"7810 5TH AVE NE
SEATTLE, WA 98115
(47.68584148, -122.32273754)"
6676281-DM,N/A,N/A,Demolition,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6676281-DM,,,
6091280-CN,N/A,N/A,Building,,,,,,,,,,,Closed,1635 2ND AVE W,SEATTLE,WA,98119,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6091280-CN,47.63459148,-122.35999298,"1635 2ND AVE W
SEATTLE, WA 98119
(47.63459148, -122.35999298)"
6529068-CN,N/A,N/A,Building,,,,,,,,,,,Closed,1201 AMGEN CT W,SEATTLE,WA,98119,CRUISE LLC,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6529068-CN,47.62951836,-122.37476568,"1201 AMGEN CT W
SEATTLE, WA 98119
(47.62951836, -122.37476568)"
6666705-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,601 BELLEVUE AVE E,SEATTLE,,98102,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6666705-CN,47.62442832,-122.32679123,"601 BELLEVUE AVE E
SEATTLE 98102
(47.62442832, -122.32679123)"
6375023-CN,N/A,N/A,Building,,,,,,,,,,,Closed,4249 WHITMAN CT NE,SEATTLE,WA,98195,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6375023-CN,47.65828261,-122.30454286,"4249 WHITMAN CT NE
SEATTLE, WA 98195
(47.65828261, -122.30454286)"
6073720-CN,N/A,N/A,Building,,,,,,,,,,,Closed,3838 WEST MARGINAL WAY SW,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6073720-CN,47.56886751,-122.3529405,"3838 WEST MARGINAL WAY SW
SEATTLE, WA 98106
(47.56886751, -122.3529405)"
6102118-CN,N/A,N/A,Building,,,,,,,,,,,Closed,1800 TERRY AVE,SEATTLE,WA,98101,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6102118-CN,47.61591771,-122.3323945,"1800 TERRY AVE
SEATTLE, WA 98101
(47.61591771, -122.3323945)"
6128850-DM,N/A,N/A,Demolition,,,,,,,,,,,Closed,10326 46TH AVE NE,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6128850-DM,47.70375865,-122.27853895,"10326 46TH AVE NE
SEATTLE, WA 98125
(47.70375865, -122.27853895)"
6071230-CN,N/A,N/A,Building,,,,,,,,,,,Closed,14011 ALPINE WAY NW,SEATTLE,WA,98177,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6071230-CN,47.73145769,-122.3683598,"14011 ALPINE WAY NW
SEATTLE, WA 98177
(47.73145769, -122.3683598)"
6356249-CN,N/A,N/A,Building,,,,,,,,,,,Closed,7810 5TH AVE NE,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6356249-CN,47.68584148,-122.32273754,"7810 5TH AVE NE
SEATTLE, WA 98115
(47.68584148, -122.32273754)"
6666888-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6666888-CN,,,
6711944-DM,N/A,N/A,Demolition,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6711944-DM,,,
6136417-DM,N/A,N/A,Demolition,,,,,,,,,,,Closed,2108 46TH AVE SW,SEATTLE,WA,98116,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6136417-DM,47.58501537,-122.39011984,"2108 46TH AVE SW
SEATTLE, WA 98116
(47.58501537, -122.39011984)"
6079796-CN,N/A,N/A,Building,,,,,,,,,,,Closed,4315 11TH AVE NW,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6079796-CN,47.66021898,-122.37107885,"4315 11TH AVE NW
SEATTLE, WA 98107
(47.66021898, -122.37107885)"
6711950-DM,N/A,N/A,Demolition,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6711950-DM,,,
6637683-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,5258 CALIFORNIA AVE SW,SEATTLE,WA,98136,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6637683-CN,47.55408475,-122.38676332,"5258 CALIFORNIA AVE SW
SEATTLE, WA 98136
(47.55408475, -122.38676332)"
