_id,Permit_No,Permit_Sticker_No,Permit_Class,Permit_Holder,Permit_Address_Street_No,Permit_Address_Street_Name,Permit_Address_Unit,Permit_Address_Postal_Code,Permit_Address_Ward,Permit_Contact_Phone_No_,Issue_Date,Cancellation_Date,geometry
157021,P90-4924686,P09070,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,10,TUXEDO CRT,,M1G3S4,24,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.231861667, 43.7793949183)}"
157022,P90-4924687,P09071,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,7,ROANOKE RD,,M3A1E3,16,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.3286037917, 43.7408614769)}"
157023,P90-4924690,P09072,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,5,TANGREEN CRT,,M2M3Z1,18,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.425260494, 43.796156565)}"
157024,P90-4924691,P09073,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,5,TANGREEN CRT,,M2M3Z1,18,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.425260494, 43.796156565)}"
157025,P90-4924666,P09074,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,500,MURRAY ROSS PKY,,M3J2Z3,7,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.505752773, 43.764180371)}"
157026,P90-4937950,P09126,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,282,SILVERSTONE DR,,M9V3J4,1,(416) 894-1666,20190530,20200121.0,"{u'type': u'Point', u'coordinates': (-79.5997376147, 43.7495619563)}"
157027,P90-4937948,P09127,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,12,DEERFORD RD,,M2J3J3,17,(416) 894-1666,20190530,20200121.0,"{u'type': u'Point', u'coordinates': (-79.35066942, 43.786127991)}"
157028,P90-4684467,P08448,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),B & T TEXTILE INC,17,LESLIE ST,,M4M3H9,14,(647) 221-8531,20161110,20200206.0,"{u'type': u'Point', u'coordinates': (-79.3289992003, 43.66090854)}"
157029,P90-4684466,P08446,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),B & T TEXTILE INC,3671,DUNDAS ST W,,M6S2T3,4,(647) 221-8531,20161110,20200206.0,"{u'type': u'Point', u'coordinates': (-79.4958701911, 43.6654427446)}"
157030,P90-4921480,P08935,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),TALIZE INC,1970,EGLINTON AVE E,,M1L2M6,21,(416) 757-0135,20190325,20200220.0,"{u'type': u'Point', u'coordinates': (-79.2854028527, 43.7285702365)}"
157031,P90-4921476,P08936,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),TALIZE INC,800,WARDEN AVE,,M1L4T7,20,(416) 757-0135,20190325,20200220.0,"{u'type': u'Point', u'coordinates': (-79.287271253, 43.724396819)}"
157032,P90-4921477,P08937,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),TALIZE INC,800,WARDEN AVE,,M1L4T7,20,(416) 757-0135,20190325,20200220.0,"{u'type': u'Point', u'coordinates': (-79.287271253, 43.724396819)}"
157033,P90-4921478,P08938,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),TALIZE INC,1970,EGLINTON AVE E,,M1L2M6,21,(416) 757-0135,20190325,20200220.0,"{u'type': u'Point', u'coordinates': (-79.2854028527, 43.7285702365)}"
157034,P90-4972889,P09351,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),TALIZE INC,130,JAMESON AVE,,M6K2Y2,4,(416) 757-0135,20190930,20200220.0,"{u'type': u'Point', u'coordinates': (-79.4361595734, 43.6363761497)}"
157035,P90-4654534,P08046,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,636,GLENHOLME AVE,,M6E3G9,12,(416) 363-3373,20160727,20200225.0,"{u'type': u'Point', u'coordinates': (-79.4457470416, 43.695898292)}"
157036,P90-4654532,P08039,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,60,PLAYFAIR AVE,,M6B2P9,8,(416) 363-3373,20160727,20200225.0,"{u'type': u'Point', u'coordinates': (-79.4583730986, 43.7100860065)}"
157037,P90-4654529,P08047,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,174,DUNCANWOODS DR,,M9L2E3,7,(416) 363-3373,20160727,20200225.0,"{u'type': u'Point', u'coordinates': (-79.5667530217, 43.7537165661)}"
157038,P90-4656507,P08141,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,460,RENFORTH DR,,M9C2N2,2,(416) 363-3373,20160816,20200225.0,"{u'type': u'Point', u'coordinates': (-79.5801347557, 43.6504563548)}"
157039,P90-4656834,P08139,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,596,MARLEE AVE,,M6B3J5,8,(416) 363-3373,20160824,20200225.0,"{u'type': u'Point', u'coordinates': (-79.4441994783, 43.7093555411)}"
157040,P90-4656832,P08135,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,150,KENWOOD AVE,,M6C2S3,12,(416) 363-3373,20160824,20200225.0,"{u'type': u'Point', u'coordinates': (-79.424254908, 43.687268899)}"
157041,P90-4656814,P08137,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,3850,LAKE SHORE BLVD W,,M8W1R3,3,(416) 363-3373,20160824,20200225.0,"{u'type': u'Point', u'coordinates': (-79.5451557956, 43.5910127359)}"
157042,P90-4659994,P08234,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,160,THE WESTWAY,,M9P2C1,2,(416) 894-1666,20160908,20200303.0,"{u'type': u'Point', u'coordinates': (-79.5424478947, 43.6891192447)}"
157043,P90-4736247,P08233,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,4180,KINGSTON RD,,M1E2M4,24,(416) 894-1666,20170915,20200303.0,"{u'type': u'Point', u'coordinates': (-79.19817265, 43.759033126)}"
157044,P90-4532549,P08699,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),AMJ RECYCLING INC,2308,LAKE SHORE BLVD W,,M8V1B5,3,(647) 295-6973,20160209,20200309.0,"{u'type': u'Point', u'coordinates': (-79.4873364432, 43.6180577502)}"
157045,P90-4649377,P09151,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),AMJ RECYCLING INC,2775,BIRCHMOUNT RD,,M1W2C7,22,(647) 295-6973,20160510,20200908.0,"{u'type': u'Point', u'coordinates': (-79.3045484442, 43.7968886432)}"
157046,P90-4814142,P09039,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),AMJ RECYCLING INC,2347,EGLINTON AVE E,,M1K2M5,20,(647) 295-6973,20180308,20200908.0,"{u'type': u'Point', u'coordinates': (-79.2703611977, 43.731399948)}"
157047,P90-4647711,P09117,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,20,CARABOB CRT,,M1T3N1,22,(416) 363-3373,20160503,20200909.0,"{u'type': u'Point', u'coordinates': (-79.2977983352, 43.7822047386)}"
157048,P90-4647714,P09116,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,20,CARABOB CRT,,M1T3N1,22,(416) 363-3373,20160503,20200909.0,"{u'type': u'Point', u'coordinates': (-79.2977983352, 43.7822047386)}"
157049,P90-4649210,P09111,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,759,EASTERN AVE,,M4M1E9,14,(416) 363-3373,20160510,20200909.0,"{u'type': u'Point', u'coordinates': (-79.330265988, 43.6605133563)}"
157050,P90-4649207,P09112,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,1,EASTDALE AVE,,M4C4Z8,19,(416) 363-3373,20160510,20200909.0,"{u'type': u'Point', u'coordinates': (-79.2998577162, 43.6933496394)}"
157051,P90-4649199,P09109,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,136,ORTON PARK RD,1,M1G3H1,24,(416) 363-3373,20160510,20200909.0,"{u'type': u'Point', u'coordinates': (-79.209119609, 43.771718219)}"
157052,P90-4649195,P09114,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,2681,DANFORTH AVE,,M4C1L4,19,(416) 363-3373,20160510,20200909.0,"{u'type': u'Point', u'coordinates': (-79.2988945153, 43.6883711211)}"
157053,P90-4654545,P08041,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,4640,FINCH AVE E,,M1S4G2,23,(416) 363-3373,20160727,20200909.0,"{u'type': u'Point', u'coordinates': (-79.2743110507, 43.8074009571)}"
157054,P90-4656825,P08131,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,520,CARLAW AVE,,M4K3J4,14,(416) 363-3373,20160824,20200909.0,"{u'type': u'Point', u'coordinates': (-79.3439126227, 43.6697803322)}"
157055,P90-4649208,P08140,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,1871,O'CONNOR DR,,M4A1X1,16,(416) 363-3373,20160824,20200909.0,"{u'type': u'Point', u'coordinates': (-79.3034918199, 43.7219856343)}"
157056,P90-4931429,P09094,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),VALUE VILLAGE CANADA INC/VALUE VILLAGE RECYCLING ULC,45,WOODBINE DOWNS BLVD,,M9W6N5,1,(425) 450-7509,20190502,20200918.0,"{u'type': u'Point', u'coordinates': (-79.6059016597, 43.7370293397)}"
157057,P90-4857310,P09336,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,1815,LAWRENCE AVE E,,M1R2Y3,21,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.3037966388, 43.7429954422)}"
157058,P90-4857308,P09337,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,3850,SHEPPARD AVE E,,M1T3L4,22,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.2922526784, 43.7839385262)}"
157059,P90-4857307,P09338,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,3850,SHEPPARD AVE E,,M1T3L4,22,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.2922526784, 43.7839385262)}"
157060,P90-4848660,P09339,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,1778,WESTON RD,,M9N1V8,5,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.5124443537, 43.6985378813)}"
157061,P90-4848658,P09314,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,544,BIRCHMOUNT RD,,M1K1P3,20,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.270595187, 43.711075654)}"
157062,P90-4857311,P09340,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,1949,FINCH AVE W,,M3N2V3,7,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.5179701121, 43.7561598415)}"
157063,P90-4858155,P09313,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,79,JAMESON AVE,,M6K2W7,4,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.4346789323, 43.6343864114)}"
157064,P90-4858149,P09318,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,481,VAUGHAN RD,,M6C2P6,12,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.435179809, 43.689882743)}"
157065,P90-4858156,P09317,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,236,VAUGHAN RD,,M6C2M7,12,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.4247971619, 43.6878267633)}"
157066,P90-4848657,P09341,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,2405,FINCH AVE W,,M9M2X2,7,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.544032103, 43.750621289)}"
157067,P90-4848656,P09312,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,3400,WESTON RD,,M9M2W2,7,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.543432658, 43.749810629)}"
157068,P90-4848653,P09321,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,61,HAVENBROOK BLVD,,M2J1A7,17,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.3508297546, 43.7680353549)}"
157069,P90-4848652,P09342,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,75,HAVENBROOK BLVD,,M2J1A8,17,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.348101055, 43.7682616864)}"
157070,P90-4848649,P09316,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,120,SHELBORNE AVE,,M6B2M7,8,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.4298519795, 43.7162590007)}"
157071,P90-4848648,P09319,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,110,MARLEE AVE,,M6E3B6,8,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.4410252078, 43.7012427929)}"
157072,P90-4848647,P09322,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,276,ST CLAIR AVE W,,M4V1R9,12,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.409063969, 43.685428165)}"
157073,P90-4848646,P09343,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,1,DEAN PARK RD,,M1B2W5,25,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.1702968406, 43.804482577)}"
157074,P90-4848645,P09344,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,945,MIDDLEFIELD RD,,M1V5E1,23,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.265879824, 43.830618904)}"
157075,P90-4848644,P09345,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,38,CARLUKE CRES,,M2L2J4,15,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.3884879012, 43.7610072134)}"
157076,P90-4848643,P09346,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,32,CARLUKE CRES,,M2L2J3,15,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.3897561854, 43.7611788697)}"
157077,P90-4848641,P09347,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,26,CARLUKE CRES,,M2L2J2,15,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.3906391551, 43.761243138)}"
157078,P90-4848638,P09315,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,552,BIRCHMOUNT RD,,M1K1P4,20,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.2708469323, 43.7117373497)}"
