TYPE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,CREDITCARD,LOCATION,INTERSECTN,TIMEINEFFE,RUSH_HR,MAPID,Geom,Geo Local Area
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,16296,"{""type"": ""Point"", ""coordinates"": [-123.06922802297404, 49.26639212656656]}",Grandview-Woodland
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.00,$ .50,$1.00,$ .50,$1.00,$ .50,$1.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15778,"{""type"": ""Point"", ""coordinates"": [-123.11374194324006, 49.281631091563796]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$2.50,$1.00,$2.50,$1.00,$2.50,$1.00,$2.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15792,"{""type"": ""Point"", ""coordinates"": [-123.12823191287197, 49.28243299705794]}",West End
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15826,"{""type"": ""Point"", ""coordinates"": [-123.10783199893052, 49.27980434983481]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.50,$ .50,$1.50,$ .50,$1.50,$ .50,$1.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15895,"{""type"": ""Point"", ""coordinates"": [-123.1587939677612, 49.23455844978088]}",Kerrisdale
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.50,$1.00,$1.50,$1.00,$1.50,$1.00,$1.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,16309,"{""type"": ""Point"", ""coordinates"": [-123.03509621096762, 49.233542688322515]}",Killarney
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,19516,"{""type"": ""Point"", ""coordinates"": [-123.0905079708373, 49.22731226855418]}",Sunset
Metered Motorcycle Parking,,,,,,,No Time Limit,,,,,,,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,19539,"{""type"": ""Point"", ""coordinates"": [-123.0907011339182, 49.22371829280779]}",Sunset
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,,,,,,,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,19507,"{""type"": ""Point"", ""coordinates"": [-123.0908137878702, 49.22816101031925]}",Sunset
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.00,$1.50,$1.00,$1.50,$1.00,$1.50,$1.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,9008,"{""type"": ""Point"", ""coordinates"": [-123.06933666270483, 49.27054843615066]}",Grandview-Woodland
Metered Motorcycle Parking,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,19275,"{""type"": ""Point"", ""coordinates"": [-123.10501611313758, 49.265629864582095]}",Mount Pleasant
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,19269,"{""type"": ""Point"", ""coordinates"": [-123.11500484740095, 49.27429911746394]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$2.00,$ .50,$1.50,$ .50,$1.50,$ .50,$2.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15832,"{""type"": ""Point"", ""coordinates"": [-123.10206934567914, 49.28336320974733]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,18453,"{""type"": ""Point"", ""coordinates"": [-123.10102425384382, 49.25358560565268]}",Riley Park
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,18467,"{""type"": ""Point"", ""coordinates"": [-123.10086396317402, 49.25038572176982]}",Riley Park
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$1.50,$ .50,$1.50,$ .50,$1.50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15802,"{""type"": ""Point"", ""coordinates"": [-123.12986752130551, 49.287787085581726]}",West End
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,8998,"{""type"": ""Point"", ""coordinates"": [-123.06911478704282, 49.27480458048958]}",Grandview-Woodland
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.50,$1.00,$1.50,$1.00,$1.50,$1.00,$1.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15759,"{""type"": ""Point"", ""coordinates"": [-123.12379984536537, 49.27360802267791]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.50,$2.50,$1.50,$2.50,$1.50,$2.50,$1.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,9005,"{""type"": ""Point"", ""coordinates"": [-123.06924640504839, 49.271345536355476]}",Grandview-Woodland
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$2.00,$1.50,$2.00,$1.50,$2.00,$1.50,$2.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,16300,"{""type"": ""Point"", ""coordinates"": [-123.11778637219929, 49.279957912164555]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$4.00,$3.50,$4.00,$3.50,$4.00,$3.50,$4.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,9013,"{""type"": ""Point"", ""coordinates"": [-123.1168640341594, 49.28193512554607]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$2.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,9060,"{""type"": ""Point"", ""coordinates"": [-123.12882531523071, 49.27918139795609]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$2.50,$3.00,$2.50,$3.00,$2.50,$3.00,$2.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15877,"{""type"": ""Point"", ""coordinates"": [-123.14815417805787, 49.26814463519136]}",Kitsilano
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$2.50,$ .50,$2.50,$ .50,$2.50,$ .50,$2.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15881,"{""type"": ""Point"", ""coordinates"": [-123.15494990442508, 49.26808129163857]}",Kitsilano
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.00,$ .50,$1.00,$ .50,$1.00,$ .50,$1.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15883,"{""type"": ""Point"", ""coordinates"": [-123.15741541806774, 49.26835770071644]}",Kitsilano
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$2.50,$1.50,$2.50,$1.50,$2.50,$1.50,$2.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15818,"{""type"": ""Point"", ""coordinates"": [-123.10930779696193, 49.28373978367114]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,19003,"{""type"": ""Point"", ""coordinates"": [-123.0910045297608, 49.26796654167505]}",Strathcona
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,18780,"{""type"": ""Point"", ""coordinates"": [-123.10945737753491, 49.27111793201296]}",Mount Pleasant
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,18781,"{""type"": ""Point"", ""coordinates"": [-123.10944630599707, 49.27143860318058]}",Mount Pleasant
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,18997,"{""type"": ""Point"", ""coordinates"": [-123.10480863152219, 49.271568439897656]}",Mount Pleasant
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,19001,"{""type"": ""Point"", ""coordinates"": [-123.09564720725868, 49.27181806964601]}",Strathcona
Non-Metered Motorcycle Parking,,,,,,,,,,,,,,,n/a,West Side 2600 Alma St,W 10th Av,n/a,n/a,,"{""type"": ""Point"", ""coordinates"": [-123.186061, 49.263358]}",West Point Grey
Non-Metered Motorcycle Parking,,,,,,,,,,,,,,,n/a,West Side 2900 Cambie St,W 13th Av,n/a,n/a,,"{""type"": ""Point"", ""coordinates"": [-123.115166, 49.259351]}",Fairview
Non-Metered Motorcycle Parking,,,,,,,,,,,,,,,n/a,West Side 3700 Cambie St,W 21st Av,n/a,n/a,,"{""type"": ""Point"", ""coordinates"": [-123.115383, 49.252088]}",South Cambie
Non-Metered Motorcycle Parking,,,,,,,,,,,,,,,n/a,West Side 2300 Columbia St,W 7th Av,n/a,n/a,,"{""type"": ""Point"", ""coordinates"": [-123.109521, 49.264665]}",Mount Pleasant
Non-Metered Motorcycle Parking,,,,,,,,,,,,,,,n/a,West Side 4200 Dunbar St,W 26th Av,n/a,n/a,,"{""type"": ""Point"", ""coordinates"": [-123.185302, 49.248909]}",Dunbar-Southlands
Non-Metered Motorcycle Parking,,,,,,,,,,,,,,,n/a,North Side 100 E 5th Av,Main St,n/a,n/a,,"{""type"": ""Point"", ""coordinates"": [-123.101127, 49.266522]}",Mount Pleasant
Non-Metered Motorcycle Parking,,,,,,,,,,,,,,,n/a,North Side 200 E 5th Av,Scotia St,n/a,n/a,,"{""type"": ""Point"", ""coordinates"": [-123.099023, 49.266432]}",Mount Pleasant
Non-Metered Motorcycle Parking,,,,,,,,,,,,,,,n/a,South Side 600 E Broadway,Carolina St,n/a,7-10am/3-7pm,,"{""type"": ""Point"", ""coordinates"": [-123.09089, 49.262362]}",Mount Pleasant
Non-Metered Motorcycle Parking,,,,,,,,,,,,,,,n/a,South Side 800 E Broadway,Prince Albert St,n/a,3-7pm,,"{""type"": ""Point"", ""coordinates"": [-123.08703, 49.262346]}",Mount Pleasant
Non-Metered Motorcycle Parking,,,,,,,,,,,,,,,n/a,North Side 800 E Cordova St,Hawks Av,n/a,n/a,,"{""type"": ""Point"", ""coordinates"": [-123.086908, 49.28145]}",Strathcona
