ID;ADDRESS;BUILDINGNAME;VHR;DESIGNATION;ZONING;LOCALAREA;STREET;STREET_NBR;HRA_HCC;Geom
471;166 E HASTINGS ST;MOLSON'S BANK;B;;DEOD;Downtown;E HASTINGS ST;166;;"{""type"": ""Point"", ""coordinates"": [-123.1005355537, 49.2810459646557]}"
480;168 E PENDER ST;;C;M;HA-1;Downtown;E PENDER ST;168;;"{""type"": ""Point"", ""coordinates"": [-123.100781198758, 49.2801497354468]}"
481;1688 DRUMMOND DRIVE;;B;;RS-1;West Point Grey;DRUMMOND DRIVE;1688;;"{""type"": ""Point"", ""coordinates"": [-123.221905854906, 49.2727366230224]}"
485;170 W 10TH AV;;C;;RT-6;Mount Pleasant;W 10TH AV;170;;"{""type"": ""Point"", ""coordinates"": [-123.109088256247, 49.2619426248351]}"
487;1704 E 1ST AV;;A;;C-2C;Grandview-Woodland;E 1ST AV;1704;;"{""type"": ""Point"", ""coordinates"": [-123.069243695686, 49.2694489982694]}"
488;1704 VICTORIA DRIVE;;B;;RT-5;Grandview-Woodland;VICTORIA DRIVE;1704;;"{""type"": ""Point"", ""coordinates"": [-123.06547446689, 49.2694213585584]}"
489;1707 E 4TH AV;;B;;C-2C1;Grandview-Woodland;E 4TH AV;1707;;"{""type"": ""Point"", ""coordinates"": [-123.069295543746, 49.2672386583197]}"
491;1710 COMMERCIAL DRIVE;;B;;C-2C;Grandview-Woodland;COMMERCIAL DRIVE;1710;;"{""type"": ""Point"", ""coordinates"": [-123.069250552202, 49.2693585654588]}"
493;1710 VICTORIA DRIVE;;B;;RT-5;Grandview-Woodland;VICTORIA DRIVE;1710;;"{""type"": ""Point"", ""coordinates"": [-123.065477112569, 49.2693430988581]}"
494;1711 DUNBAR ST;;B;;RT-8;Kitsilano;DUNBAR ST;1711;;"{""type"": ""Point"", ""coordinates"": [-123.183862443046, 49.2711213474791]}"
496;1715 DUNBAR ST;;C;;RT-8;Kitsilano;DUNBAR ST;1715;;"{""type"": ""Point"", ""coordinates"": [-123.183866150835, 49.2710093513532]}"
497;1717 DUNBAR ST;;C;;RT-8;Kitsilano;DUNBAR ST;1717;;"{""type"": ""Point"", ""coordinates"": [-123.183867798293, 49.2708978082636]}"
500;172 E CORDOVA ST;;C;;DEOD;Downtown;E CORDOVA ST;172;;"{""type"": ""Point"", ""coordinates"": [-123.100091478798, 49.2821424215533]}"
501;1720 WATERLOO ST;THE GABLES;B;M;RT-8;Kitsilano;WATERLOO ST;1720;H;"{""type"": ""Point"", ""coordinates"": [-123.179277902346, 49.2709362433783]}"
502;1721 GRANT ST;;C;;C-2C;Grandview-Woodland;GRANT ST;1721;;"{""type"": ""Point"", ""coordinates"": [-123.069196544132, 49.2714231747553]}"
503;1722 VICTORIA DRIVE;;B;;RT-5;Grandview-Woodland;VICTORIA DRIVE;1722;;"{""type"": ""Point"", ""coordinates"": [-123.06548101381, 49.2691748864871]}"
505;1724 DUNBAR ST;;B;;RT-8;Kitsilano;DUNBAR ST;1724;;"{""type"": ""Point"", ""coordinates"": [-123.183274774381, 49.2709293161127]}"
513;175 E BROADWAY;;B;;C-3A;Mount Pleasant;E BROADWAY;175;;"{""type"": ""Point"", ""coordinates"": [-123.101432854785, 49.2631626838417]}"
516;1750 E 22ND AV;SELKIRK ELEMENTARY;AB;;RT-10;Kensington-Cedar Cottage;E 22ND AV;1750;;"{""type"": ""Point"", ""coordinates"": [-123.068776435353, 49.2496795846493]}"
518;1758 VENABLES ST;;B;;RT-5;Grandview-Woodland;VENABLES ST;1758;;"{""type"": ""Point"", ""coordinates"": [-123.068057177536, 49.2763658890091]}"
520;1764 E 11TH AV;;C;;RM-4;Kensington-Cedar Cottage;E 11TH AV;1764;;"{""type"": ""Point"", ""coordinates"": [-123.068380019296, 49.2601785169503]}"
523;1778 E 14TH AV;;C;;RT-5A;Kensington-Cedar Cottage;E 14TH AV;1778;;"{""type"": ""Point"", ""coordinates"": [-123.068151169488, 49.2574707065211]}"
525;1784 E 14TH AV;JOHN TIBB HOUSE;C;M;RT-5A;Kensington-Cedar Cottage;E 14TH AV;1784;;"{""type"": ""Point"", ""coordinates"": [-123.068006840898, 49.2574703507997]}"
530;180 E PENDER ST;;;M;HA-1;Downtown;E PENDER ST;180;;"{""type"": ""Point"", ""coordinates"": [-123.100576329378, 49.280144521818]}"
535;1807 SE MARINE DRIVE;;B;;RS-1;Victoria-Fraserview;SE MARINE DRIVE;1807;;"{""type"": ""Point"", ""coordinates"": [-123.069811642329, 49.2111987762284]}"
