Building Address,Construction Completion Year,Name of Historic Resource,Neighbourhood,Warning Type 1,Warning Type 2,Latitude,Longitude,Location
13115 - CHURCHILL CRESCENT NW,1913,Bradley Residence,GLENORA,Inventory of Historic Resources,,53.544295,-113.549323,"(53.54429497630164, -113.54932344487563)"
8738- 76 AVENUE NW,1905,Frank O'Leary Residence,KING EDWARD PARK,Inventory of Historic Resources,,53.512398,-113.463306,"(53.5123982080436, -113.4633058659051)"
10734 - 92 STREET NW,1910,Smith Residence,MCCAULEY,Inventory of Historic Resources,,53.554539,-113.479519,"(53.554538615910324, -113.47951857115285)"
11033 - 80 AVENUE NW,1940,William J.S. Dawson Residence,GARNEAU,Inventory of Historic Resources,,53.515800,-113.516659,"(53.51579986317899, -113.51665940783211)"
10919 - 125 STREET NW,1914,Leask Residence,WESTMOUNT,Inventory of Historic Resources,,53.554588,-113.537188,"(53.55458816422393, -113.53718759333064)"
10236 - WADHURST ROAD NW,1913,Wallace McDonald Residence,WESTMOUNT,Inventory of Historic Resources,,53.544185,-113.540046,"(53.54418518594006, -113.54004564530138)"
11324 - 92 STREET NW,1913,Albert H. Gardiner Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.563506,-113.483094,"(53.56350574030417, -113.48309358235592)"
10801 - 97 Avenue,1914,Alberta Legislature Building,DOWNTOWN,Inventory of Historic Resources,Provincial Historic Resource,53.532538,-113.506139,"(53.53253753971648, -113.50613892784837)"
10169 - 104 Street NW,,Phillips Building,DOWNTOWN,Municipal Historic Resource,,53.542421,-113.498712,"(53.54242062165889, -113.49871218773833)"
10804 - 81 AVENUE NW,1912,Duncan MacPhaden Residence,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.517372,-113.509650,"(53.51737232074209, -113.50964952276716)"
10920 - 125 STREET NW,1914,Tossell Residence,WESTMOUNT,Inventory of Historic Resources,,53.554622,-113.538180,"(53.55462184580911, -113.53818032997664)"
10832 - 62 AVENUE NW,1954,St. Agnes Roman Catholic Church,ALLENDALE,Inventory of Historic Resources,,53.499430,-113.511151,"(53.49943005356962, -113.511150856213)"
10440 - 108 AVENUE NW,1915,Prince of Wales Armouries,CENTRAL MCDOUGALL,Municipal Historic Resource,Provincial Historic Resource,53.553786,-113.500186,"(53.55378608025083, -113.50018596273023)"
10404 - 125 STREET NW,1913,William Marshall Residence,WESTMOUNT,Inventory of Historic Resources,,53.546376,-113.538169,"(53.54637553065392, -113.53816924302096)"
9618 - 79 STREET NW,1913,Freeman Residence,HOLYROOD,Inventory of Historic Resources,,53.534533,-113.449712,"(53.53453345749249, -113.44971168508114)"
102 Avenue,1932,Wellington Ravine Bridge,BRIDGE,Inventory of Historic Resources,,53.543050,-113.548039,"(53.54305, -113.548039)"
Glenora,,Glenora Light Standards,GLENORA / WESTMOUNT,Inventory of Historic Resources,,,,
7000 - 143 Street,1913,Firkins House,FORT EDMONTON,Inventory of Historic Resources,,53.501459,-113.578921,"(53.50145916249133, -113.5789205489005)"
9945 - 86 AVENUE NW,1912,Mayor Sheppard Residence,STRATHCONA,Inventory of Historic Resources,Provincial Historic Resource,53.521559,-113.488253,"(53.5215593467804, -113.48825251014742)"
9851 - 83 AVENUE NW,1912,Frank Duguid Residence,STRATHCONA,Inventory of Historic Resources,,53.518777,-113.485294,"(53.51877700878147, -113.48529390737912)"
9609 - 82 Avenue,1946,L & J Maguss Hardware Building,RITCHIE,Inventory of Historic Resources,,53.517720,-113.477354,"(53.5177203381224, -113.47735353965173)"
10821 - 96 STREET NW,1913,Sacred Heart Rectory,MCCAULEY,Inventory of Historic Resources,,53.554906,-113.487007,"(53.55490576380487, -113.48700661168685)"
12140 - 103 STREET NW,1913,H.Allen Gray School,WESTWOOD,Inventory of Historic Resources,,53.576074,-113.498706,"(53.5760737090227, -113.49870582219496)"
11620 - 120 STREET NW,1949,Weston's Bakery,PRINCE RUPERT,Inventory of Historic Resources,,53.567903,-113.530139,"(53.5679026805992, -113.53013880899269)"
11015 - 81 AVENUE NW,1911,William Alton,GARNEAU,Inventory of Historic Resources,,53.516837,-113.515794,"(53.516837291480634, -113.51579375741855)"
10147 - 115 STREET NW,1911,Murdoch McLeod Residence,OLIVER,Inventory of Historic Resources,,53.542056,-113.518934,"(53.542055669746794, -113.51893361731926)"
10301 - 108 STREET NW,1912,Western Supplies Building,DOWNTOWN,Inventory of Historic Resources,,53.544783,-113.506056,"(53.54478339050806, -113.50605579889836)"
11903 - 129 AVENUE NW,1918,Richard Brown Residence,CALDER,Inventory of Historic Resources,,53.587356,-113.527133,"(53.587355947086515, -113.5271333935637)"
9928 - 110 Street NW,1899,St. Joachim Church,OLIVER,Inventory of Historic Resources,,53.538254,-113.511189,"(53.538253986735455, -113.51118941002997)"
10301-10309 - 109 Street,1913,MacCosham Building,DOWNTOWN,Inventory of Historic Resources,,53.544852,-113.507872,"(53.54485200443713, -113.50787233882025)"
13404 - 102 AVENUE NW,1942,Butler Residence,GLENORA,Inventory of Historic Resources,,53.543376,-113.553221,"(53.54337620998059, -113.55322141803097)"
10325 - 83 AVENUE NW,1909,Strathcona Public Market,STRATHCONA,Inventory of Historic Resources,,53.518798,-113.496352,"(53.51879800593332, -113.49635154406528)"
10523 - 84 AVENUE NW,1909,Strathcona Collegiate Institute,STRATHCONA,Inventory of Historic Resources,Provincial Historic Resource,53.519756,-113.501963,"(53.5197556147811, -113.50196261880657)"
5610 - 111 AVENUE NW,1912,Field Residence,HIGHLANDS,Inventory of Historic Resources,,53.565794,-113.428232,"(53.56579444033274, -113.42823221366518)"
12420 - 104 Street,1914,Beechmount Municipal Cemetery,WESTWOOD,Inventory of Historic Resources,,53.580302,-113.499532,"(53.58030203611202, -113.49953190414254)"
10312 - 121 STREET NW,1911,Freeman Stanley Residence,OLIVER,Inventory of Historic Resources,,53.544996,-113.531324,"(53.54499617427998, -113.53132422808402)"
6020 - 118 Street,1920,U of A Experimental Farm Horse Barn,UNIVERSITY OF ALBERTA FARM,Inventory of Historic Resources,,53.500365,-113.535375,"(53.50036464436869, -113.53537515331135)"
8120 - JASPER AVENUE NW,1913,Sheriff Robertson Residence,CROMDALE,Inventory of Historic Resources,Provincial Historic Resource,53.557204,-113.466371,"(53.5572038339052, -113.46637142312096)"
10704 - 82 Avenue,1946,St. Joseph's Hospital,GARNEAU,Municipal Historic Resource,,53.518402,-113.506623,"(53.51840231345286, -113.50662331180418)"
Yellowhead Trail,1908,Grand Trunk Pacific Bridge,BRIDGE,Inventory of Historic Resources,,53.573174,-113.371457,"(53.573174, -113.371457)"
11404 - 89 AVENUE NW,1957,University of Alberta Administration Building,UNIVERSITY OF ALBERTA,Inventory of Historic Resources,,53.527140,-113.526124,"(53.52713968374802, -113.52612354718134)"
8536-8540 - 109 STREET NW,1950,Noble Building,GARNEAU,Inventory of Historic Resources,,53.521763,-113.512529,"(53.52176268962644, -113.51252936289931)"
11108 - 64 STREET NW,1927,William Brown Residence,HIGHLANDS,Municipal Historic Resource,,53.563583,-113.435639,"(53.56358315582811, -113.43563917656375)"
8421 - 101 AVENUE NW,1912,Dawson and O'Connell Buildings,FOREST HEIGHTS,Inventory of Historic Resources,,53.539289,-113.458542,"(53.53928879806901, -113.45854203256395)"
10958 - 89 AVENUE NW,1912,Cecil S. Burgess Residence,GARNEAU,Municipal Historic Resource,Provincial Registered Historic Resource,53.525069,-113.514779,"(53.525069333889924, -113.51477920579528)"
10431 - 82 AVENUE NW,1949,Canadian Imperial Bank of Commerce,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.517760,-113.498937,"(53.51775966367298, -113.49893658051491)"
11142 - 62 STREET NW,1912,Humphrey's Residence,HIGHLANDS,Municipal Historic Resource,,53.565476,-113.433636,"(53.56547558003199, -113.43363620443472)"
12755 - 119 STREET NW,1923,Coatta Residence,CALDER,Inventory of Historic Resources,,53.586579,-113.526327,"(53.58657949026032, -113.52632692756188)"
11212 - 99 AVENUE NW,1907,Edmonds Residence,OLIVER,Inventory of Historic Resources,,53.537500,-113.514762,"(53.53750032991867, -113.51476249479015)"
10310 - 132 Street NW,1931,McLeod Residence,GLENORA,Inventory of Historic Resources,,53.544923,-113.549853,"(53.544922506464786, -113.54985347824072)"
10305 - 97 STREET NW,1942,Great Western Garment Company Building,BOYLE STREET,Inventory of Historic Resources,,53.546154,-113.486440,"(53.546153565660255, -113.48644043547719)"
11524 - 102 AVENUE NW,1915,Phillip & Annie Livingston Residence,OLIVER,Inventory of Historic Resources,,53.543246,-113.520219,"(53.54324566312129, -113.52021895184856)"
11404 - 89 AVENUE NW,1914,Professor's House 2- Ring Road,UNIVERSITY OF ALBERTA,Inventory of Historic Resources,,53.527140,-113.526124,"(53.52713968374802, -113.52612354718134)"
10761 - 82 AVENUE NW,1951,Church of Jesus Christ of Latter-Day Saints,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.517779,-113.508737,"(53.51777940760365, -113.50873658141342)"
11745 - 89 STREET NW,1962,North Edmonton City Telephones Exchange,PARKDALE,Inventory of Historic Resources,,53.570019,-113.477799,"(53.57001907324626, -113.47779949279031)"
10953 - 123 STREET NW,1914,Fisher Residence,WESTMOUNT,Inventory of Historic Resources,,53.555566,-113.533662,"(53.55556572830592, -113.53366176915101)"
8516 - 104 STREET NW,1913,Grace Brock Residence,STRATHCONA,Inventory of Historic Resources,,53.521485,-113.498090,"(53.52148522415758, -113.49808996306382)"
9330 - Groat Road,,Hawrelak Park: Jenner Spruce,RIVER VALLEY MAYFAIR,Inventory of Historic Resources,,53.526122,-113.541725,"(53.52612244532408, -113.54172540141394)"
10304 - Connaught Drive NW,1911,CF Newell Residence,GLENORA,Inventory of Historic Resources,,53.544882,-113.544364,"(53.54488186220837, -113.54436366893557)"
12809 - WOODBEND PLACE NW,1912,Sterling Woods Residence,WESTMOUNT,Inventory of Historic Resources,,53.546923,-113.543879,"(53.546923293412036, -113.54387857474462)"
9703 - 94 STREET NW,1913,Bennett School,CLOVERDALE,Inventory of Historic Resources,,53.536835,-113.470716,"(53.53683479755797, -113.4707163976519)"
12021 - 102 AVENUE NW,1913,West End Telephone Exchange,OLIVER,Municipal Historic Resource,,53.542740,-113.530377,"(53.542740471923956, -113.53037720415657)"
9729 - 111 AVENUE NW,1964,Park Memorial Funeral Home,MCCAULEY,Inventory of Historic Resources,,53.558616,-113.492431,"(53.55861560798538, -113.4924308369642)"
4 Wellington Crescent NW,1932,Henry Residence,GLENORA,Inventory of Historic Resources,,53.542392,-113.546261,"(53.54239150522394, -113.5462606648528)"
11938 - 129 Avenue,1927,Irwin Residence,CALDER,Inventory of Historic Resources,,53.587837,-113.528633,"(53.58783707127921, -113.52863304612421)"
11708 - 95A STREET NW,1927,Elisha East Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.569155,-113.489146,"(53.5691554709933, -113.48914603165167)"
11035 - 97 STREET NW,1914,Lambton Block,MCCAULEY,Municipal Historic Resource,,53.558422,-113.491444,"(53.558421905037896, -113.49144420841947)"
11608 - 123 STREET NW,1947,Thom Residence,INGLEWOOD,Inventory of Historic Resources,,53.567157,-113.534655,"(53.56715720951167, -113.53465513170585)"
10155 - 96 AVENUE NW,1958,Rossdale Power Plant,ROSSDALE,Inventory of Historic Resources,Provincial Historic Resource,53.529720,-113.498450,"(53.52972013996721, -113.49844970411044)"
9811 - 80 Avenue,1917,James Callendar Residence,RITCHIE,Inventory of Historic Resources,,53.515829,-113.483499,"(53.515828905009414, -113.48349855948273)"
10220 - 134 Street NW,1939,Steele Residence,GLENORA,Inventory of Historic Resources,,53.543698,-113.553428,"(53.54369805853835, -113.55342839936237)"
11445 - 64 STREET NW,1947,Dean/Kuperus Residence,HIGHLANDS,Municipal Historic Resource,,53.569347,-113.438729,"(53.56934702319468, -113.43872899626935)"
102-104 Aves. - 121 St.,,Boulevard and Median Elms,ALBERTA/SPRUCE AVENUE,Inventory of Historic Resources,,53.543681,-113.530183,"(53.54368146040325, -113.53018324451374)"
10431 - 140 STREET NW,1952,Frost Residence,GLENORA,Inventory of Historic Resources,,53.547325,-113.562582,"(53.547324915807614, -113.56258191991583)"
9633 - 83 AVENUE NW,1902,Holy Trinity Church Rectory,STRATHCONA,Inventory of Historic Resources,,53.518765,-113.478374,"(53.51876491717917, -113.47837429383817)"
7300 - 116 AVENUE NW,1926,Log Cabin,EDMONTON NORTHLANDS,Inventory of Historic Resources,,53.566740,-113.457120,"(53.56674034690081, -113.45711963350934)"
10959 - 81 AVENUE NW,1913,Reginald Sheppard Residence,GARNEAU,Inventory of Historic Resources,,53.516836,-113.514773,"(53.51683610776986, -113.51477293237645)"
7507 - BORDEN PARK ROAD NW,1956,Borden Park Band Shell,VIRGINIA PARK,Municipal Historic Resource,,53.562686,-113.455772,"(53.56268560043413, -113.4557721624193)"
10925 - 87 AVENUE NW,1924,Garneau School,GARNEAU,Inventory of Historic Resources,,53.522410,-113.513196,"(53.52240988120077, -113.5131959911484)"
10814 - 73 AVENUE NW,1931,Polet Maurice Residence,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.509691,-113.510180,"(53.5096914873679, -113.51017962681941)"
6318 - 111 AVENUE NW,1914,R.C. Marshall Residence,HIGHLANDS,Inventory of Historic Resources,,53.563884,-113.434798,"(53.56388419968118, -113.43479785097506)"
11125 - 96 STREET NW,1916,George W. Curtis Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.559993,-113.489698,"(53.559992940577374, -113.48969823394083)"
3203 - 34 STREET NW,1895,Millwoods Moravian Community Church Cementery,SILVER BERRY,Inventory of Historic Resources,,53.464627,-113.392701,"(53.464626928845576, -113.39270102094736)"
10439 - 121 STREET NW,1913,Edmonton Brewing & Malting Co. Ltd,OLIVER,Municipal Historic Resource,Provincial Historic Resource,53.547292,-113.529808,"(53.54729238070421, -113.52980788310114)"
10727 - 126 STREET NW,1913,Duncan Cameron Residence,WESTMOUNT,Municipal Historic Resource,,53.551801,-113.538958,"(53.551801135560964, -113.53895790398992)"
11007 - 128 STREET NW,1922,Hartley Residence,WESTMOUNT,Inventory of Historic Resources,,53.557626,-113.542387,"(53.55762648386539, -113.5423872663572)"
11404 - 89 AVENUE NW,1911,Athabasca Hall,UNIVERSITY OF ALBERTA,Inventory of Historic Resources,,53.527140,-113.526124,"(53.52713968374802, -113.52612354718134)"
6128 - ADA BOULEVARD NW,1936,Fred Mitchell Residence,HIGHLANDS,Inventory of Historic Resources,,53.563963,-113.431567,"(53.563962632971204, -113.43156735051409)"
10108 - 138 STREET NW,1954,Shaw Residence,GLENORA,Inventory of Historic Resources,,53.542364,-113.560974,"(53.5423643373932, -113.56097419021685)"
6240 - 113 STREET NW,1954,Alberta School for the Deaf Residences,UNIVERSITY OF ALBERTA FARM,Inventory of Historic Resources,,53.499843,-113.525203,"(53.499843349310666, -113.52520289288783)"
10709 - 126 STREET NW,1912,Law Residence,WESTMOUNT,Inventory of Historic Resources,,53.551276,-113.538957,"(53.55127629285663, -113.5389570660857)"
10037 - 84 AVENUE NW,1913,Holy Trinity Anglican Church,STRATHCONA,Inventory of Historic Resources,Provincial Historic Resource,53.519737,-113.490822,"(53.51973685533652, -113.49082244698539)"
6506 - 118 AVENUE NW,1941,Fire Hall No. 7,MONTROSE,Inventory of Historic Resources,,53.570633,-113.441836,"(53.57063263196706, -113.44183558236116)"
9912 - 87 AVENUE NW,1914,Norman Pitcher Residence,STRATHCONA,Inventory of Historic Resources,,53.522908,-113.486784,"(53.52290793058816, -113.4867843498654)"
10316 - 104 Avenue NW,1927,Munroe Residence,GLENORA,Inventory of Historic Resources,,53.546493,-113.547009,"(53.546492710670236, -113.54700933242871)"
9626 - 96A Street,,St. John Ambulance Tree,CLOVERDALE,Inventory of Historic Resources,,53.534743,-113.477662,"(53.53474262939152, -113.47766151930252)"
7000 - 143 Street,1890,Ottewell Barns,FORT EDMONTON,Inventory of Historic Resources,,53.501459,-113.578921,"(53.50145916249133, -113.5789205489005)"
10014 - 81 AVENUE NW,1914,Trinity Evangelical Lutheran Church,RITCHIE,Inventory of Historic Resources,,53.517333,-113.489361,"(53.517333192495755, -113.4893605650582)"
12810 - 111 AVENUE NW,1955,St. Andrew's Roman Catholic Church,INGLEWOOD,Inventory of Historic Resources,,53.559156,-113.543100,"(53.55915626724866, -113.5430998833113)"
9844 - 92 AVENUE NW,1913,Norman Eagleson Residence,STRATHCONA,Inventory of Historic Resources,,53.527547,-113.484936,"(53.527546532228634, -113.48493626073787)"
17480 - FORT ROAD NW,1954,Alberta Hospital Administration Building,RURAL NORTH EAST HORSE HILL,Inventory of Historic Resources,,53.636679,-113.375299,"(53.63667932648459, -113.37529860999041)"
9 Alexander Circle NW,1930,Paterson Residence,GLENORA,Inventory of Historic Resources,,53.544002,-113.551592,"(53.544002471083346, -113.55159219049443)"
12816 - FORT ROAD NW,1948,North Edmonton Billiards,BELVEDERE,Inventory of Historic Resources,,53.586497,-113.440798,"(53.58649658662797, -113.44079825776937)"
9932 - 112 STREET NW,1907,Lester Allyn House,OLIVER,Municipal Historic Resource,,53.538232,-113.514485,"(53.5382324773915, -113.51448472788593)"
10347 - VILLA AVENUE NW,1912,Robert McDonald Residence,WESTMOUNT,Inventory of Historic Resources,,53.545707,-113.539017,"(53.545706858694416, -113.5390165500113)"
11540 - 96 STREET NW,1912,Rennie Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.567004,-113.490625,"(53.56700374665013, -113.4906254304404)"
9833 - 109 Street,1931,Provincial Government Administration Building,DOWNTOWN,Inventory of Historic Resources,,53.533641,-113.505573,"(53.533640741030474, -113.50557267257675)"
28 St. George's Crescent NW,1929,Sutherland Residence,GLENORA,Inventory of Historic Resources,,53.541258,-113.552676,"(53.54125807998313, -113.55267594359341)"
9408 - 142 STREET NW,1953,Civil Defense Underground Shelter,CRESTWOOD,Inventory of Historic Resources,,53.529819,-113.566205,"(53.52981911956873, -113.56620508200075)"
10330 - 127 STREET NW,1912,Cornwall Residence,WESTMOUNT,Inventory of Historic Resources,,53.545376,-113.541535,"(53.545376412377436, -113.54153530370036)"
11833 - 102 AVENUE NW,1919,John Wood Residence,OLIVER,Inventory of Historic Resources,,53.542826,-113.526060,"(53.542825543210654, -113.52605985273206)"
10141 - 95 STREET NW,1914,Hecla Block,BOYLE STREET,Municipal Historic Resource,Provincial Registered Historic Resource,53.544598,-113.478023,"(53.54459833620768, -113.4780228823719)"
11133 - 81 AVENUE NW,1925,Judge Athelstan Bissett Residence,GARNEAU,Inventory of Historic Resources,,53.516843,-113.519452,"(53.516843254616106, -113.51945237935881)"
9614 - 111 AVENUE NW,1913,Kim S. Mah Buildings,ALBERTA AVENUE,Inventory of Historic Resources,,53.559391,-113.490821,"(53.55939130251383, -113.49082093613153)"
11014 - 80 AVENUE NW,1923,Orlando Muckleston Residence,GARNEAU,Inventory of Historic Resources,,53.516431,-113.515722,"(53.51643076849762, -113.5157222646348)"
10130 - 122 STREET NW,1912,Fraser Residence,OLIVER,Inventory of Historic Resources,,53.542092,-113.532840,"(53.54209222468844, -113.53283954686223)"
9908 - 112 STREET NW,1907,John L. Lang Four Plex 9908 112 Street,OLIVER,Municipal Historic Resource,,53.537707,-113.514486,"(53.537706903671726, -113.51448564307462)"
105 Street & 88 Avenue,1914,Walterdale (105 St.) Bridge,WALTERDALE,Inventory of Historic Resources,,53.528624,-113.502352,"(53.528624, -113.502352)"
10550 - 126 STREET NW,1913,Stanely May Residence,WESTMOUNT,Inventory of Historic Resources,,53.549193,-113.539947,"(53.549193030340135, -113.53994669343217)"
10544 - 84 AVENUE NW,1912,Bard Residence,STRATHCONA,Municipal Historic Resource,Provincial Historic Resource,53.520299,-113.502524,"(53.520298626429124, -113.50252410719291)"
10217 - 107 Street,1939,Boulevard Royal Visit Trees,DOWNTOWN,Inventory of Historic Resources,,53.543467,-113.504219,"(53.543466634139754, -113.50421926434335)"
10828 - 125 Street,1912,Chandler Barn,WESTMOUNT,Municipal Historic Resource,,53.553412,-113.538178,"(53.553412384951415, -113.53817834880213)"
10425 - 99 AVENUE NW,1881,Edmonton Settlement School,DOWNTOWN,Municipal Historic Resource,Provincial Historic Resource,53.536384,-113.500557,"(53.53638421700327, -113.50055669671904)"
10938 - 85 Avneue NW,1932,Robert Molloy Residence,GARNEAU,Inventory of Historic Resources,,53.521264,-113.513865,"(53.52126413734136, -113.5138648486056)"
7300 - 116 Avenue,1926,Exhibition Cabin (Old Timer's Roost),EDMONTON NORTHLANDS,Inventory of Historic Resources,,53.566740,-113.457120,"(53.56674034690081, -113.45711963350934)"
46 - ST GEORGE'S CRESCENT NW,1931,MacLean Residence,GLENORA,Inventory of Historic Resources,,53.539628,-113.551174,"(53.53962778285527, -113.55117361172947)"
10811 - 84 Avenue,1938,Joseph A. Monaghan Residence,GARNEAU,Inventory of Historic Resources,,53.519770,-113.509873,"(53.51977014081756, -113.50987281981078)"
11340 - 92 STREET NW,1909,Lewis Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.563867,-113.483097,"(53.56386732177158, -113.48309680331565)"
10229 - 132 Street NW,1929,McNeill Residence,GLENORA,Inventory of Historic Resources,,53.543973,-113.549209,"(53.54397316380299, -113.54920859895866)"
10517 - 95 STREET NW,1913,"City of Edmonton Stables, Blacksmith & Livery",BOYLE STREET,Inventory of Historic Resources,,53.550975,-113.479786,"(53.55097469374549, -113.47978580801494)"
9752 -89 Avenue,1914,John W. Wolfe,STRATHCONA,Inventory of Historic Resources,,53.524728,-113.482073,"(53.5247283293038, -113.48207273448057)"
12704 - 102 AVENUE NW,1911,Dr. W.D. Ferris,GLENORA,Inventory of Historic Resources,Provincial Registered Historic Resource,53.543317,-113.542371,"(53.54331693545004, -113.54237149398851)"
10946 - 84 Avenue,1936,Oliver S. Longman Residence,GARNEAU,Inventory of Historic Resources,,53.520318,-113.514183,"(53.52031812298796, -113.51418335147706)"
10524 - 46 STREET NW,1958,Gold Bar School,GOLD BAR,Inventory of Historic Resources,,53.550125,-113.414212,"(53.55012519291011, -113.41421219988563)"
15 - SIR WINSTON CHURCHILL SQUARE NW,1952,Land Title Building,DOWNTOWN,Inventory of Historic Resources,,53.544736,-113.491391,"(53.544735698953026, -113.49139069088744)"
12720 - FORT ROAD NW,1908,Transit Hotel,BELVEDERE,Inventory of Historic Resources,,53.585635,-113.442605,"(53.58563513472576, -113.44260536033731)"
111-118 Aves. - 97 Street,,Boulevard and Median Elms #3,OLIVER,Inventory of Historic Resources,,53.559279,-113.492284,"(53.55927897575296, -113.4922839905148)"
7000 - 143 Street,1878,Bulletin Building,FORT EDMONTON,Inventory of Historic Resources,,53.501459,-113.578921,"(53.50145916249133, -113.5789205489005)"
10421 - 159 Street NW,,Jasper Place Separate School District Headquarters,BRITANNIA YOUNGSTOWN,Inventory of Historic Resources,,53.546917,-113.594580,"(53.54691680936054, -113.59457998619921)"
102-103 Aves. - 125 St.,1910,Boulevard Silver Maples,WESTMOUNT,Inventory of Historic Resources,,53.543199,-113.538163,"(53.54319852733735, -113.53816333213325)"
11222 - 123 STREET NW,1930,Dr. Minish Residence (Alex Clarke Residence),INGLEWOOD,Municipal Historic Resource,,53.561217,-113.534644,"(53.56121706896504, -113.53464418416546)"
11140 University Avenue,1942,Barclay Residence,GARNEAU,Inventory of Historic Resources,,53.515620,-113.519854,"(53.51561989943029, -113.51985432998482)"
11524 - 93 STREET NW,1913,George E. Goodall Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.566573,-113.484622,"(53.56657346634027, -113.48462219682183)"
10812 - 126 STREET NW,1912,Walter Crawford Residence,WESTMOUNT,Inventory of Historic Resources,,53.552966,-113.539953,"(53.55296620445843, -113.53995291468375)"
6326 - 111 AVENUE NW,1926,Van Allen Residence,HIGHLANDS,Inventory of Historic Resources,,53.563786,-113.435102,"(53.563786318528585, -113.43510153556315)"
10834 - 125 STREET NW,1914,Charles Barker Residence,WESTMOUNT,Municipal Historic Resource,,53.553549,-113.538179,"(53.55354922821078, -113.53817850343086)"
12 St. George's Crescent NW,1945,Dynes Residence,GLENORA,Inventory of Historic Resources,,53.541690,-113.554348,"(53.5416895994381, -113.55434754343693)"
11305 - 66 STREET NW,1913,George Green Residence,HIGHLANDS,Inventory of Historic Resources,,53.566280,-113.440025,"(53.56627975368631, -113.44002524383778)"
7128 - ADA BOULEVARD NW,1926,Concordia College,VIRGINIA PARK,Inventory of Historic Resources,,53.560691,-113.446421,"(53.5606907788412, -113.44642080217767)"
10318 - VILLA AVENUE NW,1913,John Sherry Residence,WESTMOUNT,Inventory of Historic Resources,,53.545719,-113.540805,"(53.54571865513002, -113.54080460545448)"
11032 - 85 AVENUE NW,1914,George Edward Residence,GARNEAU,Inventory of Historic Resources,,53.521269,-113.516522,"(53.52126949729079, -113.51652161733809)"
9611 - 105 Street NW,,9611 - 105 Street NW,ROSSDALE,Inventory of Historic Resources,,53.532863,-113.500695,"(53.532862707240724, -113.50069539407905)"
10380 Queen Elizabeth Park Road,1907,Queen Elizabeth Park,RIVER VALLEY WALTERDALE,Inventory of Historic Resources,,53.525594,-113.498883,"(53.525594139654714, -113.49888340184961)"
10616 - 72 Avenue NW,,Residence,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.508743,-113.505328,"(53.50874349516189, -113.50532824998642)"
9722 - 102 STREET NW,1914,Ortona Armoury,ROSSDALE,Municipal Historic Resource,,53.534880,-113.496090,"(53.53488005829612, -113.49609049582544)"
8406 - 91 STREET NW,1910,Juniorate St. Jean RRPP Oblats Faculte Saint-Jean,BONNIE DOON,Inventory of Historic Resources,,53.521046,-113.470256,"(53.52104634952915, -113.47025570325195)"
9733 - 111 Street NW,1910,John T. Ross House,OLIVER,Municipal Historic Resource,,53.535282,-113.511584,"(53.535281750802035, -113.51158448262727)"
