RegistrationNum,RegisteredTypeMapped,RegisteredTypeDesc,RentalHousingUnits,PropertyName,RegisteredDate,ExpiresDate,StatusCurrent,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,PropertyContactName,Link,Latitude,Longitude,Location1
001-0131260,Rental Property,Registration,1,,2017-03-31,2022-03-31,Active Registration,6412 NE 60TH ST,SEATTLE,WA,98115,Customer Success,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0131260,47.67228153,-122.25897088,"6412 NE 60TH ST
SEATTLE, WA 98115
(47.67228153, -122.25897088)"
001-0107522,Rental Property,Registration,2,,2020-06-23,2022-06-24,Active Registration,2604 NE 54TH ST,SEATTLE,WA,98105,Lorraine Wolf,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0107522,47.66813848,-122.29930556,"2604 NE 54TH ST
SEATTLE, WA 98105
(47.66813848, -122.29930556)"
001-0127449,Rental Property,Registration,1,,2016-11-16,2021-11-16,Active Registration,4727 48TH AVE S,SEATTLE,WA,98118,PAUL CONRAD & MONIGUE HOWARD,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0127449,47.55975131,-122.27351175,"4727 48TH AVE S
SEATTLE, WA 98118
(47.55975131, -122.27351175)"
001-0105711,Rental Property,Registration,4,,2020-05-04,2022-05-11,Active Registration,1420 E Denny WAY,Seattle,WA,98122,ALLAN JONES,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0105711,47.61892825,-122.31358043,"1420 E Denny WAY
Seattle, WA 98122
(47.61892825, -122.31358043)"
001-0129824,Rental Property,Registration,1,,2016-12-31,2021-12-31,Active Registration,1510 B TAYLOR AVE N,SEATTLE,WA,98109,Kanwar Nijher,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0129824,47.63273247,-122.34569428,"1510 B TAYLOR AVE N
SEATTLE, WA 98109
(47.63273247, -122.34569428)"
001-0135777,Rental Property,Registration,1,8025,2019-04-18,2021-04-18,Active Registration,8025 C 15TH AVE NW,SEATTLE,WA,98117,Elita Living Real Estate LLC,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0135777,47.68750836,-122.37729321,"8025 C 15TH AVE NW
SEATTLE, WA 98117
(47.68750836, -122.37729321)"
001-0127575,Rental Property,Registration,1,,2016-10-18,2021-10-18,Active Registration,3545 NE 91ST ST,SEATTLE,WA,98115,Brad Davis,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0127575,47.69436299,-122.28865993,"3545 NE 91ST ST
SEATTLE, WA 98115
(47.69436299, -122.28865993)"
001-0102209,Rental Property,Registration,224,The Olivian,2019-09-18,2021-09-30,Active Registration,809 OLIVE WAY,SEATTLE,WA,98101,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0102209,47.61397452,-122.33352833,"809 OLIVE WAY
SEATTLE, WA 98101
(47.61397452, -122.33352833)"
001-0123434,Rental Property,Registration,1,,2016-06-30,2021-06-30,Active Registration,9239 A WOODLAWN AVE N,SEATTLE,WA,98103,Sarah McEahern,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0123434,47.69707498,-122.33915782,"9239 A WOODLAWN AVE N
SEATTLE, WA 98103
(47.69707498, -122.33915782)"
001-0116226,Rental Property,Registration,3,,2016-01-15,2021-01-15,Active Registration,312 NW 52ND ST,SEATTLE,WA,98107,Sonja Solland,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0116226,47.66668293,-122.36145609,"312 NW 52ND ST
SEATTLE, WA 98107
(47.66668293, -122.36145609)"
001-0123810,Rental Property,Registration,1,,2016-07-08,2021-07-08,Active Registration,10848 12TH AVE NE,SEATTLE,WA,98125,Victor Warnicky,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0123810,47.70831645,-122.31447601,"10848 12TH AVE NE
SEATTLE, WA 98125
(47.70831645, -122.31447601)"
001-0117951,Rental Property,Registration,1,,2016-03-10,2021-03-10,Active Registration,2912 E CHERRY ST,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0117951,47.60820469,-122.29428633,"2912 E CHERRY ST
SEATTLE, WA 98122
(47.60820469, -122.29428633)"
001-0116519,Rental Property,Registration,1,,2016-02-02,2021-02-02,Active Registration,5961 21ST AVE SW,SEATTLE,WA,98106,Melinda Baldwin,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0116519,47.54840289,-122.36004032,"5961 21ST AVE SW
SEATTLE, WA 98106
(47.54840289, -122.36004032)"
001-0126932,Rental Property,Registration,1,,2016-11-17,2021-11-17,Active Registration,8509 DIBBLE AVE NW,SEATTLE,WA,98117,Mary and Tim Cleaveland,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0126932,47.69112621,-122.36755852,"8509 DIBBLE AVE NW
SEATTLE, WA 98117
(47.69112621, -122.36755852)"
001-0131552,Rental Property,Registration,1,Lakewest Condominiums,2017-05-03,2022-05-03,Active Registration,2105 WESTLAKE AVE N,SEATTLE,WA,98109,Maple Leaf Property Management,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0131552,47.63828708,-122.34135339,"2105 WESTLAKE AVE N
SEATTLE, WA 98109
(47.63828708, -122.34135339)"
001-0133447,Rental Property,Registration,1,,2018-03-02,2023-03-02,Active Registration,4308 2ND AVE NW,SEATTLE,WA,98107,Rachel Schindler,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0133447,47.65924735,-122.35815255,"4308 2ND AVE NW
SEATTLE, WA 98107
(47.65924735, -122.35815255)"
001-0137619,Rental Property,Registration,1,,2019-10-02,2021-10-02,Active Registration,2309 N 40TH ST,SEATTLE,WA,98103,Hoi Yuen,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0137619,47.65542173,-122.3310014,"2309 N 40TH ST
SEATTLE, WA 98103
(47.65542173, -122.3310014)"
001-0106900,Rental Property,Registration,1,Seaview Condominium,2020-04-20,2022-06-15,Active Registration,519 W ROY ST,SEATTLE,WA,98119,Dawn Nelson,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0106900,47.62556553,-122.36415726,"519 W ROY ST
SEATTLE, WA 98119
(47.62556553, -122.36415726)"
001-0125747,Rental Property,Registration,1,,2016-10-24,2021-10-24,Active Registration,3211 S GRAHAM ST,SEATTLE,WA,98118,Jian Xiong Xue,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0125747,47.54594088,-122.29107573,"3211 S GRAHAM ST
SEATTLE, WA 98118
(47.54594088, -122.29107573)"
001-0116164,Rental Property,Registration,1,,2016-01-15,2021-01-15,Active Registration,5000 30TH AVE NE,SEATTLE,WA,98105,Christine McClaran,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0116164,47.66507321,-122.29524113,"5000 30TH AVE NE
SEATTLE, WA 98105
(47.66507321, -122.29524113)"
001-0115079,Rental Property,Registration,3,,2016-01-06,2021-01-06,Active Registration,5401 BAKER AVE NW,SEATTLE,WA,98107,John Epler,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0115079,47.66801177,-122.36044368,"5401 BAKER AVE NW
SEATTLE, WA 98107
(47.66801177, -122.36044368)"
001-0140994,Rental Property,Registration,1,,2020-11-23,2022-11-23,Active Registration,2020 E JEFFERSON ST,SEATTLE,WA,98122,Maple Leaf Property Management,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0140994,47.6063067,-122.30526729,"2020 E JEFFERSON ST
SEATTLE, WA 98122
(47.6063067, -122.30526729)"
001-0110652,Rental Property,Registration,1,,2020-11-23,2022-11-23,Active Registration,4731 34TH AVE NE,SEATTLE,WA,98105,WONG,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0110652,47.66366086,-122.29156885,"4731 34TH AVE NE
SEATTLE, WA 98105
(47.66366086, -122.29156885)"
001-0104721,Rental Property,Registration,5,East Marion Apartments,2020-01-27,2022-03-26,Active Registration,3400 E MARION ST,SEATTLE,WA,98122,James Richardson,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0104721,47.61057489,-122.28913207,"3400 E MARION ST
SEATTLE, WA 98122
(47.61057489, -122.28913207)"
001-0119895,Rental Property,Registration,1,,2016-04-13,2021-04-13,Active Registration,6017 35TH AVE NE,SEATTLE,WA,98115,Sean Hoffman,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0119895,47.67274226,-122.29046755,"6017 35TH AVE NE
SEATTLE, WA 98115
(47.67274226, -122.29046755)"
001-0108916,Rental Property,Registration,2,,2020-05-15,2022-07-13,Active Registration,1509 10TH AVE W,SEATTLE,WA,98119,Kathryn Medawar,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0108916,47.63267228,-122.37074305,"1509 10TH AVE W
SEATTLE, WA 98119
(47.63267228, -122.37074305)"
001-0130497,Rental Property,Registration,1,,2017-01-20,2022-01-20,Active Registration,5505 NE 62ND ST,SEATTLE,WA,98115,Stefania Veress,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0130497,47.67391036,-122.26852608,"5505 NE 62ND ST
SEATTLE, WA 98115
(47.67391036, -122.26852608)"
001-0113990,Rental Property,Registration,4,,2020-11-23,2022-12-07,Active Registration,4322 5TH AVE NW,SEATTLE,WA,98107,Harold Dittman,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0113990,47.65966738,-122.36264027,"4322 5TH AVE NW
SEATTLE, WA 98107
(47.65966738, -122.36264027)"
001-0119165,Rental Property,Registration,1,,2016-03-29,2021-03-29,Active Registration,14334 20TH AVE NE,SEATTLE,WA,98125,simon cornish,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0119165,47.73305265,-122.30708333,"14334 20TH AVE NE
SEATTLE, WA 98125
(47.73305265, -122.30708333)"
001-0125340,Rental Property,Registration,1,,2016-08-31,2021-08-31,Active Registration,8030 13TH AVE NW,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0125340,47.68782353,-122.37248462,"8030 13TH AVE NW
SEATTLE, WA 98117
(47.68782353, -122.37248462)"
001-0140387,Rental Property,Registration,1,,2020-08-23,2022-08-23,Active Registration,10325 46th AVE NE,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0140387,47.70361604,-122.27923983,"10325 46th AVE NE
(47.70361604, -122.27923983)"
001-0133722,Rental Property,Registration,1,,2018-04-13,2023-04-13,Active Registration,2219 14th AVE W,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0133722,,,2219 14th AVE W
001-0133319,Rental Property,Registration,1,Olive8,2018-02-10,2023-02-10,Active Registration,737 OLIVE WAY,SEATTLE,WA,98101,Julie Roh,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0133319,47.61376379,-122.33446396,"737 OLIVE WAY
SEATTLE, WA 98101
(47.61376379, -122.33446396)"
001-0138040,Rental Property,Registration,1,,2019-11-14,2021-11-14,Active Registration,4318 DAYTON AVE N,SEATTLE,WA,98103,rose taverniti,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0138040,47.65954715,-122.35184591,"4318 DAYTON AVE N
SEATTLE, WA 98103
(47.65954715, -122.35184591)"
001-0100107,Rental Property,Registration,12,Admiral,2019-08-07,2021-09-30,Active Registration,2339 FRANKLIN AVE E,SEATTLE,WA,98102,"CORNELL & ASSOCIATES, INC",https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0100107,47.64084052,-122.32505789,"2339 FRANKLIN AVE E
SEATTLE, WA 98102
(47.64084052, -122.32505789)"
001-0134780,Rental Property,Registration,1,,2018-10-01,2023-10-01,Active Registration,4101 B WHITMAN AVE N,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0134780,47.65679761,-122.34627772,"4101 B WHITMAN AVE N
SEATTLE, WA 98103
(47.65679761, -122.34627772)"
001-0124383,Rental Property,Registration,1,,2016-08-06,2021-08-06,Active Registration,347 NW 81ST ST,SEATTLE,WA,98117,Maple Leaf Property Management,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0124383,47.68746208,-122.36271241,"347 NW 81ST ST
SEATTLE, WA 98117
(47.68746208, -122.36271241)"
001-0104508,Rental Property,Registration,5,Mac Apartments,2020-03-18,2022-03-22,Active Registration,6308 42ND AVE SW,SEATTLE,WA,98136,Jeff McDiarmid,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0104508,47.54639793,-122.38534298,"6308 42ND AVE SW
SEATTLE, WA 98136
(47.54639793, -122.38534298)"
001-0125048,Rental Property,Registration,1,,2016-08-22,2021-08-22,Active Registration,8255 WALLINGFORD AVE N,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0125048,47.69031877,-122.33673063,"8255 WALLINGFORD AVE N
SEATTLE, WA 98103
(47.69031877, -122.33673063)"
001-0114869,Rental Property,Registration,1,,2015-12-28,2020-12-28,Active Registration,2827 NW 63RD ST,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0114869,47.67429086,-122.39424539,"2827 NW 63RD ST
SEATTLE, WA 98107
(47.67429086, -122.39424539)"
001-0127718,Rental Property,Registration,1,Beaudoin House,2016-10-21,2021-10-21,Active Registration,6742 CLEOPATRA PL NW,SEATTLE,WA,98117,Felix Rodriguez,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0127718,47.67902695,-122.36526756,"6742 CLEOPATRA PL NW
SEATTLE, WA 98117
(47.67902695, -122.36526756)"
001-0110044,Rental Property,Registration,3,,2020-07-23,2022-08-31,Active Registration,1811 BROADWAY E,SEATTLE,WA,98102,Ben Streissguth,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0110044,47.63535045,-122.32133618,"1811 BROADWAY E
SEATTLE, WA 98102
(47.63535045, -122.32133618)"
001-0135434,Rental Property,Registration,1,,2019-01-25,2021-01-25,Active Registration,4708 46TH AVE S,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0135434,47.56023571,-122.27544274,"4708 46TH AVE S
SEATTLE, WA 98118
(47.56023571, -122.27544274)"
001-0107579,Rental Property,Registration,1,,2020-06-16,2022-06-25,Active Registration,4833 48TH AVE SW,SEATTLE,WA,98116,Charles Blodgett,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0107579,47.5583978,-122.39386908,"4833 48TH AVE SW
SEATTLE, WA 98116
(47.5583978, -122.39386908)"
001-0136653,Rental Property,Registration,1,,2019-07-10,2021-07-10,Active Registration,8503 interlake AVE N,,,,Maple Leaf Property Management,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0136653,47.69074002,-122.34067769,"8503 interlake AVE N
(47.69074002, -122.34067769)"
001-0136370,Rental Property,Registration,41,Pickering Place,2019-06-10,2021-06-10,Active Registration,1307 N 43RD ST,SEATTLE,WA,98103,Walls Property Management,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0136370,47.65904106,-122.34181159,"1307 N 43RD ST
SEATTLE, WA 98103
(47.65904106, -122.34181159)"
001-0138712,Rental Property,Registration,48,Waterton,2019-12-18,2021-12-18,Active Registration,2201 EASTLAKE AVE E,SEATTLE,WA,98102,Gudrun Snyder,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0138712,47.63854074,-122.32620154,"2201 EASTLAKE AVE E
SEATTLE, WA 98102
(47.63854074, -122.32620154)"
001-0117010,Rental Property,Registration,1,,2016-02-18,2021-02-18,Active Registration,1440 21ST AVE,SEATTLE,WA,98122,Mason Mitchell,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0117010,47.61418394,-122.30461563,"1440 21ST AVE
SEATTLE, WA 98122
(47.61418394, -122.30461563)"
001-0107112,Rental Property,Registration,1,,2020-06-16,2022-06-17,Active Registration,8704 14TH AVE SW,SEATTLE,WA,98106,"Charles Cutter, Jr.",https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0107112,47.52538993,-122.35275645,"8704 14TH AVE SW
SEATTLE, WA 98106
(47.52538993, -122.35275645)"
001-0115950,Rental Property,Registration,4,Gilman Apartments,2020-11-23,2023-01-08,Active Registration,4403 GILMAN AVE W,SEATTLE,WA,98199,Colin Baxter,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0115950,47.65959075,-122.3918768,"4403 GILMAN AVE W
SEATTLE, WA 98199
(47.65959075, -122.3918768)"
001-0126874,Rental Property,Registration,1,,2016-09-29,2021-09-29,Active Registration,4647 S ORCHARD ST,SEATTLE,WA,98118,jerald cross,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0126874,47.53814546,-122.27337882,"4647 S ORCHARD ST
SEATTLE, WA 98118
(47.53814546, -122.27337882)"
001-0114786,Rental Property,Registration,1,,2015-12-20,2020-12-20,Active Registration,831 C NW 63RD ST,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0114786,47.67428149,-122.36753349,"831 C NW 63RD ST
SEATTLE, WA 98107
(47.67428149, -122.36753349)"
001-0132102,Rental Property,Registration,1,Oyetuga Condo Seattle,2017-09-15,2022-09-15,Active Registration,2522 DEXTER AVE N,SEATTLE,WA,98109,Davis Property Management,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0132102,47.64306453,-122.34482183,"2522 DEXTER AVE N
SEATTLE, WA 98109
(47.64306453, -122.34482183)"
001-0120556,Rental Property,Registration,1,59th St,2016-05-11,2021-05-11,Active Registration,121 NW 59TH ST,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0120556,47.6714715,-122.35867053,"121 NW 59TH ST
SEATTLE, WA 98107
(47.6714715, -122.35867053)"
001-0119790,Rental Property,Registration,1,,2016-04-07,2021-04-07,Active Registration,7769 SEWARD PARK AVE S,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0119790,47.53201264,-122.2668925,"7769 SEWARD PARK AVE S
SEATTLE, WA 98118
(47.53201264, -122.2668925)"
001-0128014,Rental Property,Registration,1,,2016-11-21,2021-11-21,Active Registration,6539 23RD AVE NE,SEATTLE,WA,98115,"Landlord Management Inc,",https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0128014,47.67696217,-122.30304456,"6539 23RD AVE NE
SEATTLE, WA 98115
(47.67696217, -122.30304456)"
001-0102174,Rental Property,Registration,32,Building 65,2019-09-23,2021-09-29,Active Registration,1433 NW 64TH ST,SEATTLE,WA,98107,South Lake Associates,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0102174,47.67504723,-122.37530512,"1433 NW 64TH ST
SEATTLE, WA 98107
(47.67504723, -122.37530512)"
001-0136569,Rental Property,Registration,1,,2019-07-01,2021-07-01,Active Registration,5918 34TH AVE SW,SEATTLE,WA,98126,Lynn Douglas,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0136569,47.54955319,-122.3747381,"5918 34TH AVE SW
SEATTLE, WA 98126
(47.54955319, -122.3747381)"
001-0106822,Rental Property,Registration,2,Queen Anne House,2020-04-22,2022-06-14,Active Registration,1929 8TH AVE W,SEATTLE,WA,98119,Bill Christopher,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0106822,47.63681079,-122.36802804,"1929 8TH AVE W
SEATTLE, WA 98119
(47.63681079, -122.36802804)"
001-0102871,Rental Property,Registration,15,,2019-10-01,2021-10-27,Active Registration,12023 28TH AVE NE,SEATTLE,WA,98125,Larry Karimi,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0102871,47.71651093,-122.2982736,"12023 28TH AVE NE
SEATTLE, WA 98125
(47.71651093, -122.2982736)"
001-0126183,Rental Property,Registration,1,,2016-09-19,2021-09-19,Active Registration,2301 NW 67TH ST,SEATTLE,WA,98117,Sho Kirita,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0126183,47.67759351,-122.38562455,"2301 NW 67TH ST
SEATTLE, WA 98117
(47.67759351, -122.38562455)"
001-0117635,Rental Property,Registration,1,,2016-03-04,2021-03-04,Active Registration,10207 8TH AVE NE,SEATTLE,WA,98125,Hongying Xu,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0117635,47.70245074,-122.32077644,"10207 8TH AVE NE
SEATTLE, WA 98125
(47.70245074, -122.32077644)"
001-0134380,Rental Property,Registration,1,,2018-08-01,2023-08-01,Active Registration,11748 SAND POINT WAY NE,SEATTLE,WA,98125,MICHAEL / DIANE MCCALLUM,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0134380,47.71504542,-122.28213803,"11748 SAND POINT WAY NE
SEATTLE, WA 98125
(47.71504542, -122.28213803)"
001-0123220,Rental Property,Registration,1,,2016-06-29,2021-06-29,Active Registration,3846 ASHWORTH AVE N,SEATTLE,WA,98103,Annemarie Sumeri,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0123220,47.65415665,-122.33996101,"3846 ASHWORTH AVE N
SEATTLE, WA 98103
(47.65415665, -122.33996101)"
001-0121412,Rental Property,Registration,1,,2016-06-06,2021-06-06,Active Registration,9215 D ROOSEVELT WAY NE,SEATTLE,WA,98115,Karvell Li,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0121412,47.69634856,-122.31801057,"9215 D ROOSEVELT WAY NE
SEATTLE, WA 98115
(47.69634856, -122.31801057)"
001-0105415,Rental Property,Registration,9,Roanoke Court,2020-03-02,2022-04-16,Active Registration,115 E ROANOKE ST,SEATTLE,WA,98102,Cornell and Associates,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0105415,47.64297059,-122.32614339,"115 E ROANOKE ST
SEATTLE, WA 98102
(47.64297059, -122.32614339)"
001-0126409,Rental Property,Registration,3,,2016-10-21,2021-10-21,Active Registration,5252 S FONTANELLE PL,SEATTLE,WA,98118,Azose Commercial Properties,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0126409,47.53562139,-122.26450488,"5252 S FONTANELLE PL
SEATTLE, WA 98118
(47.53562139, -122.26450488)"
001-0121262,Rental Property,Registration,1,,2016-06-02,2021-06-02,Active Registration,348 NW 74TH ST,SEATTLE,WA,98117,Kathleen Buckley,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0121262,47.68268369,-122.36281758,"348 NW 74TH ST
SEATTLE, WA 98117
(47.68268369, -122.36281758)"
001-0101742,Rental Property,Registration,121,Graham/Terry Apartments,2019-09-11,2021-09-25,Active Registration,2020 TERRY AVE,SEATTLE,WA,98121,Michelle Hawley,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0101742,47.61775085,-122.33552095,"2020 TERRY AVE
SEATTLE, WA 98121
(47.61775085, -122.33552095)"
001-0119218,Rental Property,Registration,1,,2016-03-30,2021-03-30,Active Registration,11509 28TH AVE NE,SEATTLE,WA,98125,Jeffrey Hicks,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0119218,47.71228283,-122.29792623,"11509 28TH AVE NE
SEATTLE, WA 98125
(47.71228283, -122.29792623)"
