Maintenance Area,Neighbourhood Name,Planned Start Week,Earliest Scheduled Start Date,Latest Scheduled Start Date,Planned Start Date,Street Cleaning Status,Location,Data Update,Planned Start Week Revised/Postponed,Note,Revised Start Week,Revised Earliest Scheduled Start Date,Revised Latest Scheduled Start Date,Revised Start Date
404,Belvedere,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,18-May-2020,Completed,"(53.5953368, -113.4326342)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
453,Parts of Energy and Technology Park,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6957544, -113.3329686)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
223,Bearspaw and Keheewin,20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,20-Apr-2020,Completed,"(53.44687972, -113.504654)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,27-Apr-2020
107,"Rossdale, and parts of (Downtown and Oliver)",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.53262575, -113.4856254)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
439,Parts of Evergreen and Rural Northeast/Horsehills,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6361096, -113.3571508)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
328,"Secord, and Rural West Lewis Farms",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,29-May-2020,Completed,"(53.52687167, -113.7013909)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
539,The Orchards at Ellerslie,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.40319311, -113.4643145)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
231,"Heritage Valley, Paisley",18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,20-May-2020,Completed,"(53.409433, -113.549551)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,18-May-2020 thru 24-May-2020,18-May-2020,24-May-2020,19-May-2020
530,Maple and parts of Tamarack,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.4726534, -113.356707)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
531,Silver Berry,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.4605775, -113.3816912)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
578,Parts of Strathcona and Pap schase Industrial,04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,09-May-2020,Completed,"(53.4767789, -113.4732217)",09/23/2020 10:22:29 AM,YES,Please plan to have your vehicles moved during the day.,04-May-2020 thru 10-May-2020,04-May-2020,10-May-2020,09-May-2020
246,Riverview,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.462545, -113.652193)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
236,Keswick,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.40836696, -113.636239)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
331,"Pembina, Cumberland, and Hudson",20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,22-Apr-2020,Completed,"(53.60719646, -113.5535741)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
386,Kinokamau Industrial,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,01-Jun-2020,Completed,"(53.5867959, -113.6273695)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
376,Dominion Industrial,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,26-May-2020,Completed,"(53.5773441, -113.5718615)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
111,"Rundle Heights, and parts of (Beverly Heights)",18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,19-May-2020,Completed,"(53.56138275, -113.3878609)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
411,Glengany,04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,05-May-2020,Completed,"(53.59605042, -113.4798518)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
217,"Aspen Gardens, and Westbrook Estates",04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,04-May-2020,Completed,"(53.4735798, -113.5496494)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,11-May-2020
582,"Parts of Mcintyre, Davies West, and Coronet Addition Industrial",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.4953979, -113.4491986)",09/23/2020 10:22:29 AM,YES,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,11-May-2020
305,Woodcroft,27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,29-Apr-2020,Completed,"(53.56473181, -113.5578856)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
519,Ellerslie,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,18-May-2020,Completed,"(53.43221004, -113.4553586)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,18-May-2020
540,Ellerslie Industrial,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.417428, -113.487693)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
216,"Bulyea Heights, and Ogilvie Ridge",11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.47630789, -113.5645412)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
440,Parts of Rural Northeast/Horsehills,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6417092, -113.3799175)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
412,Northmount,04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,06-May-2020,Completed,"(53.60336901, -113.4800313)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
104,"parts of (Inglewood, Prince Rupert, Queen Mary Park, and Westmount)",20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,20-Apr-2020,Completed,"(53.55816568, -113.5270208)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
525,Jackson Heights and Kiniski Gardens,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.47893633, -113.406239)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
527,"Daly Grove, Pollard Meadows, and Crawford Plains",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.44659518, -113.4073389)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
481,Parts of Clover Bar Area,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.5774625, -113.3075808)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
402,"Clareview Campus, Kirkness, Hairsine, and Manning Industrial",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.60674478, -113.3987318)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
413,Evansdale,04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,06-May-2020,Completed,"(53.61101662, -113.4799865)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
249,Stillwater,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.4497036, -113.6767052)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
537,Rural Southeast,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.409648, -113.4065365)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
455,Parts of Energy and Technology Park,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6996614, -113.3807522)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
207,"Lendrum Place, University Reasearch Station, and Malmo Plains",27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.49089596, -113.5291991)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,04-May-2020 thru 10-May-2020,04-May-2020,10-May-2020,04-May-2020
521,"Charlesworth, and Walker",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.42408204, -113.4306483)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
523,Tawa,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.45978371, -113.4285212)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
319,Parkview,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,20-May-2020,Completed,"(53.52417879, -113.5656757)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
590,Parts of Strathcona,04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,04-May-2020,Completed,"(53.52496215, -113.4845926)",09/23/2020 10:22:29 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,28-Apr-2020
438,Parts of Marquis and Rural Northeast/South Sturgeon,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6364462, -113.3319163)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
532,Meadows and parts of Tamarack,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.453976, -113.355566)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
245,Cameron Heights,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.47138806, -113.6258932)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
318,"Jasper Park, and Sherwood",18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,19-May-2020,Completed,"(53.52561499, -113.5843168)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
428,"McConachie, and CY Becker",18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,22-May-2020,Completed,"(53.63474149, -113.4184459)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,25-May-2020 thru 31-May-2020,25-May-2020,31-May-2020,TBD
215,"Oleskiw, and Westridge",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.49633307, -113.602485)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
480,Parts of Clover Bar Area,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.5771785, -113.3328204)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
391,Winterburn Industrial Area East,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,26-May-2020,Completed,"(53.557472, -113.6772416)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
520,Summerside,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.4176162, -113.4614321)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
381,"Carleton Square, Hawin Park, Mitchell and Gagnon Estate Industrial",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,26-May-2020,Completed,"(53.5767499, -113.5960905)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
576,South Edmonton Common and Edmonton Research and Development Park,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.445344, -113.480471)",09/23/2020 10:22:29 AM,YES,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,11-May-2020
310,Britannia/Youngstown and Mayfield,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,12-May-2020,Completed,"(53.54999869, -113.6029574)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
384,Place Larue and parts of Terra Losa,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,26-May-2020,Completed,"(53.5396526, -113.6354984)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
333,Albamy and Goodridge Corners,20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,20-Apr-2020,Completed,"(53.639774, -113.555467)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
522,Meyokumin and Sakaw,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,11-May-2020,Completed,"(53.44581256, -113.4293696)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
227,"Allard, and Callaghan",20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,21-Apr-2020,Completed,"(53.40417202, -113.5256483)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
251,Riverview,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.414598, -113.676347)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
221,"Blue Quill, Skyrattler, and Sweet Grass",20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,20-Apr-2020,Completed,"(53.45960552, -113.5326528)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,27-Apr-2020
202,"Windsor Park, and U of A",27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,30-Apr-2020,Completed,"(53.52639795, -113.5273222)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,04-May-2020 thru 10-May-2020,04-May-2020,10-May-2020,04-May-2020
506,"Cloverdale, and Strathearn",20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,21-Apr-2020,Completed,"(53.53181909, -113.4645749)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,27-Apr-2020
587,Eastgate Business Park,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.5328172, -113.4067374)",09/23/2020 10:22:29 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,27-Apr-2020
400,"Canon Ridge, Homesteader, Overlanders",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,29-May-2020,Completed,"(53.5806256, -113.3882429)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
443,Parts of Marquis and Rural Northeast/South Sturgeon,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6534042, -113.3559796)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
518,"Satoo, Menisa, and Ekota",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.44587987, -113.4522761)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
247,Riverview,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.45827, -113.630559)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
475,Parts of Industrial Heights and Kennedale Industrial,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,27-May-2020,Completed,"(53.5855442, -113.4329278)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
581,"Parts of Mcintyre, Davies West, and Coronet Addition Industrial",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.4916049, -113.4614294)",09/23/2020 10:22:29 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,27-Apr-2020
584,Girard Industrial and parts of Davies East and Gainer Industrial,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,18-May-2020,Completed,"(53.5106552, -113.42926)",09/23/2020 10:22:29 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,27-Apr-2020
419,"Caernarvon, Baranow, and Carlisle",20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,23-Apr-2020,Completed,"(53.60831821, -113.5292185)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
316,West Meadowlark Park,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.53055361, -113.6093443)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,04-May-2020 thru 10-May-2020,04-May-2020,10-May-2020,08-May-2020
586,Plyplow Industrial,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.4959091, -113.406548)",09/23/2020 10:22:29 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,27-Apr-2020
447,Parts of Energy and Technology Park,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6725348, -113.412453)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
241,The Hamptons,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.48773348, -113.6756852)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
533,Laurel,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.44597588, -113.3817062)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
387,"Starling, and parts of (Kinokamau Plains Area)",01-Jun-2020 thru 07-Jun-2020,2020-06-01,2020-06-07,01-Jun-2020,Completed,"(53.58691162, -113.6518244)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,04-May-2020 thru 10-May-2020,04-May-2020,10-May-2020,06-May-2020
388,Trumpeter,01-Jun-2020 thru 07-Jun-2020,2020-06-01,2020-06-07,03-Jun-2020,Completed,"(53.58522858, -113.6762884)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
375,Bonaventure Industrial,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,26-May-2020,Completed,"(53.5922319, -113.5769099)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
503,King Edward Park,04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,04-May-2020,Completed,"(53.51527775, -113.4549076)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,11-May-2020
476,Parts of Clover Bar Area,Not Applicable thru Not Applicable,,,Not Applicable,Completed,"(53.5934311, -113.3575012)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
445,Parts of Energy and Technology Park,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6505648, -113.4060023)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
535,Rural Southeast,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.4097523, -113.3570991)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
417,Calder,20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,20-Apr-2020,Completed,"(53.58624272, -113.5290037)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
414,Griesbach,27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,01-May-2020,Completed,"(53.60697163, -113.5046291)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
239,Rhatigan Ridge and Falconer Heights,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.4710685, -113.5921474)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
220,Greenfield,27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.47128014, -113.5279147)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
234,Ambleside,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.43410265, -113.6029153)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
448,Parts of Energy and Technology Park,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6731479, -113.3808326)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
