TREE_ID,CIVIC_NUMBER,STD_STREET,GENUS_NAME,SPECIES_NAME,CULTIVAR_NAME,COMMON_NAME,ASSIGNED,ROOT_BARRIER,PLANT_AREA,ON_STREET_BLOCK,ON_STREET,NEIGHBOURHOOD_NAME,STREET_SIDE_NAME,HEIGHT_RANGE_ID,DIAMETER,CURB,DATE_PLANTED,Geom
233021,1977,STEPHENS ST,QUERCUS,ROBUR,,ENGLISH OAK,N,N,B,1900,STEPHENS ST,KITSILANO,ODD,6,19.5,Y,,"{'type': 'Point', 'coordinates': [-123.166457, 49.268511]}"
233024,5166,PRINCE EDWARD ST,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,N,N,9,5100,PRINCE EDWARD ST,RILEY PARK,EVEN,1,3.0,Y,2012-02-21,"{'type': 'Point', 'coordinates': [-123.096928, 49.238333]}"
233026,2798,E 50TH AV,QUERCUS,PALUSTRIS,,PIN OAK,N,N,N,2700,E 50TH AV,KILLARNEY,EVEN,1,3.0,Y,2012-03-06,
233027,6018,QUEBEC ST,ACER,RUBRUM,OCTOBER GLORY,OCTOBER GLORY RED MAPLE,N,N,12,6000,QUEBEC ST,SUNSET,EVEN,1,2.0,N,2012-01-12,"{'type': 'Point', 'coordinates': [-123.103581, 49.229925]}"
233028,6018,QUEBEC ST,ACER,RUBRUM,OCTOBER GLORY,OCTOBER GLORY RED MAPLE,N,N,12,6000,QUEBEC ST,SUNSET,EVEN,1,2.0,N,2012-01-12,"{'type': 'Point', 'coordinates': [-123.103577, 49.229997]}"
233034,106,E 38TH AV,ACER,PALMATUM,KOTO NO ITO,KOTO NO IKO JAPANESE MAPLE,N,N,N,5400,QUEBEC ST,RILEY PARK,EVEN,1,3.0,Y,2013-02-26,"{'type': 'Point', 'coordinates': [-123.103426, 49.236283]}"
233036,765,E 19TH AV,SYRINGA,RETICULATA,IVORY SILK,TREE LILAC,N,N,6,700,E 19TH AV,KENSINGTON-CEDAR COTTAGE,ODD,1,3.0,Y,2013-03-20,"{'type': 'Point', 'coordinates': [-123.088523, 49.253753]}"
233037,4208,PRINCE ALBERT ST,PRUNUS,X YEDOENSIS,AKEBONO,AKEBONO FLOWERING CHERRY,N,N,10,800,E 26TH AV,KENSINGTON-CEDAR COTTAGE,EVEN,1,3.0,N,2013-03-04,"{'type': 'Point', 'coordinates': [-123.087416, 49.247489]}"
233039,1475,E 11TH AV,CARPINUS,BETULUS,FASTIGIATA,PYRAMIDAL EUROPEAN HORNBEAM,N,N,7,1400,E 11TH AV,KENSINGTON-CEDAR COTTAGE,ODD,1,5.0,Y,2012-12-04,"{'type': 'Point', 'coordinates': [-123.073956, 49.260547]}"
233041,2270,E 11TH AV,CERCIDIPHYLLUM,JAPONICUM,,KATSURA TREE,N,N,8,2200,E 11TH AV,KENSINGTON-CEDAR COTTAGE,EVEN,1,3.0,Y,2013-01-14,"{'type': 'Point', 'coordinates': [-123.058609, 49.260331]}"
233049,2715,WATERLOO ST,ACER,RUBRUM,OCTOBER GLORY,OCTOBER GLORY RED MAPLE,N,N,6,3400,W 11TH AV,KITSILANO,EVEN,1,3.0,Y,2011-12-05,"{'type': 'Point', 'coordinates': [-123.18033, 49.26242]}"
233052,2201,W BROADWAY,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,N,N,4,2400,YEW ST,KITSILANO,ODD,3,13.5,Y,,"{'type': 'Point', 'coordinates': [-123.155374, 49.264108]}"
233056,1095,E 38TH AV,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,N,N,N,5300,ROSS ST,KENSINGTON-CEDAR COTTAGE,ODD,1,3.0,Y,2012-12-12,"{'type': 'Point', 'coordinates': [-123.082556, 49.235779]}"
233057,1095,E 38TH AV,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,N,N,N,5300,ROSS ST,KENSINGTON-CEDAR COTTAGE,ODD,1,3.0,Y,2012-12-12,"{'type': 'Point', 'coordinates': [-123.08255, 49.235869]}"
233061,874,E 31ST AV,PRUNUS,X YEDOENSIS,AKEBONO,AKEBONO FLOWERING CHERRY,N,N,9,800,E 31ST AV,KENSINGTON-CEDAR COTTAGE,EVEN,1,3.0,Y,2013-03-01,"{'type': 'Point', 'coordinates': [-123.086449, 49.242481]}"
233064,2131,E 40TH AV,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,N,N,10,2100,E 40TH AV,KENSINGTON-CEDAR COTTAGE,ODD,1,6.0,Y,2012-12-11,"{'type': 'Point', 'coordinates': [-123.063216, 49.233959]}"
233074,7298,ELLIOTT ST,MAGNOLIA,XX,GALAXY,MAGNOLIA 'GALAXY',N,N,B,7200,ELLIOTT ST,VICTORIA-FRASERVIEW,EVEN,1,3.0,Y,2011-12-21,"{'type': 'Point', 'coordinates': [-123.054299, 49.218154]}"
233084,1528,W 57TH AV,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,N,N,9,1500,W 55TH AV,KERRISDALE,EVEN,1,3.0,Y,2012-11-13,
233097,3950,PRINCE EDWARD ST,ACER,RUBRUM,,RED MAPLE,Y,N,8,3900,PRINCE EDWARD ST,RILEY PARK,EVEN,1,3.0,Y,2013-02-28,"{'type': 'Point', 'coordinates': [-123.096661, 49.249883]}"
233099,466,W 27TH AV,ACER,PALMATUM,OSAKAZUKI,OSAKAZUKI JAPANESE MAPLE,N,N,8,400,W 27TH AV,RILEY PARK,EVEN,1,3.0,Y,2013-02-05,"{'type': 'Point', 'coordinates': [-123.114119, 49.24695]}"
233101,1400,W 4TH AV,ACER,CAMPESTRE,PANACEK,PANACEK MAPLE,Y,N,N,1400,W 4TH AV,FAIRVIEW,MED,2,6.0,Y,2012-05-17,"{'type': 'Point', 'coordinates': [-123.136578, 49.267479]}"
233102,7828,SHAUGHNESSY ST,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,N,N,N,7900,SHAUGHNESSY ST,MARPOLE,EVEN,1,3.0,Y,2013-01-17,"{'type': 'Point', 'coordinates': [-123.128603, 49.213653]}"
233103,704,W 69TH AV,STYRAX,JAPONICA,,JAPANESE SNOWBELL,N,N,8,700,W 69TH AV,MARPOLE,EVEN,2,3.5,Y,,
233112,1019,E 64TH AV,ACER,CAMPESTRE,QUEEN ELIZABETH,QUEEN ELIZABETH MAPLE,N,N,9,1000,E 64TH AV,SUNSET,ODD,1,3.0,Y,2012-01-25,"{'type': 'Point', 'coordinates': [-123.085256, 49.212039]}"
233114,7836,ONTARIO ST,CORNUS,XX,EDDIE'S WHITE WONDER,EDDIES WHITE WONDER DOGWOOD,N,N,8,7800,ONTARIO ST,SUNSET,EVEN,1,3.0,Y,2012-01-23,"{'type': 'Point', 'coordinates': [-123.106371, 49.213825]}"
233120,2065,STAINSBURY AV,AMELANCHIER,GRANDIFLORA X,AUTUMN BRILLIANCE,APPLE SERVICEBERRY,Y,N,5,2000,STAINSBURY AV,KENSINGTON-CEDAR COTTAGE,ODD,1,3.5,Y,2013-04-04,"{'type': 'Point', 'coordinates': [-123.063669, 49.251076]}"
233127,3523,COMMERCIAL ST,ACER,RUBRUM,BOWHALL,BOWHALL RED MAPLE,N,N,G,3500,COMMERCIAL ST,KENSINGTON-CEDAR COTTAGE,ODD,1,6.0,Y,2011-12-29,"{'type': 'Point', 'coordinates': [-123.06808, 49.253197]}"
233130,116,E 55TH AV,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,N,N,8,100,E 55TH AV,SUNSET,EVEN,1,3.0,N,2012-01-23,"{'type': 'Point', 'coordinates': [-123.103509, 49.220139]}"
233145,505,W BROADWAY,PRUNUS,SARGENTII,RANCHO,RANCHO SARGENT CHERRY,N,N,5,2400,CAMBIE ST,FAIRVIEW,MED,1,5.0,Y,2014-03-19,"{'type': 'Point', 'coordinates': [-123.114836, 49.263467]}"
233153,991,E 51ST AV,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,N,N,N,6600,WINDSOR ST,SUNSET,ODD,1,3.0,Y,2012-01-23,"{'type': 'Point', 'coordinates': [-123.085379, 49.223714]}"
233158,5868,SELKIRK ST,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,N,N,N,5800,SELKIRK ST,OAKRIDGE,EVEN,1,3.0,Y,2012-12-06,"{'type': 'Point', 'coordinates': [-123.133322, 49.232625]}"
233164,3595,W 31ST AV,ACER,PLATANOIDES,CRIMSON KING,CRIMSON KING NORWAY MAPLE,N,N,10,3500,W 31ST AV,DUNBAR-SOUTHLANDS,ODD,2,5.0,Y,2013-03-26,"{'type': 'Point', 'coordinates': [-123.18476, 49.24432]}"
233165,2896,W 30TH AV,SYRINGA,RETICULATA,IVORY SILK,TREE LILAC,N,N,3,4600,MACKENZIE ST,DUNBAR-SOUTHLANDS,EVEN,1,3.0,N,2014-12-10,
233185,281,E 37TH AV,ACER,RUBRUM,BRANDYWINE,BRANDYWINE RED MAPLE,Y,N,6,200,E 37TH AV,RILEY PARK,ODD,1,3.0,Y,2011-12-13,"{'type': 'Point', 'coordinates': [-123.099822, 49.237264]}"
233188,313,E 37TH AV,ACER,RUBRUM,BRANDYWINE,BRANDYWINE RED MAPLE,Y,N,6,300,E 37TH AV,RILEY PARK,ODD,1,3.0,Y,2011-12-13,"{'type': 'Point', 'coordinates': [-123.098956, 49.237247]}"
233194,306,E 36TH AV,MAGNOLIA,KOBUS,,KOBUS MAGNOLIA,Y,N,9,300,E 36TH AV,RILEY PARK,EVEN,1,3.0,Y,2011-12-12,"{'type': 'Point', 'coordinates': [-123.099038, 49.238047]}"
233200,305,E 37TH AV,ACER,RUBRUM,BRANDYWINE,BRANDYWINE RED MAPLE,Y,N,6,300,E 37TH AV,RILEY PARK,ODD,1,3.0,Y,2011-12-13,"{'type': 'Point', 'coordinates': [-123.099082, 49.23725]}"
233203,345,E 37TH AV,ACER,RUBRUM,BRANDYWINE,BRANDYWINE RED MAPLE,Y,N,6,300,E 37TH AV,RILEY PARK,ODD,1,3.0,Y,2011-12-13,"{'type': 'Point', 'coordinates': [-123.098325, 49.237236]}"
233206,367,E 37TH AV,ACER,RUBRUM,BRANDYWINE,BRANDYWINE RED MAPLE,Y,N,6,300,E 37TH AV,RILEY PARK,ODD,1,3.0,Y,2011-12-13,"{'type': 'Point', 'coordinates': [-123.097911, 49.237228]}"
233208,6702,GLADSTONE ST,ACER,CAMPESTRE,PANACEK,PANACEK MAPLE,N,N,10,2200,E 51ST AV,VICTORIA-FRASERVIEW,EVEN,1,3.0,Y,2012-03-28,"{'type': 'Point', 'coordinates': [-123.062077, 49.223044]}"
233210,2252,E 52ND AV,ACER,CAMPESTRE,PANACEK,PANACEK MAPLE,N,N,10,2200,E 52ND AV,VICTORIA-FRASERVIEW,EVEN,1,3.0,Y,2012-12-13,"{'type': 'Point', 'coordinates': [-123.060746, 49.222125]}"
233213,6150,BEATRICE ST,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,N,N,10,6100,BEATRICE ST,VICTORIA-FRASERVIEW,EVEN,1,3.0,Y,2012-11-16,"{'type': 'Point', 'coordinates': [-123.066917, 49.228258]}"
233214,5849,BERKELEY ST,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,Y,N,3,5800,BERKELEY ST,VICTORIA-FRASERVIEW,ODD,1,3.0,Y,2013-03-08,"{'type': 'Point', 'coordinates': [-123.057979, 49.230633]}"
233224,385,N BOUNDARY ROAD,AMELANCHIER,CANADENSIS,,SERVICEBERRY,N,N,50,300,N BOUNDARY ROAD,HASTINGS-SUNRISE,MED,1,3.0,Y,2012-04-04,"{'type': 'Point', 'coordinates': [-123.023443, 49.288325]}"
233226,1700,TRIMBLE ST,AESCULUS,HIPPOCASTANUM,,COMMON HORSECHESTNUT,Y,N,3,1700,TRIMBLE ST,WEST POINT GREY,EVEN,4,16.0,Y,,"{'type': 'Point', 'coordinates': [-123.20568, 49.27196]}"
233227,58,W 38TH AV,CORNUS,NUTTALLII,,PACIFIC DOGWOOD,N,N,B,0,W 38TH AV,RILEY PARK,EVEN,2,21.0,Y,,"{'type': 'Point', 'coordinates': [-123.107033, 49.236389]}"
233228,1090,GRANVILLE ST,CARPINUS,BETULUS,,EUROPEAN HORNBEAM,N,N,3,600,HELMCKEN ST,DOWNTOWN,ODD,3,12.0,Y,,"{'type': 'Point', 'coordinates': [-123.124362, 49.278131]}"
233229,385,N BOUNDARY ROAD,AMELANCHIER,CANADENSIS,,SERVICEBERRY,N,N,40,300,N BOUNDARY ROAD,HASTINGS-SUNRISE,MED,1,3.0,Y,2012-04-04,"{'type': 'Point', 'coordinates': [-123.023388, 49.288581]}"
233232,357,W 42ND AV,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,N,N,8,300,W 42ND AV,OAKRIDGE,ODD,1,3.0,Y,2012-11-14,"{'type': 'Point', 'coordinates': [-123.113724, 49.232494]}"
233234,2907,W 30TH AV,ACER,GRISEUM,,PAPERBARK MAPLE,N,N,3,4500,MACKENZIE ST,DUNBAR-SOUTHLANDS,ODD,1,5.0,N,2014-12-10,"{'type': 'Point', 'coordinates': [-123.1703, 49.24533]}"
233235,2907,W 30TH AV,ACER,GRISEUM,,PAPERBARK MAPLE,N,N,3,4500,MACKENZIE ST,DUNBAR-SOUTHLANDS,ODD,1,5.0,N,2014-12-10,"{'type': 'Point', 'coordinates': [-123.1703, 49.24551]}"
233239,7402,INVERNESS ST,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,N,N,9,7400,INVERNESS ST,SUNSET,EVEN,1,3.0,Y,2012-10-19,"{'type': 'Point', 'coordinates': [-123.080005, 49.217311]}"
233242,380,N RENFREW ST,PRUNUS,X YEDOENSIS,AKEBONO,AKEBONO FLOWERING CHERRY,Y,N,6,300,N RENFREW ST,HASTINGS-SUNRISE,EVEN,1,3.0,Y,2012-11-20,"{'type': 'Point', 'coordinates': [-123.043919, 49.288392]}"
233247,2799,E 51ST AV,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,N,N,8,2700,E 51ST AV,VICTORIA-FRASERVIEW,ODD,1,3.0,Y,2012-11-08,"{'type': 'Point', 'coordinates': [-123.051061, 49.222761]}"
233253,6250,TYNE ST,CORNUS,KOUSA,SATOMI,PINK KOUSA DOGWOOD,N,N,12,6200,TYNE ST,KILLARNEY,EVEN,1,3.0,Y,2013-02-08,"{'type': 'Point', 'coordinates': [-123.032025, 49.227306]}"
233259,1350,E 14TH AV,ACER,CAPPADOCICUM,RUBRUM,RED CAUCASIAN MAPLE,Y,N,N,1300,E 14TH AV,KENSINGTON-CEDAR COTTAGE,EVEN,1,3.0,N,,"{'type': 'Point', 'coordinates': [-123.076413, 49.257747]}"
233262,4367,W 10TH AV,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,N,N,C,4300,W 10TH AV,WEST POINT GREY,ODD,1,7.5,Y,2012-02-09,"{'type': 'Point', 'coordinates': [-123.20522, 49.26385]}"
233264,6850,DAWSON ST,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,N,Y,6,6800,DAWSON ST,KILLARNEY,EVEN,1,4.5,Y,2012-11-26,"{'type': 'Point', 'coordinates': [-123.048867, 49.221558]}"
233267,5878,LINCOLN ST,ACER,RUBRUM,BOWHALL,BOWHALL RED MAPLE,N,N,6,5800,LINCOLN ST,KILLARNEY,EVEN,1,3.0,Y,2012-02-15,"{'type': 'Point', 'coordinates': [-123.026362, 49.230672]}"
233268,3121,E 52ND AV,CELTIS,OCCIDENTALIS,,COMMON HACKBERRY,N,N,8,3100,E 52ND AV,KILLARNEY,ODD,1,3.0,Y,2012-04-04,"{'type': 'Point', 'coordinates': [-123.040248, 49.222097]}"
233269,3167,E 52ND AV,CELTIS,OCCIDENTALIS,,COMMON HACKBERRY,N,N,8,3100,E 52ND AV,KILLARNEY,ODD,1,3.0,Y,2013-02-05,"{'type': 'Point', 'coordinates': [-123.039611, 49.222092]}"
233272,7600,CHAMPLAIN CRESCENT,ACER,RUBRUM,AUTUMN FLAME,AUTUMN FLAME RED MAPLE,Y,N,5,7600,CHAMPLAIN CRESCENT,KILLARNEY,EVEN,1,3.0,Y,2012-04-02,"{'type': 'Point', 'coordinates': [-123.030489, 49.216128]}"
233273,2944,E 44TH AV,FRAXINUS,AMERICANA,AUTUMN APPLAUSE,AUTUMN APPLAUSE ASH,Y,N,7,2900,E 44TH AV,KILLARNEY,EVEN,1,5.0,N,2012-03-26,"{'type': 'Point', 'coordinates': [-123.044744, 49.230161]}"
233274,6702,GLADSTONE ST,ACER,CAMPESTRE,PANACEK,PANACEK MAPLE,N,N,10,2200,E 51ST AV,VICTORIA-FRASERVIEW,EVEN,2,7.5,Y,2012-03-28,"{'type': 'Point', 'coordinates': [-123.062186, 49.223044]}"
233275,3228,E 45TH AV,PYRUS,CALLERYANA,CHANTICLEER,CHANTICLEER PEAR,N,N,3,6000,DOMAN ST,KILLARNEY,EVEN,1,3.0,Y,2013-01-17,"{'type': 'Point', 'coordinates': [-123.036501, 49.229058]}"
233277,2847,E 15TH AV,CERCIS,CANADENSIS,,EASTERN REDBUD,N,N,N,2800,E 15TH AV,RENFREW-COLLINGWOOD,ODD,1,3.0,Y,2013-03-13,"{'type': 'Point', 'coordinates': [-123.045948, 49.256381]}"
233285,3212,E 28TH AV,CRATAEGUS,MORDENSIS,TOBA,TOBA HAWTHORN,N,N,7,3200,E 28TH AV,RENFREW-COLLINGWOOD,EVEN,1,3.0,Y,2013-03-18,"{'type': 'Point', 'coordinates': [-123.036351, 49.245331]}"
233288,2438,E 27TH AV,MALUS,ZUMI,CALOCARPA,REDBUD CRABAPPLE,N,N,N,2400,E 27TH AV,RENFREW-COLLINGWOOD,EVEN,1,3.0,Y,2013-03-15,"{'type': 'Point', 'coordinates': [-123.05562, 49.246228]}"
233289,385,N BOUNDARY ROAD,AMELANCHIER,CANADENSIS,,SERVICEBERRY,N,N,40,300,N BOUNDARY ROAD,HASTINGS-SUNRISE,MED,1,3.0,Y,2012-04-04,"{'type': 'Point', 'coordinates': [-123.023434, 49.288519]}"
233294,6787,MONTGOMERY ST,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,N,N,N,1100,W 52ND AV,OAKRIDGE,ODD,1,3.0,Y,2012-11-14,"{'type': 'Point', 'coordinates': [-123.13255, 49.224022]}"
233296,6377,COLLINGWOOD ST,CORNUS,XX,EDDIE'S WHITE WONDER,EDDIES WHITE WONDER DOGWOOD,N,N,N,3500,W 48TH AV,DUNBAR-SOUTHLANDS,ODD,1,3.0,N,2012-01-31,"{'type': 'Point', 'coordinates': [-123.18233, 49.2286]}"
233297,2908,W 30TH AV,SYRINGA,RETICULATA,IVORY SILK,TREE LILAC,N,N,3,4600,MACKENZIE ST,DUNBAR-SOUTHLANDS,ODD,1,3.0,N,2014-12-10,
233298,5915,CHESTER ST,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,N,N,5,5900,CHESTER ST,SUNSET,ODD,1,3.0,Y,2012-10-19,"{'type': 'Point', 'coordinates': [-123.089313, 49.230817]}"
233305,2823,E 21ST AV,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,N,N,7,2800,E 21ST AV,RENFREW-COLLINGWOOD,ODD,1,3.0,Y,2012-12-17,"{'type': 'Point', 'coordinates': [-123.046521, 49.251567]}"
233307,1468,W 53RD AV,ACER,RUBRUM,BRANDYWINE,BRANDYWINE RED MAPLE,N,N,12,1400,W 53RD AV,OAKRIDGE,EVEN,1,3.0,Y,2014-03-03,"{'type': 'Point', 'coordinates': [-123.139002, 49.222547]}"
233309,6891,QUEBEC ST,PINUS,SPECIES,,PINE SPECIES,N,N,B,0,E 53RD AV,SUNSET,ODD,4,21.0,Y,,"{'type': 'Point', 'coordinates': [-123.104062, 49.222094]}"
233313,5169,KILLARNEY ST,SORBUS,ARIA,LUTESCENS,GOLDEN WHITEBEAM,N,N,10,5100,KILLARNEY ST,RENFREW-COLLINGWOOD,ODD,1,3.0,Y,2012-11-06,"{'type': 'Point', 'coordinates': [-123.044409, 49.237606]}"
233316,2548,E 7TH AV,PRUNUS,X YEDOENSIS,AKEBONO,AKEBONO FLOWERING CHERRY,N,N,8,2500,E 7TH AV,HASTINGS-SUNRISE,EVEN,1,4.25,Y,2012-11-20,"{'type': 'Point', 'coordinates': [-123.053509, 49.263825]}"
233317,3563,TANNER ST,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,N,N,,3500,TANNER ST,RENFREW-COLLINGWOOD,ODD,1,3.0,Y,2012-12-18,"{'type': 'Point', 'coordinates': [-123.028722, 49.243072]}"
233318,3339,MONMOUTH AV,ACER,PLATANOIDES,PRINCETON GOLD,PRINCETON GOLD MAPLE,N,N,N,3300,MONMOUTH AV,RENFREW-COLLINGWOOD,ODD,1,3.0,Y,2013-03-07,"{'type': 'Point', 'coordinates': [-123.033709, 49.242736]}"
233319,3390,MONMOUTH AV,ACER,PLATANOIDES,PRINCETON GOLD,PRINCETON GOLD MAPLE,N,N,B,3300,MONMOUTH AV,RENFREW-COLLINGWOOD,EVEN,1,3.0,Y,2013-03-06,"{'type': 'Point', 'coordinates': [-123.032442, 49.242125]}"
233320,3381,SCHOOL AV,CERCIS,CANADENSIS,,EASTERN REDBUD,Y,N,16,3300,SCHOOL AV,RENFREW-COLLINGWOOD,ODD,1,3.0,N,2013-03-13,
233321,2196,E 19TH AV,PRUNUS,X YEDOENSIS,AKEBONO,AKEBONO FLOWERING CHERRY,N,N,6,2100,E 19TH AV,KENSINGTON-CEDAR COTTAGE,EVEN,1,5.0,N,2013-03-06,"{'type': 'Point', 'coordinates': [-123.05976, 49.252319]}"
233322,2908,W 30TH AV,SYRINGA,RETICULATA,IVORY SILK,TREE LILAC,N,N,3,4600,MACKENZIE ST,DUNBAR-SOUTHLANDS,ODD,1,3.0,N,2014-12-10,
233323,2285,KAMLOOPS ST,MALUS,XX,SNOWCLOUD,SNOWCLOUD CRABAPPLE,N,N,N,2200,KAMLOOPS ST,HASTINGS-SUNRISE,ODD,1,3.0,Y,2013-04-04,"{'type': 'Point', 'coordinates': [-123.054777, 49.264275]}"
233329,6694,CLARENDON ST,CERCIDIPHYLLUM,JAPONICUM,,KATSURA TREE,N,N,7,6600,CLARENDON ST,VICTORIA-FRASERVIEW,EVEN,1,3.0,Y,2011-02-22,"{'type': 'Point', 'coordinates': [-123.056184, 49.222742]}"
233331,2544,E 5TH AV,ACER,RUBRUM,AUTUMN FLAME,AUTUMN FLAME RED MAPLE,N,N,10,2500,E 5TH AV,HASTINGS-SUNRISE,EVEN,1,4.5,Y,2012-04-05,"{'type': 'Point', 'coordinates': [-123.053655, 49.265672]}"
233332,5041,ONTARIO ST,ACER,TRUNCATUM,PACIFIC SUNSET,PACIFIC SUNSET MAPLE,N,N,N,5000,ONTARIO ST,RILEY PARK,ODD,1,4.0,Y,2013-12-19,"{'type': 'Point', 'coordinates': [-123.105499, 49.239128]}"
233338,1015,BURRARD ST,CEDRUS,DEODARA,,DEODAR CEDAR,N,N,B,1000,COMOX ST,WEST END,ODD,5,22.0,Y,,"{'type': 'Point', 'coordinates': [-123.127206, 49.280694]}"
233340,18,W 42ND AV,FAGUS,SYLVATICA,,EUROPEAN BEECH,Y,N,9,0,W 42ND AV,OAKRIDGE,EVEN,1,3.0,Y,2013-02-13,
233347,6015,TODERICK ST,CORNUS,XX,EDDIE'S WHITE WONDER,EDDIES WHITE WONDER DOGWOOD,N,N,N,6000,TODERICK ST,KILLARNEY,ODD,1,3.0,Y,2012-02-15,"{'type': 'Point', 'coordinates': [-123.029006, 49.228883]}"
233348,5788,RUPERT ST,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,N,N,8,5700,RUPERT ST,KILLARNEY,EVEN,1,3.0,Y,2012-11-09,"{'type': 'Point', 'coordinates': [-123.042988, 49.231419]}"
233350,951,W 28TH AV,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,Y,N,9,900,W 28TH AV,SOUTH CAMBIE,ODD,1,3.0,Y,2012-10-23,"{'type': 'Point', 'coordinates': [-123.125509, 49.246331]}"
233352,2725,PANDORA ST,ACER,RUBRUM,AUTUMN FLAME,AUTUMN FLAME RED MAPLE,N,N,3,2700,PANDORA ST,HASTINGS-SUNRISE,ODD,1,3.0,Y,2013-11-22,"{'type': 'Point', 'coordinates': [-123.048528, 49.283025]}"
