LANDMARK_NAME,ADDRESS,STOP_ID,LATITUDE,LONGITUDE,LOCATION
Alberta Agriculture Food and Rural Development,7000 113 Street NW,2885,53.50211276214709,-113.52267479572265,"(53.50211276214709, -113.52267479572265)"
Telus World of Science,11211 142 Street NW,5203,53.561089191224035,-113.55563809759765,"(53.561089191224035, -113.55563809759765)"
Victory Christian School,11520 Ellerslie Road SW,9839,53.425340633454,-113.52853004736696,"(53.425340633454, -113.52853004736696)"
Piaget Day Care,1047 Knottwood Road East NW,3062,53.44593629397453,-113.44280624769429,"(53.44593629397453, -113.44280624769429)"
Faith Clifton/Alan MacDonald Memorial Park,13725 101 Avenue NW,5036,53.54476242362476,-113.55583928828348,"(53.54476242362476, -113.55583928828348)"
South Campus/Fort Edmonton Transit Centre,11457 68 Avenue NW,2116,53.50293527661283,-113.5284080768885,"(53.50293527661283, -113.5284080768885)"
Kinder House Day Care,15321 105 Avenue NW,5427,53.55111440599933,-113.58557418486579,"(53.55111440599933, -113.58557418486579)"
Ticketmaster West Edmonton Mall,170 Street 87 Avenue NW,5004,53.52038788226155,-113.62252965380107,"(53.52038788226155, -113.62252965380107)"
Grandview Heights Community Rink,6223 124 Street NW,2519,53.4977839239833,-113.5440178910456,"(53.4977839239833, -113.5440178910456)"
McLaurin Memorial Baptist Church,11107 51 Avenue NW,2202,53.48582162213307,-113.51612312537331,"(53.48582162213307, -113.51612312537331)"
Westbrook Estates,3612 119 Street NW,4433,53.47284464008764,-113.53857693125109,"(53.47284464008764, -113.53857693125109)"
S & D Health Care Inc,18263 93 Avenue NW,5540,53.52837292648345,-113.63885192628311,"(53.52837292648345, -113.63885192628311)"
Good Samaritan Society (Youville Drive),101 Youville Drive East NW,3550,53.459555823166895,-113.42499629092437,"(53.459555823166895, -113.42499629092437)"
Peter Hemingway Fitness & Leisure Center in Coronation Park,13808 111 Avenue NW,5211,53.56001973509924,-113.55560402738918,"(53.56001973509924, -113.55560402738918)"
Pathways Family Services,6758 75 Street NW,2433,53.50174796446247,-113.44254191841439,"(53.50174796446247, -113.44254191841439)"
North Glenora Community League,13535 109A Avenue NW,5098,53.55874125293662,-113.55493828364432,"(53.55874125293662, -113.55493828364432)"
The Church in Edmonton,10535 51 Avenue NW,2558,53.488100528953055,-113.49997551589026,"(53.488100528953055, -113.49997551589026)"
Golden Horizon Seniors Society,10014 109 Street NW,1961,53.538485138548666,-113.50859889522475,"(53.538485138548666, -113.50859889522475)"
Kinder House Day Care,15321 105 Avenue NW,5227,53.548965595592556,-113.590453689392,"(53.548965595592556, -113.590453689392)"
English Language Training (ELTC),10355 Jasper Avenue NW,1542,53.540600902702714,-113.49024535903122,"(53.540600902702714, -113.49024535903122)"
Dutch Canadian Club (Edmonton),13312 142 Street NW,6636,53.59112573983342,-113.56695279050487,"(53.59112573983342, -113.56695279050487)"
Signature Suites Edmonton House,10205 100 Avenue NW,1457,53.54191311544061,-113.49030502524899,"(53.54191311544061, -113.49030502524899)"
Little Treasure Daycare,10925 139 Street NW,5339,53.55574283999293,-113.56058359260197,"(53.55574283999293, -113.56058359260197)"
Howard & McBride Funeral Homes (Downtown),10179 108 Street NW,1891,53.54097543548669,-113.50452707442601,"(53.54097543548669, -113.50452707442601)"
Pleasantview United Church,10672 62 Avenue NW,2867,53.49757288000411,-113.50453588631329,"(53.49757288000411, -113.50453588631329)"
Free Methodist Church Edmonton,7706 86 Avenue NW,2221,53.52159286505888,-113.4491423292618,"(53.52159286505888, -113.4491423292618)"
Capilano Transit Centre,57 Street 98 Avenue NW,2307,53.538488912320595,-113.42294679793218,"(53.538488912320595, -113.42294679793218)"
Rossdale Community League,10135 96 Avenue NW,1544,53.53557772289021,-113.49661074027438,"(53.53557772289021, -113.49661074027438)"
Little Mountain Cemetery,16025 50 Street NW,7316,53.62327241085063,-113.41752848640313,"(53.62327241085063, -113.41752848640313)"
Beth Israel Synagogue,131 Wolf Willow Road,5678,53.504554600604834,-113.61410900291733,"(53.504554600604834, -113.61410900291733)"
Athlone Park,13010 129 Street NW,6434,53.58751685309142,-113.5437019486215,"(53.58751685309142, -113.5437019486215)"
Bharitya Cultural Society Of Alberta,9507 39 Avenue NW,3692,53.47382414878237,-113.47952355509457,"(53.47382414878237, -113.47952355509457)"
YMCA Castledowns,11510 153 Avenue NW,6005,53.616506008107315,-113.51639821477293,"(53.616506008107315, -113.51639821477293)"
Provincial Law Courts Building,1A Sir Winston  Churchill Square NW,1582,53.54528664308373,-113.4848934189641,"(53.54528664308373, -113.4848934189641)"
Energy Square,10109 106 Street NW,1837,53.54308506415252,-113.50186230097964,"(53.54308506415252, -113.50186230097964)"
Police Services McDougall Community Station,10620 107 Avenue NW,1712,53.55149072601084,-113.50710527208795,"(53.55149072601084, -113.50710527208795)"
Polish Veterans Hall,9203 144 Avenue NW,7820,53.60606772342112,-113.48280941133989,"(53.60606772342112, -113.48280941133989)"
Wonderworld Callingwood Daycare & OSC,6703 177 Street NW,5758,53.50346263758198,-113.62679477901774,"(53.50346263758198, -113.62679477901774)"
Days Inn Downtown Edmonton,10041 106 Street NW,1619,53.54101817478909,-113.50399857340578,"(53.54101817478909, -113.50399857340578)"
St Michaels Cemetery,13819 82 Street NW,7872,53.59976968432384,-113.46870113774091,"(53.59976968432384, -113.46870113774091)"
Fairways South,11235 31 Avenue NW,4342,53.46391878859238,-113.52641618289319,"(53.46391878859238, -113.52641618289319)"
Eastwood Elem Jr High School,12023 81 Street NW,1485,53.57403606489074,-113.46716679349865,"(53.57403606489074, -113.46716679349865)"
St Stephens Anglican Church,10909 96 Street NW,1160,53.55619612189347,-113.48500237971054,"(53.55619612189347, -113.48500237971054)"
Epcor Tower,101 Street and 104 Avenue,1570,53.54601353296964,-113.49307713698019,"(53.54601353296964, -113.49307713698019)"
Westmount Community League,10970 127 Street NW,1657,53.55105229787218,-113.5414687620652,"(53.55105229787218, -113.5414687620652)"
Boardwalk Market,10320 102 Avenue NW,1679,53.546116270390996,-113.50040847737941,"(53.546116270390996, -113.50040847737941)"
Park Memorial,9709 111 Avenue NW,1129,53.55898058152982,-113.49102052438498,"(53.55898058152982, -113.49102052438498)"
Police Services Mill Woods Community Station,6147 28 Avenue NW,3211,53.45600955773353,-113.42567653678134,"(53.45600955773353, -113.42567653678134)"
Carlisle Community League,14240 117 Street NW,6577,53.60428395217329,-113.52280778499878,"(53.60428395217329, -113.52280778499878)"
Weinlos Park,3103 48 Street NW,3470,53.4618770529849,-113.41630671528236,"(53.4618770529849, -113.41630671528236)"
Borden Park,7507 Borden Park Road NW,1154,53.56198291816621,-113.4506251284034,"(53.56198291816621, -113.4506251284034)"
Hardisty Family Relief Services,10624 59 Street NW,2177,53.54930926959269,-113.4288049468576,"(53.54930926959269, -113.4288049468576)"
Integrated Life Care Inc,10216 124 Street NW,1047,53.544282748971646,-113.53600503011785,"(53.544282748971646, -113.53600503011785)"
Mill Woods Recreation Centre,7207 28 Avenue NW,3007,53.45853321387901,-113.44437285102852,"(53.45853321387901, -113.44437285102852)"
Medical Clinic Inglewood,12418 118 Street NW,1669,53.570398744934565,-113.53671554862372,"(53.570398744934565, -113.53671554862372)"
Mount Zion Lutheran Church,11533 135 Street NW,5322,53.56494918577286,-113.55457123189619,"(53.56494918577286, -113.55457123189619)"
Blue Chair Cafe,9624 76 Avenue NW,2169,53.512338304515076,-113.47740851849524,"(53.512338304515076, -113.47740851849524)"
Edmonton House Suite Hotel (Coast),10205 100 Avenue NW,1591,53.54024678591514,-113.49361368053735,"(53.54024678591514, -113.49361368053735)"
West Edmonton Mall Inn,17504 90 Avenue NW,5012,53.52063025944619,-113.62245210703546,"(53.52063025944619, -113.62245210703546)"
Beverly Heights Community Playschool,10906 40 Street NW,1058,53.561164888682455,-113.40005910158585,"(53.561164888682455, -113.40005910158585)"
M. E. LaZerte High School,6804 144 Avenue NW,7572,53.60495023179484,-113.44400914011528,"(53.60495023179484, -113.44400914011528)"
Victoria Gardens,10616 156 Street NW,5126,53.5509683144505,-113.59011747887129,"(53.5509683144505, -113.59011747887129)"
Shepherd's Care Kensington Village,12603 135 Avenue NW,6269,53.59637050523575,-113.53733778865109,"(53.59637050523575, -113.53733778865109)"
Red Arrow,10014 104 Street NW,1783,53.54297233039265,-113.50068688005072,"(53.54297233039265, -113.50068688005072)"
Central Memorial Chapel,10530 116 Street NW,1637,53.54781973934596,-113.52143643433101,"(53.54781973934596, -113.52143643433101)"
Beulah Alliance Church,17504 98A Avenue NW,5694,53.535957923908384,-113.62168224514477,"(53.535957923908384, -113.62168224514477)"
Strathcona Baptist Church,8318 104 Street NW,2896,53.519560416561866,-113.49775055082982,"(53.519560416561866, -113.49775055082982)"
Peggy Holmes Park,15803 109 Street NW,6025,53.6195356504312,-113.5123131038486,"(53.6195356504312, -113.5123131038486)"
George H. Luck School,300 Bulyea Road NW,4581,53.472816248732755,-113.57199879742927,"(53.472816248732755, -113.57199879742927)"
O'Leary Leisure Centre,8804 132 Avenue NW,7165,53.59207026121182,-113.47515649930133,"(53.59207026121182, -113.47515649930133)"
Coronation Arena,13500 112 Avenue NW,5208,53.56117943975297,-113.55574280218366,"(53.56117943975297, -113.55574280218366)"
Robbins Health Learning Centre,10910 104 Avenue NW,1989,53.54633651721763,-113.50583744224608,"(53.54633651721763, -113.50583744224608)"
Edmonton Korean Presbyterian Church,7907 86 Avenue NW,2022,53.52206847266364,-113.4490004475753,"(53.52206847266364, -113.4490004475753)"
Ross Sheppard High School,13546 111 Avenue NW,5207,53.56102685249268,-113.55578967945046,"(53.56102685249268, -113.55578967945046)"
Freedom Centre Church,4925 134 Avenue NW,7757,53.5946188694484,-113.4143881090283,"(53.5946188694484, -113.4143881090283)"
Church of Scientology,10255 97 Street NW,1756,53.54361160889481,-113.4882328299741,"(53.54361160889481, -113.4882328299741)"
Fontana Place,10167 118 Street NW,1939,53.540594959322156,-113.52142740511331,"(53.540594959322156, -113.52142740511331)"
Geneva Gardens Day Care,7004 149 Avenue NW,7564,53.610111266410975,-113.44856513729594,"(53.610111266410975, -113.44856513729594)"
Road Runner Motel,6622 104 Street NW,2732,53.4993778386513,-113.49777811214874,"(53.4993778386513, -113.49777811214874)"
Royal Canadian Legion Jasper Place,10220 156 Street NW,5476,53.54316942161538,-113.59038894610283,"(53.54316942161538, -113.59038894610283)"
Dr Francis Crang Park,10503 48 Avenue NW,2635,53.488418553400905,-113.50081553325045,"(53.488418553400905, -113.50081553325045)"
DATS,5610 86 Street NW,2385,53.49324246169935,-113.45517568293488,"(53.49324246169935, -113.45517568293488)"
Northgate Transit Centre,97 Street 137 Avenue NW,7005,53.599878842357235,-113.48965283276588,"(53.599878842357235, -113.48965283276588)"
School of Hair Dynamics,12818 Fort Road NW,7235,53.5876894303034,-113.44041480436346,"(53.5876894303034, -113.44041480436346)"
Westlawn Junior High School,9520 165 Street NW,5069,53.53172671736186,-113.60810054747742,"(53.53172671736186, -113.60810054747742)"
Seniors Stop In,9499 137 Avenue NW,7579,53.59719207279499,-113.49176981251857,"(53.59719207279499, -113.49176981251857)"
Ottewell Community Hall,5920  93A Avenue NW,2568,53.53396987880718,-113.42314398956454,"(53.53396987880718, -113.42314398956454)"
Provincial Fitness Unit U of A,11759 Groat Road NW,1817,53.569619765071096,-113.5492083909464,"(53.569619765071096, -113.5492083909464)"
Donnan Arena,9105 80 Avenue NW,2520,53.51631517921695,-113.4643330428292,"(53.51631517921695, -113.4643330428292)"
Muchias Park,3524 25 Avenue NW,3756,53.45424676350568,-113.39977549538749,"(53.45424676350568, -113.39977549538749)"
Southgate Shopping Centre,111 Street 51 Avenue NW,2201,53.485992349966935,-113.51612118242844,"(53.485992349966935, -113.51612118242844)"
MacDonald Health Club (Fairmont),10065 100 Street NW,1346,53.54186418698894,-113.49359437835496,"(53.54186418698894, -113.49359437835496)"
Edmonton South 7th Day Adventist,5108 106 Avenue NW,2420,53.551368693273794,-113.41795803554822,"(53.551368693273794, -113.41795803554822)"
North Millbourne Community League,980 Millbourne Road East NW,3342,53.47946794963795,-113.44566603194406,"(53.47946794963795, -113.44566603194406)"
Italian Community Services,9111 110 Avenue NW,1456,53.56077442791645,-113.4818678414108,"(53.56077442791645, -113.4818678414108)"
Mary A Finlay Manor,10209 134 Avenue NW,6422,53.594291238781814,-113.4921520344171,"(53.594291238781814, -113.4921520344171)"
Montrose Elementary School,11931 62 Street NW,1149,53.570431915188365,-113.43564579082279,"(53.570431915188365, -113.43564579082279)"
Evangelical Free Church District Office,2403 145 Avenue NW,7233,53.61068663961646,-113.3789126149235,"(53.61068663961646, -113.3789126149235)"
Archbishop MacDonald Catholic High School,14219 109 Avenue NW,5406,53.550369648941846,-113.56561864527765,"(53.550369648941846, -113.56561864527765)"
Coliseum LRT Station,7628 118 Avenue NW,1200,53.57091086668933,-113.45958238042584,"(53.57091086668933, -113.45958238042584)"
Westgate Manor,9560 163 Street NW,5221,53.53152215246117,-113.6005914330699,"(53.53152215246117, -113.6005914330699)"
Victory Academy Academic Daycare,11520 Ellerslie Road SW,9153,53.42492156472847,-113.52936213811972,"(53.42492156472847, -113.52936213811972)"
Anglican Diocese of Edmonton,10035 103 Street NW,1777,53.541780875160576,-113.49727636828283,"(53.541780875160576, -113.49727636828283)"
Edmonton Event Centre,8882 170 Street NW,5012,53.52063025944619,-113.62245210703546,"(53.52063025944619, -113.62245210703546)"
McLeod Building,10134 100 Street NW,1142,53.539762523376766,-113.49384573936506,"(53.539762523376766, -113.49384573936506)"
Golden Horizon Seniors Society,10014 109 Street NW,1964,53.54039268497625,-113.50485067536047,"(53.54039268497625, -113.50485067536047)"
Mill Creek Ravine Park,96 Street 76 Avenue NW,2169,53.512338304515076,-113.47740851849524,"(53.512338304515076, -113.47740851849524)"
Ritchie Park,7727 98 Street NW,2082,53.51222529273385,-113.48241499452743,"(53.51222529273385, -113.48241499452743)"
Alberta Career Computer Center Inc,10301 109 Street NW,1926,53.540921834489644,-113.50460312898325,"(53.540921834489644, -113.50460312898325)"
Edmonton Folk Music Festival,9411 97 Avenue NW,2382,53.531385400041316,-113.47052272698056,"(53.531385400041316, -113.47052272698056)"
Holy Eucharist Senior Citizens Home,11935 65 Street NW,1195,53.573817587670526,-113.44287769820832,"(53.573817587670526, -113.44287769820832)"
Millhurst Community League,5811 19A Avenue NW,3088,53.450730611511716,-113.42857787060512,"(53.450730611511716, -113.42857787060512)"
Patrick J Ryan Park,15804 110 Avenue NW,5324,53.55598655775306,-113.59394737788485,"(53.55598655775306, -113.59394737788485)"
Elmhurst,10040 116 Street NW,1939,53.540594959322156,-113.52142740511331,"(53.540594959322156, -113.52142740511331)"
Queen Elizabeth Tennis Courts,132 Avenue 94 Street NW,7060,53.59214566064937,-113.48841686941557,"(53.59214566064937, -113.48841686941557)"
MacLab Enterprises,10205 100 Avenue NW,1949,53.53888233772337,-113.49821580762733,"(53.53888233772337, -113.49821580762733)"
Terrace Theatre,4445 Calgary Trail NW,2954,53.482495181448314,-113.49192139151646,"(53.482495181448314, -113.49192139151646)"
