Contravention Date,Contravention In Last 7 Days,Ticket Type,Ticket Description,Contravention Code,Contravention Code Suffix,Contravention Code Description,Ticket Issued Via CCTV Camera,Controlled Parking Zone Area,Street,Vehicle Category,Vehicle Removed,Status Of Case,Charging Band Description,Civil Enforcement Officer Error,Penalty Charge Notice Cancelled,Penalty Charge Notice Written Off,Cancellation Reason,Foreign Vehicle,Country Vehicle Registered To,Has Appeal,Formal Representation,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Socrata ID
21/06/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-F,HARMOOD STREET NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:31:29 AM,11658
07/02/2015,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-C,BEDFORD SQUARE WC1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:14 AM,49371
23/01/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-G,LANCING STREET NW1,(Private) Car,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:36:56 AM,72821
20/03/2015,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-D,ENDSLEIGH STREET WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:43:24 AM,142342
09/12/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-H,SOUTH HILL PARK NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:43:18 AM,141139
01/05/2014,No,MTC,Moving Traffic Contravention,52M,M,Failing to comply with a prohibition on certain types of vehicle (no motor vehicles),Yes,CA-L,GRAFTON ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:48:49 AM,206087
18/08/2014,No,O/S TMA,On Street Contravention,24,,Not parked correctly within the markings of the bay or space,No,CA-H,HAMPSTEAD HIGH STREET NW3,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:44:01 AM,148118
11/11/2014,No,O/S TMA,On Street Contravention,24,,Not parked correctly within the markings of the bay or space,No,CA-J,REGENTS PARK ROAD (CA-J) NW1,Small Van,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:44:05 AM,149085
19/12/2014,No,MTC,Moving Traffic Contravention,51J,J,Failing to comply with a no entry restriction - camera enforcement,Yes,CA-L,GRAFTON ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:48:22 AM,184770
20/12/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-E,WARREN STREET W1,Rigid Truck,No,WrittenOff,Band A (Lower),No,No,Yes,Write Off,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:59 AM,59264
04/03/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-D,GOUGH STREET WC1,(Private) Car,No,Cancelled,Band A (Lower),No,Yes,No,Discretion / Mitigation,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:37:25 AM,78185
23/03/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-G,DRUMMOND STREET NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000142,Regent's Park,529145,182497,-0.139728,51.526622,"(51.526622, -0.139728)",Civil Enforcement Officer GPS Location,31/12/2017 03:02:41 AM,1029411
27/03/2015,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-C,BLOOMSBURY STREET WC1,Large Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000129,Bloomsbury,530003,181532,-0.12773,51.517758,"(51.517758, -0.12773)",Fixed CCTV Camera,31/12/2017 02:08:00 AM,459850
05/04/2014,No,MTC,Moving Traffic Contravention,50R,R,Performing a prohibited turn (no right turn),Yes,CA-R,COMPAYNE GARDENS NW6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:47:58 AM,180467
24/05/2014,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-C,BLOOMSBURY STREET WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000129,Bloomsbury,530003,181532,-0.12773,51.517758,"(51.517758, -0.12773)",Fixed CCTV Camera,31/12/2017 02:08:10 AM,461799
24/07/2014,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-C,BLOOMSBURY STREET WC1,Motorcycle,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000129,Bloomsbury,530003,181532,-0.12773,51.517758,"(51.517758, -0.12773)",Fixed CCTV Camera,31/12/2017 02:08:08 AM,461359
23/05/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-H,GREENHILL NW3,Small Van,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:36:34 AM,68631
23/07/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-G,ST. PANCRAS WAY NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:31:40 AM,14384
11/06/2014,No,MTC,Moving Traffic Contravention,52M,M,Failing to comply with a prohibition on certain types of vehicle (no motor vehicles),Yes,CA-L,GRAFTON ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:48:51 AM,206710
29/05/2014,No,O/S TMA,On Street Contravention,02,,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force,No,CA-M,HIGHGATE ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:33:02 AM,26530
18/03/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-F,ARLINGTON ROAD NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:36:42 AM,70507
26/03/2015,No,MTC,Moving Traffic Contravention,50L,L,Performing a prohibited turn (no left turn),Yes,CA-D,PHOENIX PLACE WC1,Large Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:47:38 AM,174811
16/02/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-B,BELSIZE TERRACE NW3,(Private) Car,No,Outstanding,Band A (Lower),No,No,No,,Yes,Lithuania,No,No,E05000133,Frognal and Fitzjohns,526905,184915,-0.17113,51.548864,"(51.548864, -0.17113)",Civil Enforcement Officer GPS Location,31/12/2017 03:05:03 AM,1065295
25/04/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-F,PARKWAY NW1,Small Van,No,Cancelled,Band A (Higher),Yes,Yes,No,Civil Enforcement Officer (CEO) Error,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:31:41 AM,14547
13/06/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-R,GREENCROFT GARDENS NW6,(Private) Car,No,Cancelled,Band A (Higher),No,Yes,No,Liability Waived,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:32:05 AM,19905
29/08/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-H,ROSSLYN HILL (CA-H) NW3,(Private) Car,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:36:09 AM,61603
19/06/2014,No,MTC,Moving Traffic Contravention,52M,M,Failing to comply with a prohibition on certain types of vehicle (no motor vehicles),Yes,CA-L,GRAFTON ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:48:51 AM,206791
15/10/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-M,GAISFORD STREET NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:43:18 AM,141106
29/12/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-C,EARLHAM STREET WC2,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:43 AM,55729
15/03/2015,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-F,FERDINAND STREET NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:28 AM,52335
29/06/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-F,PARKWAY NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:31:41 AM,14565
24/02/2015,No,O/S TMA,On Street Contravention,27,,"Parked in a special enforcement area adjacent to a footway, cycle track or verge lowered to meet the level of the carriageway",No,CA-G,MELTON STREET NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:44:34 AM,154617
06/11/2014,No,MTC,Moving Traffic Contravention,50R,R,Performing a prohibited turn (no right turn),Yes,CA-F,CASTLEHAVEN ROAD NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:47:55 AM,178151
14/04/2014,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-D,PORTPOOL LANE EC1,Other,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:21 AM,50832
09/07/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-H,FITZJOHNS AVENUE (CA-H) NW3,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:36:39 AM,69784
19/07/2014,No,O/S TMA,On Street Contravention,62,,Parked with one or more wheels on or over a footpath or any part of a road other than a carriageway,No,CA-B,HAVERSTOCK HILL (CA-B) NW3,Motorcycle,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:49:22 AM,212624
17/07/2014,No,O/S TMA,On Street Contravention,23,,Parked in a parking place or area not designated for that class of vehicle,No,CA-H,NEW END NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:43:57 AM,147486
04/11/2014,No,CCTV TMA,CCTV Parking Contravention,47J,J,Stopped on a restricted bus stop/stand - camera enforcement,Yes,CA-F,KENTISH TOWN ROAD (CA-F) NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000130,Camden Town with Primrose Hill,528936,184015,-0.142191,51.540317,"(51.540317, -0.142191)",Fixed CCTV Camera,31/12/2017 01:59:02 AM,347910
29/01/2015,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-L,MALDEN PLACE NW5,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:31:37 AM,13754
23/07/2014,No,O/S TMA,On Street Contravention,061,,"A heavy commercial vehicle wholly or partly parked on a footway, verge or land between two carriageways",No,CA-D,RUSSELL SQUARE WC1,Bus/Coach,No,Outstanding,Band A (Higher),No,No,No,,Yes,Romania,No,No,,,,,,,,Unknown,31/12/2017 01:49:07 AM,209367
25/06/2014,No,O/S TMA,On Street Contravention,05P,P,Parked after the expiry of paid for time - Pay & display,No,CA-F,CASTLEHAVEN ROAD NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:34:51 AM,44387
07/04/2014,No,O/S TMA,On Street Contravention,24,,Not parked correctly within the markings of the bay or space,No,CA-R,ACOL ROAD NW6,(Private) Car,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:44:04 AM,148819
16/06/2014,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-E,FITZROY STREET W1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:17 AM,50203
29/06/2014,No,O/S TMA,On Street Contravention,02,,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force,No,CA-C,STEPHEN STREET W1,(Private) Car,Yes,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:32:54 AM,24582
24/10/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-E,PERCY STREET W1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000129,Bloomsbury,529570,181561,-0.13395,51.518115,"(51.518115, -0.13395)",Civil Enforcement Officer GPS Location,31/12/2017 03:08:36 AM,1128074
17/11/2014,No,O/S TMA,On Street Contravention,21R,R,Parked wholly or partly in a suspended bay or space - residents` bay,No,CA-H,WEDDERBURN ROAD NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:43:48 AM,146805
22/10/2014,No,MTC,Moving Traffic Contravention,51J,J,Failing to comply with a no entry restriction - camera enforcement,Yes,CA-H,WILLOW ROAD NW3,Large Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:48:35 AM,193251
05/12/2014,No,O/S TMA,On Street Contravention,16,,Parked in a permit space or zone without clearly displaying a valid permit,No,CA-D,HATTON WALL EC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:41:39 AM,119419
28/02/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-E,BEDFORD PLACE WC1,(Private) Car,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,Yes,,,,,,,,Unknown,31/12/2017 01:36:57 AM,73457
09/09/2014,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-C,GREAT RUSSELL STREET WC1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:21 AM,50920
12/02/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-F,CHALK FARM ROAD NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,Yes,,,,,,,,Unknown,31/12/2017 01:37:12 AM,75676
14/10/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-F,CASTLEHAVEN ROAD NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:31:12 AM,7033
10/05/2014,No,CCTV TMA,CCTV Parking Contravention,99J,J,Stopped on a pedestrian crossing and/or crossing area marked by zig-zags - camera enforcement,Yes,CA-H,SOUTH END ROAD NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:49:52 AM,220282
09/05/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-F,PARKWAY NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:31:18 AM,8431
15/03/2015,No,MTC,Moving Traffic Contravention,50R,R,Performing a prohibited turn (no right turn),Yes,CA-R,COMPAYNE GARDENS NW6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:47:56 AM,178385
12/01/2015,No,CCTV TMA,CCTV Parking Contravention,25J,J,Parked in a loading place or bay during restricted hours without loading camera enforcement,Yes,CA-E,CHARLOTTE STREET W1,Large Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:44:29 AM,153751
20/09/2014,No,MTC,Moving Traffic Contravention,50R,R,Performing a prohibited turn (no right turn),Yes,CA-R,COMPAYNE GARDENS NW6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:47:55 AM,178083
25/10/2014,No,O/S TMA,On Street Contravention,27,,"Parked in a special enforcement area adjacent to a footway, cycle track or verge lowered to meet the level of the carriageway",No,CA-G,STEPHENSON WAY NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:44:32 AM,154192
22/03/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-F,JEFFREYS STREET NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:37:23 AM,77594
14/03/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-C,BEDFORD AVENUE WC1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:36:57 AM,73462
05/11/2014,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-K,FAIRFAX ROAD NW6,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:13 AM,49247
28/07/2014,No,MTC,Moving Traffic Contravention,51J,J,Failing to comply with a no entry restriction - camera enforcement,Yes,CA-D,HATTON GARDEN EC1,Motorcycle,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:48:36 AM,193949
06/08/2014,No,MTC,Moving Traffic Contravention,33G,G,Using a route restricted to certain vehicles (local buses only),Yes,CA-C,VERNON PLACE WC1,(Private) Car,No,Cancelled,Band A (Higher),No,Yes,No,Lines & Signs Issue,No,United Kingdom,No,Yes,,,,,,,,Unknown,31/12/2017 01:45:34 AM,166103
15/09/2014,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-D,SANDLAND STREET WC1,Small Van,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:23 AM,51404
07/11/2014,No,O/S TMA,On Street Contravention,05P,P,Parked after the expiry of paid for time - Pay & display,No,CA-G,NORTH GOWER STREET NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:34:50 AM,44112
07/06/2014,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-Q,KILBURN HIGH ROAD,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,525008,184149,-0.198753,51.542404,"(51.542404, -0.198753)",Fixed CCTV Camera,31/12/2017 02:05:50 AM,435289
18/04/2014,No,CCTV TMA,CCTV Parking Contravention,02J,J,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force - camera enforcement,Yes,CA-M,KENTISH TOWN ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:33:34 AM,29963
24/05/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-C,ENDELL STREET WC2,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,Yes,,,,,,,,Unknown,31/12/2017 01:36:08 AM,61398
05/07/2014,No,O/S TMA,On Street Contravention,16,,Parked in a permit space or zone without clearly displaying a valid permit,No,CA-D,DOMBEY STREET WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:41:39 AM,119343
24/06/2014,No,O/S TMA,On Street Contravention,05P,P,Parked after the expiry of paid for time - Pay & display,No,CA-D,BURTON STREET WC1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:34:46 AM,43188
02/07/2014,No,O/S TMA,On Street Contravention,02,,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force,No,CA-M,HIGHGATE ROAD NW5,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:32:46 AM,23007
06/04/2014,No,O/S TMA,On Street Contravention,30F,F,Parked for longer than permitted free parking bay,No,CA-G,PANCRAS ROAD NW1,Bus/Coach,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:44:38 AM,155107
13/05/2014,No,O/S TMA,On Street Contravention,05P,P,Parked after the expiry of paid for time - Pay & display,No,CA-D,HATTON GARDEN EC1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:34:33 AM,40379
16/02/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-M,BARTHOLOMEW VILLAS NW5,(Private) Car,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,E05000131,Cantelowes,529049,184804,-0.140268,51.547375,"(51.547375, -0.140268)",Civil Enforcement Officer GPS Location,31/12/2017 03:05:00 AM,1064479
03/10/2014,No,MTC,Moving Traffic Contravention,51J,J,Failing to comply with a no entry restriction - camera enforcement,Yes,CA-L,GRAFTON ROAD NW5,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:48:21 AM,184148
23/10/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-G,DRUMMOND STREET NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000142,Regent's Park,529236,182425,-0.13845,51.525957,"(51.525957, -0.13845)",Civil Enforcement Officer GPS Location,31/12/2017 03:40:00 AM,1444691
