_id,LONGITURE,INSPECTION_CLOSED_DATE,INSPECTION_OPENED_DATE,PROPERY_WARD,LATITUDE,VIOLATION_DESCRIPTION,PROPERTY_ADDRESS,VIOLATION_FIRE_CODE
2227543,-79.43860578600001,2019-01-15 17:29:40,2017-02-01 17:30:31,12,43.6978992413,9.6.2.6 Protection of openings in fire separations,1463 Eglinton Ave W,9.6.2.6
2227544,-79.4663714027,2017-02-14 20:36:45,2017-02-01 22:00:13,4,43.6547197987,,40 High Park Ave,
2227545,-79.4007760515,2018-06-27 20:46:04,2017-10-04 17:59:59,11,43.6670231538,1.1.2.3./6.3.3.8 - Records of Test (Smoke Alarms),341 Bloor St W,1.1.2.3./6.3.3.8
2227546,-79.404633152,2018-04-18 17:40:34,2017-06-08 12:57:29,11,43.669561906700004,6.5.6.5 Spare sprinkler heads,59 Spadina Rd,6.5.6.5
2227547,-79.4000948762,2018-01-26 21:47:15,2017-04-13 15:32:37,11,43.6693083149,2.2.3.2 Maintenance of closures,149 St George St,2.2.3.2
2227548,-79.4000948762,2018-01-26 21:47:15,2017-04-13 15:32:37,11,43.6693083149,2.4.1.1 Accumulation of combustible materials,149 St George St,2.4.1.1
2227549,-79.4000948762,2018-01-26 21:47:15,2017-04-13 15:32:37,11,43.6693083149,6.5.1.5 Obstructions,149 St George St,6.5.1.5
2227550,-79.40181566689999,2017-04-26 20:02:37,2017-04-04 15:17:46,11,43.671232824499995,,214 St George St,
2227551,-79.3918839481,2018-09-12 20:49:10,2017-02-02 21:24:03,11,43.6561325149,9.6.3.9 Emergency lighting,222 Elm St,9.6.3.9
2227552,-79.4025334401,2017-11-28 20:06:20,2017-06-13 17:32:13,11,43.6739531325,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),277 St George St,1.1.2.3./6.3.2.2.
2227553,-79.4025334401,2017-11-28 20:06:20,2017-06-13 17:32:13,11,43.6739531325,2.2.2.1 Damaged fire separations,277 St George St,2.2.2.1
2227554,-79.4001578926,2018-06-28 22:35:00,2017-04-13 15:34:27,11,43.669462162799995,1.1.2.3./6.2.7.5. Records of Test (Fire Extinguishers),151 St George St,1.1.2.3./6.2.7.5.
2227555,-79.4002168359,2017-10-18 12:26:25,2017-05-04 14:51:33,11,43.6695933658,6.5.6.5 Spare sprinkler heads,153 St George St,6.5.6.5
2227556,-79.3986101072,2018-07-26 20:20:28,2017-04-20 13:01:42,11,43.6694516489,2.2.3.2 Maintenance of closures,50 Prince Arthur Ave,2.2.3.2
2227557,-79.4016538986,2017-10-04 20:02:32,2017-04-04 15:23:01,11,43.6707359824,2.2.3.2 Maintenance of closures,206 St George St,2.2.3.2
2227558,-79.3965574738,2018-10-30 15:53:51,2017-04-20 13:03:31,11,43.6698986965,2.7.3.2 Exit Signs,20 Prince Arthur Ave,2.7.3.2
2227559,-79.2654841608,2017-01-26 20:26:06,2017-01-05 20:51:44,23,43.808808732399996,2.2.3.2 Maintenance of closures,25 Thunder Grv,2.2.3.2
2227560,-79.1888137161,2017-09-26 20:20:22,2017-09-26 20:20:22,24,43.7672342065,,4175 Lawrence Ave E,
2227561,-79.5047423592,2017-02-01 17:57:54,2017-02-01 17:57:54,5,43.7162060117,,20 Falstaff Ave,
2227562,-79.2692166242,2017-01-13 14:12:40,2017-01-12 13:57:37,20,43.7142950675,,3479 St Clair Ave E,
2227563,-79.2864410678,2017-05-30 18:08:37,2017-01-05 16:49:39,20,43.6972076653,,40 Teesdale Pl,
2227564,-79.2828561426,2017-08-30 16:30:33,2017-01-27 16:31:42,21,43.767640513,1.1.2.3 Records to be made available on request,1950 Kennedy Rd,1.1.2.3
2227565,-79.41274063649999,2018-01-30 21:40:36,2017-01-19 13:55:03,18,43.7642351995,1.1.2.3 Records to be made available on request,100 Upper Madison Ave,1.1.2.3
2227566,-79.3745165825,2017-09-11 16:41:47,2017-01-04 14:39:33,15,43.702778241400004,"1.1.1.2 Check, inspect and test",1460 Bayview Ave,1.1.1.2
2227567,-79.447239236,2017-01-05 18:08:12,2017-01-05 18:08:12,9,43.665597713000004,,816 Lansdowne Ave,
2227568,-79.3531033316,2017-01-31 16:01:05,2017-01-05 21:57:44,14,43.6888299265,,1145 Logan Ave,
2227569,-79.418488924,2017-05-26 17:30:52,2017-01-13 15:30:55,12,43.6823113813,6.3.3.3 Duty to maintain in operating condition,21 Vaughan Rd,6.3.3.3
2227570,-79.42351148600001,2017-05-04 13:15:36,2017-01-17 05:00:00,10,43.64918867,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),1239 Dundas St W,1.1.2.3./6.3.2.2.
2227571,-79.42351148600001,2017-05-04 13:15:36,2017-01-17 05:00:00,10,43.64918867,1.1.2.3./6.4.3.5. Records of Test (Flow and Pressure Tests),1239 Dundas St W,1.1.2.3./6.4.3.5.
2227572,-79.408571,2017-07-05 18:00:00,2017-01-11 05:00:00,11,43.65586171,2.4.1.1 Accumulation of combustible materials,301 Markham St,2.4.1.1
2227573,-79.408571,2017-07-05 18:00:00,2017-01-11 05:00:00,11,43.65586171,6.2.7.3 Defective extinguishers,301 Markham St,6.2.7.3
2227574,-79.4313915091,2017-01-18 16:02:50,2017-01-17 15:36:53,9,43.650489538900004,,661 Dufferin St,
2227575,-79.50902967020001,2017-04-06 17:00:42,2017-01-18 15:39:37,7,43.7597878712,6.3.1.4 Fire Alarm Maintenance ,10 Tobermory Dr,6.3.1.4
2227576,-79.5669913807,2017-01-26 12:42:00,2017-01-18 20:29:51,1,43.7435749087,6.3.1.4 Fire Alarm Maintenance ,2765 Islington Ave,6.3.1.4
2227577,-79.60344867970001,2017-01-16 18:11:46,2017-01-16 18:11:46,1,43.719929093500006,,900 Queens Plate Dr,
2227578,-79.2187713008,2017-03-23 16:59:10,2017-01-16 20:42:20,24,43.744696642,6.4.2.7 Hose cabinets,215 Markham Rd,6.4.2.7
2227579,-79.60344867970001,2017-01-25 21:53:23,2017-01-17 21:31:03,1,43.719929093500006,,900 Queens Plate Dr,
2227580,-79.3769928019,2017-02-03 21:00:29,2017-01-24 15:00:54,13,43.662067633,6.3.1.4 Fire Alarm Maintenance ,111 Carlton St,6.3.1.4
2227581,-79.3823063131,2017-01-17 20:36:07,2017-01-17 20:36:07,13,43.6602721446,,423 Yonge St,
2227582,-79.489787514,2017-02-21 19:59:24,2017-02-08 16:49:43,7,43.75654049479999,"2.7.2.2 Requirements for locking, latching and fastening devices",3710 Keele St,2.7.2.2
2227583,-79.5241692721,2017-01-26 15:39:27,2017-01-25 16:33:59,5,43.702309826800004,2.2.3.2 Maintenance of closures,2100 Weston Rd,2.2.3.2
2227584,-79.405573988,2017-03-23 19:01:44,2017-01-25 05:00:00,10,43.637007337,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),219 Fort York Blvd,1.1.2.3./6.3.2.2.
2227585,-79.405573988,2017-03-23 19:01:44,2017-01-25 05:00:00,10,43.637007337,6.5.1.5 Obstructions,219 Fort York Blvd,6.5.1.5
2227586,-79.400080728,2018-04-11 16:00:00,2017-03-15 16:00:00,10,43.6367062252,6.3.2.2 Fire alarm systems,600 Fleet St,6.3.2.2
2227587,-79.402351231,2017-08-02 15:00:00,2017-03-14 04:00:00,10,43.637658017,2.2.2.1 Damaged fire separations,50 Bruyeres Mews,2.2.2.1
2227588,-79.4027601592,2017-11-21 17:00:00,2017-03-15 16:00:00,10,43.636371241199996,2.7.1.7 Maintenance and lighting for exits,628 Fleet St,2.7.1.7
2227589,-79.4027601592,2017-11-21 17:00:00,2017-03-15 16:00:00,10,43.636371241199996,6.4.2.1 Hose stations,628 Fleet St,6.4.2.1
2227590,-79.4027601592,2017-11-21 17:00:00,2017-03-15 16:00:00,10,43.636371241199996,6.4.2.3 Hose stations,628 Fleet St,6.4.2.3
2227591,-79.3747911608,2017-03-01 20:11:55,2017-01-24 19:18:48,13,43.6584365375,6.3.1.4 Fire Alarm Maintenance ,279 Jarvis St,6.3.1.4
2227592,-79.3099761126,2017-04-26 16:30:22,2017-02-15 17:00:02,22,43.7776151025,"2.7.2.2 Requirements for locking, latching and fastening devices",3275 Sheppard Ave E,2.7.2.2
2227593,-79.291287219,2017-02-03 16:55:49,2017-02-01 18:10:20,19,43.695648592,,9 Crescent Pl,
2227594,-79.43860578600001,2019-01-15 17:29:40,2017-02-01 17:30:31,12,43.6978992413,1.1.2.3./6.5.5.2. Records of Test (Sprinkler Alarm Test),1463 Eglinton Ave W,1.1.2.3./6.5.5.2.
2227595,-79.3914361873,2018-09-12 20:46:48,2017-02-02 21:23:04,11,43.656163448,2.2.2.1 Damaged fire separations,200 Elm St,2.2.2.1
2227596,-79.4019456234,2018-01-16 14:47:23,2017-11-08 18:52:32,11,43.673275002299995,2.4.1.5 - Lint traps for laundry equipment,88 Bernard Ave,2.4.1.5
2227597,-79.4019456234,2018-01-16 14:47:23,2017-11-08 18:52:32,11,43.673275002299995,6.5.1.5 Obstructions,88 Bernard Ave,6.5.1.5
2227598,-79.3977140029,2018-03-07 18:06:40,2017-10-17 12:55:16,11,43.6700123924,1.1.2.3./6.4.3.3. Records of Test (Standpipe - FD Connection),25 Bedford Rd,1.1.2.3./6.4.3.3.
2227599,-79.4005497308,2017-11-30 20:37:53,2017-04-04 20:21:17,11,43.670268918599994,2.2.2.1 Damaged fire separations,161 St George St,2.2.2.1
2227600,-79.4011026484,2017-05-30 17:23:36,2017-04-04 15:19:00,11,43.6715668112,2.2.3.2 Maintenance of closures,191 St George St,2.2.3.2
2227601,-79.3904825858,2018-04-19 13:18:42,2017-04-27 12:12:23,10,43.651220216400006,2.8.2.5 Posting fire emergency procedures,22 Mc Caul St,2.8.2.5
2227602,-79.4018701379,2018-07-05 18:16:39,2017-07-21 19:15:20,11,43.6690085871,6.3.3.3 Duty to maintain in operating condition,485 Huron St,6.3.3.3
2227603,-79.3998460545,2017-05-17 12:47:18,2017-04-13 15:33:27,11,43.6690890791,2.2.2.1 Damaged fire separations,145 St George St,2.2.2.1
2227604,-79.58670766670001,2017-04-25 12:32:49,2017-01-30 18:49:02,1,43.743870389899996,2.4.1.1 Accumulation of combustible materials,60 Stevenson Rd,2.4.1.1
2227605,-79.51522928520001,2017-06-02 04:00:00,2017-05-30 04:00:00,5,43.699140093400004,,5 Bellevue Cres,
2227606,-79.304237888,2017-02-06 13:30:57,2017-01-16 19:00:17,22,43.801321025,,65 Silver Springs Blvd,
2227607,-79.3968664872,2017-01-17 16:50:44,2017-01-11 15:15:19,12,43.6945745052,,125 Lawton Blvd,
2227608,-79.2592760831,2017-01-24 19:24:41,2017-01-19 18:51:36,20,43.7332452174,,120 Town Haven Pl,
2227609,-79.3745165825,2017-09-11 16:41:47,2017-01-04 14:39:33,15,43.702778241400004,2.2.3.3 Operation of closures,1460 Bayview Ave,2.2.3.3
2227610,-79.2190765702,2017-01-05 20:30:47,2017-01-04 21:11:44,24,43.746190112,,225 Markham Rd,
2227611,-79.5525308893,2017-06-09 19:17:35,2017-01-17 21:05:21,1,43.696830929399994,,320 Dixon Rd,
2227612,-79.5134047928,2017-01-05 18:36:00,2017-01-05 18:36:00,7,43.7242716939,,170 Chalkfarm Dr,
2227613,-79.418488924,2017-05-26 17:30:52,2017-01-13 15:30:55,12,43.6823113813,9.6.2.13 Refuse and linen chutes,21 Vaughan Rd,9.6.2.13
2227614,-79.3920709279,2017-01-09 05:00:00,2017-01-09 05:00:00,18,43.7664903413,,1 Hycrest Ave,
2227615,-79.56860242100001,2017-02-13 19:47:09,2017-01-11 20:41:12,2,43.650461678999996,6.3.1.8 Repairs and alterations to fire alarm systems,511 The West Mall,6.3.1.8
2227616,-79.42351148600001,2017-05-04 13:15:36,2017-01-17 05:00:00,10,43.64918867,1.1.2.3./6.4.3.3. Records of Test (Standpipe - FD Connection),1239 Dundas St W,1.1.2.3./6.4.3.3.
2227617,-79.42351148600001,2017-05-04 13:15:36,2017-01-17 05:00:00,10,43.64918867,2.8.2.1 Measures in a fire safety plan,1239 Dundas St W,2.8.2.1
2227618,-79.3922142682,2017-02-02 17:00:00,2017-01-25 05:00:00,12,43.698778807,,111 Davisville Ave,
2227619,-79.32540301819999,2017-01-12 05:00:00,2017-01-11 05:00:00,16,43.761593976099995,,1284 York Mills Rd,
2227620,-79.408571,2017-07-05 18:00:00,2017-01-11 05:00:00,11,43.65586171,1.1.2.3./6.7.1.1. Records of Test (Emergency Power Systems),301 Markham St,1.1.2.3./6.7.1.1.
2227621,-79.477127662,2017-02-17 05:00:00,2017-01-18 05:00:00,3,43.627469161,,58 Marine Parade Dr,
2227622,-79.1988475843,2017-01-16 20:55:05,2017-01-13 18:41:02,24,43.7667315745,,4010 Lawrence Ave E,
2227623,-79.50902967020001,2017-04-06 17:00:42,2017-01-18 15:39:37,7,43.7597878712,2.2.3.2 Maintenance of closures,10 Tobermory Dr,2.2.3.2
2227624,-79.2187713008,2017-03-23 16:59:10,2017-01-16 20:42:20,24,43.744696642,6.5.3.4 Sprinkler heads,215 Markham Rd,6.5.3.4
2227625,-79.3473075283,2017-01-18 05:00:00,2017-01-17 05:00:00,17,43.768813945699996,,95 Havenbrook Blvd,
2227626,-79.384676454,2017-02-15 14:58:14,2017-01-07 21:30:20,13,43.661608021999996,2.8.2.1 Measures in a fire safety plan,25 Grenville St,2.8.2.1
2227627,-79.477234026,2017-03-14 04:00:00,2017-01-18 05:00:00,3,43.626325903,,80 Marine Parade Dr,
2227628,-79.36796817439999,2017-02-27 16:56:12,2017-01-18 20:30:31,13,43.649026396800004,,176 The Esplanade,
2227629,-79.3736609333,2017-02-17 14:04:51,2017-01-19 19:02:24,13,43.668062810600006,6.3.1.4 Fire Alarm Maintenance ,200 Wellesley St E,6.3.1.4
2227630,-79.3300834022,2017-04-26 18:57:58,2017-01-19 16:15:00,16,43.7170552928,2.2.3.1 Damaged closures,1 Deauville Lane,2.2.3.1
2227631,-79.3300834022,2017-04-26 18:57:58,2017-01-19 16:15:00,16,43.7170552928,2.8.2.5 Posting fire emergency procedures,1 Deauville Lane,2.8.2.5
2227632,-79.37866359649999,2017-01-23 21:07:57,2017-01-23 21:07:57,13,43.665843764899996,,460 Jarvis St,
2227633,-79.3709200965,2017-01-27 15:01:25,2017-01-25 20:30:33,13,43.659299401000006,7.2.5.1 Maintenance of certain fire emergency systems,251 Sherbourne St,7.2.5.1
2227634,-79.478243821,2017-02-09 21:43:00,2017-01-23 21:07:38,3,43.62494911899999,2.8.1.2 Instructions in emergency procedures,59 Annie Craig Dr,2.8.1.2
2227635,-79.404867313,2017-06-29 04:00:00,2017-02-16 05:00:00,10,43.636608001300004,6.2.1.2 Maintenance,215 Fort York Blvd,6.2.1.2
2227636,-79.400080728,2018-04-11 16:00:00,2017-03-15 16:00:00,10,43.6367062252,1.1.2.3./6.2.7.5. Records of Test (Fire Extinguishers),600 Fleet St,1.1.2.3./6.2.7.5.
2227637,-79.400080728,2018-04-11 16:00:00,2017-03-15 16:00:00,10,43.6367062252,2.2.2.1 Damaged fire separations,600 Fleet St,2.2.2.1
2227638,-79.400080728,2018-04-11 16:00:00,2017-03-15 16:00:00,10,43.6367062252,6.4.2.6 Standpipe identification,600 Fleet St,6.4.2.6
2227639,-79.4020593984,2017-09-06 04:00:00,2017-03-30 04:00:00,10,43.636474689399996,2.4.1.1 Accumulation of combustible materials,21 Grand Magazine St,2.4.1.1
2227640,-79.4020593984,2017-09-06 04:00:00,2017-03-30 04:00:00,10,43.636474689399996,2.7.3.3 Emergency lighting,21 Grand Magazine St,2.7.3.3
2227641,-79.4027601592,2017-11-21 17:00:00,2017-03-15 16:00:00,10,43.636371241199996,2.2.3.2 Maintenance of closures,628 Fleet St,2.2.3.2
2227642,-79.400688603,2017-07-07 09:30:00,2017-03-14 18:00:00,10,43.637196151000005,2.7.1.7 Maintenance and lighting for exits,15 Bruyeres Mews,2.7.1.7
2227643,-79.400688603,2017-07-07 09:30:00,2017-03-14 18:00:00,10,43.637196151000005,6.4.2.6 Standpipe identification,15 Bruyeres Mews,6.4.2.6
2227644,-79.5531547463,2017-06-09 14:46:06,2017-01-24 21:05:09,1,43.6957850475,,330 Dixon Rd,
2227645,-79.4469525657,2017-03-29 12:30:42,2017-01-25 21:11:16,12,43.695129788,2.2.3.2 Maintenance of closures,633 Northcliffe Blvd,2.2.3.2
2227646,-79.3945783952,2017-01-31 17:30:00,2017-01-31 17:30:00,12,43.7080325071,,130 Eglinton Ave E,
2227647,-79.3870289436,2017-02-01 21:00:26,2017-01-31 15:00:41,11,43.6729856958,6.3.1.4 Fire Alarm Maintenance ,825 Church St,6.3.1.4
2227648,-79.26104857039999,2017-02-08 21:58:12,2017-02-08 21:58:12,21,43.734464948100005,,2466 Eglinton Ave E,
2227649,-79.60344867970001,2017-01-31 20:53:16,2017-01-31 20:53:16,1,43.719929093500006,,900 Queens Plate Dr,
2227650,-79.3448533882,2017-11-06 19:30:55,2017-01-31 21:22:01,14,43.665362780500004,2.2.3.3 Operation of closures,444 Logan Ave,2.2.3.3
2227651,-79.5088771047,2017-07-06 18:07:29,2017-02-01 16:13:06,7,43.7604567438,,15 Tobermory Dr,
2227652,-79.43860578600001,2019-01-15 17:29:40,2017-02-01 17:30:31,12,43.6978992413,6.3.1.1 Access,1463 Eglinton Ave W,6.3.1.1
2227653,-79.43860578600001,2019-01-15 17:29:40,2017-02-01 17:30:31,12,43.6978992413,9.6.3.4 Stairway separations,1463 Eglinton Ave W,9.6.3.4
2227654,-79.43860578600001,2019-01-15 17:29:40,2017-02-01 17:30:31,12,43.6978992413,9.6.3.6 Exit signs,1463 Eglinton Ave W,9.6.3.6
2227655,-79.2654841608,2017-01-26 20:26:06,2017-01-05 20:51:44,23,43.808808732399996,6.4.2.7 Hose cabinets,25 Thunder Grv,6.4.2.7
2227656,-79.5828606809,2018-12-05 20:18:51,2017-04-18 17:35:33,1,43.751206450299996,,1 Rowntree Rd,
2227657,-79.485287501,2017-02-28 05:00:00,2017-01-12 05:00:00,3,43.624400533999996,,90 Park Lawn Rd,
2227658,-79.2828561426,2017-08-30 16:30:33,2017-01-27 16:31:42,21,43.767640513,1.1.2.2 Retention of records,1950 Kennedy Rd,1.1.2.2
2227659,-79.3695219097,2017-01-04 17:00:20,2017-01-04 17:00:20,13,43.6555922823,,155 Sherbourne St,
2227660,-79.3249754715,2017-02-16 21:36:51,2017-01-05 14:32:00,16,43.719540813900004,"6.2.7.1 Inspection, Testing and Maintenance ",20 Edgecliff Golfway,6.2.7.1
2227661,-79.418488924,2017-05-26 17:30:52,2017-01-13 15:30:55,12,43.6823113813,6.4.2.3 Hose stations,21 Vaughan Rd,6.4.2.3
2227662,-79.418488924,2017-05-26 17:30:52,2017-01-13 15:30:55,12,43.6823113813,6.5.1.5 Obstructions,21 Vaughan Rd,6.5.1.5
2227663,-79.383612272,2017-01-24 21:42:33,2017-01-09 18:33:19,10,43.639809571,6.3.1.4 Fire Alarm Maintenance ,228 Queens Quay W,6.3.1.4
2227664,-79.6034011362,2017-03-21 20:19:13,2017-01-18 17:55:13,1,43.7205877776,,840 Queens Plate Dr,
2227665,-79.39883913,2017-01-12 12:57:58,2017-01-12 12:57:58,10,43.635701847,,650 Queens Quay W,
2227666,-79.3761942758,2017-02-07 16:47:51,2017-01-13 16:54:48,13,43.6525396289,,60 Richmond St E,
2227667,-79.5488875261,2017-01-17 21:13:22,2017-01-17 21:13:22,1,43.7036880262,,2101 Islington Ave,
2227668,-79.374814757,2017-01-19 20:15:53,2017-01-19 17:00:18,13,43.670607632,,375 Bleecker St,
2227669,-79.28975127529999,2017-04-10 18:30:31,2017-02-02 17:00:04,22,43.78254283689999,1.1.2.1 Records to be prepared,3875 Sheppard Ave E,1.1.2.1
2227670,-79.5139674087,2017-01-13 22:19:57,2017-01-13 22:19:57,2,43.6846591865,,25 Richview Rd,
2227671,-79.50902967020001,2017-04-06 17:00:42,2017-01-18 15:39:37,7,43.7597878712,2.8.2.5 Posting fire emergency procedures,10 Tobermory Dr,2.8.2.5
2227672,-79.5434359501,2017-02-23 16:52:02,2017-01-16 13:32:45,7,43.7498192236,6.3.3.7 Replacement,3400 Weston Rd,6.3.3.7
2227673,-79.4718686985,2017-05-09 15:43:32,2017-05-05 04:00:00,5,43.679672235299996,,1500 Keele St,
2227674,-79.50094502399999,2017-01-18 13:58:26,2017-01-18 13:58:26,5,43.697972197,,720 Trethewey Dr,
2227675,-79.3300834022,2017-04-26 18:57:58,2017-01-19 16:15:00,16,43.7170552928,2.4.1.1 Accumulation of combustible materials,1 Deauville Lane,2.4.1.1
2227676,-79.51474864069999,2017-05-17 18:22:04,2017-01-23 16:16:17,7,43.7243235641,2.7.3.1 Exit signs,160 Chalkfarm Dr,2.7.3.1
2227677,-79.3717553706,2017-03-20 20:45:56,2017-01-25 21:30:39,13,43.6680679061,7.2.5.1 Maintenance of certain fire emergency systems,240 Wellesley St E,7.2.5.1
2227678,-79.404729726,2017-06-29 04:00:00,2017-02-16 05:00:00,10,43.637158155,2.8.2.5 Posting fire emergency procedures,209 Fort York Blvd,2.8.2.5
2227679,-79.404729726,2017-06-29 04:00:00,2017-02-16 05:00:00,10,43.637158155,6.5.1.5 Obstructions,209 Fort York Blvd,6.5.1.5
2227680,-79.400080728,2018-04-11 16:00:00,2017-03-15 16:00:00,10,43.6367062252,2.2.3.2 Maintenance of closures,600 Fleet St,2.2.3.2
2227681,-79.4020593984,2017-09-06 04:00:00,2017-03-30 04:00:00,10,43.636474689399996,1.1.2.1 Records to be prepared,21 Grand Magazine St,1.1.2.1
2227682,-79.4027601592,2017-11-21 17:00:00,2017-03-15 16:00:00,10,43.636371241199996,2.2.3.3 Operation of closures,628 Fleet St,2.2.3.3
2227683,-79.4060786521,2017-08-30 18:59:40,2017-01-25 05:00:00,10,43.63697944729999,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),231 Fort York Blvd,1.1.2.3./6.3.2.2.
2227684,-79.4060786521,2017-08-30 18:59:40,2017-01-25 05:00:00,10,43.63697944729999,2.2.3.3 Operation of closures,231 Fort York Blvd,2.2.3.3
2227685,-79.400688603,2017-07-07 09:30:00,2017-03-14 18:00:00,10,43.637196151000005,6.5.1.5 Obstructions,15 Bruyeres Mews,6.5.1.5
2227686,-79.2995706265,2017-03-23 16:30:50,2017-01-25 16:30:34,22,43.78293932729999,2.4.1.1 Accumulation of combustible materials,2360 Birchmount Rd,2.4.1.1
2227687,-79.2193469712,2017-02-03 16:47:57,2017-02-03 16:47:57,20,43.74271344180001,,3181 Eglinton Ave E,
2227688,-79.370142658,2017-02-23 18:09:17,2017-01-30 19:00:19,13,43.650155955,,25 George St,
2227689,-79.389615062,2017-04-27 13:12:54,2017-02-23 19:08:04,10,43.645601714499996,,50 John St,
