index,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,director
1535,31000000,Crime Drama Science Fiction Thriller,,10559,new york mother detective baseball radio,en,Frequency,"When a rare phenomenon gives police officer John Sullivan the chance to speak to his father, 30 years in the past, he takes the opportunity to prevent his dad's tragic death.  After his actions inadvertently give rise to a series of brutal murders he and his father must find a way to fix the consequences of altering time.",19.258041,"[{""name"": ""New Line Cinema"", ""id"": 12}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-04-28,68106245,118.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The future is listening.,Frequency,7.0,462,Dennis Quaid Jim Caviezel Andre Braugher Elizabeth Mitchell Noah Emmerich,Gregory Hoblit
3286,0,Comedy Music Mystery Crime,,30141,,en,The Singing Detective,"From his hospital bed, a writer suffering from a skin disease hallucinates musical numbers and paranoid plots.",6.335881,"[{""name"": ""Icon Productions"", ""id"": 152}, {""name"": ""Haft Entertainment"", ""id"": 1363}, {""name"": ""Paramount Classics"", ""id"": 2315}, {""name"": ""Airborne Productions"", ""id"": 11732}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-10-24,0,109.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"When it comes to murder, seduction and betrayal he wrote the book. Now he's living it!",The Singing Detective,5.9,41,Robert Downey Jr. Robin Wright Mel Gibson Jeremy Northam Katie Holmes,Keith Gordon
4638,300000,Drama Action Crime,,378237,,en,Amidst the Devil's Wings,"Prequel to ""5th of a Degree.""",0.018087,"[{""name"": ""Daniel Columbie Films & Productions"", ""id"": 72267}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-12-01,0,90.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Prequel to ""5th of a Degree.""",Amidst the Devil's Wings,0.0,0,,
4753,60000,Thriller Horror,,193603,haunted house slasher,en,Hayride,"A college student returning home for Halloween is forced to face his childhood fears when an escaped killer takes refuge in his family's ""Haunted Hayride"".",0.412342,[],"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-10-13,0,93.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Southern Fried Horror,Hayride,5.1,6,Richard Tyson Sherri Eakin Jeremy Ivy Jeremy Sande Corlandos Scott ,Terron R. Parsons
2953,11000000,Drama Adventure Romance,,13888,island marooned pacific island teenager deserted island,en,Return to the Blue Lagoon,"In this sequel to the 1980 classic, two children are stranded on a beautiful island in the South Pacific. With no adults to guide them, the two make a simple life together and eventually become tanned teenagers in love.",9.705589,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}]","[{""iso_3166_1"": ""FJ"", ""name"": ""Fiji""}]",1991-08-02,2807854,98.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Return to the Romance, Return to the Adventure...",Return to the Blue Lagoon,5.1,153,Milla Jovovich Brian Krause Lisa Pelikan Courtney Barilla Garette Ratliff Henson,William A. Graham
3717,4500000,Drama Horror Mystery Thriller,http://www.afterlifethefilm.com/,36419,wheelchair nightmare funeral injection crying,en,After.Life,"A young woman caught between life and death... and a funeral director who appears to have the gift of transitioning the dead, but might just be intent on burying her alive.",14.570359,"[{""name"": ""Plum Pictures"", ""id"": 2224}, {""name"": ""Harbor Light Entertainment"", ""id"": 6020}, {""name"": ""Lleju Productions"", ""id"": 12410}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-04-09,3606395,104.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Life is the symptom. Death is the cure.,After.Life,5.4,251,Liam Neeson Justin Long Christina Ricci Josh Charles Chandler Canterbury,Agnieszka Wojtowicz-Vosloo
4736,100,Documentary Music,,268917,artist band,en,The Past Is a Grotesque Animal,"A personal, accessible look at an artist - Kevin Barnes, frontman of the endlessly versatile indie pop band of Montreal - whose pursuit to make transcendent music at all costs drives him to value art over human relationships. As he struggles with all of those around him, family and bandmates alike, he's forced to reconsider the future of the band, begging the question - is this really worth it?",0.394575,"[{""name"": ""Wrecking Crew"", ""id"": 26403}, {""name"": ""Polyvinyl Records"", ""id"": 78846}, {""name"": ""Shrine"", ""id"": 78847}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-06-15,0,77.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,The Past Is a Grotesque Animal,5.5,2,Dottie Alexander Derek Almstead David Barnes Kevin Barnes Nina Barnes,Jason Miller
2215,20000000,Drama,http://burntmovie.com/,295964,london england cook restaurant diva career,en,Burnt,"Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.",30.477114,"[{""name"": ""Double Feature Films"", ""id"": 215}, {""name"": ""PeaPie Films"", ""id"": 32243}, {""name"": ""3 Arts Entertainment"", ""id"": 36390}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-10-02,36606743,100.0,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Never underestimate a man with everything to lose.,Burnt,6.3,950,Bradley Cooper Sienna Miller Lily James Alicia Vikander Uma Thurman,John Wells
115,150000000,Fantasy Action,http://www.sonypictures.com/movies/hancock/,8960,flying alcohol love of one's life forbidden love lovers,en,Hancock,"Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?",56.758410999999995,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Weed Road Pictures"", ""id"": 433}, {""name"": ""Forward Pass"", ""id"": 675}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Overbrook Entertainment"", ""id"": 12485}, {""name"": ""Blue Light"", ""id"": 28064}, {""name"": ""GH Three"", ""id"": 41756}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-07-01,624029371,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Released,Bad Behavior. Bad Attitude. Real Hero.,Hancock,6.2,2961,Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan,Peter Berg
2715,108,Comedy Horror,,23988,halloween slapstick duringcreditsstinger,en,Stan Helsing,"It's Halloween night and video store clerk Stan Helsing just got stuck with a last minute request to deliver some videos. With his best friend, his best friend's date, and a smoking hot ex-girlfriend waiting to go to a party, Stan convinces them to take a side trip to Stormy Night Estates for the drop. But the group gets locked inside and Stan discovers he's actually Stan Van Helsing, descendan",7.410522999999999,"[{""name"": ""Insight Productions"", ""id"": 4271}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-10-27,0,90.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The most feared monsters in cinematic history have met their match...,Stan Helsing,4.0,97,Diora Baird Leslie Nielsen Steve Howey Kenan Thompson Tara Wilson,Bo Zenga
4800,0,Comedy Drama Romance TV Movie,http://www.hallmarkchannel.com/signedsealeddelivered,231617,date love at first sight narration investigation team,en,"Signed, Sealed, Delivered","""Signed, Sealed, Delivered"" introduces a dedicated quartet of civil servants in the Dead Letter Office of the U.S. Postal System who transform themselves into an elite team of lost-mail detectives. Their determination to deliver the seemingly undeliverable takes them out of the post office into an unpredictable world where letters and packages from the past save lives, solve crimes, reunite old loves, and change futures by arriving late, but always miraculously on time.",1.444476,"[{""name"": ""Front Street Pictures"", ""id"": 3958}, {""name"": ""Muse Entertainment Enterprises"", ""id"": 6438}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-10-13,0,120.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,"Signed, Sealed, Delivered",7.0,6,Eric Mabius Kristin Booth Crystal Lowe Geoff Gustafson Benjamin Hollingsworth,Scott Smith
4491,0,Documentary,http://www.thehadzalastofthefirst.com/,296943,,en,The Hadza:  Last of the First,"A look at human origins in the very place of our origins, Africa's Rift Valley",0.045648,[],"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-10-31,0,70.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,The Hadza:  Last of the First,0.0,0,,Bill Benenson
3221,8000000,Action Drama History,,19644,prison island korea,ko,실미도,"On 31 January 1968, 31 North Korean commandos infiltrated South Korea in a failed mission to assassinate President Park Chung-hee. In revenge, the South Korean military assembled a team of 31 criminals on the island of Silmido to kill Kim Il-sung for a suicide mission to redeem their honor, but was cancelled, leaving them frustrated. It is loosely based on a military uprising in the 1970s.",2.60632,"[{""name"": ""Hanmac Films"", ""id"": 3660}]","[{""iso_3166_1"": ""KR"", ""name"": ""South Korea""}]",2003-12-24,0,135.0,"[{""iso_639_1"": ""ko"", ""name"": ""\ud55c\uad6d\uc5b4/\uc870\uc120\ub9d0""}]",Released,,Silmido,6.6,28,Sol Kyung-gu Heo Jun-ho Ahn Sung-Ki Jung Jae-young Im Won-hee,Kang Woo-Suk
2523,0,Comedy,,10765,paris role of women,en,Private Benjamin,A sheltered young high society woman joins the army on a whim and finds herself in a more difficult situation than she ever expected.,12.18838,"[{""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1980-10-06,0,109.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Private Benjamin,6.0,102,Goldie Hawn Eileen Brennan Armand Assante Robert Webber Mary Kay Place,Howard Zieff
2344,18000000,Drama,,1578,transporter jealousy violent husband paranoia boxer,en,Raging Bull,"When Jake LaMotta steps into a boxing ring and obliterates his opponent, he's a prizefighter. But when he treats his family and friends the same way, he's a ticking time bomb, ready to go off at any moment. Though LaMotta wants his family's love, something always seems to come between them. Perhaps it's his violent bouts of paranoia and jealousy. This kind of rage helped make him a champ, but in real life, he winds up in the ring alone.",35.524457,"[{""name"": ""United Artists"", ""id"": 60}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1980-11-14,23000000,129.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Raging Bull,7.7,938,Robert De Niro Joe Pesci Cathy Moriarty Frank Vincent Nicholas Colasanto,Martin Scorsese
603,70000000,Thriller,,11258,sheriff rain evacuation armored car crook,en,Hard Rain,"Get swept up in the action as an armored car driver (Christian Slater) tries to elude a gang of thieves (led by Morgan Freeman) while a flood ravages the countryside. Hard Rain is ""a wild, thrilling, chilling action ride"" filled with close calls, uncertain loyalties and heart-stopping heroics.",10.930537,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Toho-Towa"", ""id"": 657}, {""name"": ""Mutual Film Company"", ""id"": 762}, {""name"": ""PolyGram Filmed Entertainment"", ""id"": 1382}, {""name"": ""Marubeni"", ""id"": 4650}, {""name"": ""Tele M\u00fcnchen Fernseh Produktionsgesellschaft (TMG)"", ""id"": 7237}, {""name"": ""UGC PH"", ""id"": 23932}, {""name"": ""British Broadcasting Corporation (BBC) Television"", ""id"": 48136}, {""name"": ""Stargate Studios"", ""id"": 55474}]","[{""iso_3166_1"": ""DK"", ""name"": ""Denmark""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-01-16,19870567,97.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"In the worst storm in living memory, one guard stands between five men and three million dollars.",Hard Rain,5.5,179,Morgan Freeman Christian Slater Randy Quaid Minnie Driver Ed Asner,Mikael Salomon
3489,0,Drama Thriller,,31064,rape sex airport authority assistant,en,The Business of Strangers,"Julie Styron thinks she is going to be fired, but instead discovers that she is being promoted. Trapped in an airport hotel, she wants to celebrate but finds only the company of her young assistant, Paula Murphy. As the night progresses, the two women get to know each other. They flirt, they drink, they lie; personal flaws are revealed and exposed. But at the end of the night their relationship turns and becomes a complex battle of power, authority, and wit.",1.369649,"[{""name"": ""i5 Films"", ""id"": 26927}, {""name"": ""Headquarters"", ""id"": 42932}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-01-19,0,84.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,The Business of Strangers,5.7,19,Julia Stiles Stockard Channing Frederick Weller Marcus Giamatti Jack Hallett,Patrick Stettner
4110,2000000,History Documentary,,12228,usa 1970s sexual revolution unsimulated sex,en,Inside Deep Throat,"In 1972, a seemingly typical shoestring budget pornographic film was made in a Florida hotel, ""Deep Throat,"" starring Linda Lovelace. This film would surpass the wildest expectation of everyone involved to become one of the most successful independent films of all time. It caught the public imagination which met the spirit of the times, even as the self appointed guardians of public morality struggled to suppress it, and created, for a brief moment, a possible future where sexuality in film had a bold artistic potential. This film covers the story of the making of this controversial film, its stunning success, its hysterical opposition along with its dark side of mob influence and allegations of the on set mistreatment of the film's star. In short, the combined events would redefine the popular appeal of pornography, even as more cynical developments would lead it down other paths.",3.9800720000000003,[],"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-02-11,653621,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,It was filmed in 6 days for 25 thousand dollars. The government didn't want you to see it. It was banned in 23 states. It has grossed over 600 million dollars. And it is the most profitable film in motion picture history.,Inside Deep Throat,6.8,31,Dennis Hopper Peter Bart Warren Beatty Carl Bernstein,Fenton Bailey
3084,10000000,Drama,,55720,california garden immigrant truck illegal immigrant,en,A Better Life,A gardener in East L.A. struggles to keep his son away from gangs and immigration agents while traveling across town to perform landscaping work for the city's wealthy landowners.,4.123533,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Witt/Thomas Productions"", ""id"": 1089}, {""name"": ""Depth of Field"", ""id"": 1473}, {""name"": ""McLaughlin Films"", ""id"": 28707}, {""name"": ""Lime Orchard Productions"", ""id"": 28708}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-06-24,1759252,98.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Every father wants more for his son.,A Better Life,7.0,54,Demi\u00e1n Bichir Jos\u00e9 Juli\u00e1n Chelsea Rendon Dolores Heredia Joaqu\u00edn Cosio,Chris Weitz
3858,0,Drama,,299145,revenge murder u.s. marine,en,Dawn Patrol,"After the brutal murder of his beloved brother, a small-town surfer seeks revenge against the gang of merciless thugs he holds responsible. However, when another tragedy brings him face to face with the consequences of his actions, he must seek forgiveness from the very people he despises most.",3.230779,"[{""name"": ""Enderby Entertainment"", ""id"": 21608}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-06-05,0,86.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Revenge comes at a price.,Stranded,5.0,11,Scott Eastwood Rita Wilson Jeff Fahey David James Elliott Kim Matula,"Daniel Petrie, Jr."
1938,25000000,Drama Mystery Science Fiction Thriller,http://www.blindness-themovie.com/,8338,fight blindness and impaired vision asylum leader society,en,Blindness,"When a sudden plague of blindness devastates a city, a small group of the afflicted band together to triumphantly overcome the horrific conditions of their imposed quarantine.",17.603823000000006,"[{""name"": ""Rhombus Media"", ""id"": 164}, {""name"": ""O2 Filmes"", ""id"": 345}, {""name"": ""T\u00e9l\u00e9film Canada"", ""id"": 806}, {""name"": ""Bee Vine Pictures"", ""id"": 2439}, {""name"": ""Alliance Films"", ""id"": 2514}, {""name"": ""Asmik Ace Entertainment"", ""id"": 3033}, {""name"": ""GAGA"", ""id"": 3656}, {""name"": ""Fox Filmes do Brasil"", ""id"": 4887}, {""name"": ""Ancine"", ""id"": 11547}, {""name"": ""BNDES"", ""id"": 11548}, {""name"": ""Cinema Investment"", ""id"": 11549}, {""name"": ""Corus Entertainment"", ""id"": 11550}, {""name"": ""Movie Central Network"", ""id"": 11551}]","[{""iso_3166_1"": ""BR"", ""name"": ""Brazil""}, {""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""JP"", ""name"": ""Japan""}]",2008-05-14,19844979,121.0,"[{""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Blindness,6.4,387,Julianne Moore Mark Ruffalo Alice Braga Gael Garc\u00eda Bernal Danny Glover,Fernando Meirelles
1640,35000000,Drama,http://northcountrymovie.warnerbros.com/,9701,rape secret minnesota witness miner,en,North Country,"A fictionalized account of the first major successful sexual harassment case in the United States -- Jenson vs. Eveleth Mines, where a woman who endured a range of abuse while working as a miner filed and won the landmark 1984 lawsuit.",12.779200999999999,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Participant Media"", ""id"": 6735}, {""name"": ""Nick Wechsler Productions"", ""id"": 8073}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-02-12,25224242,126.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,All She Wanted Was To Make A Living. Instead She Made History.,North Country,6.8,125,Charlize Theron Elle Peterson Thomas Curtis Frances McDormand Sean Bean,Niki Caro
