id,title,duration,MPA,rating,votes,meta_score,description,movie_link,writers,directors,stars,budget,opening_weekend_gross,gross_worldwide,gross_us_canada,release_date,countries_origin,filming_locations,production_companies,awards_content,genres,languages
tt0406375,Zathura: A Space Adventure,1h 41m,PG,6.3,120K,67.0,Two young brothers are drawn into an intergalactic adventure when their house is hurled through the depths of space by the magical board game they are playing.,https://www.imdb.com/title/tt0406375/,"['Chris Van Allsburg', 'David Koepp', 'John Kamps']",['Jon Favreau'],"['Josh Hutcherson', 'Jonah Bobo', 'Dax Shepard', 'Tim Robbins', 'Kristen Stewart', 'Frank Oz', 'John Alexander', 'Derek Mears', 'Douglas Tait', 'Joe Bucaro III']","$65,000,000 (estimated)","$13,427,872","$65,079,236","$29,258,869",2005-11-11,['United States'],"['216 Oaklawn Avenue, South Pasadena, California, USA (Budwing house; exterior)']","['Columbia Pictures', 'Radar Pictures', 'Teitler Film']","Awards, 3 wins & 3 nominations total","['High-Concept Comedy', 'Space Sci-Fi', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",['English']
tt1301130,Call + Response,1h 26m,PG-13,7.4,75,43.0,Fair Trade Pictures to support human rights activism against human trafficking and slavery on a community level.,https://www.imdb.com/title/tt1301130/,"['Justin Dillon', 'Shadd Williams']",['Justin Dillon'],"['Madeleine Albright', 'Kevin Bales', 'David Batstone', 'Natasha Bedingfield', 'Cold War Kids', 'Rocco DeLuca', 'Justin Dillon', 'Daryl Hannah', 'Gary Haugen', 'Imogen Heap']","$200,000 (estimated)","$41,346","$215,185","$215,185",2008-10-10,['United States'],,['Fair Trade Pictures'],,"['Documentary', 'History', 'Music']",['English']
tt0062473,Warning Shot,1h 40m,Approved,6.7,1.1K,,"During a stakeout, an L.A. cop kills a doctor who presumably pulled a gun but the coroner's inquest finds no gun, forcing the cop to look for it to clear his name.",https://www.imdb.com/title/tt0062473/,"['Whit Masterson', 'Mann Rubin']",['Buzz Kulik'],"['David Janssen', 'Ed Begley', 'Keenan Wynn', 'Sam Wanamaker', 'Lillian Gish', 'Stefanie Powers', 'Eleanor Parker', 'George Grizzard', 'George Sanders', 'Steve Allen']","$2,500,000 (estimated)",,,,1967-01-18,['United States'],"['Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA (Studio)']",['Bob Banner Associates'],,"['Crime', 'Mystery', 'Thriller']",['English']
tt7919680,Karwaan,1h 54m,Not Rated,7.6,19K,,Two friends and a chirpy teenager take a road trip from Bangalore to Kochi.,https://www.imdb.com/title/tt7919680/,"['Bejoy Nambiar', 'Akarsh Khurana', 'Adhir Bhat']",['Akarsh Khurana'],"['Irrfan Khan', 'Dulquer Salmaan', 'Mithila Palkar', 'Amala Akkineni', 'Akash Khurana', 'Kriti Kharbanda', 'Donna Munshi', 'Abir Abrar', 'Beena Banerjee', 'Siddharth Menon']","₹200,000,000 (estimated)","$98,460","$536,525","$182,009",2018-08-03,['India'],,"['Ishka Films,', 'RSVP', 'Reverie Entertainment']","Awards, 2 nominations total","['Road Trip', 'Adventure', 'Comedy', 'Drama']","['Hindi', 'Malayalam']"
tt12383460,Hypnotic,1h 28m,TV-14,5.3,21K,32.0,"A young woman seeking self-improvement enlists the help of a renowned hypnotherapist. But after a handful of intense sessions, she discovers unexpected and deadly consequences.",https://www.imdb.com/title/tt12383460/,"[""Richard D'Ovidio""]","['Matt Angel', 'Suzanne Coote']","['Kate Siegel', ""Jason O'Mara"", 'Dulé Hill', 'Lucie Guest', 'Jaime M. Callica', 'Tanja Dixon-Warren', 'Luc Roderique', 'Devyn Dalton', 'Stephanie Cudmore', 'Jessie Fraser']",,,,,2021-10-27,['United States'],"['Vancouver, British Columbia, Canada']",['The Long Game'],,"['Tragedy', 'Horror', 'Mystery', 'Thriller']",['English']
tt0058695,Aunt Tula,1h 49m,,7.4,645,,"Tula, a 31-year-old single woman whose sister has just died, decides to live in the home of her bank-employee brother-in-law Ramiro and his two children. She takes control of their lives, playing wife/mother without the sexual commitments or maternal responsibilities. Ramiro likes her because she adores his children, but she rejects his courtship. Desperate Ramiro tries to rape her and the priest advises her to marry the man. Tula insists on maintaining platonic relations and decides to take them to her village and, in the presence of relatives, redirect Ramiro's feelings to the memory of her deceased sister. Ramiro rapes Tula's young cousin Juanita at the earliest opportunity, but the rest of the family does not know until months later when it's obvious that she's pregnant. Ramiro is forced to marry her, and he takes her and the children back to the city.",https://www.imdb.com/title/tt0058695/,"['José Miguel Hernán', 'Manuel López Yubero', 'Miguel Picazo']",['Miguel Picazo'],"['Aurora Bautista', 'Carlos Estrada', 'Irene Gutiérrez Caba', 'Laly Soldevila', 'Enriqueta Carballeira', 'Paloma Lorena', 'Paul Ellis', 'Emilia Zambrano', 'Coral Pellicer', 'Montserrat Julió']",,,,,1965-03-24,['Spain'],"['Guadalajara, Guadalajara, Castilla-La Mancha, Spain']",['Eco-Surco'],"Awards, 10 wins total",['Drama'],['Spanish']
tt0018229,A One Man Game,50m,,6.4,11,,,https://www.imdb.com/title/tt0018229/,['William Berke'],['Ernst Laemmle'],"['Fred Humes', 'Fay Wray', 'Harry Todd', 'Clarence Geldert', 'Norbert A. Myles', 'Lotus Thompson', 'William Malan', 'Julia Griffith', 'Bud Osborne']",,,,,1927-01-30,['United States'],,['Universal Pictures'],,['Western'],"['None', 'English']"
tt0058877,An Affair of the Skin,1h 42m,,6.7,60,,"A neurotic woman, her unhappy husband and three other New Yorkers share a complicated relationship.",https://www.imdb.com/title/tt0058877/,['Ben Maddow'],['Ben Maddow'],"['Viveca Lindfors', 'Kevin McCarthy', 'Lee Grant', 'Diana Sands', 'Herbert Berghof', 'Nancy Malone', 'Osceola Archer', 'Will Lee']",,,,,1963-11-20,['United States'],"['New York City, New York, USA']",,,['Drama'],['English']
tt0074256,Bugsy Malone,1h 33m,G,6.8,20K,71.0,The classic gangster story of Bugsy Malone told with an all-child cast.,https://www.imdb.com/title/tt0074256/,['Alan Parker'],['Alan Parker'],"['Jodie Foster', 'Scott Baio', 'Florence Garland', 'John Cassisi', 'Martin Lev', 'Paul Murphy', 'Sheridan Earl Russell', ""Albin 'Humpty' Jenkins"", 'Paul Chirelstein', 'Andrew Paul']","£575,000 (estimated)",,"$2,839,373","$2,783,840",1976-09-15,"['United Kingdom', 'United States']","[""Huntley & Palmers Biscuit Factory, 119-129 King's Road, Reading, Berkshire, England, UK (bar scenes; Dock 17, now demolished)""]","['The Rank Organisation', 'Goodtimes Enterprises', 'Bugsy Malone Productions']","Nominated for 1 Oscar, 5 wins & 11 nominations total","['Parody', 'Comedy', 'Crime', 'Family', 'Musical']","['English', 'Italian', 'French']"
tt0072798,La Collegiale,1h 32m,,3.7,172,,The sexually naive Daniela returns home from boarding school only to realize that her family is involved in an excess of bed-hopping and sexual perversion.,https://www.imdb.com/title/tt0072798/,"['Gianni Martucci', 'Piero Regnoli']",['Gianni Martucci'],"['Nino Castelnuovo', 'Marta Katherin', 'Sofia Dionisio', 'Franco Merli', 'Sergio Di Pinto', 'Franco Diogene', 'Femi Benussi']",,,,,1982-03-17,['Italy'],"['Venice, Veneto, Italy']",['James Film S.r.l'],,['Comedy'],['Italian']
tt0037430,Via Mala,1h 48m,,6.7,43,,"A hated and bully patriarch is murdered. The investigating judge falls in love and marries the daughter, and then she confesses to have killed. Did she? Or she was protecting some one?",https://www.imdb.com/title/tt0037430/,"['John Knittel', 'Thea von Harbou']",['Josef von Báky'],"['Karin Hardt', 'Carl Wery', 'Viktor Staal', 'Hilde Körber', 'Hildegard Grethe', 'Albert Florath', 'Ferdinand Asper', 'Jutta Carow', 'Karl Hellmer', 'Malte Jaeger']",,,,,1948-01-16,['Germany'],"['Freigelände Neubabelsberg, Potsdam, Brandenburg, Germany']",['Universum Film (UFA)'],,"['Crime', 'Drama']",['German']
tt0151666,The Mugger,1h 14m,Approved,5.9,322,,A police psychiatrist attempts to find a mugger obsessed with the need to seek out lonely women and slash their faces.,https://www.imdb.com/title/tt0151666/,"['Evan Hunter', 'Henry Kane']",['William Berke'],"['Kent Smith', 'Nan Martin', 'James Franciscus', 'Stefan Schnabel', ""Dick O'Neill"", 'Leonard Stone', 'John Alexander', 'Arthur Storch', 'Bert Thorn', 'Albert Dannibal']",,,,,1958-11-17,['United States'],"['New York City, New York, USA']",['Barbizon Productions Inc.'],,"['Crime', 'Drama', 'Thriller']",['English']
tt0194504,Vidocq,1h 10m,,4.8,13,,"François Vidocq has deserted to go back to his wife and kids, so he becomes a thief. Unfortunately, he finds she had become Manon-la-blonde, mistress of a rich man named Ouvrard, and his children have disappeared. He offers his services to the chief of intelligence service and begins a fight against the Aristo, chief of the gang of the children of the sun. After a few years, he dismantles the gang, and finds both his sons. One has become a blackguard, the other a famous organist who is about to be knighted and will soon get married to his beloved.",https://www.imdb.com/title/tt0194504/,"['Arthur Bernède', 'Eugène-François Vidocq']",['Jean Kemm'],"['René Navarre', 'Elmire Vautier', 'Rachel Devirys', 'Genica Missirio', 'Dolly Davis', 'Georges Deneubourg', 'Geo Laby', 'Jacques Plet', 'Albert Bras', 'Maud Fabris']",,,,,1923-02-23,['France'],"['Tarascon, Bouches-du-Rhône, France']",['Société des Cinéromans'],,"['Drama', 'History']","['None', 'French']"
tt10765852,Metallica & San Francisco Symphony - S&M2,2h 30m,,8.6,1.6K,,Metallica and the San Francisco Symphony perform a live concert together at Chase Center in San Francisco.,https://www.imdb.com/title/tt10765852/,"['Edgar Barradas', 'Kirk Hammett', 'James Hetfield']",['Wayne Isham'],"['Edgar Barradas', 'Kirk Hammett', 'James Hetfield', 'Metallica', 'Robert Trujillo', 'Lars Ulrich', 'Julian Figgy Delan']",,"$144,736","$2,582,847","$1,252,385",2019-10-09,['United States'],,['Prime Zero Productions'],,"['Documentary', 'Music']",['English']
tt3508830,The Decent One,1h 34m,Not Rated,6.7,733,55.0,"A documentary that uses a cache of letters, diaries and documents to reveal the life of SS-leader Heinrich Himmler.",https://www.imdb.com/title/tt3508830/,"['Vanessa Lapa', 'Ori Weisbrod']",['Vanessa Lapa'],"['Tobias Moretti', 'Sophie Rois', 'Antonia Moretti', 'Lotte Ledl', 'Florentin Groll', 'Pauline Knof', 'Lenz Moretti', 'Martin Lalis', 'Alexander Riemann', 'Markus Riexinge']",,,"$35,282","$21,327",2014-09-18,"['Austria', 'Israel', 'Germany']","['Potsdamer Platz, Mitte, Berlin, Germany']","['Felix Breisach Medienwerkstatt', 'Realworks']","Awards, 1 win & 2 nominations total","['Documentary', 'Drama', 'History']","['English', 'German']"
tt0079359,I Am Maria,1h 34m,,6.0,133,,"11-year-old Maria is forced to stay with her relatives in a small town. She becomes friends with a quirky, drunken painter.",https://www.imdb.com/title/tt0079359/,"['Hans-Eric Hellberg', 'Göran Setterberg', 'Karsten Wedel']",['Karsten Wedel'],"['Lise-Lotte Hjelm', 'Peter Lindgren', 'Helena Brodin', 'Frej Lindqvist', 'Claire Wikholm', 'Anita Ekström', 'Malin Åman', 'Stig Engström', 'Bodil Mårtensson', 'Per Flygare']",,,,,1979-12-15,['Sweden'],,"['Drakfilm Produktion', 'Svenska Filminstitutet (SFI)', 'Treklövern']","Awards, 2 wins & 1 nomination total",['Drama'],['Swedish']
tt14107334,The Running Man,,,,,,"A man joins a game show where contestants, allowed to go anywhere in the world, are pursued by ""hunters"" hired to kill them.",https://www.imdb.com/title/tt14107334/,"['Michael Bacall', 'Stephen King', 'Edgar Wright']",['Edgar Wright'],"['Glen Powell', ""Katy O'Brian"", 'Colman Domingo', 'Josh Brolin', 'Lee Pace', 'William H. Macy', 'Emilia Jones', 'Michael Cera', 'David Zayas', 'Sean Hayes']",,,,,2025-11-07,"['United Kingdom', 'United States']","['Glasgow, Scotland, UK (location)']","['Complete Fiction', 'Genre Films', 'Paramount Pictures']",,"['Dystopian Sci-Fi', 'Action', 'Sci-Fi', 'Thriller']",['English']
tt0026312,Emil and the Detectives,1h 11m,,6.2,138,,Emil goes to Berlin to see his grandmother with a large amount of money and is offered sweets by a strange man that make him sleep. He wakes up at his stop with no money. It is up to him and a group of children to save the day.,https://www.imdb.com/title/tt0026312/,"['Cyrus Brooks', 'Margaret Carter', 'Erich Kästner']",['Milton Rosmer'],"['John Williams', 'George Hayes', 'Mary Glynne', 'Clare Greet', 'George Merritt', 'Marion Foster', 'Donald Pittman', 'Robert Rietty', 'John Singer', 'Derek Blomfield']",,,,,1938-04-14,['United Kingdom'],"['Albert Bridge, Battersea, London, England, UK (Polly and the Flying Stag ride across the bridge)']",['Richard Wainwright Productions'],,"['Adventure', 'Family']",['English']
tt0015770,Durand of the Bad Lands,50m,,6.4,26,,"Upon deciding to move to Mexico, Dick Durand sells his ranch and belongings to Sheriff Clem Allison, and Pete Garson, one of Allison's henchman, uses Durand's regalia to commit a number of crimes. Durand returns to vindicate himself and falls in love with Molly Gore, who with her invalid father is struggling to make out on a small ranch. She spurns him at first but softens after he returns with three children, the survivors of a raid on a wagon carrying gold for banker John Boyd. Durand finally establishes his innocence, rescues Boyd's daughter, who is imprisoned in the mine by Pete, and wins Boyd's gratitude and Molly's love.",https://www.imdb.com/title/tt0015770/,"['Maibelle Heikes Justice', 'Lynn Reynolds']",['Lynn Reynolds'],"['Buck Jones', 'Marian Nixon', 'Malcolm Waite', 'Fred DeSilva', 'Luke Cosgrave', 'George Lessey', 'Buck Black', 'Seessel Anne Johnson', 'James Corrigan', 'Carole Lombard']",,,,,1925-11-01,['United States'],"['Alabama Hills, Lone Pine, California, USA']",['Fox Film Corporation'],,"['Crime', 'Western']","['None', 'English']"
tt0261739,Law of the Border,1h 11m,Not Rated,6.7,1.3K,,"In order to keep his ailing son alive, an impoverished man agrees to sneak a herd of sheep across the border.",https://www.imdb.com/title/tt0261739/,"['Lütfi Ö. Akad', 'Yilmaz Güney']",['Lütfi Ö. Akad'],"['Yilmaz Güney', 'Pervin Par', 'Erol Tas', 'Tuncer Necmioglu', 'Muharrem Gürses', 'Aydemir Akbas', 'Sirri Elitas', 'Tuncel Kurtiz', 'Atilla Ergün', 'Osman Alyanak']",,,,,2017-05-30,['Turkey'],"['Yildiz Film Studios, Turkey (Turkey)']",['Dadas Film'],"Awards, 1 win & 1 nomination total","['Crime', 'Drama']",['Turkish']
tt7365040,Spiral Farm,1h 25m,R,5.3,120,,"When two outsiders arrive on an isolated intentional community, seventeen-year old Anahita begins to question her role at home, and what a future out in the world-at-large could be.",https://www.imdb.com/title/tt7365040/,"['Thomai Hatsios', 'Alec Tibaldi']",['Alec Tibaldi'],"['Piper De Palma', 'Amanda Plummer', 'Jade Fusco', 'Teo Halm', 'Landen Beattie', 'Sara Anne', 'Cosimo Fusco', 'Kayleigh Gilbert', 'Akuyoe Graham', 'Ken Schneider']",,"$5,475","$6,517","$6,517",2019-12-13,"['United States', 'Italy', 'Spain']",,"['Mailuki Films', 'SFP']","Awards, 2 wins & 1 nomination total",['Drama'],['English']
tt0043762,Lullaby of Broadway,1h 32m,Approved,6.7,1.3K,,"A showgirl returns to her New York home to visit her alcoholic mother, where she catches the eye of a Broadway producer.",https://www.imdb.com/title/tt0043762/,['Earl Baldwin'],['David Butler'],"['Doris Day', 'Gene Nelson', 'S.Z. Sakall', 'Billy De Wolfe', 'Gladys George', 'Florence Bates', 'Anne Triola', 'Hanley Stafford', 'Page Cavanaugh Trio', 'Carlo De Mattiazzi']",,,,,1951-12-26,['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA (Studio)']",['Warner Bros.'],"Awards, 2 wins total","['Comedy', 'Musical', 'Romance']",['English']
tt0124926,Weekend,1h 24m,,6.0,80,,A group of wealthy middle-aged people meet at a summerhouse. They spend the time nagging and quarreling out of frustration.,https://www.imdb.com/title/tt0124926/,['Klaus Rifbjerg'],['Palle Kjærulff-Schmidt'],"['Jens Østerholm', 'Birgit Brüel', 'Willy Rathnov', 'Elsebet Knudsen', 'Jesper Jensen', 'Bente Dessau', 'Erik Kühnau', 'Lotte Tarp', 'Hugo Herrestrup', 'Inga Reim']",,,,,1962-10-29,['Denmark'],,['Rialtofilm'],"Awards, 1 win total",['Drama'],['Danish']
tt0058863,The 317th Platoon,1h 40m,,7.3,1.7K,,"In Vietnam, 1954, a French platoon isolated behind enemy lines tries to come back. It is led by the inexperienced, idealistic sous-lieutenant Torrens, and by adjutant Willsdorf, a WWII veteran of the Wehrmacht.",https://www.imdb.com/title/tt0058863/,['Pierre Schoendoerffer'],['Pierre Schoendoerffer'],"['Jacques Perrin', 'Bruno Cremer', 'Pierre Fabre', 'Manuel Zarzo', 'Boramy Tioulong', 'Saksi Sbong']",,,,,1965-03-31,"['France', 'Spain']",['Cambodia'],"['Rome Paris Films', 'Les Productions Georges de Beauregard', 'Producciones Benito Perojo']","Awards, 1 win & 1 nomination total",['War'],"['French', 'Vietnamese']"
